"Nom de la Station","ARGENTIA (AUT)"
"Province","NEWFOUNDLAND"
"Latitude","47,29"
"Longitude","-53,99"
"Altitude","19,00"
"Identification Climat","8400104"
"Identification OMM","71807"
"Identification TC","WAR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-11-01 00:00","2009","11","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 00:30","2009","11","01","00:30"," ","8,40","","","M","","M","21,00","","48,00","","","","101,36","","","","","","ND"
"2009-11-01 01:00","2009","11","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 01:30","2009","11","01","01:30"," ","8,50","","","M","","M","20,00","","43,00","","","","101,42","","","","","","ND"
"2009-11-01 02:00","2009","11","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 02:30","2009","11","01","02:30"," ","8,80","","","M","","M","21,00","","52,00","","","","101,36","","","","","","ND"
"2009-11-01 03:00","2009","11","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 03:30","2009","11","01","03:30"," ","9,00","","","M","","M","21,00","","41,00","","","","101,39","","","","","","ND"
"2009-11-01 04:00","2009","11","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 04:30","2009","11","01","04:30"," ","9,00","","","M","","M","21,00","","46,00","","","","101,34","","","","","","ND"
"2009-11-01 05:00","2009","11","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 05:30","2009","11","01","05:30"," ","9,10","","","M","","M","21,00","","48,00","","","","101,28","","","","","","ND"
"2009-11-01 06:00","2009","11","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 06:30","2009","11","01","06:30"," ","8,90","","","M","","M","21,00","","54,00","","","","101,21","","","","","","ND"
"2009-11-01 07:00","2009","11","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 07:30","2009","11","01","07:30"," ","9,30","","","M","","M","21,00","","52,00","","","","101,22","","","","","","ND"
"2009-11-01 08:00","2009","11","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 08:30","2009","11","01","08:30"," ","9,80","","","M","","M","21,00","","48,00","","","","101,23","","","","","","ND"
"2009-11-01 09:00","2009","11","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 09:30","2009","11","01","09:30"," ","10,10","","","M","","M","21,00","","48,00","","","","101,13","","","","","","ND"
"2009-11-01 10:00","2009","11","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 10:30","2009","11","01","10:30"," ","10,20","","","M","","M","20,00","","54,00","","","","101,04","","","","","","ND"
"2009-11-01 11:00","2009","11","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 11:30","2009","11","01","11:30"," ","10,30","","","M","","M","21,00","","56,00","","","","100,97","","","","","","ND"
"2009-11-01 12:00","2009","11","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 12:30","2009","11","01","12:30"," ","10,10","","","M","","M","20,00","","56,00","","","","100,91","","","","","","ND"
"2009-11-01 13:00","2009","11","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 13:30","2009","11","01","13:30"," ","10,70","","","M","","M","21,00","","56,00","","","","100,91","","","","","","ND"
"2009-11-01 14:00","2009","11","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 14:30","2009","11","01","14:30"," ","10,00","","","M","","M","21,00","","52,00","","","","100,93","","","","","","ND"
"2009-11-01 15:00","2009","11","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 15:30","2009","11","01","15:30"," ","8,90","","","M","","M","21,00","","43,00","","","","101,00","","","","","","ND"
"2009-11-01 16:00","2009","11","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 16:30","2009","11","01","16:30"," ","8,50","","","M","","M","22,00","","43,00","","","","100,98","","","","","","ND"
"2009-11-01 17:00","2009","11","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 17:30","2009","11","01","17:30"," ","8,20","","","M","","M","22,00","","43,00","","","","101,02","","","","","","ND"
"2009-11-01 18:00","2009","11","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 18:30","2009","11","01","18:30"," ","7,50","","","M","","M","22,00","","35,00","","","","101,08","","","","","","ND"
"2009-11-01 19:00","2009","11","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 19:30","2009","11","01","19:30"," ","7,20","","","M","","M","21,00","","28,00","","","","101,15","","","","","","ND"
"2009-11-01 20:00","2009","11","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 20:30","2009","11","01","20:30"," ","7,10","","","M","","M","23,00","","24,00","","","","101,25","","","","","","ND"
"2009-11-01 21:00","2009","11","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 21:30","2009","11","01","21:30"," ","7,00","","","M","","M","20,00","","20,00","","","","101,32","","","","","","ND"
"2009-11-01 22:00","2009","11","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 22:30","2009","11","01","22:30"," ","7,00","","","M","","M","21,00","","22,00","","","","101,37","","","","","","ND"
"2009-11-01 23:00","2009","11","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-01 23:30","2009","11","01","23:30"," ","6,80","","","M","","M","22,00","","20,00","","","","101,45","","","","","","ND"
"2009-11-02 00:00","2009","11","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-02 00:30","2009","11","02","00:30"," ","6,60","","","M","","M","25,00","","22,00","","","","101,54","","","","","","ND"
"2009-11-02 01:00","2009","11","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-02 01:30","2009","11","02","01:30"," ","6,50","","","M","","M","27,00","","24,00","","","","101,62","","","","","","ND"
"2009-11-02 02:00","2009","11","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-02 02:30","2009","11","02","02:30"," ","6,50","","","M","","M","26,00","","22,00","","","","101,71","","","","","","ND"
"2009-11-02 03:00","2009","11","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-02 03:30","2009","11","02","03:30"," ","6,00","","","M","","M","25,00","","19,00","","","","101,76","","","","","","ND"
"2009-11-02 04:00","2009","11","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-02 04:30","2009","11","02","04:30"," ","6,20","","","M","","M","28,00","","17,00","","","","101,92","","","","","","ND"
"2009-11-02 05:00","2009","11","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-02 05:30","2009","11","02","05:30"," ","5,90","","","M","","M","29,00","","15,00","","","","101,97","","","","","","ND"
"2009-11-02 06:00","2009","11","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-11-02 06:30","2009","11","02","06:30"," ","6,00","","","M","","M","31,00","","20,00","","","","102,02","","","","","","ND"
