"Nom de la Station","JASPER WARDEN"
"Province","ALBERTA"
"Latitude","52,93"
"Longitude","-118,03"
"Altitude","1020,00"
"Identification Climat","3053536"
"Identification OMM","71486"
"Identification TC","WJW"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-04-01 00:00","2005","04","01","00:00"," ","1,70","","-4,30","","64,00","","13,00","","6,00","","","","89,45","","","","","","ND"
"2005-04-01 01:00","2005","04","01","01:00"," ","2,30","","-4,40","","61,00","","15,00","","7,00","","","","89,36","","","","","","ND"
"2005-04-01 02:00","2005","04","01","02:00"," ","1,40","","-4,30","","66,00","","13,00","","4,00","","","","89,26","","","","","","ND"
"2005-04-01 03:00","2005","04","01","03:00"," ","2,90","","-3,90","","61,00","","15,00","","6,00","","","","89,17","","","","","","ND"
"2005-04-01 04:00","2005","04","01","04:00"," ","3,40","","-2,90","","63,00","","20,00","","7,00","","","","89,07","","","","","","ND"
"2005-04-01 05:00","2005","04","01","05:00"," ","3,40","","-2,20","","67,00","","20,00","","9,00","","","","88,98","","","","","","ND"
"2005-04-01 06:00","2005","04","01","06:00"," ","2,70","","-1,40","","74,00","","21,00","","15,00","","","","88,91","","","","","","ND"
"2005-04-01 07:00","2005","04","01","07:00"," ","2,50","","-1,10","","77,00","","22,00","","13,00","","","","88,80","","","","","","ND"
"2005-04-01 08:00","2005","04","01","08:00"," ","3,30","","-1,70","","70,00","","20,00","","9,00","","","","88,71","","","","","","ND"
"2005-04-01 09:00","2005","04","01","09:00"," ","4,00","","-1,40","","68,00","","20,00","","7,00","","","","88,61","","","","","","ND"
"2005-04-01 10:00","2005","04","01","10:00"," ","4,30","","-0,50","","71,00","","20,00","","9,00","","","","88,54","","","","","","ND"
"2005-04-01 11:00","2005","04","01","11:00"," ","7,00","","-1,00","","57,00","","17,00","","11,00","","","","88,49","","","","","","ND"
"2005-04-01 12:00","2005","04","01","12:00"," ","5,20","","-0,30","","68,00","","21,00","","13,00","","","","88,45","","","","","","ND"
"2005-04-01 13:00","2005","04","01","13:00"," ","7,50","","-2,00","","51,00","","21,00","","13,00","","","","88,37","","","","","","ND"
"2005-04-01 14:00","2005","04","01","14:00"," ","10,20","","-7,60","","28,00","","19,00","","20,00","","","","88,27","","","","","","ND"
"2005-04-01 15:00","2005","04","01","15:00"," ","8,20","","-6,70","","34,00","","21,00","","9,00","","","","88,32","","","","","","ND"
"2005-04-01 16:00","2005","04","01","16:00"," ","2,40","","0,00","","84,00","","25,00","","6,00","","","","88,50","","","","","","ND"
"2005-04-01 17:00","2005","04","01","17:00"," ","0,30","","0,10","","99,00","","14,00","","6,00","","","","88,55","","","","","","ND"
"2005-04-01 18:00","2005","04","01","18:00"," ","0,80","","0,50","","98,00","","15,00","","6,00","","","","88,69","","","","","","ND"
"2005-04-01 19:00","2005","04","01","19:00"," ","-0,10","","-1,00","","94,00","","11,00","","11,00","","","","88,66","","","","-4,00","","ND"
"2005-04-01 20:00","2005","04","01","20:00"," ","-0,40","","-1,70","","91,00","","11,00","","6,00","","","","88,74","","","","-2,00","","ND"
"2005-04-01 21:00","2005","04","01","21:00"," ","-1,00","","-1,60","","96,00","","14,00","","6,00","","","","88,83","","","","-3,00","","ND"
"2005-04-01 22:00","2005","04","01","22:00"," ","-1,60","","-2,00","","97,00","","19,00","","4,00","","","","88,87","","","","-3,00","","ND"
"2005-04-01 23:00","2005","04","01","23:00"," ","-1,40","","-2,10","","95,00","","13,00","","2,00","","","","88,87","","","","-2,00","","ND"
"2005-04-02 00:00","2005","04","02","00:00"," ","-1,80","","-2,40","","96,00","","21,00","","2,00","","","","88,94","","","","-3,00","","ND"
"2005-04-02 01:00","2005","04","02","01:00"," ","-1,80","","-2,30","","96,00","","21,00","","2,00","","","","89,03","","","","-3,00","","ND"
"2005-04-02 02:00","2005","04","02","02:00"," ","-3,10","","-3,40","","98,00","","18,00","","4,00","","","","89,11","","","","-5,00","","ND"
"2005-04-02 03:00","2005","04","02","03:00"," ","-4,70","","-4,80","","99,00","","0,00","","0,00","","","","89,14","","","","","","ND"
"2005-04-02 04:00","2005","04","02","04:00"," ","-5,70","","-5,80","","99,00","","0,00","","0,00","","","","89,18","","","","","","ND"
"2005-04-02 05:00","2005","04","02","05:00"," ","-5,80","","-6,40","","96,00","","17,00","","2,00","","","","89,23","","","","-7,00","","ND"
"2005-04-02 06:00","2005","04","02","06:00"," ","-6,60","","-6,70","","99,00","","15,00","","4,00","","","","89,28","","","","-9,00","","ND"
"2005-04-02 07:00","2005","04","02","07:00"," ","-7,10","","-7,60","","96,00","","18,00","","4,00","","","","89,32","","","","-9,00","","ND"
"2005-04-02 08:00","2005","04","02","08:00"," ","-5,60","","-6,30","","95,00","","18,00","","4,00","","","","89,32","","","","-7,00","","ND"
"2005-04-02 09:00","2005","04","02","09:00"," ","-2,30","","-4,00","","88,00","","19,00","","6,00","","","","89,28","","","","-5,00","","ND"
"2005-04-02 10:00","2005","04","02","10:00"," ","-0,60","","-3,50","","81,00","","19,00","","4,00","","","","89,24","","","","-2,00","","ND"
"2005-04-02 11:00","2005","04","02","11:00"," ","1,00","","-5,70","","61,00","","15,00","","6,00","","","","89,22","","","","","","ND"
"2005-04-02 12:00","2005","04","02","12:00"," ","2,90","","-6,30","","51,00","","17,00","","11,00","","","","89,17","","","","","","ND"
"2005-04-02 13:00","2005","04","02","13:00"," ","3,10","","-6,70","","49,00","","18,00","","15,00","","","","89,12","","","","","","ND"
"2005-04-02 14:00","2005","04","02","14:00"," ","3,00","","-7,80","","45,00","","19,00","","9,00","","","","89,13","","","","","","ND"
"2005-04-02 15:00","2005","04","02","15:00"," ","3,20","","-8,70","","41,00","","19,00","","13,00","","","","89,16","","","","","","ND"
"2005-04-02 16:00","2005","04","02","16:00"," ","3,70","","-9,40","","38,00","","18,00","","13,00","","","","89,12","","","","","","ND"
"2005-04-02 17:00","2005","04","02","17:00"," ","3,30","","-9,90","","37,00","","17,00","","17,00","","","","89,12","","","","","","ND"
"2005-04-02 18:00","2005","04","02","18:00"," ","3,00","","-9,40","","40,00","","20,00","","11,00","","","","89,11","","","","","","ND"
"2005-04-02 19:00","2005","04","02","19:00"," ","1,40","","-9,20","","45,00","","19,00","","2,00","","","","89,09","","","","","","ND"
"2005-04-02 20:00","2005","04","02","20:00"," ","-1,60","","-7,30","","65,00","","14,00","","4,00","","","","89,06","","","","-3,00","","ND"
"2005-04-02 21:00","2005","04","02","21:00"," ","-3,20","","-6,90","","76,00","","18,00","","2,00","","","","89,08","","","","-4,00","","ND"
"2005-04-02 22:00","2005","04","02","22:00"," ","-3,40","","-6,80","","77,00","","14,00","","4,00","","","","89,09","","","","-5,00","","ND"
"2005-04-02 23:00","2005","04","02","23:00"," ","-4,20","","-7,00","","81,00","","20,00","","4,00","","","","89,07","","","","-6,00","","ND"
"2005-04-03 00:00","2005","04","03","00:00"," ","-4,60","","-6,60","","86,00","","22,00","","2,00","","","","89,05","","","","-5,00","","ND"
"2005-04-03 01:00","2005","04","03","01:00"," ","-5,20","","-7,10","","86,00","","18,00","","4,00","","","","89,05","","","","-7,00","","ND"
"2005-04-03 02:00","2005","04","03","02:00"," ","-5,80","","-7,00","","91,00","","19,00","","6,00","","","","88,99","","","","-9,00","","ND"
"2005-04-03 03:00","2005","04","03","03:00"," ","-6,40","","-7,40","","93,00","","20,00","","6,00","","","","88,96","","","","-9,00","","ND"
"2005-04-03 04:00","2005","04","03","04:00"," ","-7,00","","-7,80","","94,00","","18,00","","4,00","","","","88,92","","","","-9,00","","ND"
"2005-04-03 05:00","2005","04","03","05:00"," ","-7,70","","-8,10","","97,00","","19,00","","4,00","","","","88,87","","","","-10,00","","ND"
"2005-04-03 06:00","2005","04","03","06:00"," ","-7,80","","-8,30","","96,00","","19,00","","4,00","","","","88,84","","","","-10,00","","ND"
"2005-04-03 07:00","2005","04","03","07:00"," ","-7,90","","-8,40","","96,00","","20,00","","4,00","","","","88,83","","","","-10,00","","ND"
"2005-04-03 08:00","2005","04","03","08:00"," ","-5,40","","-7,20","","87,00","","21,00","","6,00","","","","88,78","","","","-8,00","","ND"
"2005-04-03 09:00","2005","04","03","09:00"," ","-1,80","","-7,10","","67,00","","17,00","","6,00","","","","88,70","","","","-4,00","","ND"
"2005-04-03 10:00","2005","04","03","10:00"," ","-0,20","","-8,80","","52,00","","19,00","","4,00","","","","88,62","","","","-1,00","","ND"
"2005-04-03 11:00","2005","04","03","11:00"," ","4,20","","-7,70","","42,00","","18,00","","4,00","","","","88,54","","","","","","ND"
"2005-04-03 12:00","2005","04","03","12:00"," ","6,20","","-7,50","","37,00","","20,00","","11,00","","","","88,44","","","","","","ND"
"2005-04-03 13:00","2005","04","03","13:00"," ","7,50","","-8,60","","31,00","","18,00","","13,00","","","","88,36","","","","","","ND"
"2005-04-03 14:00","2005","04","03","14:00"," ","8,20","","-8,30","","30,00","","15,00","","11,00","","","","88,29","","","","","","ND"
"2005-04-03 15:00","2005","04","03","15:00"," ","8,40","","-8,40","","29,00","","20,00","","11,00","","","","88,24","","","","","","ND"
"2005-04-03 16:00","2005","04","03","16:00"," ","9,00","","-8,30","","29,00","","16,00","","9,00","","","","88,20","","","","","","ND"
"2005-04-03 17:00","2005","04","03","17:00"," ","8,60","","-7,70","","31,00","","17,00","","11,00","","","","88,20","","","","","","ND"
"2005-04-03 18:00","2005","04","03","18:00"," ","8,10","","-7,60","","32,00","","19,00","","13,00","","","","88,20","","","","","","ND"
"2005-04-03 19:00","2005","04","03","19:00"," ","6,00","","-7,90","","36,00","","19,00","","11,00","","","","88,21","","","","","","ND"
"2005-04-03 20:00","2005","04","03","20:00"," ","4,40","","-8,00","","40,00","","14,00","","6,00","","","","88,23","","","","","","ND"
"2005-04-03 21:00","2005","04","03","21:00"," ","1,90","","-7,60","","49,00","","13,00","","2,00","","","","88,27","","","","","","ND"
"2005-04-03 22:00","2005","04","03","22:00"," ","3,60","","-7,70","","43,00","","20,00","","9,00","","","","88,32","","","","","","ND"
"2005-04-03 23:00","2005","04","03","23:00"," ","-0,80","","-6,60","","65,00","","21,00","","6,00","","","","88,33","","","","-3,00","","ND"
"2005-04-04 00:00","2005","04","04","00:00"," ","-3,10","","-7,30","","73,00","","18,00","","4,00","","","","88,38","","","","-5,00","","ND"
"2005-04-04 01:00","2005","04","04","01:00"," ","-2,40","","-6,30","","75,00","","19,00","","6,00","","","","88,43","","","","-5,00","","ND"
"2005-04-04 02:00","2005","04","04","02:00"," ","-2,20","","-6,10","","75,00","","16,00","","6,00","","","","88,44","","","","-5,00","","ND"
"2005-04-04 03:00","2005","04","04","03:00"," ","-3,60","","-6,50","","80,00","","23,00","","4,00","","","","88,49","","","","-5,00","","ND"
"2005-04-04 04:00","2005","04","04","04:00"," ","-4,70","","-6,60","","87,00","","20,00","","6,00","","","","88,54","","","","-7,00","","ND"
"2005-04-04 05:00","2005","04","04","05:00"," ","-5,40","","-6,80","","90,00","","20,00","","2,00","","","","88,61","","","","-6,00","","ND"
"2005-04-04 06:00","2005","04","04","06:00"," ","-6,10","","-7,10","","93,00","","17,00","","4,00","","","","88,66","","","","-8,00","","ND"
"2005-04-04 07:00","2005","04","04","07:00"," ","-6,10","","-6,70","","96,00","","16,00","","4,00","","","","88,74","","","","-8,00","","ND"
