"Nom de la Station","SALLUIT A"
"Province","QUEBEC"
"Latitude","62,18"
"Longitude","-75,67"
"Altitude","226,50"
"Identification Climat","711GG87"
"Identification OMM",""
"Identification TC","YZG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-04-01 00:00","2012","04","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 01:00","2012","04","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 02:00","2012","04","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 03:00","2012","04","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 04:00","2012","04","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 05:00","2012","04","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 06:00","2012","04","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 07:00","2012","04","01","07:00"," ","-15,40","","-17,20","","86,00","","3,00","","4,00","","6,40","","98,62","","","","-18,00","","Neige,Brouillard"
"2012-04-01 08:00","2012","04","01","08:00"," ","-15,00","","-16,80","","86,00","","0,00","","0,00","","12,90","","98,61","","","","","","Neige"
"2012-04-01 09:00","2012","04","01","09:00"," ","-15,00","","-16,80","","86,00","","0,00","","0,00","","12,90","","98,63","","","","","","Neige"
"2012-04-01 10:00","2012","04","01","10:00"," ","-14,50","","-16,20","","87,00","","0,00","","0,00","","24,10","","98,60","","","","","","Nuageux"
"2012-04-01 11:00","2012","04","01","11:00"," ","-13,90","","-15,50","","88,00","","0,00","","0,00","","24,10","","98,61","","","","","","Généralement nuageux"
"2012-04-01 12:00","2012","04","01","12:00"," ","-13,70","","-15,80","","84,00","","0,00","","0,00","","25,00","","98,61","","","","","","Généralement dégagé"
"2012-04-01 13:00","2012","04","01","13:00"," ","-13,40","","-15,50","","84,00","","0,00","","0,00","","25,00","","98,63","","","","","","Généralement dégagé"
"2012-04-01 14:00","2012","04","01","14:00"," ","-12,60","","-15,00","","82,00","","0,00","","0,00","","25,00","","98,66","","","","","","Généralement dégagé"
"2012-04-01 15:00","2012","04","01","15:00"," ","-13,50","","-16,60","","77,00","","0,00","","0,00","","25,00","","98,71","","","","","","Généralement dégagé"
"2012-04-01 16:00","2012","04","01","16:00"," ","-12,50","","-15,40","","79,00","","0,00","","0,00","","25,00","","98,73","","","","","","Généralement nuageux"
"2012-04-01 17:00","2012","04","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 18:00","2012","04","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 19:00","2012","04","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 20:00","2012","04","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 21:00","2012","04","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 22:00","2012","04","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-01 23:00","2012","04","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 00:00","2012","04","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 01:00","2012","04","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 02:00","2012","04","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 03:00","2012","04","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 04:00","2012","04","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 05:00","2012","04","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 06:00","2012","04","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-04-02 07:00","2012","04","02","07:00"," ","-19,30","","-20,80","","88,00","","0,00","","0,00","","25,00","","99,30","","","","","","Dégagé"
"2012-04-02 08:00","2012","04","02","08:00"," ","-17,40","","-18,80","","89,00","","0,00","","0,00","","25,00","","99,32","","","","","","Généralement dégagé"
"2012-04-02 09:00","2012","04","02","09:00"," ","-18,30","","-19,70","","89,00","","0,00","","0,00","","25,00","","99,33","","","","","","Généralement dégagé"
"2012-04-02 10:00","2012","04","02","10:00"," ","-16,30","","-18,80","","81,00","","0,00","","0,00","","25,00","","99,33","","","","","","Généralement dégagé"
"2012-04-02 11:00","2012","04","02","11:00"," ","-15,60","","-18,00","","82,00","","0,00","","0,00","","25,00","","99,31","","","","","","Dégagé"
"2012-04-02 12:00","2012","04","02","12:00"," ","-15,00","","-17,30","","83,00","","0,00","","0,00","","24,10","","99,35","","","","","","Neige"
"2012-04-02 13:00","2012","04","02","13:00"," ","-13,90","","-16,00","","84,00","","0,00","","0,00","","24,10","","99,34","","","","","","Neige"
"2012-04-02 14:00","2012","04","02","14:00"," ","-14,00","","-16,20","","83,00","","0,00","","0,00","","19,30","","99,41","","","","","","Neige"
