"Nom de la Station","ST ANTHONY A"
"Province","NEWFOUNDLAND"
"Latitude","51,38"
"Longitude","-56,10"
"Altitude","32,90"
"Identification Climat","840C401"
"Identification OMM","71819"
"Identification TC","YAY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1993-09-01 00:00","1993","09","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 01:00","1993","09","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 02:00","1993","09","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 03:00","1993","09","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 04:00","1993","09","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 05:00","1993","09","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 05:30","1993","09","01","05:30"," ","5,60","","3,20","","85,00","","17,00","","6,00","","16,10","","100,59","","","","","","Pluie"
"1993-09-01 06:00","1993","09","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 06:30","1993","09","01","06:30"," ","6,00","","3,70","","85,00","","15,00","","7,00","","16,10","","100,56","","","","","","Pluie"
"1993-09-01 07:00","1993","09","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 07:30","1993","09","01","07:30"," ","6,70","","3,30","","79,00","","12,00","","7,00","","16,10","","100,52","","","","","","Pluie"
"1993-09-01 08:00","1993","09","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 08:30","1993","09","01","08:30"," ","7,20","","4,40","","82,00","","14,00","","13,00","","16,10","","100,45","","","","","","Pluie"
"1993-09-01 09:00","1993","09","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 09:30","1993","09","01","09:30"," ","7,20","","5,20","","87,00","","13,00","","13,00","","4,80","","100,39","","","","","","Pluie,Brouillard"
"1993-09-01 10:00","1993","09","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 10:30","1993","09","01","10:30"," ","7,20","","5,10","","86,00","","13,00","","19,00","","12,90","","100,32","","","","","","Nuageux"
"1993-09-01 11:00","1993","09","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 11:30","1993","09","01","11:30"," ","6,30","","5,40","","94,00","","13,00","","13,00","","6,40","","100,25","","","","","","Pluie,Brouillard"
"1993-09-01 12:00","1993","09","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 12:30","1993","09","01","12:30"," ","8,00","","5,70","","86,00","","10,00","","6,00","","11,30","","100,25","","","","","","Nuageux"
"1993-09-01 13:00","1993","09","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 13:30","1993","09","01","13:30"," ","8,20","","6,10","","87,00","","0,00","","0,00","","8,00","","100,29","","","","","","Bruine,Brouillard"
"1993-09-01 14:00","1993","09","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 14:30","1993","09","01","14:30"," ","8,50","","6,10","","85,00","","35,00","","13,00","","16,10","","100,32","","","","","","Bruine"
"1993-09-01 15:00","1993","09","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 15:30","1993","09","01","15:30"," ","8,30","","6,10","","86,00","","34,00","","6,00","","16,10","","100,32","","","","","","Nuageux"
"1993-09-01 16:00","1993","09","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 16:30","1993","09","01","16:30"," ","9,10","","6,50","","84,00","","32,00","","9,00","","16,10","","100,42","","","","","","Nuageux"
"1993-09-01 17:00","1993","09","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1993-09-01 17:30","1993","09","01","17:30"," ","9,80","","7,20","","84,00","","29,00","","9,00","","24,10","","100,45","","","","","","Généralement dégagé"
