"Nom de la Station","PANGNIRTUNG"
"Province","NUNAVUT"
"Latitude","66,14"
"Longitude","-65,71"
"Altitude","22,60"
"Identification Climat","2403049"
"Identification OMM","71826"
"Identification TC","WXP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1996-02-01 00:00","1996","02","01","00:00"," ","-13,80","","-21,40","","53,00","","7,00","","30,00","","","M","","M","","","-24,00","","ND"
"1996-02-01 01:00","1996","02","01","01:00"," ","-13,40","","-21,00","","53,00","","7,00","","24,00","","","M","","M","","","-23,00","","ND"
"1996-02-01 02:00","1996","02","01","02:00"," ","-14,10","","-21,60","","53,00","","7,00","","30,00","","","M","","M","","","-25,00","","ND"
"1996-02-01 03:00","1996","02","01","03:00"," ","-13,90","","-21,50","","53,00","","7,00","","32,00","","","M","","M","","","-25,00","","ND"
"1996-02-01 04:00","1996","02","01","04:00"," ","-14,20","","-21,80","","53,00","","6,00","","30,00","","","M","","M","","","-25,00","","ND"
"1996-02-01 05:00","1996","02","01","05:00"," ","-14,30","","-22,30","","51,00","","7,00","","32,00","","","M","","M","","","-25,00","","ND"
"1996-02-01 06:00","1996","02","01","06:00"," ","-14,90","","-22,60","","52,00","","7,00","","32,00","","","M","","M","","","-26,00","","ND"
"1996-02-01 07:00","1996","02","01","07:00"," ","-14,60","","-22,40","","51,00","","7,00","","28,00","","","M","","M","","","-25,00","","ND"
"1996-02-01 08:00","1996","02","01","08:00"," ","-14,00","","-22,00","","51,00","","7,00","","26,00","","","M","","M","","","-24,00","","ND"
"1996-02-01 09:00","1996","02","01","09:00"," ","-14,30","","-22,30","","51,00","","7,00","","24,00","","","M","","M","","","-24,00","","ND"
