"Nom de la Station","TROIS-RIVIERES"
"Province","QUEBEC"
"Latitude","46,35"
"Longitude","-72,52"
"Altitude","6,00"
"Identification Climat","7018562"
"Identification OMM","71724"
"Identification TC","WTY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-02-01 00:00","2012","02","01","00:00"," ","-6,60","","-8,30","","88,00","","6,00","","26,00","","","","101,33","","","","-15,00","","ND"
"2012-02-01 01:00","2012","02","01","01:00"," ","-6,60","","-8,40","","87,00","","5,00","","26,00","","","","101,24","","","","-15,00","","ND"
"2012-02-01 02:00","2012","02","01","02:00"," ","-6,50","","-8,20","","88,00","","5,00","","28,00","","","","101,17","","","","-15,00","","ND"
"2012-02-01 03:00","2012","02","01","03:00"," ","-6,50","","-8,00","","89,00","","5,00","","28,00","","","","101,08","","","","-15,00","","ND"
"2012-02-01 04:00","2012","02","01","04:00"," ","-6,40","","-7,90","","89,00","","6,00","","26,00","","","","100,98","","","","-14,00","","ND"
"2012-02-01 05:00","2012","02","01","05:00"," ","-6,30","","-7,80","","89,00","","6,00","","26,00","","","","100,86","","","","-14,00","","ND"
"2012-02-01 06:00","2012","02","01","06:00"," ","-6,20","","-7,70","","89,00","","6,00","","19,00","","","","100,78","","","","-13,00","","ND"
"2012-02-01 07:00","2012","02","01","07:00"," ","-6,10","","-7,80","","88,00","","6,00","","15,00","","","","100,77","","","","-12,00","","ND"
"2012-02-01 08:00","2012","02","01","08:00"," ","-6,10","","-7,90","","87,00","","6,00","","19,00","","","","100,75","","","","-13,00","","ND"
"2012-02-01 09:00","2012","02","01","09:00"," ","-6,10","","-8,00","","86,00","","6,00","","17,00","","","","100,77","","","","-12,00","","ND"
"2012-02-01 10:00","2012","02","01","10:00"," ","-6,00","","-7,90","","86,00","","6,00","","19,00","","","","100,76","","","","-13,00","","ND"
"2012-02-01 11:00","2012","02","01","11:00"," ","-5,80","","-7,90","","85,00","","6,00","","19,00","","","","100,75","","","","-12,00","","ND"
"2012-02-01 12:00","2012","02","01","12:00"," ","-5,60","","-7,80","","84,00","","6,00","","17,00","","","","100,71","","","","-12,00","","ND"
"2012-02-01 13:00","2012","02","01","13:00"," ","-5,60","","-7,50","","86,00","","6,00","","17,00","","","","100,70","","","","-12,00","","ND"
"2012-02-01 14:00","2012","02","01","14:00"," ","-6,00","","-7,50","","89,00","","6,00","","19,00","","","","100,72","","","","-13,00","","ND"
"2012-02-01 15:00","2012","02","01","15:00"," ","-6,20","","-7,70","","89,00","","6,00","","19,00","","","","100,78","","","","-13,00","","ND"
"2012-02-01 16:00","2012","02","01","16:00"," ","-5,90","","-7,30","","90,00","","6,00","","13,00","","","","100,85","","","","-11,00","","ND"
"2012-02-01 17:00","2012","02","01","17:00"," ","-6,00","","-7,80","","87,00","","6,00","","13,00","","","","100,92","","","","-11,00","","ND"
"2012-02-01 18:00","2012","02","01","18:00"," ","-6,40","","-8,10","","88,00","","1,00","","7,00","","","","101,10","","","","-10,00","","ND"
"2012-02-01 19:00","2012","02","01","19:00"," ","-6,40","","-7,90","","89,00","","2,00","","6,00","","","","101,19","","","","-9,00","","ND"
"2012-02-01 20:00","2012","02","01","20:00"," ","-6,10","","-7,70","","88,00","","3,00","","6,00","","","","101,28","","","","-9,00","","ND"
"2012-02-01 21:00","2012","02","01","21:00"," ","-6,10","","-7,90","","87,00","","1,00","","6,00","","","","101,39","","","","-9,00","","ND"
"2012-02-01 22:00","2012","02","01","22:00"," ","-6,50","","-8,00","","89,00","","36,00","","7,00","","","","101,48","","","","-10,00","","ND"
"2012-02-01 23:00","2012","02","01","23:00"," ","-6,50","","-8,20","","88,00","","2,00","","7,00","","","","101,56","","","","-10,00","","ND"
"2012-02-02 00:00","2012","02","02","00:00"," ","-6,40","","-8,20","","87,00","","1,00","","6,00","","","","101,66","","","","-9,00","","ND"
"2012-02-02 01:00","2012","02","02","01:00"," ","-6,60","","-8,50","","86,00","","35,00","","7,00","","","","101,72","","","","-10,00","","ND"
"2012-02-02 02:00","2012","02","02","02:00"," ","-7,30","","-9,90","","82,00","","32,00","","9,00","","","","101,81","","","","-12,00","","ND"
"2012-02-02 03:00","2012","02","02","03:00"," ","-8,00","","-10,80","","80,00","","34,00","","6,00","","","","101,89","","","","-11,00","","ND"
"2012-02-02 04:00","2012","02","02","04:00"," ","-8,90","","-12,10","","78,00","","32,00","","9,00","","","","101,94","","","","-14,00","","ND"
"2012-02-02 05:00","2012","02","02","05:00"," ","-10,00","","-13,30","","77,00","","31,00","","7,00","","","","102,05","","","","-14,00","","ND"
"2012-02-02 06:00","2012","02","02","06:00"," ","-11,30","","-14,20","","79,00","","32,00","","7,00","","","","102,06","","","","-16,00","","ND"
"2012-02-02 07:00","2012","02","02","07:00"," ","-11,90","","-14,80","","79,00","","32,00","","9,00","","","","102,13","","","","-17,00","","ND"
"2012-02-02 08:00","2012","02","02","08:00"," ","-12,60","","-15,80","","77,00","","1,00","","6,00","","","","102,14","","","","-17,00","","ND"
"2012-02-02 09:00","2012","02","02","09:00"," ","-12,10","","-15,40","","76,00","","36,00","","9,00","","","","102,18","","","","-17,00","","ND"
"2012-02-02 10:00","2012","02","02","10:00"," ","-10,80","","-14,10","","77,00","","1,00","","6,00","","","","102,22","","","","-14,00","","ND"
"2012-02-02 11:00","2012","02","02","11:00"," ","-9,10","","-12,70","","75,00","","1,00","","4,00","","","","102,27","","","","-11,00","","ND"
"2012-02-02 12:00","2012","02","02","12:00"," ","-8,10","","-11,90","","74,00","","3,00","","6,00","","","","102,25","","","","-11,00","","ND"
"2012-02-02 13:00","2012","02","02","13:00"," ","-6,80","","-11,20","","71,00","","3,00","","6,00","","","","102,22","","","","-10,00","","ND"
"2012-02-02 14:00","2012","02","02","14:00"," ","-6,30","","-10,90","","70,00","","7,00","","7,00","","","","102,21","","","","-10,00","","ND"
"2012-02-02 15:00","2012","02","02","15:00"," ","-6,10","","-11,50","","66,00","","1,00","","7,00","","","","102,24","","","","-9,00","","ND"
"2012-02-02 16:00","2012","02","02","16:00"," ","-6,20","","-10,70","","70,00","","33,00","","9,00","","","","102,29","","","","-10,00","","ND"
"2012-02-02 17:00","2012","02","02","17:00"," ","-7,10","","-11,60","","70,00","","32,00","","7,00","","","","102,35","","","","-11,00","","ND"
"2012-02-02 18:00","2012","02","02","18:00"," ","-6,80","","-11,10","","71,00","","4,00","","4,00","","","","102,42","","","","-9,00","","ND"
"2012-02-02 19:00","2012","02","02","19:00"," ","-8,40","","-11,50","","78,00","","32,00","","2,00","","","","102,46","","","","-9,00","","ND"
"2012-02-02 20:00","2012","02","02","20:00"," ","-10,80","","-12,90","","84,00","","29,00","","7,00","","","","102,51","","","","-15,00","","ND"
"2012-02-02 21:00","2012","02","02","21:00"," ","-11,60","","-13,00","","89,00","","29,00","","7,00","","","","102,55","","","","-16,00","","ND"
"2012-02-02 22:00","2012","02","02","22:00"," ","-12,20","","-13,70","","89,00","","29,00","","9,00","","","","102,59","","","","-17,00","","ND"
"2012-02-02 23:00","2012","02","02","23:00"," ","-11,10","","-12,40","","90,00","","25,00","","4,00","","","","102,60","","","","-14,00","","ND"
"2012-02-03 00:00","2012","02","03","00:00"," ","-11,80","","-13,20","","89,00","","26,00","","4,00","","","","102,62","","","","-14,00","","ND"
"2012-02-03 01:00","2012","02","03","01:00"," ","-13,00","","-14,60","","88,00","","29,00","","6,00","","","","102,65","","","","-17,00","","ND"
"2012-02-03 02:00","2012","02","03","02:00"," ","-14,00","","-15,70","","87,00","","23,00","","6,00","","","","102,69","","","","-18,00","","ND"
"2012-02-03 03:00","2012","02","03","03:00"," ","-15,00","","-16,90","","85,00","","24,00","","6,00","","","","102,71","","","","-19,00","","ND"
