"Nom de la Station","ROSETOWN EAST"
"Province","SASKATCHEWAN"
"Latitude","51,57"
"Longitude","-107,92"
"Altitude","586,00"
"Identification Climat","4046884"
"Identification OMM","71510"
"Identification TC","WRJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-12-01 00:00","2006","12","01","00:00"," ","-9,10","","-13,00","","73,00","","29,00","","30,00","","","","93,91","","","","-18,00","","ND"
"2006-12-01 01:00","2006","12","01","01:00"," ","-10,40","","-13,90","","75,00","","30,00","","26,00","","","","93,99","","","","-19,00","","ND"
"2006-12-01 02:00","2006","12","01","02:00"," ","-11,10","","-15,00","","73,00","","31,00","","26,00","","","","94,05","","","","-20,00","","ND"
"2006-12-01 03:00","2006","12","01","03:00"," ","-11,10","","-14,60","","75,00","","30,00","","30,00","","","","94,09","","","","-21,00","","ND"
"2006-12-01 04:00","2006","12","01","04:00"," ","-11,10","","-14,40","","77,00","","31,00","","32,00","","","","94,19","","","","-21,00","","ND"
"2006-12-01 05:00","2006","12","01","05:00"," ","-11,90","","-15,30","","76,00","","31,00","","37,00","","","","94,23","","","","-23,00","","ND"
"2006-12-01 06:00","2006","12","01","06:00"," ","-13,10","","-16,50","","76,00","","32,00","","35,00","","","","94,34","","","","-24,00","","ND"
"2006-12-01 07:00","2006","12","01","07:00"," ","-13,80","","-17,00","","77,00","","33,00","","32,00","","","","94,43","","","","-25,00","","ND"
"2006-12-01 08:00","2006","12","01","08:00"," ","-14,20","","-17,40","","77,00","","32,00","","32,00","","","","94,49","","","","-25,00","","ND"
"2006-12-01 09:00","2006","12","01","09:00"," ","-14,70","","-17,90","","77,00","","32,00","","39,00","","","","94,61","","","","-27,00","","ND"
"2006-12-01 10:00","2006","12","01","10:00"," ","-15,20","","-18,50","","76,00","","32,00","","35,00","","","","94,72","","","","-27,00","","ND"
"2006-12-01 11:00","2006","12","01","11:00"," ","-15,10","","-18,40","","76,00","","32,00","","39,00","","","","94,85","","","","-27,00","","ND"
"2006-12-01 12:00","2006","12","01","12:00"," ","-15,40","","-18,80","","75,00","","32,00","","39,00","","","","94,92","","","","-28,00","","ND"
"2006-12-01 13:00","2006","12","01","13:00"," ","-15,60","","-19,20","","74,00","","32,00","","33,00","","","","94,99","","","","-27,00","","ND"
"2006-12-01 14:00","2006","12","01","14:00"," ","-15,40","","-19,00","","74,00","","32,00","","39,00","","","","95,07","","","","-28,00","","ND"
"2006-12-01 15:00","2006","12","01","15:00"," ","-15,90","","-19,50","","74,00","","31,00","","26,00","","","","95,19","","","","-27,00","","ND"
"2006-12-01 16:00","2006","12","01","16:00"," ","-16,90","","-20,10","","76,00","","32,00","","41,00","","","","95,20","","","","-30,00","","ND"
"2006-12-01 17:00","2006","12","01","17:00"," ","-17,20","","-20,80","","74,00","","31,00","","33,00","","","","95,38","","","","-29,00","","ND"
"2006-12-01 18:00","2006","12","01","18:00"," ","-17,50","","-21,30","","72,00","","31,00","","33,00","","","","95,51","","","","-30,00","","ND"
"2006-12-01 19:00","2006","12","01","19:00"," ","-17,60","","-21,50","","72,00","","31,00","","22,00","","","","95,65","","","","-28,00","","ND"
"2006-12-01 20:00","2006","12","01","20:00"," ","-17,70","","-21,60","","72,00","","30,00","","19,00","","","","95,79","","","","-27,00","","ND"
"2006-12-01 21:00","2006","12","01","21:00"," ","-17,80","","-21,80","","71,00","","32,00","","22,00","","","","95,83","","","","-28,00","","ND"
"2006-12-01 22:00","2006","12","01","22:00"," ","-18,30","","-22,30","","71,00","","32,00","","32,00","","","","95,86","","","","-31,00","","ND"
"2006-12-01 23:00","2006","12","01","23:00"," ","-18,40","","-22,30","","71,00","","33,00","","28,00","","","","95,94","","","","-30,00","","ND"
"2006-12-02 00:00","2006","12","02","00:00"," ","-18,80","","-22,70","","71,00","","33,00","","22,00","","","","96,00","","","","-29,00","","ND"
"2006-12-02 01:00","2006","12","02","01:00"," ","-18,70","","-22,50","","72,00","","32,00","","20,00","","","","96,09","","","","-29,00","","ND"
"2006-12-02 02:00","2006","12","02","02:00"," ","-20,00","","-24,10","","70,00","","32,00","","15,00","","","","96,18","","","","-29,00","","ND"
"2006-12-02 03:00","2006","12","02","03:00"," ","-21,70","","-25,70","","70,00","","30,00","","17,00","","","","96,30","","","","-32,00","","ND"
"2006-12-02 04:00","2006","12","02","04:00"," ","-22,70","","-26,40","","72,00","","33,00","","17,00","","","","96,35","","","","-33,00","","ND"
"2006-12-02 05:00","2006","12","02","05:00"," ","-23,50","","-27,50","","70,00","","32,00","","17,00","","","","96,39","","","","-34,00","","ND"
"2006-12-02 06:00","2006","12","02","06:00"," ","-24,30","","-28,50","","68,00","","31,00","","15,00","","","","96,47","","","","-34,00","","ND"
"2006-12-02 07:00","2006","12","02","07:00"," ","-24,90","","-29,00","","69,00","","32,00","","11,00","","","","96,57","","","","-34,00","","ND"
"2006-12-02 08:00","2006","12","02","08:00"," ","-25,10","","-29,20","","69,00","","30,00","","13,00","","","","96,61","","","","-35,00","","ND"
"2006-12-02 09:00","2006","12","02","09:00"," ","-24,50","","-28,20","","71,00","","29,00","","9,00","","","","96,71","","","","-32,00","","ND"
"2006-12-02 10:00","2006","12","02","10:00"," ","-24,10","","-28,70","","66,00","","33,00","","13,00","","","","96,79","","","","-33,00","","ND"
"2006-12-02 11:00","2006","12","02","11:00"," ","-24,30","","-29,10","","64,00","","34,00","","13,00","","","","96,81","","","","-34,00","","ND"
"2006-12-02 12:00","2006","12","02","12:00"," ","-24,00","","-29,20","","62,00","","35,00","","6,00","","","","96,88","","","","-30,00","","ND"
"2006-12-02 13:00","2006","12","02","13:00"," ","-23,40","","-28,70","","62,00","","32,00","","4,00","","","","96,82","","","","-27,00","","ND"
"2006-12-02 14:00","2006","12","02","14:00"," ","-22,90","","-28,30","","61,00","","27,00","","6,00","","","","96,86","","","","-28,00","","ND"
"2006-12-02 15:00","2006","12","02","15:00"," ","-22,50","","-27,90","","61,00","","27,00","","6,00","","","","96,83","","","","-28,00","","ND"
"2006-12-02 16:00","2006","12","02","16:00"," ","-22,90","","-28,00","","63,00","","26,00","","9,00","","","","96,82","","","","-30,00","","ND"
"2006-12-02 17:00","2006","12","02","17:00"," ","-24,30","","-28,80","","66,00","","26,00","","6,00","","","","96,84","","","","-30,00","","ND"
"2006-12-02 18:00","2006","12","02","18:00"," ","-26,50","","-30,60","","68,00","","21,00","","6,00","","","","96,76","","","","-32,00","","ND"
"2006-12-02 19:00","2006","12","02","19:00"," ","-26,70","","-30,60","","70,00","","20,00","","15,00","","","","96,73","","","","-37,00","","ND"
"2006-12-02 20:00","2006","12","02","20:00"," ","-26,40","","-30,30","","70,00","","21,00","","11,00","","","","96,68","","","","-35,00","","ND"
"2006-12-02 21:00","2006","12","02","21:00"," ","-26,80","","-30,60","","70,00","","21,00","","7,00","","","","96,58","","","","-34,00","","ND"
"2006-12-02 22:00","2006","12","02","22:00"," ","-26,70","","-30,30","","72,00","","18,00","","9,00","","","","96,43","","","","-35,00","","ND"
"2006-12-02 23:00","2006","12","02","23:00"," ","-26,00","","-29,60","","72,00","","20,00","","15,00","","","","96,33","","","","-36,00","","ND"
"2006-12-03 00:00","2006","12","03","00:00"," ","-25,50","","-29,10","","72,00","","20,00","","6,00","","","","96,25","","","","-31,00","","ND"
"2006-12-03 01:00","2006","12","03","01:00"," ","-24,40","","-27,90","","73,00","","19,00","","9,00","","","","96,12","","","","-32,00","","ND"
"2006-12-03 02:00","2006","12","03","02:00"," ","-23,80","","-27,30","","73,00","","14,00","","9,00","","","","95,95","","","","-31,00","","ND"
"2006-12-03 03:00","2006","12","03","03:00"," ","-23,80","","-27,20","","73,00","","14,00","","7,00","","","","95,74","","","","-30,00","","ND"
"2006-12-03 04:00","2006","12","03","04:00"," ","-22,00","","-25,50","","73,00","","15,00","","9,00","","","","95,58","","","","-29,00","","ND"
"2006-12-03 05:00","2006","12","03","05:00"," ","-19,40","","-22,60","","76,00","","14,00","","7,00","","","","95,38","","","","-25,00","","ND"
"2006-12-03 06:00","2006","12","03","06:00"," ","-16,10","","-20,10","","71,00","","19,00","","13,00","","","","95,26","","","","-24,00","","ND"
"2006-12-03 07:00","2006","12","03","07:00"," ","-14,60","","-18,10","","75,00","","20,00","","17,00","","","","95,08","","","","-23,00","","ND"
"2006-12-03 08:00","2006","12","03","08:00"," ","-12,70","","-15,70","","78,00","","22,00","","15,00","","","","94,95","","","","-20,00","","ND"
"2006-12-03 09:00","2006","12","03","09:00"," ","-12,00","","-14,80","","80,00","","26,00","","26,00","","","","94,89","","","","-22,00","","ND"
"2006-12-03 10:00","2006","12","03","10:00"," ","-9,00","","-11,30","","83,00","","29,00","","20,00","","","","94,93","","","","-17,00","","ND"
"2006-12-03 11:00","2006","12","03","11:00"," ","-6,70","","-9,00","","84,00","","31,00","","41,00","","","","94,96","","","","-16,00","","ND"
"2006-12-03 12:00","2006","12","03","12:00"," ","-6,60","","-9,20","","82,00","","31,00","","41,00","","","","95,05","","","","-16,00","","ND"
"2006-12-03 13:00","2006","12","03","13:00"," ","-7,30","","-10,30","","79,00","","32,00","","43,00","","","","95,04","","","","-17,00","","ND"
"2006-12-03 14:00","2006","12","03","14:00"," ","-7,90","","-10,90","","79,00","","31,00","","41,00","","","","95,06","","","","-18,00","","ND"
"2006-12-03 15:00","2006","12","03","15:00"," ","-8,10","","-10,90","","80,00","","32,00","","41,00","","","","95,11","","","","-18,00","","ND"
"2006-12-03 16:00","2006","12","03","16:00"," ","-8,60","","-12,00","","76,00","","31,00","","44,00","","","","95,24","","","","-19,00","","ND"
"2006-12-03 17:00","2006","12","03","17:00"," ","-10,10","","-13,10","","79,00","","32,00","","32,00","","","","95,34","","","","-20,00","","ND"
"2006-12-03 18:00","2006","12","03","18:00"," ","-10,60","","-14,10","","75,00","","31,00","","22,00","","","","95,45","","","","-19,00","","ND"
"2006-12-03 19:00","2006","12","03","19:00"," ","-12,20","","-15,80","","74,00","","31,00","","17,00","","","","95,49","","","","-20,00","","ND"
"2006-12-03 20:00","2006","12","03","20:00"," ","-14,10","","-18,30","","70,00","","27,00","","15,00","","","","95,59","","","","-22,00","","ND"
"2006-12-03 21:00","2006","12","03","21:00"," ","-15,20","","-18,30","","77,00","","28,00","","9,00","","","","95,57","","","","-21,00","","ND"
