"Nom de la Station","SUMMERSIDE"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46,44"
"Longitude","-63,84"
"Altitude","12,20"
"Identification Climat","8300596"
"Identification OMM","71702"
"Identification TC","WSD"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2002-06-01 00:00","2002","06","01","00:00"," ","17,40","","15,00","","86,00","","15,00","","24,00","","","M","99,28","","","","","","ND"
"2002-06-01 01:00","2002","06","01","01:00"," ","16,80","","14,40","","86,00","","16,00","","20,00","","","M","99,16","","","","","","ND"
"2002-06-01 02:00","2002","06","01","02:00"," ","16,80","","14,50","","86,00","","18,00","","24,00","","","M","99,15","","","","","","ND"
"2002-06-01 03:00","2002","06","01","03:00"," ","16,80","","14,40","","86,00","","19,00","","37,00","","","M","99,07","","","","","","ND"
"2002-06-01 04:00","2002","06","01","04:00"," ","15,80","","13,40","","86,00","","19,00","","37,00","","","M","99,00","","","","","","ND"
"2002-06-01 05:00","2002","06","01","05:00"," ","14,00","","11,90","","87,00","","20,00","","32,00","","","M","99,01","","","","","","ND"
"2002-06-01 06:00","2002","06","01","06:00"," ","13,90","","11,80","","87,00","","19,00","","28,00","","","M","99,02","","","","","","ND"
"2002-06-01 07:00","2002","06","01","07:00"," ","13,70","","11,60","","87,00","","19,00","","28,00","","","M","99,05","","","","","","ND"
"2002-06-01 08:00","2002","06","01","08:00"," ","14,30","","12,00","","86,00","","19,00","","28,00","","","M","99,04","","","","","","ND"
"2002-06-01 09:00","2002","06","01","09:00"," ","15,40","","12,70","","84,00","","19,00","","30,00","","","M","99,02","","","","","","ND"
"2002-06-01 10:00","2002","06","01","10:00"," ","16,80","","13,40","","80,00","","18,00","","28,00","","","M","98,99","","","","","","ND"
"2002-06-01 11:00","2002","06","01","11:00"," ","18,60","","14,20","","76,00","","18,00","","28,00","","","M","98,98","","","","","","ND"
"2002-06-01 12:00","2002","06","01","12:00"," ","20,60","","14,80","","69,00","","18,00","","30,00","","","M","98,93","","","","","","ND"
"2002-06-01 13:00","2002","06","01","13:00"," ","20,70","","14,40","","67,00","","19,00","","32,00","","","M","98,87","","","","","","ND"
"2002-06-01 14:00","2002","06","01","14:00"," ","20,70","","14,20","","66,00","","19,00","","33,00","","","M","98,80","","","","","","ND"
"2002-06-01 15:00","2002","06","01","15:00"," ","19,50","","13,00","","66,00","","19,00","","30,00","","","M","98,73","","","","","","ND"
"2002-06-01 16:00","2002","06","01","16:00"," ","20,40","","13,90","","66,00","","19,00","","17,00","","","M","98,71","","","","","","ND"
"2002-06-01 17:00","2002","06","01","17:00"," ","18,80","","12,10","","65,00","","20,00","","33,00","","","M","98,74","","","","","","ND"
"2002-06-01 18:00","2002","06","01","18:00"," ","19,00","","10,50","","58,00","","23,00","","19,00","","","M","98,80","","","","","","ND"
"2002-06-01 19:00","2002","06","01","19:00"," ","15,20","","12,10","","82,00","","24,00","","32,00","","","M","99,02","","","","","","ND"
"2002-06-01 20:00","2002","06","01","20:00"," ","15,20","","12,00","","81,00","","20,00","","26,00","","","M","98,92","","","","","","ND"
"2002-06-01 21:00","2002","06","01","21:00"," ","15,10","","12,10","","82,00","","19,00","","24,00","","","M","98,92","","","","","","ND"
"2002-06-01 22:00","2002","06","01","22:00"," ","14,30","","11,70","","84,00","","19,00","","30,00","","","M","98,95","","","","","","ND"
"2002-06-01 23:00","2002","06","01","23:00"," ","14,90","","11,90","","82,00","","21,00","","28,00","","","M","98,92","","","","","","ND"
"2002-06-02 00:00","2002","06","02","00:00"," ","13,50","","11,00","","85,00","","20,00","","26,00","","","M","98,97","","","","","","ND"
"2002-06-02 01:00","2002","06","02","01:00"," ","13,80","","11,00","","83,00","","22,00","","22,00","","","M","99,02","","","","","","ND"
"2002-06-02 02:00","2002","06","02","02:00"," ","13,00","","10,50","","85,00","","21,00","","17,00","","","M","99,02","","","","","","ND"
"2002-06-02 03:00","2002","06","02","03:00"," ","12,90","","10,20","","84,00","","21,00","","20,00","","","M","99,02","","","","","","ND"
"2002-06-02 04:00","2002","06","02","04:00"," ","12,00","","9,50","","85,00","","21,00","","17,00","","","M","99,07","","","","","","ND"
"2002-06-02 05:00","2002","06","02","05:00"," ","11,70","","9,20","","85,00","","21,00","","19,00","","","M","99,08","","","","","","ND"
"2002-06-02 06:00","2002","06","02","06:00"," ","12,50","","9,50","","82,00","","22,00","","24,00","","","M","99,17","","","","","","ND"
"2002-06-02 07:00","2002","06","02","07:00"," ","13,10","","8,70","","75,00","","23,00","","22,00","","","M","99,20","","","","","","ND"
"2002-06-02 08:00","2002","06","02","08:00"," ","12,40","","9,00","","80,00","","22,00","","13,00","","","M","99,22","","","","","","ND"
"2002-06-02 09:00","2002","06","02","09:00"," ","12,80","","9,20","","79,00","","20,00","","19,00","","","M","99,21","","","","","","ND"
"2002-06-02 10:00","2002","06","02","10:00"," ","13,60","","9,20","","75,00","","19,00","","20,00","","","M","99,18","","","","","","ND"
"2002-06-02 11:00","2002","06","02","11:00"," ","15,30","","9,90","","70,00","","17,00","","20,00","","","M","99,07","","","","","","ND"
"2002-06-02 12:00","2002","06","02","12:00"," ","16,10","","10,60","","70,00","","17,00","","20,00","","","M","98,99","","","","","","ND"
"2002-06-02 13:00","2002","06","02","13:00"," ","16,20","","10,60","","69,00","","17,00","","20,00","","","M","98,94","","","","","","ND"
"2002-06-02 14:00","2002","06","02","14:00"," ","17,00","","11,50","","70,00","","18,00","","20,00","","","M","98,86","","","","","","ND"
"2002-06-02 15:00","2002","06","02","15:00"," ","16,70","","11,80","","73,00","","20,00","","24,00","","","M","98,83","","","","","","ND"
"2002-06-02 16:00","2002","06","02","16:00"," ","15,10","","11,00","","76,00","","20,00","","22,00","","","M","98,84","","","","","","ND"
"2002-06-02 17:00","2002","06","02","17:00"," ","9,80","","7,50","","86,00","","35,00","","30,00","","","M","99,04","","","","","","ND"
"2002-06-02 18:00","2002","06","02","18:00"," ","9,30","","7,10","","86,00","","35,00","","15,00","","","M","99,16","","","","","","ND"
"2002-06-02 19:00","2002","06","02","19:00"," ","9,70","","7,30","","85,00","","33,00","","6,00","","","M","99,28","","","","","","ND"
"2002-06-02 20:00","2002","06","02","20:00"," ","9,50","","7,40","","87,00","","0,00","","0,00","","","M","99,35","","","","","","ND"
"2002-06-02 21:00","2002","06","02","21:00"," ","9,30","","6,10","","80,00","","30,00","","19,00","","","M","99,45","","","","","","ND"
"2002-06-02 22:00","2002","06","02","22:00"," ","8,60","","4,70","","76,00","","29,00","","11,00","","","M","99,51","","","","","","ND"
"2002-06-02 23:00","2002","06","02","23:00"," ","8,30","","4,50","","77,00","","27,00","","6,00","","","M","99,54","","","","","","ND"
"2002-06-03 00:00","2002","06","03","00:00"," ","7,80","","3,90","","76,00","","26,00","","7,00","","","M","99,56","","","","","","ND"
"2002-06-03 01:00","2002","06","03","01:00"," ","6,70","","3,20","","78,00","","27,00","","9,00","","","M","99,56","","","","","","ND"
"2002-06-03 02:00","2002","06","03","02:00"," ","6,90","","3,70","","80,00","","25,00","","9,00","","","M","99,59","","","","","","ND"
"2002-06-03 03:00","2002","06","03","03:00"," ","7,80","","4,10","","77,00","","26,00","","15,00","","","M","99,64","","","","","","ND"
"2002-06-03 04:00","2002","06","03","04:00"," ","7,60","","3,90","","77,00","","27,00","","17,00","","","M","99,69","","","","","","ND"
"2002-06-03 05:00","2002","06","03","05:00"," ","7,30","","3,70","","78,00","","27,00","","17,00","","","M","99,74","","","","","","ND"
"2002-06-03 06:00","2002","06","03","06:00"," ","7,60","","4,00","","78,00","","28,00","","19,00","","","M","99,81","","","","","","ND"
"2002-06-03 07:00","2002","06","03","07:00"," ","8,60","","4,30","","74,00","","28,00","","19,00","","","M","99,88","","","","","","ND"
"2002-06-03 08:00","2002","06","03","08:00"," ","8,50","","4,50","","76,00","","27,00","","19,00","","","M","99,95","","","","","","ND"
"2002-06-03 09:00","2002","06","03","09:00"," ","9,70","","5,00","","72,00","","29,00","","19,00","","","M","99,99","","","","","","ND"
"2002-06-03 10:00","2002","06","03","10:00"," ","10,10","","5,10","","71,00","","28,00","","19,00","","","M","100,04","","","","","","ND"
"2002-06-03 11:00","2002","06","03","11:00"," ","10,60","","5,00","","68,00","","28,00","","20,00","","","M","100,14","","","","","","ND"
"2002-06-03 12:00","2002","06","03","12:00"," ","12,00","","5,50","","64,00","","27,00","","22,00","","","M","100,19","","","","","","ND"
"2002-06-03 13:00","2002","06","03","13:00"," ","12,50","","5,10","","61,00","","28,00","","22,00","","","M","100,26","","","","","","ND"
"2002-06-03 14:00","2002","06","03","14:00"," ","12,60","","3,50","","54,00","","30,00","","20,00","","","M","100,29","","","","","","ND"
"2002-06-03 15:00","2002","06","03","15:00"," ","12,40","","3,60","","55,00","","31,00","","20,00","","","M","100,36","","","","","","ND"
"2002-06-03 16:00","2002","06","03","16:00"," ","12,40","","3,10","","53,00","","29,00","","19,00","","","M","100,43","","","","","","ND"
"2002-06-03 17:00","2002","06","03","17:00"," ","12,20","","3,10","","54,00","","29,00","","24,00","","","M","100,53","","","","","","ND"
"2002-06-03 18:00","2002","06","03","18:00"," ","11,60","","2,80","","55,00","","30,00","","22,00","","","M","100,62","","","","","","ND"
"2002-06-03 19:00","2002","06","03","19:00"," ","10,60","","2,40","","57,00","","31,00","","20,00","","","M","100,78","","","","","","ND"
"2002-06-03 20:00","2002","06","03","20:00"," ","10,20","","2,10","","57,00","","32,00","","22,00","","","M","100,89","","","","","","ND"
"2002-06-03 21:00","2002","06","03","21:00"," ","9,80","","2,10","","59,00","","32,00","","19,00","","","M","100,98","","","","","","ND"
