"Nom de la Station","MIRAMICHI RCS"
"Province","NEW BRUNSWICK"
"Latitude","47,01"
"Longitude","-65,47"
"Altitude","33,00"
"Identification Climat","8100989"
"Identification OMM","71744"
"Identification TC","ACQ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-04-01 00:00","2008","04","01","00:00"," ","0,40","","-1,60","","86,00","","21,00","","13,00","","","","101,98","","","","","","ND"
"2008-04-01 01:00","2008","04","01","01:00"," ","0,40","","-1,30","","88,00","","21,00","","11,00","","","","101,90","","","","","","ND"
"2008-04-01 02:00","2008","04","01","02:00"," ","0,00","","-1,00","","93,00","","20,00","","7,00","","","","101,82","","","","-2,00","","ND"
"2008-04-01 03:00","2008","04","01","03:00"," ","-0,20","","-0,90","","95,00","","17,00","","2,00","","","","101,76","","","","-1,00","","ND"
"2008-04-01 04:00","2008","04","01","04:00"," ","-0,40","","-0,90","","96,00","","9,00","","4,00","","","","101,67","","","","-2,00","","ND"
"2008-04-01 05:00","2008","04","01","05:00"," ","-0,40","","-0,70","","98,00","","7,00","","6,00","","","","101,57","","","","-2,00","","ND"
"2008-04-01 06:00","2008","04","01","06:00"," ","-0,60","","-0,90","","98,00","","11,00","","6,00","","","","101,47","","","","-3,00","","ND"
"2008-04-01 07:00","2008","04","01","07:00"," ","-0,40","","-0,80","","97,00","","9,00","","4,00","","","","101,44","","","","-2,00","","ND"
"2008-04-01 08:00","2008","04","01","08:00"," ","-0,10","","-0,70","","96,00","","7,00","","6,00","","","","101,35","","","","-2,00","","ND"
"2008-04-01 09:00","2008","04","01","09:00"," ","0,40","","-0,50","","94,00","","8,00","","6,00","","","","101,27","","","","","","ND"
"2008-04-01 10:00","2008","04","01","10:00"," ","0,90","","-0,50","","90,00","","8,00","","7,00","","","","101,16","","","","","","ND"
"2008-04-01 11:00","2008","04","01","11:00"," ","1,10","","-0,20","","91,00","","9,00","","9,00","","","","101,06","","","","","","ND"
"2008-04-01 12:00","2008","04","01","12:00"," ","1,20","","0,00","","92,00","","8,00","","11,00","","","","100,86","","","","","","ND"
"2008-04-01 13:00","2008","04","01","13:00"," ","1,10","","0,10","","93,00","","6,00","","9,00","","","","100,80","","","","","","ND"
"2008-04-01 14:00","2008","04","01","14:00"," ","0,40","","-0,20","","96,00","","6,00","","19,00","","","","100,63","","","","","","ND"
"2008-04-01 15:00","2008","04","01","15:00"," ","0,40","","-0,20","","96,00","","7,00","","15,00","","","","100,48","","","","","","ND"
"2008-04-01 16:00","2008","04","01","16:00"," ","0,60","","0,10","","96,00","","9,00","","15,00","","","","100,34","","","","","","ND"
"2008-04-01 17:00","2008","04","01","17:00"," ","0,70","","0,30","","97,00","","7,00","","11,00","","","","100,17","","","","","","ND"
"2008-04-01 18:00","2008","04","01","18:00"," ","0,70","","0,30","","97,00","","10,00","","7,00","","","","100,09","","","","","","ND"
"2008-04-01 19:00","2008","04","01","19:00"," ","0,60","","0,30","","98,00","","3,00","","4,00","","","","99,95","","","","","","ND"
"2008-04-01 20:00","2008","04","01","20:00"," ","0,20","","0,00","","99,00","","3,00","","2,00","","","","99,85","","","","","","ND"
"2008-04-01 21:00","2008","04","01","21:00"," ","0,20","","0,00","","99,00","","0,00","","0,00","","","","99,81","","","","","","ND"
"2008-04-01 22:00","2008","04","01","22:00"," ","0,20","","0,00","","99,00","","27,00","","4,00","","","","99,72","","","","","","ND"
"2008-04-01 23:00","2008","04","01","23:00"," ","0,20","","0,00","","99,00","","22,00","","6,00","","","","99,60","","","","","","ND"
"2008-04-02 00:00","2008","04","02","00:00"," ","0,40","","0,20","","99,00","","24,00","","7,00","","","","99,52","","","","","","ND"
"2008-04-02 01:00","2008","04","02","01:00"," ","0,50","","0,40","","99,00","","26,00","","6,00","","","","99,37","","","","","","ND"
"2008-04-02 02:00","2008","04","02","02:00"," ","0,40","","0,30","","99,00","","12,00","","9,00","","","","99,20","","","","","","ND"
"2008-04-02 03:00","2008","04","02","03:00"," ","0,60","","0,50","","99,00","","27,00","","7,00","","","","99,23","","","","","","ND"
"2008-04-02 04:00","2008","04","02","04:00"," ","2,80","","2,60","","99,00","","23,00","","7,00","","","","99,02","","","","","","ND"
"2008-04-02 05:00","2008","04","02","05:00"," ","3,60","","3,40","","99,00","","27,00","","15,00","","","","99,04","","","","","","ND"
"2008-04-02 06:00","2008","04","02","06:00"," ","3,70","","1,40","","85,00","","25,00","","17,00","","","","99,03","","","","","","ND"
"2008-04-02 07:00","2008","04","02","07:00"," ","3,10","","-0,10","","79,00","","25,00","","22,00","","","","99,06","","","","","","ND"
"2008-04-02 08:00","2008","04","02","08:00"," ","3,50","","-1,60","","69,00","","25,00","","28,00","","","","99,09","","","","","","ND"
"2008-04-02 09:00","2008","04","02","09:00"," ","3,50","","-3,00","","62,00","","26,00","","32,00","","","","99,13","","","","","","ND"
"2008-04-02 10:00","2008","04","02","10:00"," ","3,00","","-4,10","","60,00","","26,00","","39,00","","","","99,24","","","","","","ND"
"2008-04-02 11:00","2008","04","02","11:00"," ","2,90","","-5,80","","53,00","","25,00","","33,00","","","","99,30","","","","","","ND"
"2008-04-02 12:00","2008","04","02","12:00"," ","2,80","","-7,30","","47,00","","26,00","","39,00","","","","99,39","","","","","","ND"
"2008-04-02 13:00","2008","04","02","13:00"," ","2,70","","-9,10","","41,00","","26,00","","39,00","","","","99,48","","","","","","ND"
"2008-04-02 14:00","2008","04","02","14:00"," ","3,20","","-9,30","","39,00","","27,00","","37,00","","","","99,49","","","","","","ND"
"2008-04-02 15:00","2008","04","02","15:00"," ","3,40","","-9,80","","37,00","","27,00","","35,00","","","","99,54","","","","","","ND"
"2008-04-02 16:00","2008","04","02","16:00"," ","2,70","","-9,60","","40,00","","28,00","","37,00","","","","99,65","","","","","","ND"
"2008-04-02 17:00","2008","04","02","17:00"," ","1,70","","-9,80","","42,00","","28,00","","37,00","","","","99,75","","","","","","ND"
"2008-04-02 18:00","2008","04","02","18:00"," ","0,40","","-9,80","","46,00","","28,00","","37,00","","","","99,87","","","","","","ND"
"2008-04-02 19:00","2008","04","02","19:00"," ","-1,00","","-9,60","","52,00","","28,00","","41,00","","","","100,03","","","","-9,00","","ND"
"2008-04-02 20:00","2008","04","02","20:00"," ","-1,30","","-13,50","","39,00","","28,00","","37,00","","","","100,18","","","","-9,00","","ND"
"2008-04-02 21:00","2008","04","02","21:00"," ","-2,20","","-13,90","","40,00","","28,00","","32,00","","","","100,26","","","","-10,00","","ND"
"2008-04-02 22:00","2008","04","02","22:00"," ","-2,80","","-13,50","","43,00","","28,00","","30,00","","","","100,33","","","","-10,00","","ND"
"2008-04-02 23:00","2008","04","02","23:00"," ","-3,20","","-13,20","","46,00","","28,00","","32,00","","","","100,40","","","","-11,00","","ND"
"2008-04-03 00:00","2008","04","03","00:00"," ","-3,80","","-13,50","","47,00","","28,00","","28,00","","","","100,48","","","","-11,00","","ND"
"2008-04-03 01:00","2008","04","03","01:00"," ","-4,20","","-14,00","","46,00","","29,00","","30,00","","","","100,56","","","","-12,00","","ND"
"2008-04-03 02:00","2008","04","03","02:00"," ","-4,70","","-14,80","","45,00","","28,00","","26,00","","","","100,65","","","","-12,00","","ND"
"2008-04-03 03:00","2008","04","03","03:00"," ","-5,30","","-15,50","","45,00","","28,00","","28,00","","","","100,74","","","","-13,00","","ND"
"2008-04-03 04:00","2008","04","03","04:00"," ","-5,90","","-15,80","","45,00","","28,00","","22,00","","","","100,81","","","","-13,00","","ND"
"2008-04-03 05:00","2008","04","03","05:00"," ","-6,40","","-16,80","","43,00","","27,00","","26,00","","","","100,86","","","","-14,00","","ND"
"2008-04-03 06:00","2008","04","03","06:00"," ","-6,60","","-17,70","","41,00","","27,00","","24,00","","","","100,90","","","","-14,00","","ND"
"2008-04-03 07:00","2008","04","03","07:00"," ","-5,90","","-18,80","","35,00","","27,00","","24,00","","","","100,96","","","","-13,00","","ND"
"2008-04-03 08:00","2008","04","03","08:00"," ","-4,40","","-18,10","","33,00","","28,00","","26,00","","","","100,98","","","","-12,00","","ND"
"2008-04-03 09:00","2008","04","03","09:00"," ","-2,60","","-16,50","","33,00","","29,00","","32,00","","","","100,95","","","","-10,00","","ND"
"2008-04-03 10:00","2008","04","03","10:00"," ","-0,70","","-14,20","","35,00","","29,00","","32,00","","","","100,93","","","","-8,00","","ND"
"2008-04-03 11:00","2008","04","03","11:00"," ","1,00","","-12,90","","35,00","","29,00","","35,00","","","","100,91","","","","","","ND"
"2008-04-03 12:00","2008","04","03","12:00"," ","1,70","","-12,60","","34,00","","28,00","","37,00","","","","100,90","","","","","","ND"
"2008-04-03 13:00","2008","04","03","13:00"," ","2,80","","-12,60","","31,00","","28,00","","41,00","","","","100,85","","","","","","ND"
"2008-04-03 14:00","2008","04","03","14:00"," ","3,70","","-13,20","","28,00","","28,00","","41,00","","","","100,81","","","","","","ND"
"2008-04-03 15:00","2008","04","03","15:00"," ","3,70","","-13,20","","28,00","","28,00","","37,00","","","","100,81","","","","","","ND"
"2008-04-03 16:00","2008","04","03","16:00"," ","4,60","","-12,30","","28,00","","29,00","","32,00","","","","100,84","","","","","","ND"
"2008-04-03 17:00","2008","04","03","17:00"," ","4,60","","-11,20","","31,00","","28,00","","26,00","","","","100,89","","","","","","ND"
"2008-04-03 18:00","2008","04","03","18:00"," ","3,70","","-9,80","","37,00","","28,00","","22,00","","","","100,98","","","","","","ND"
"2008-04-03 19:00","2008","04","03","19:00"," ","2,90","","-8,70","","42,00","","27,00","","20,00","","","","101,06","","","","","","ND"
"2008-04-03 20:00","2008","04","03","20:00"," ","2,30","","-6,70","","51,00","","27,00","","20,00","","","","101,15","","","","","","ND"
"2008-04-03 21:00","2008","04","03","21:00"," ","0,90","","-6,40","","58,00","","25,00","","11,00","","","","101,25","","","","","","ND"
"2008-04-03 22:00","2008","04","03","22:00"," ","0,60","","-6,00","","61,00","","26,00","","11,00","","","","101,25","","","","","","ND"
"2008-04-03 23:00","2008","04","03","23:00"," ","0,80","","-5,20","","64,00","","25,00","","17,00","","","","101,26","","","","","","ND"
"2008-04-04 00:00","2008","04","04","00:00"," ","0,30","","-5,50","","65,00","","25,00","","13,00","","","","101,30","","","","","","ND"
"2008-04-04 01:00","2008","04","04","01:00"," ","0,90","","-6,00","","60,00","","24,00","","15,00","","","","101,33","","","","","","ND"
"2008-04-04 02:00","2008","04","04","02:00"," ","-0,40","","-6,30","","64,00","","23,00","","11,00","","","","101,35","","","","-4,00","","ND"
"2008-04-04 03:00","2008","04","04","03:00"," ","-0,10","","-6,90","","60,00","","24,00","","15,00","","","","101,36","","","","-5,00","","ND"
"2008-04-04 04:00","2008","04","04","04:00"," ","-0,60","","-7,00","","62,00","","23,00","","13,00","","","","101,38","","","","-5,00","","ND"
"2008-04-04 05:00","2008","04","04","05:00"," ","-1,10","","-7,20","","63,00","","24,00","","13,00","","","","101,39","","","","-5,00","","ND"
"2008-04-04 06:00","2008","04","04","06:00"," ","-1,20","","-7,50","","62,00","","24,00","","13,00","","","","101,41","","","","-5,00","","ND"
"2008-04-04 07:00","2008","04","04","07:00"," ","-0,80","","-7,70","","59,00","","24,00","","17,00","","","","101,48","","","","-6,00","","ND"
"2008-04-04 08:00","2008","04","04","08:00"," ","1,10","","-7,50","","53,00","","24,00","","19,00","","","","101,52","","","","","","ND"
"2008-04-04 09:00","2008","04","04","09:00"," ","4,20","","-6,40","","46,00","","24,00","","17,00","","","","101,53","","","","","","ND"
"2008-04-04 10:00","2008","04","04","10:00"," ","5,20","","-5,40","","46,00","","23,00","","22,00","","","","101,49","","","","","","ND"
"2008-04-04 11:00","2008","04","04","11:00"," ","6,90","","-5,80","","40,00","","23,00","","20,00","","","","101,44","","","","","","ND"
"2008-04-04 12:00","2008","04","04","12:00"," ","8,50","","-7,00","","33,00","","24,00","","22,00","","","","101,36","","","","","","ND"
"2008-04-04 13:00","2008","04","04","13:00"," ","9,50","","-7,70","","29,00","","24,00","","22,00","","","","101,29","","","","","","ND"
"2008-04-04 14:00","2008","04","04","14:00"," ","9,40","","-7,40","","30,00","","23,00","","24,00","","","","101,24","","","","","","ND"
"2008-04-04 15:00","2008","04","04","15:00"," ","8,70","","-7,20","","32,00","","22,00","","28,00","","","","101,12","","","","","","ND"
"2008-04-04 16:00","2008","04","04","16:00"," ","9,30","","-9,40","","26,00","","24,00","","19,00","","","","101,09","","","","","","ND"
"2008-04-04 17:00","2008","04","04","17:00"," ","7,80","","-9,30","","29,00","","23,00","","15,00","","","","101,05","","","","","","ND"
"2008-04-04 18:00","2008","04","04","18:00"," ","6,10","","-7,50","","37,00","","21,00","","11,00","","","","101,02","","","","","","ND"
"2008-04-04 19:00","2008","04","04","19:00"," ","6,20","","-8,00","","35,00","","20,00","","17,00","","","","101,00","","","","","","ND"
"2008-04-04 20:00","2008","04","04","20:00"," ","4,70","","-5,30","","48,00","","20,00","","11,00","","","","101,03","","","","","","ND"
"2008-04-04 21:00","2008","04","04","21:00"," ","3,60","","-2,50","","64,00","","19,00","","11,00","","","","101,01","","","","","","ND"
"2008-04-04 22:00","2008","04","04","22:00"," ","3,20","","-1,50","","71,00","","20,00","","11,00","","","","101,01","","","","","","ND"
"2008-04-04 23:00","2008","04","04","23:00"," ","2,50","","-1,20","","77,00","","19,00","","2,00","","","","100,92","","","","","","ND"
"2008-04-05 00:00","2008","04","05","00:00"," ","2,30","","-1,00","","79,00","","21,00","","4,00","","","","100,88","","","","","","ND"
"2008-04-05 01:00","2008","04","05","01:00"," ","2,50","","0,00","","84,00","","20,00","","7,00","","","","100,90","","","","","","ND"
"2008-04-05 02:00","2008","04","05","02:00"," ","2,40","","0,30","","86,00","","1,00","","6,00","","","","100,89","","","","","","ND"
"2008-04-05 03:00","2008","04","05","03:00"," ","1,80","","0,20","","89,00","","4,00","","6,00","","","","100,84","","","","","","ND"
"2008-04-05 04:00","2008","04","05","04:00"," ","1,60","","0,40","","92,00","","11,00","","9,00","","","","100,82","","","","","","ND"
"2008-04-05 05:00","2008","04","05","05:00"," ","1,70","","0,60","","92,00","","7,00","","9,00","","","","100,84","","","","","","ND"
"2008-04-05 06:00","2008","04","05","06:00"," ","1,20","","0,50","","95,00","","4,00","","9,00","","","","100,81","","","","","","ND"
"2008-04-05 07:00","2008","04","05","07:00"," ","1,30","","0,50","","94,00","","6,00","","11,00","","","","100,89","","","","","","ND"
"2008-04-05 08:00","2008","04","05","08:00"," ","1,20","","0,50","","95,00","","6,00","","17,00","","","","100,95","","","","","","ND"
"2008-04-05 09:00","2008","04","05","09:00"," ","1,20","","0,40","","94,00","","6,00","","17,00","","","","101,03","","","","","","ND"
"2008-04-05 10:00","2008","04","05","10:00"," ","1,30","","0,50","","94,00","","7,00","","19,00","","","","101,07","","","","","","ND"
"2008-04-05 11:00","2008","04","05","11:00"," ","0,90","","0,10","","94,00","","6,00","","17,00","","","","101,09","","","","","","ND"
"2008-04-05 12:00","2008","04","05","12:00"," ","1,00","","0,30","","95,00","","6,00","","22,00","","","","101,11","","","","","","ND"
"2008-04-05 13:00","2008","04","05","13:00"," ","1,00","","0,20","","94,00","","6,00","","19,00","","","","101,18","","","","","","ND"
"2008-04-05 14:00","2008","04","05","14:00"," ","0,90","","0,00","","94,00","","7,00","","22,00","","","","101,22","","","","","","ND"
"2008-04-05 15:00","2008","04","05","15:00"," ","0,80","","0,10","","95,00","","6,00","","15,00","","","","101,32","","","","","","ND"
"2008-04-05 16:00","2008","04","05","16:00"," ","1,30","","0,50","","94,00","","6,00","","11,00","","","","101,34","","","","","","ND"
"2008-04-05 17:00","2008","04","05","17:00"," ","1,50","","0,50","","93,00","","6,00","","15,00","","","","101,40","","","","","","ND"
"2008-04-05 18:00","2008","04","05","18:00"," ","0,90","","0,30","","96,00","","6,00","","15,00","","","","101,46","","","","","","ND"
"2008-04-05 19:00","2008","04","05","19:00"," ","0,50","","-0,10","","96,00","","5,00","","13,00","","","","101,60","","","","","","ND"
"2008-04-05 20:00","2008","04","05","20:00"," ","0,30","","-0,10","","97,00","","5,00","","7,00","","","","101,73","","","","","","ND"
"2008-04-05 21:00","2008","04","05","21:00"," ","0,20","","-0,10","","98,00","","4,00","","6,00","","","","101,83","","","","","","ND"
"2008-04-05 22:00","2008","04","05","22:00"," ","0,20","","-0,10","","98,00","","5,00","","9,00","","","","101,87","","","","","","ND"
"2008-04-05 23:00","2008","04","05","23:00"," ","0,00","","-0,40","","97,00","","6,00","","13,00","","","","101,96","","","","-4,00","","ND"
"2008-04-06 00:00","2008","04","06","00:00"," ","0,00","","-0,30","","98,00","","5,00","","11,00","","","","102,06","","","","-4,00","","ND"
"2008-04-06 01:00","2008","04","06","01:00"," ","-0,20","","-0,40","","99,00","","6,00","","15,00","","","","102,14","","","","-5,00","","ND"
"2008-04-06 02:00","2008","04","06","02:00"," ","-0,50","","-0,70","","99,00","","5,00","","11,00","","","","102,20","","","","-4,00","","ND"
"2008-04-06 03:00","2008","04","06","03:00"," ","-0,50","","-0,60","","99,00","","4,00","","7,00","","","","102,31","","","","-3,00","","ND"
