"Nom de la Station","NAIN"
"Province","NEWFOUNDLAND"
"Latitude","56,55"
"Longitude","-61,68"
"Altitude","7,60"
"Identification Climat","8502799"
"Identification OMM","71665"
"Identification TC","WFP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2006-12-01 00:00","2006","12","01","00:00"," ","-6,30","","-9,20","","80,00","","28,00","","44,00","","","","98,88","","","","-16,00","","ND"
"2006-12-01 01:00","2006","12","01","01:00"," ","-8,00","","-10,90","","80,00","","28,00","","44,00","","","","98,96","","","","-18,00","","ND"
"2006-12-01 02:00","2006","12","01","02:00"," ","-9,10","","-12,20","","78,00","","27,00","","41,00","","","","98,93","","","","-20,00","","ND"
"2006-12-01 03:00","2006","12","01","03:00"," ","-9,80","","-13,20","","76,00","","28,00","","30,00","","","","99,03","","","","-19,00","","ND"
"2006-12-01 04:00","2006","12","01","04:00"," ","-10,00","","-13,40","","76,00","","26,00","","39,00","","","","99,00","","","","-21,00","","ND"
"2006-12-01 05:00","2006","12","01","05:00"," ","-9,70","","-13,40","","74,00","","27,00","","41,00","","","","98,97","","","","-20,00","","ND"
"2006-12-01 06:00","2006","12","01","06:00"," ","-8,10","","-12,70","","69,00","","29,00","","26,00","","","","99,03","","","","-16,00","","ND"
"2006-12-01 07:00","2006","12","01","07:00"," ","-8,90","","-12,70","","74,00","","27,00","","35,00","","","","99,01","","","","-19,00","","ND"
"2006-12-01 08:00","2006","12","01","08:00"," ","-8,80","","-13,40","","69,00","","29,00","","41,00","","","","99,07","","","","-19,00","","ND"
"2006-12-01 09:00","2006","12","01","09:00"," ","-9,10","","-13,40","","71,00","","29,00","","56,00","","","","99,01","","","","-21,00","","ND"
