"Nom de la Station","BRIER ISLAND"
"Province","NOVA SCOTIA"
"Latitude","44,29"
"Longitude","-66,35"
"Altitude","15,80"
"Identification Climat","8200604"
"Identification OMM","71988"
"Identification TC","WVU"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-02-01 00:00","2007","02","01","00:00"," ","-2,00","","-4,90","","81,00","","","M","28,00","","","","101,28","","","","-9,00","","ND"
"2007-02-01 01:00","2007","02","01","01:00"," ","-0,50","","-7,80","","58,00","","","M","50,00","","","","101,26","","","","-9,00","","ND"
"2007-02-01 02:00","2007","02","01","02:00"," ","-2,10","","-7,50","","66,00","","","M","56,00","","","","101,36","","","","-11,00","","ND"
"2007-02-01 03:00","2007","02","01","03:00"," ","-2,70","","-10,00","","57,00","","","M","52,00","","","","101,52","","","","-12,00","","ND"
"2007-02-01 04:00","2007","02","01","04:00"," ","-3,20","","-10,30","","58,00","","","M","41,00","","","","101,59","","","","-12,00","","ND"
"2007-02-01 05:00","2007","02","01","05:00"," ","-3,50","","-10,70","","57,00","","","M","35,00","","","","101,61","","","","-12,00","","ND"
"2007-02-01 06:00","2007","02","01","06:00"," ","-3,80","","-9,00","","67,00","","","M","33,00","","","","101,67","","","","-12,00","","ND"
"2007-02-01 07:00","2007","02","01","07:00"," ","-3,90","","-9,70","","64,00","","","M","26,00","","","","101,78","","","","-11,00","","ND"
"2007-02-01 08:00","2007","02","01","08:00"," ","-3,70","","-9,80","","63,00","","","M","22,00","","","","101,85","","","","-10,00","","ND"
"2007-02-01 09:00","2007","02","01","09:00"," ","-2,90","","-9,60","","60,00","","","M","17,00","","","","101,88","","","","-8,00","","ND"
"2007-02-01 10:00","2007","02","01","10:00"," ","-1,80","","-9,90","","54,00","","","M","7,00","","","","101,93","","","","-4,00","","ND"
"2007-02-01 11:00","2007","02","01","11:00"," ","-0,70","","-9,80","","50,00","","","M","6,00","","","","101,96","","","","-3,00","","ND"
"2007-02-01 12:00","2007","02","01","12:00"," ","-0,70","","-9,60","","51,00","","","M","9,00","","","","101,91","","","","-4,00","","ND"
"2007-02-01 13:00","2007","02","01","13:00"," ","-0,40","","-8,30","","55,00","","","M","19,00","","","","101,84","","","","-6,00","","ND"
"2007-02-01 14:00","2007","02","01","14:00"," ","-0,10","","-5,40","","67,00","","","M","30,00","","","","101,76","","","","-7,00","","ND"
"2007-02-01 15:00","2007","02","01","15:00"," ","-0,40","","-4,40","","74,00","","","M","37,00","","","","101,69","","","","-8,00","","ND"
"2007-02-01 16:00","2007","02","01","16:00"," ","-0,60","","-2,80","","85,00","","","M","37,00","","","","101,60","","","","-8,00","","ND"
"2007-02-01 17:00","2007","02","01","17:00"," ","-1,20","","-2,10","","94,00","","","M","35,00","","","","101,60","","","","-9,00","","ND"
"2007-02-01 18:00","2007","02","01","18:00"," ","-0,50","","-0,80","","98,00","","","M","35,00","","","","101,57","","","","-8,00","","ND"
"2007-02-01 19:00","2007","02","01","19:00"," ","-0,10","","-0,40","","98,00","","","M","35,00","","","","101,61","","","","-7,00","","ND"
"2007-02-01 20:00","2007","02","01","20:00"," ","0,70","","0,60","","99,00","","","M","32,00","","","","101,60","","","","","","ND"
"2007-02-01 21:00","2007","02","01","21:00"," ","1,00","","0,90","","99,00","","","M","33,00","","","","101,52","","","","","","ND"
"2007-02-01 22:00","2007","02","01","22:00"," ","1,50","","1,50","","100,00","","","M","15,00","","","","101,49","","","","","","ND"
"2007-02-01 23:00","2007","02","01","23:00"," ","1,40","","1,40","","100,00","","","M","9,00","","","","101,48","","","","","","ND"
"2007-02-02 00:00","2007","02","02","00:00"," ","1,70","","1,70","","100,00","","","M","11,00","","","","101,49","","","","","","ND"
"2007-02-02 01:00","2007","02","02","01:00"," ","1,90","","1,90","","100,00","","","M","9,00","","","","101,45","","","","","","ND"
"2007-02-02 02:00","2007","02","02","02:00"," ","2,20","","2,20","","100,00","","","M","15,00","","","","101,40","","","","","","ND"
"2007-02-02 03:00","2007","02","02","03:00"," ","2,50","","2,50","","100,00","","","M","17,00","","","","101,34","","","","","","ND"
"2007-02-02 04:00","2007","02","02","04:00"," ","2,40","","2,30","","99,00","","","M","9,00","","","","101,34","","","","","","ND"
"2007-02-02 05:00","2007","02","02","05:00"," ","1,90","","1,90","","100,00","","","M","6,00","","","","101,31","","","","","","ND"
"2007-02-02 06:00","2007","02","02","06:00"," ","1,90","","1,90","","100,00","","","M","17,00","","","","101,26","","","","","","ND"
"2007-02-02 07:00","2007","02","02","07:00"," ","1,70","","1,60","","99,00","","","M","17,00","","","","101,19","","","","","","ND"
"2007-02-02 08:00","2007","02","02","08:00"," ","1,60","","1,40","","99,00","","","M","19,00","","","","101,26","","","","","","ND"
"2007-02-02 09:00","2007","02","02","09:00"," ","1,80","","1,60","","99,00","","","M","15,00","","","","101,13","","","","","","ND"
"2007-02-02 10:00","2007","02","02","10:00"," ","1,80","","1,60","","99,00","","","M","17,00","","","","101,06","","","","","","ND"
"2007-02-02 11:00","2007","02","02","11:00"," ","2,00","","1,60","","97,00","","","M","15,00","","","","100,94","","","","","","ND"
"2007-02-02 12:00","2007","02","02","12:00"," ","2,30","","1,60","","95,00","","","M","20,00","","","","100,80","","","","","","ND"
"2007-02-02 13:00","2007","02","02","13:00"," ","2,30","","1,70","","96,00","","","M","28,00","","","","100,52","","","","","","ND"
"2007-02-02 14:00","2007","02","02","14:00"," ","2,80","","1,90","","94,00","","","M","19,00","","","","100,39","","","","","","ND"
"2007-02-02 15:00","2007","02","02","15:00"," ","3,10","","1,90","","92,00","","","M","17,00","","","","100,34","","","","","","ND"
"2007-02-02 16:00","2007","02","02","16:00"," ","3,00","","1,60","","90,00","","","M","20,00","","","","100,26","","","","","","ND"
"2007-02-02 17:00","2007","02","02","17:00"," ","3,60","","2,30","","91,00","","","M","26,00","","","","100,22","","","","","","ND"
"2007-02-02 18:00","2007","02","02","18:00"," ","3,70","","2,30","","91,00","","","M","28,00","","","","100,20","","","","","","ND"
