"Nom de la Station","LA TUQUE"
"Province","QUEBEC"
"Latitude","47,41"
"Longitude","-72,79"
"Altitude","168,90"
"Identification Climat","707DBD4"
"Identification OMM","71378"
"Identification TC","WDQ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2001-12-01 00:00","2001","12","01","00:00"," ","0,10","","0,10","","100,00","","0,00","","0,00","","","M","98,65","","","","","","ND"
"2001-12-01 01:00","2001","12","01","01:00"," ","0,10","","0,10","","100,00","","10,00","","2,00","","","M","98,60","","","","","","ND"
"2001-12-01 02:00","2001","12","01","02:00"," ","0,50","","0,50","","100,00","","14,00","","4,00","","","M","98,59","","","","","","ND"
"2001-12-01 03:00","2001","12","01","03:00"," ","0,90","","0,90","","100,00","","14,00","","9,00","","","M","98,58","","","","","","ND"
"2001-12-01 04:00","2001","12","01","04:00"," ","1,40","","1,40","","100,00","","17,00","","9,00","","","M","98,53","","","","","","ND"
"2001-12-01 05:00","2001","12","01","05:00"," ","1,40","","1,40","","100,00","","17,00","","4,00","","","M","98,55","","","","","","ND"
"2001-12-01 06:00","2001","12","01","06:00"," ","1,90","","1,90","","100,00","","17,00","","9,00","","","M","98,56","","","","","","ND"
"2001-12-01 07:00","2001","12","01","07:00"," ","1,70","","1,70","","100,00","","18,00","","11,00","","","M","98,55","","","","","","ND"
"2001-12-01 08:00","2001","12","01","08:00"," ","1,90","","1,90","","100,00","","17,00","","7,00","","","M","98,56","","","","","","ND"
"2001-12-01 09:00","2001","12","01","09:00"," ","2,70","","2,60","","99,00","","16,00","","15,00","","","M","98,48","","","","","","ND"
"2001-12-01 10:00","2001","12","01","10:00"," ","3,40","","3,00","","97,00","","19,00","","19,00","","","M","98,51","","","","","","ND"
"2001-12-01 11:00","2001","12","01","11:00"," ","3,60","","3,20","","97,00","","19,00","","13,00","","","M","98,45","","","","","","ND"
"2001-12-01 12:00","2001","12","01","12:00"," ","4,50","","3,50","","93,00","","20,00","","22,00","","","M","98,41","","","","","","ND"
"2001-12-01 13:00","2001","12","01","13:00"," ","5,30","","4,00","","91,00","","19,00","","20,00","","","M","98,42","","","","","","ND"
"2001-12-01 14:00","2001","12","01","14:00"," ","6,50","","4,20","","85,00","","23,00","","20,00","","","M","98,53","","","","","","ND"
"2001-12-01 15:00","2001","12","01","15:00"," ","7,00","","2,90","","75,00","","26,00","","19,00","","","M","98,72","","","","","","ND"
"2001-12-01 16:00","2001","12","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-12-01 17:00","2001","12","01","17:00"," ","4,90","","0,90","","75,00","","29,00","","15,00","","","M","99,05","","","","","","ND"
"2001-12-01 18:00","2001","12","01","18:00"," ","4,00","","0,30","","77,00","","33,00","","7,00","","","M","99,20","","","","","","ND"
"2001-12-01 19:00","2001","12","01","19:00"," ","3,30","","-0,30","","77,00","","35,00","","11,00","","","M","99,28","","","","","","ND"
"2001-12-01 20:00","2001","12","01","20:00"," ","2,50","","-0,90","","78,00","","27,00","","2,00","","","M","99,40","","","","","","ND"
"2001-12-01 21:00","2001","12","01","21:00"," ","2,80","","-1,10","","75,00","","30,00","","4,00","","","M","99,45","","","","","","ND"
"2001-12-01 22:00","2001","12","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2001-12-01 23:00","2001","12","01","23:00"," ","1,00","","-0,50","","90,00","","23,00","","4,00","","","M","99,58","","","","","","ND"
"2001-12-02 00:00","2001","12","02","00:00"," ","0,80","","-0,30","","92,00","","17,00","","4,00","","","M","99,66","","","","","","ND"
"2001-12-02 01:00","2001","12","02","01:00"," ","0,80","","-0,30","","92,00","","16,00","","4,00","","","M","99,70","","","","","","ND"
"2001-12-02 02:00","2001","12","02","02:00"," ","0,70","","-0,20","","94,00","","12,00","","4,00","","","M","99,72","","","","","","ND"
"2001-12-02 03:00","2001","12","02","03:00"," ","0,50","","-0,30","","94,00","","13,00","","4,00","","","M","99,75","","","","","","ND"
"2001-12-02 04:00","2001","12","02","04:00"," ","0,60","","-0,20","","94,00","","14,00","","4,00","","","M","99,73","","","","","","ND"
"2001-12-02 05:00","2001","12","02","05:00"," ","0,80","","0,10","","95,00","","13,00","","2,00","","","M","99,75","","","","","","ND"
