"Nom de la Station","UMIUJAQ A"
"Province","QUEBEC"
"Latitude","56,53"
"Longitude","-76,52"
"Altitude","76,20"
"Identification Climat","7108568"
"Identification OMM",""
"Identification TC","YMU"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-10-01 00:00","2012","10","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-10-01 01:00","2012","10","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-10-01 02:00","2012","10","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-10-01 03:00","2012","10","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-10-01 04:00","2012","10","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-10-01 05:00","2012","10","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-10-01 06:00","2012","10","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2012-10-01 07:00","2012","10","01","07:00"," ","8,80","","7,30","","90,00","","14,00","","19,00","","25,00","","99,88","","","","","","Généralement dégagé"
"2012-10-01 08:00","2012","10","01","08:00"," ","10,40","","8,60","","89,00","","14,00","","19,00","","25,00","","99,82","","","","","","Généralement dégagé"
"2012-10-01 09:00","2012","10","01","09:00"," ","12,50","","10,80","","89,00","","16,00","","19,00","","25,00","","99,79","","","","","","Généralement dégagé"
"2012-10-01 10:00","2012","10","01","10:00"," ","13,90","","13,10","","95,00","","15,00","","17,00","","25,00","","99,77","","","","","","Généralement dégagé"
"2012-10-01 11:00","2012","10","01","11:00"," ","14,10","","13,60","","97,00","","18,00","","24,00","","25,00","","99,75","","","","","","Généralement nuageux"
"2012-10-01 12:00","2012","10","01","12:00"," ","14,80","","13,50","","92,00","","19,00","","24,00","","25,00","","99,70","","","","","","Généralement nuageux"
"2012-10-01 13:00","2012","10","01","13:00"," ","15,00","","5,00","","51,00","","22,00","","15,00","","25,00","","99,67","","","","","","Généralement nuageux"
"2012-10-01 14:00","2012","10","01","14:00"," ","15,00","","5,50","","53,00","","22,00","","15,00","","25,00","","99,63","","","","","","Généralement nuageux"
"2012-10-01 15:00","2012","10","01","15:00"," ","14,80","","5,70","","54,00","","23,00","","11,00","","25,00","","99,57","","","","","","Généralement nuageux"
"2012-10-01 16:00","2012","10","01","16:00"," ","14,50","","5,80","","56,00","","21,00","","9,00","","25,00","","99,55","","","","","","Généralement nuageux"
"2012-10-01 17:00","2012","10","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
