"Nom de la Station","CHURCHILL FALLS"
"Province","NEWFOUNDLAND"
"Latitude","53,56"
"Longitude","-64,09"
"Altitude","439,50"
"Identification Climat","8501130"
"Identification OMM",""
"Identification TC","AFL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2003-08-01 00:00","2003","08","01","00:00"," ","14,50","","8,70","","68,00","","23,00","","6,00","","15,00","","96,88","","","","","",""
"2003-08-01 01:00","2003","08","01","01:00"," ","14,40","","8,00","","65,00","","23,00","","4,00","","15,00","","96,82","","","","","",""
"2003-08-01 02:00","2003","08","01","02:00"," ","14,40","","8,00","","65,00","","20,00","","9,00","","15,00","","96,81","","","","","",""
"2003-08-01 03:00","2003","08","01","03:00"," ","13,20","","7,90","","70,00","","0,00","","0,00","","15,00","","96,79","","","","","",""
"2003-08-01 04:00","2003","08","01","04:00"," ","13,40","","8,20","","71,00","","21,00","","6,00","","15,00","","96,75","","","","","",""
"2003-08-01 05:00","2003","08","01","05:00"," ","12,60","","8,10","","74,00","","21,00","","4,00","","15,00","","96,73","","","","","",""
"2003-08-01 06:00","2003","08","01","06:00"," ","14,00","","8,80","","71,00","","16,00","","4,00","","15,00","","96,72","","","","","",""
"2003-08-01 07:00","2003","08","01","07:00"," ","15,70","","9,40","","66,00","","21,00","","7,00","","15,00","","96,72","","","","","",""
"2003-08-01 08:00","2003","08","01","08:00"," ","18,40","","10,30","","59,00","","25,00","","6,00","","15,00","","96,71","","","","","",""
"2003-08-01 09:00","2003","08","01","09:00"," ","20,60","","10,80","","53,00","","23,00","","9,00","","15,00","","96,68","","","","","",""
"2003-08-01 10:00","2003","08","01","10:00"," ","22,80","","10,70","","46,00","","24,00","","7,00","","15,00","","96,64","","","","","",""
"2003-08-01 11:00","2003","08","01","11:00"," ","24,40","","10,10","","40,00","","28,00","","15,00","","15,00","","96,57","","26,00","","","",""
"2003-08-01 12:00","2003","08","01","12:00"," ","24,20","","8,70","","37,00","","26,00","","17,00","","15,00","","96,52","","25,00","","","",""
"2003-08-01 13:00","2003","08","01","13:00"," ","24,80","","7,50","","33,00","","26,00","","17,00","","15,00","","96,45","","25,00","","","",""
"2003-08-01 14:00","2003","08","01","14:00"," ","25,80","","8,00","","32,00","","26,00","","22,00","","12,90","","96,42","","26,00","","","",""
"2003-08-01 15:00","2003","08","01","15:00"," ","26,10","","8,00","","32,00","","26,00","","20,00","","15,00","","96,38","","27,00","","","",""
"2003-08-01 16:00","2003","08","01","16:00"," ","26,30","","8,10","","32,00","","27,00","","24,00","","15,00","","96,35","","27,00","","","",""
"2003-08-01 17:00","2003","08","01","17:00"," ","21,00","","10,70","","52,00","","1,00","","19,00","","15,00","","96,42","","","","","",""
"2003-08-01 18:00","2003","08","01","18:00"," ","20,00","","10,30","","54,00","","32,00","","15,00","","15,00","","96,50","","","","","",""
"2003-08-01 19:00","2003","08","01","19:00"," ","17,50","","11,30","","67,00","","1,00","","6,00","","8,00","","96,47","","","","","","Pluie"
"2003-08-01 20:00","2003","08","01","20:00"," ","17,00","","11,50","","70,00","","24,00","","6,00","","15,00","","96,51","","","","","",""
"2003-08-01 21:00","2003","08","01","21:00"," ","15,40","","10,70","","74,00","","31,00","","7,00","","11,30","","96,54","","","","","",""
"2003-08-01 22:00","2003","08","01","22:00"," ","14,90","","7,70","","62,00","","2,00","","17,00","","15,00","","96,57","","","","","",""
"2003-08-01 23:00","2003","08","01","23:00"," ","14,10","","5,50","","56,00","","2,00","","17,00","","15,00","","96,61","","","","","",""
"2003-08-02 00:00","2003","08","02","00:00"," ","13,20","","4,60","","56,00","","2,00","","11,00","","15,00","","96,66","","","","","",""
"2003-08-02 01:00","2003","08","02","01:00"," ","12,40","","4,50","","59,00","","0,00","","0,00","","15,00","","96,69","","","","","",""
"2003-08-02 02:00","2003","08","02","02:00"," ","10,90","","4,50","","65,00","","34,00","","4,00","","15,00","","96,70","","","","","",""
"2003-08-02 03:00","2003","08","02","03:00"," ","10,10","","3,30","","63,00","","34,00","","9,00","","15,00","","96,75","","","","","",""
"2003-08-02 04:00","2003","08","02","04:00"," ","9,70","","2,70","","62,00","","34,00","","9,00","","15,00","","96,77","","","","","",""
"2003-08-02 05:00","2003","08","02","05:00"," ","9,60","","2,60","","62,00","","32,00","","11,00","","15,00","","96,80","","","","","",""
"2003-08-02 06:00","2003","08","02","06:00"," ","11,10","","3,40","","59,00","","32,00","","15,00","","15,00","","96,81","","","","","",""
"2003-08-02 07:00","2003","08","02","07:00"," ","12,00","","3,90","","58,00","","31,00","","13,00","","15,00","","96,85","","","","","",""
"2003-08-02 08:00","2003","08","02","08:00"," ","13,50","","4,00","","53,00","","33,00","","15,00","","15,00","","96,87","","","","","",""
"2003-08-02 09:00","2003","08","02","09:00"," ","14,70","","4,30","","50,00","","32,00","","15,00","","15,00","","96,87","","","","","",""
"2003-08-02 10:00","2003","08","02","10:00"," ","16,00","","4,40","","46,00","","31,00","","15,00","","15,00","","96,88","","","","","",""
"2003-08-02 11:00","2003","08","02","11:00"," ","17,40","","4,80","","43,00","","30,00","","15,00","","15,00","","96,85","","","","","",""
"2003-08-02 12:00","2003","08","02","12:00"," ","18,90","","5,10","","40,00","","30,00","","11,00","","15,00","","96,87","","","","","",""
"2003-08-02 13:00","2003","08","02","13:00"," ","18,90","","4,80","","39,00","","33,00","","11,00","","15,00","","96,85","","","","","",""
"2003-08-02 14:00","2003","08","02","14:00"," ","19,70","","5,20","","39,00","","31,00","","7,00","","15,00","","96,83","","","","","",""
"2003-08-02 15:00","2003","08","02","15:00"," ","20,50","","5,30","","37,00","","28,00","","9,00","","15,00","","96,79","","","","","",""
"2003-08-02 16:00","2003","08","02","16:00"," ","20,90","","5,60","","37,00","","31,00","","9,00","","15,00","","96,79","","","","","",""
"2003-08-02 17:00","2003","08","02","17:00"," ","20,80","","5,40","","37,00","","30,00","","9,00","","15,00","","96,80","","","","","",""
"2003-08-02 18:00","2003","08","02","18:00"," ","20,70","","4,50","","35,00","","36,00","","7,00","","15,00","","96,80","","","","","",""
"2003-08-02 19:00","2003","08","02","19:00"," ","19,80","","3,80","","35,00","","1,00","","9,00","","15,00","","96,81","","","","","",""
"2003-08-02 20:00","2003","08","02","20:00"," ","16,40","","5,40","","48,00","","2,00","","6,00","","15,00","","96,82","","","","","",""
"2003-08-02 21:00","2003","08","02","21:00"," ","13,80","","4,60","","54,00","","1,00","","4,00","","15,00","","96,87","","","","","",""
"2003-08-02 22:00","2003","08","02","22:00"," ","13,50","","5,40","","58,00","","34,00","","7,00","","15,00","","96,89","","","","","",""
"2003-08-02 23:00","2003","08","02","23:00"," ","15,20","","5,80","","53,00","","1,00","","11,00","","15,00","","96,90","","","","","",""
"2003-08-03 00:00","2003","08","03","00:00"," ","14,80","","5,80","","55,00","","1,00","","13,00","","15,00","","96,89","","","","","",""
"2003-08-03 01:00","2003","08","03","01:00"," ","13,70","","6,20","","60,00","","2,00","","11,00","","15,00","","96,93","","","","","",""
"2003-08-03 02:00","2003","08","03","02:00"," ","13,40","","6,10","","61,00","","4,00","","9,00","","15,00","","96,97","","","","","",""
"2003-08-03 03:00","2003","08","03","03:00"," ","12,30","","6,20","","66,00","","4,00","","4,00","","15,00","","96,99","","","","","",""
"2003-08-03 04:00","2003","08","03","04:00"," ","11,00","","4,80","","66,00","","0,00","","0,00","","15,00","","97,02","","","","","",""
"2003-08-03 05:00","2003","08","03","05:00"," ","9,80","","3,90","","67,00","","30,00","","4,00","","15,00","","97,04","","","","","",""
"2003-08-03 06:00","2003","08","03","06:00"," ","13,20","","5,70","","60,00","","35,00","","4,00","","15,00","","97,06","","","","","",""
"2003-08-03 07:00","2003","08","03","07:00"," ","15,00","","4,60","","50,00","","5,00","","6,00","","15,00","","97,09","","","","","",""
"2003-08-03 08:00","2003","08","03","08:00"," ","16,50","","4,70","","46,00","","36,00","","9,00","","15,00","","97,10","","","","","",""
"2003-08-03 09:00","2003","08","03","09:00"," ","17,50","","5,20","","44,00","","34,00","","9,00","","15,00","","97,09","","","","","",""
"2003-08-03 10:00","2003","08","03","10:00"," ","18,20","","4,70","","41,00","","5,00","","7,00","","15,00","","97,07","","","","","",""
"2003-08-03 11:00","2003","08","03","11:00"," ","19,80","","6,20","","41,00","","30,00","","13,00","","15,00","","97,04","","","","","",""
"2003-08-03 12:00","2003","08","03","12:00"," ","20,10","","5,80","","39,00","","30,00","","13,00","","15,00","","97,02","","","","","",""
"2003-08-03 13:00","2003","08","03","13:00"," ","20,50","","5,40","","37,00","","35,00","","9,00","","15,00","","96,99","","","","","",""
"2003-08-03 14:00","2003","08","03","14:00"," ","21,80","","6,40","","37,00","","34,00","","15,00","","8,00","","96,96","","","","","",""
"2003-08-03 15:00","2003","08","03","15:00"," ","21,20","","6,10","","37,00","","35,00","","11,00","","15,00","","96,95","","","","","",""
"2003-08-03 16:00","2003","08","03","16:00"," ","20,90","","6,60","","39,00","","34,00","","11,00","","15,00","","96,97","","","","","",""
"2003-08-03 17:00","2003","08","03","17:00"," ","21,20","","6,20","","38,00","","36,00","","15,00","","15,00","","96,95","","","","","",""
"2003-08-03 18:00","2003","08","03","18:00"," ","20,40","","4,30","","35,00","","1,00","","13,00","","15,00","","96,98","","","","","",""
"2003-08-03 19:00","2003","08","03","19:00"," ","19,40","","0,80","","29,00","","1,00","","13,00","","15,00","","96,98","","","","","",""
"2003-08-03 20:00","2003","08","03","20:00"," ","17,80","","2,70","","36,00","","36,00","","11,00","","15,00","","97,04","","","","","",""
"2003-08-03 21:00","2003","08","03","21:00"," ","16,10","","3,40","","43,00","","1,00","","11,00","","15,00","","97,09","","","","","",""
"2003-08-03 22:00","2003","08","03","22:00"," ","14,90","","3,70","","47,00","","3,00","","7,00","","15,00","","97,09","","","","","",""
"2003-08-03 23:00","2003","08","03","23:00"," ","12,90","","3,40","","52,00","","3,00","","11,00","","15,00","","97,12","","","","","",""
"2003-08-04 00:00","2003","08","04","00:00"," ","11,40","","3,20","","57,00","","5,00","","9,00","","15,00","","97,16","","","","","",""
"2003-08-04 01:00","2003","08","04","01:00"," ","11,90","","3,60","","57,00","","11,00","","4,00","","15,00","","97,18","","","","","",""
"2003-08-04 02:00","2003","08","04","02:00"," ","11,00","","3,60","","60,00","","13,00","","6,00","","15,00","","97,18","","","","","",""
"2003-08-04 03:00","2003","08","04","03:00"," ","10,50","","3,20","","61,00","","20,00","","6,00","","15,00","","97,20","","","","","",""
"2003-08-04 04:00","2003","08","04","04:00"," ","10,70","","3,10","","59,00","","0,00","","0,00","","15,00","","97,19","","","","","",""
"2003-08-04 05:00","2003","08","04","05:00"," ","10,40","","3,30","","61,00","","32,00","","7,00","","15,00","","97,21","","","","","",""
"2003-08-04 06:00","2003","08","04","06:00"," ","11,40","","3,60","","59,00","","31,00","","6,00","","15,00","","97,21","","","","","",""
"2003-08-04 07:00","2003","08","04","07:00"," ","13,90","","5,20","","56,00","","32,00","","11,00","","15,00","","97,25","","","","","",""
"2003-08-04 08:00","2003","08","04","08:00"," ","15,10","","5,00","","51,00","","35,00","","15,00","","15,00","","97,23","","","","","",""
"2003-08-04 09:00","2003","08","04","09:00"," ","16,20","","3,30","","42,00","","30,00","","13,00","","15,00","","97,23","","","","","",""
"2003-08-04 10:00","2003","08","04","10:00"," ","16,50","","0,30","","33,00","","1,00","","11,00","","15,00","","97,25","","","","","",""
"2003-08-04 11:00","2003","08","04","11:00"," ","17,70","","1,10","","33,00","","34,00","","15,00","","15,00","","97,22","","","","","",""
