"Nom de la Station","FORT PROVIDENCE"
"Province","NORTHWEST TERRITORIES"
"Latitude","61,32"
"Longitude","-117,60"
"Altitude","161,50"
"Identification Climat","2201799"
"Identification OMM","71087"
"Identification TC","WID"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1996-12-01 00:00","1996","12","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 00:40","1996","12","01","00:40"," ","-11,10","","-12,00","","93,00","","31,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 01:00","1996","12","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 01:40","1996","12","01","01:40"," ","-11,00","","-11,90","","93,00","","33,00","","4,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 02:00","1996","12","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 02:40","1996","12","01","02:40"," ","-10,90","","-11,80","","93,00","","31,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 03:00","1996","12","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 03:40","1996","12","01","03:40"," ","-10,90","","-11,70","","94,00","","34,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 04:00","1996","12","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 04:40","1996","12","01","04:40"," ","-10,80","","-11,60","","94,00","","0,00","","0,00","","","M","","M","","","","","ND"
"1996-12-01 05:00","1996","12","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 05:40","1996","12","01","05:40"," ","-11,00","","-11,80","","94,00","","32,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 06:00","1996","12","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 06:40","1996","12","01","06:40"," ","-11,10","","-11,90","","94,00","","35,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 07:00","1996","12","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 07:40","1996","12","01","07:40"," ","-11,00","","-11,80","","94,00","","35,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 08:00","1996","12","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 09:00","1996","12","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 09:40","1996","12","01","09:40"," ","-10,90","","-11,70","","94,00","","2,00","","4,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 10:00","1996","12","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 10:40","1996","12","01","10:40"," ","-10,80","","-11,60","","94,00","","3,00","","4,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 11:00","1996","12","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 11:40","1996","12","01","11:40"," ","-10,60","","-11,50","","93,00","","2,00","","4,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 12:00","1996","12","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 12:40","1996","12","01","12:40"," ","-10,40","","-11,20","","94,00","","36,00","","4,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 13:00","1996","12","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 13:40","1996","12","01","13:40"," ","-10,50","","-11,30","","94,00","","2,00","","4,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 14:00","1996","12","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 14:40","1996","12","01","14:40"," ","-10,60","","-11,40","","94,00","","34,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 15:00","1996","12","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 15:40","1996","12","01","15:40"," ","-11,20","","-12,00","","94,00","","32,00","","2,00","","","M","","M","","","-12,00","","ND"
"1996-12-01 16:00","1996","12","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 16:40","1996","12","01","16:40"," ","-11,20","","-12,00","","94,00","","35,00","","4,00","","","M","","M","","","-14,00","","ND"
"1996-12-01 17:00","1996","12","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 17:40","1996","12","01","17:40"," ","-11,30","","-12,10","","94,00","","34,00","","4,00","","","M","","M","","","-14,00","","ND"
"1996-12-01 18:00","1996","12","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 18:40","1996","12","01","18:40"," ","-11,40","","-12,20","","94,00","","35,00","","4,00","","","M","","M","","","-14,00","","ND"
"1996-12-01 19:00","1996","12","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 19:40","1996","12","01","19:40"," ","-11,40","","-12,20","","94,00","","34,00","","2,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 20:00","1996","12","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 20:40","1996","12","01","20:40"," ","-11,60","","-12,40","","94,00","","33,00","","2,00","","","M","","M","","","-13,00","","ND"
"1996-12-01 21:00","1996","12","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 21:40","1996","12","01","21:40"," ","-11,80","","-12,70","","93,00","","34,00","","4,00","","","M","","M","","","-14,00","","ND"
"1996-12-01 22:00","1996","12","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1996-12-01 22:40","1996","12","01","22:40"," ","-11,70","","-12,50","","94,00","","36,00","","4,00","","","M","","M","","","-14,00","","ND"
"1996-12-01 23:00","1996","12","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
