"Nom de la Station","BACCARO POINT"
"Province","NOVA SCOTIA"
"Latitude","43,45"
"Longitude","-65,47"
"Altitude","12,70"
"Identification Climat","8200254"
"Identification OMM",""
"Identification TC","WCP"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1995-10-01 00:00","1995","10","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 00:46","1995","10","01","00:46"," ","14,60","","13,80","","95,00","","7,00","","17,00","","","M","","M","","","","","ND"
"1995-10-01 01:00","1995","10","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 01:46","1995","10","01","01:46"," ","11,90","","11,50","","97,00","","1,00","","19,00","","","M","","M","","","","","ND"
"1995-10-01 02:00","1995","10","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 02:46","1995","10","01","02:46"," ","11,90","","11,60","","98,00","","36,00","","22,00","","","M","","M","","","","","ND"
"1995-10-01 03:00","1995","10","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 03:46","1995","10","01","03:46"," ","13,80","","12,90","","94,00","","3,00","","22,00","","","M","","M","","","","","ND"
"1995-10-01 04:00","1995","10","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 04:46","1995","10","01","04:46"," ","14,10","","13,10","","94,00","","4,00","","22,00","","","M","","M","","","","","ND"
"1995-10-01 05:00","1995","10","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 05:46","1995","10","01","05:46"," ","14,30","","13,30","","94,00","","5,00","","24,00","","","M","","M","","","","","ND"
"1995-10-01 06:00","1995","10","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 06:46","1995","10","01","06:46"," ","12,40","","11,90","","97,00","","2,00","","22,00","","","M","","M","","","","","ND"
"1995-10-01 07:00","1995","10","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 07:46","1995","10","01","07:46"," ","12,80","","12,40","","97,00","","3,00","","24,00","","","M","","M","","","","","ND"
"1995-10-01 08:00","1995","10","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 08:46","1995","10","01","08:46"," ","13,00","","12,60","","97,00","","3,00","","33,00","","","M","","M","","","","","ND"
"1995-10-01 09:00","1995","10","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 09:46","1995","10","01","09:46"," ","14,00","","13,20","","95,00","","3,00","","35,00","","","M","","M","","","","","ND"
"1995-10-01 10:00","1995","10","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 10:46","1995","10","01","10:46"," ","14,90","","13,50","","91,00","","4,00","","44,00","","","M","","M","","","","","ND"
"1995-10-01 11:00","1995","10","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 11:46","1995","10","01","11:46"," ","15,30","","13,20","","87,00","","4,00","","44,00","","","M","","M","","","","","ND"
"1995-10-01 12:00","1995","10","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 12:46","1995","10","01","12:46"," ","15,30","","13,30","","88,00","","5,00","","43,00","","","M","","M","","","","","ND"
"1995-10-01 13:00","1995","10","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 13:46","1995","10","01","13:46"," ","14,90","","13,50","","91,00","","4,00","","41,00","","","M","","M","","","","","ND"
"1995-10-01 14:00","1995","10","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 14:46","1995","10","01","14:46"," ","14,90","","13,80","","93,00","","5,00","","43,00","","","M","","M","","","","","ND"
"1995-10-01 15:00","1995","10","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 16:00","1995","10","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 16:46","1995","10","01","16:46"," ","14,90","","14,40","","97,00","","4,00","","41,00","","","M","","M","","","","","ND"
"1995-10-01 17:00","1995","10","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 17:46","1995","10","01","17:46"," ","15,00","","14,70","","98,00","","4,00","","41,00","","","M","","M","","","","","ND"
"1995-10-01 18:00","1995","10","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 18:46","1995","10","01","18:46"," ","15,00","","14,90","","99,00","","4,00","","43,00","","","M","","M","","","","","ND"
"1995-10-01 19:00","1995","10","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 19:46","1995","10","01","19:46"," ","15,30","","15,30","","100,00","","5,00","","37,00","","","M","","M","","","","","ND"
"1995-10-01 20:00","1995","10","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 20:46","1995","10","01","20:46"," ","15,30","","15,30","","100,00","","4,00","","28,00","","","M","","M","","","","","ND"
"1995-10-01 21:00","1995","10","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 21:46","1995","10","01","21:46"," ","15,40","","15,40","","100,00","","5,00","","26,00","","","M","","M","","","","","ND"
"1995-10-01 22:00","1995","10","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 22:46","1995","10","01","22:46"," ","15,80","","15,80","","100,00","","6,00","","22,00","","","M","","M","","","","","ND"
"1995-10-01 23:00","1995","10","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-01 23:46","1995","10","01","23:46"," ","16,00","","16,00","","100,00","","5,00","","20,00","","","M","","M","","","","","ND"
"1995-10-02 00:00","1995","10","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 00:46","1995","10","02","00:46"," ","16,10","","16,10","","100,00","","5,00","","20,00","","","M","","M","","","","","ND"
"1995-10-02 01:00","1995","10","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 01:46","1995","10","02","01:46"," ","16,40","","16,40","","100,00","","5,00","","22,00","","","M","","M","","","","","ND"
"1995-10-02 02:00","1995","10","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 02:46","1995","10","02","02:46"," ","16,40","","16,40","","100,00","","4,00","","28,00","","","M","","M","","","","","ND"
"1995-10-02 03:00","1995","10","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 03:46","1995","10","02","03:46"," ","16,30","","16,30","","100,00","","4,00","","30,00","","","M","","M","","","","","ND"
"1995-10-02 04:00","1995","10","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 04:46","1995","10","02","04:46"," ","16,10","","16,10","","100,00","","4,00","","26,00","","","M","","M","","","","","ND"
"1995-10-02 05:00","1995","10","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 05:46","1995","10","02","05:46"," ","16,00","","16,00","","100,00","","5,00","","24,00","","","M","","M","","","","","ND"
"1995-10-02 06:00","1995","10","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 06:46","1995","10","02","06:46"," ","16,20","","16,20","","100,00","","4,00","","28,00","","","M","","M","","","","","ND"
"1995-10-02 07:00","1995","10","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 07:46","1995","10","02","07:46"," ","16,10","","16,10","","100,00","","4,00","","26,00","","","M","","M","","","","","ND"
"1995-10-02 08:00","1995","10","02","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 08:46","1995","10","02","08:46"," ","16,20","","16,20","","100,00","","3,00","","19,00","","","M","","M","","","","","ND"
"1995-10-02 09:00","1995","10","02","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 09:46","1995","10","02","09:46"," ","16,30","","16,30","","100,00","","5,00","","17,00","","","M","","M","","","","","ND"
"1995-10-02 10:00","1995","10","02","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 10:46","1995","10","02","10:46"," ","16,60","","16,60","","100,00","","6,00","","15,00","","","M","","M","","","","","ND"
"1995-10-02 11:00","1995","10","02","11:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 11:46","1995","10","02","11:46"," ","16,70","","16,70","","100,00","","9,00","","9,00","","","M","","M","","","","","ND"
"1995-10-02 12:00","1995","10","02","12:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 12:46","1995","10","02","12:46"," ","17,30","","17,30","","100,00","","9,00","","11,00","","","M","","M","","","","","ND"
"1995-10-02 13:00","1995","10","02","13:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 13:46","1995","10","02","13:46"," ","18,20","","18,20","","100,00","","7,00","","4,00","","","M","","M","","","","","ND"
"1995-10-02 14:00","1995","10","02","14:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 14:46","1995","10","02","14:46"," ","17,60","","17,60","","100,00","","11,00","","6,00","","","M","","M","","","","","ND"
"1995-10-02 15:00","1995","10","02","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 15:46","1995","10","02","15:46"," ","17,30","","17,30","","100,00","","1,00","","7,00","","","M","","M","","","","","ND"
"1995-10-02 16:00","1995","10","02","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 16:46","1995","10","02","16:46"," ","17,60","","17,60","","100,00","","0,00","","0,00","","","M","","M","","","","","ND"
"1995-10-02 17:00","1995","10","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 17:46","1995","10","02","17:46"," ","16,10","","16,10","","100,00","","27,00","","2,00","","","M","","M","","","","","ND"
"1995-10-02 18:00","1995","10","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 18:46","1995","10","02","18:46"," ","16,50","","16,50","","100,00","","10,00","","7,00","","","M","","M","","","","","ND"
"1995-10-02 19:00","1995","10","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 19:46","1995","10","02","19:46"," ","16,80","","16,80","","100,00","","15,00","","2,00","","","M","","M","","","","","ND"
"1995-10-02 20:00","1995","10","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 20:46","1995","10","02","20:46"," ","16,90","","16,90","","100,00","","31,00","","11,00","","","M","","M","","","","","ND"
"1995-10-02 21:00","1995","10","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 21:46","1995","10","02","21:46"," ","16,80","","16,80","","100,00","","30,00","","11,00","","","M","","M","","","","","ND"
"1995-10-02 22:00","1995","10","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-02 22:46","1995","10","02","22:46"," ","16,50","","16,50","","100,00","","29,00","","11,00","","","M","","M","","","","","ND"
"1995-10-02 23:00","1995","10","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 00:00","1995","10","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 00:46","1995","10","03","00:46"," ","15,50","","15,50","","100,00","","28,00","","15,00","","","M","","M","","","","","ND"
"1995-10-03 01:00","1995","10","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 01:46","1995","10","03","01:46"," ","15,30","","15,30","","100,00","","29,00","","22,00","","","M","","M","","","","","ND"
"1995-10-03 02:00","1995","10","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 02:46","1995","10","03","02:46"," ","15,10","","15,10","","100,00","","29,00","","9,00","","","M","","M","","","","","ND"
"1995-10-03 03:00","1995","10","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 03:46","1995","10","03","03:46"," ","15,00","","15,00","","100,00","","29,00","","15,00","","","M","","M","","","","","ND"
"1995-10-03 04:00","1995","10","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 04:46","1995","10","03","04:46"," ","14,90","","14,90","","100,00","","27,00","","13,00","","","M","","M","","","","","ND"
"1995-10-03 05:00","1995","10","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 05:46","1995","10","03","05:46"," ","14,30","","14,30","","100,00","","29,00","","15,00","","","M","","M","","","","","ND"
"1995-10-03 06:00","1995","10","03","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1995-10-03 06:46","1995","10","03","06:46"," ","12,80","","12,80","","100,00","","27,00","","15,00","","","M","","M","","","","","ND"
"1995-10-03 07:00","1995","10","03","07:00"," ","","","","","","","","","","","","","","","","","","",""
