"Nom de la Station","CRANBROOK A"
"Province","BRITISH COLUMBIA"
"Latitude","49,61"
"Longitude","-115,78"
"Altitude","940,00"
"Identification Climat","1152102"
"Identification OMM","71880"
"Identification TC","YXC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2004-01-01 00:00","2004","01","01","00:00"," ","-12,10","","-14,10","","85,00","","18,00","","6,00","","8,00","","90,01","","","","-16,00","","Neige"
"2004-01-01 01:00","2004","01","01","01:00"," ","-12,40","","-14,30","","86,00","","0,00","","0,00","","24,10","","90,03","","","","","","Nuageux"
"2004-01-01 02:00","2004","01","01","02:00"," ","-12,80","","-14,90","","84,00","","0,00","","0,00","","40,20","","90,06","","","","","","Généralement dégagé"
"2004-01-01 03:00","2004","01","01","03:00"," ","-15,20","","-16,80","","88,00","","0,00","","0,00","","40,20","","90,11","","","","","","Généralement dégagé"
"2004-01-01 04:00","2004","01","01","04:00"," ","-14,90","","-16,50","","88,00","","0,00","","0,00","","40,20","","90,14","","","","","","Généralement dégagé"
"2004-01-01 05:00","2004","01","01","05:00"," ","-16,00","","-17,60","","87,00","","0,00","","0,00","","40,20","","90,15","","","","","","Nuageux"
"2004-01-01 06:00","2004","01","01","06:00"," ","-14,70","","-16,50","","86,00","","27,00","","4,00","","40,20","","90,12","","","","-18,00","","Nuageux"
"2004-01-01 07:00","2004","01","01","07:00"," ","-14,10","","-15,90","","86,00","","0,00","","0,00","","24,10","","90,04","","","","","","Neige"
"2004-01-01 08:00","2004","01","01","08:00"," ","-13,80","","-15,50","","87,00","","0,00","","0,00","","32,20","","90,03","","","","","","Neige"
"2004-01-01 09:00","2004","01","01","09:00"," ","-12,70","","-14,70","","85,00","","17,00","","7,00","","40,20","","90,02","","","","-17,00","","Neige"
"2004-01-01 10:00","2004","01","01","10:00"," ","-12,70","","-14,50","","86,00","","0,00","","0,00","","4,80","","89,98","","","","","","Neige"
"2004-01-01 11:00","2004","01","01","11:00"," ","-12,00","","-14,00","","85,00","","0,00","","0,00","","4,80","","89,88","","","","","","Neige"
"2004-01-01 12:00","2004","01","01","12:00"," ","-11,00","","-13,30","","83,00","","0,00","","0,00","","6,40","","89,77","","","","","","Neige"
"2004-01-01 13:00","2004","01","01","13:00"," ","-10,10","","-12,70","","81,00","","0,00","","0,00","","16,10","","89,62","","","","","","Généralement nuageux"
"2004-01-01 14:00","2004","01","01","14:00"," ","-9,90","","-13,30","","76,00","","0,00","","0,00","","24,10","","89,44","","","","","","Généralement nuageux"
"2004-01-01 15:00","2004","01","01","15:00"," ","-9,70","","-13,10","","76,00","","1,00","","7,00","","24,10","","89,34","","","","-14,00","","Généralement nuageux"
"2004-01-01 16:00","2004","01","01","16:00"," ","-10,10","","-13,20","","78,00","","2,00","","15,00","","24,10","","89,29","","","","-17,00","","Généralement nuageux"
"2004-01-01 17:00","2004","01","01","17:00"," ","-10,10","","-13,30","","77,00","","1,00","","22,00","","24,10","","89,26","","","","-18,00","","Nuageux"
"2004-01-01 18:00","2004","01","01","18:00"," ","-9,90","","-13,00","","78,00","","1,00","","11,00","","24,10","","89,23","","","","-15,00","","Nuageux"
"2004-01-01 19:00","2004","01","01","19:00"," ","-9,80","","-12,90","","78,00","","3,00","","15,00","","24,10","","89,28","","","","-16,00","","Nuageux"
"2004-01-01 20:00","2004","01","01","20:00"," ","-9,70","","-12,60","","79,00","","0,00","","0,00","","16,10","","89,32","","","","","","Averses de neige"
"2004-01-01 21:00","2004","01","01","21:00"," ","-9,50","","-13,00","","76,00","","3,00","","7,00","","16,10","","89,40","","","","-13,00","","Neige"
"2004-01-01 22:00","2004","01","01","22:00"," ","-10,00","","-12,60","","81,00","","0,00","","0,00","","16,10","","89,48","","","","","","Neige"
"2004-01-01 23:00","2004","01","01","23:00"," ","-9,50","","-12,20","","81,00","","3,00","","6,00","","16,10","","89,59","","","","-13,00","","Neige"
"2004-01-02 00:00","2004","01","02","00:00"," ","-9,80","","-11,80","","85,00","","0,00","","0,00","","4,80","","89,64","","","","","","Neige"
"2004-01-02 01:00","2004","01","02","01:00"," ","-10,00","","-11,60","","88,00","","35,00","","4,00","","4,80","","89,68","","","","-12,00","","Neige"
"2004-01-02 02:00","2004","01","02","02:00"," ","-10,10","","-11,80","","87,00","","0,00","","0,00","","3,20","","89,76","","","","","","Neige"
"2004-01-02 03:00","2004","01","02","03:00"," ","-10,60","","-12,30","","87,00","","0,00","","0,00","","8,00","","89,84","","","","","","Neige"
"2004-01-02 04:00","2004","01","02","04:00"," ","-10,60","","-12,90","","83,00","","0,00","","0,00","","16,10","","89,89","","","","","","Neige"
"2004-01-02 05:00","2004","01","02","05:00"," ","-12,00","","-14,20","","84,00","","0,00","","0,00","","24,10","","89,93","","","","","","Nuageux"
"2004-01-02 06:00","2004","01","02","06:00"," ","-13,90","","-15,80","","86,00","","0,00","","0,00","","24,10","","89,95","","","","","","Généralement dégagé"
"2004-01-02 07:00","2004","01","02","07:00"," ","-14,60","","-16,20","","88,00","","0,00","","0,00","","24,10","","90,00","","","","","","Généralement dégagé"
"2004-01-02 08:00","2004","01","02","08:00"," ","-15,60","","-17,10","","88,00","","0,00","","0,00","","40,20","","90,02","","","","","","Généralement nuageux"
"2004-01-02 09:00","2004","01","02","09:00"," ","-15,00","","-16,70","","87,00","","0,00","","0,00","","40,20","","90,08","","","","","","Nuageux"
"2004-01-02 10:00","2004","01","02","10:00"," ","-14,00","","-15,60","","88,00","","0,00","","0,00","","40,20","","90,12","","","","","","Généralement nuageux"
"2004-01-02 11:00","2004","01","02","11:00"," ","-12,80","","-14,70","","86,00","","0,00","","0,00","","40,20","","90,15","","","","","","Nuageux"
"2004-01-02 12:00","2004","01","02","12:00"," ","-11,90","","-14,40","","82,00","","0,00","","0,00","","32,20","","90,12","","","","","","Nuageux"
"2004-01-02 13:00","2004","01","02","13:00"," ","-10,30","","-14,20","","73,00","","14,00","","9,00","","32,20","","90,06","","","","-15,00","","Généralement nuageux"
"2004-01-02 14:00","2004","01","02","14:00"," ","-9,70","","-14,50","","68,00","","6,00","","7,00","","32,20","","90,02","","","","-14,00","","Généralement nuageux"
"2004-01-02 15:00","2004","01","02","15:00"," ","-9,40","","-14,40","","67,00","","11,00","","7,00","","40,20","","90,02","","","","-13,00","","Généralement nuageux"
"2004-01-02 16:00","2004","01","02","16:00"," ","-9,80","","-14,60","","68,00","","13,00","","4,00","","40,20","","90,03","","","","-12,00","","Généralement nuageux"
"2004-01-02 17:00","2004","01","02","17:00"," ","-10,50","","-14,60","","72,00","","0,00","","0,00","","32,20","","90,04","","","","","","Généralement nuageux"
"2004-01-02 18:00","2004","01","02","18:00"," ","-12,60","","-15,10","","82,00","","0,00","","0,00","","32,20","","90,04","","","","","","Généralement nuageux"
"2004-01-02 19:00","2004","01","02","19:00"," ","-12,90","","-15,50","","81,00","","0,00","","0,00","","32,20","","90,06","","","","","","Généralement nuageux"
"2004-01-02 20:00","2004","01","02","20:00"," ","-14,90","","-16,70","","86,00","","0,00","","0,00","","40,20","","90,08","","","","","","Généralement dégagé"
"2004-01-02 21:00","2004","01","02","21:00"," ","-16,10","","-17,40","","90,00","","28,00","","9,00","","40,20","","90,11","","","","-22,00","","Généralement dégagé"
"2004-01-02 22:00","2004","01","02","22:00"," ","-17,70","","-18,90","","90,00","","0,00","","0,00","","40,20","","90,16","","","","","","Généralement nuageux"
"2004-01-02 23:00","2004","01","02","23:00"," ","-18,30","","-20,10","","86,00","","0,00","","0,00","","40,20","","90,18","","","","","","Généralement nuageux"
"2004-01-03 00:00","2004","01","03","00:00"," ","-17,40","","-20,10","","79,00","","0,00","","0,00","","40,20","","90,21","","","","","","Nuageux"
"2004-01-03 01:00","2004","01","03","01:00"," ","-19,40","","-24,40","","65,00","","0,00","","0,00","","40,20","","90,20","","","","","","Généralement dégagé"
"2004-01-03 02:00","2004","01","03","02:00"," ","-18,50","","-22,60","","70,00","","28,00","","6,00","","40,20","","90,20","","","","-23,00","","Nuageux"
"2004-01-03 03:00","2004","01","03","03:00"," ","-16,20","","-19,70","","74,00","","0,00","","0,00","","40,20","","90,24","","","","","","Neige"
"2004-01-03 04:00","2004","01","03","04:00"," ","-14,70","","-17,40","","80,00","","31,00","","4,00","","40,20","","90,25","","","","-18,00","","Nuageux"
"2004-01-03 05:00","2004","01","03","05:00"," ","-14,20","","-17,20","","78,00","","34,00","","7,00","","3,20","","90,24","","","","-19,00","","Neige"
"2004-01-03 06:00","2004","01","03","06:00"," ","-14,00","","-17,40","","75,00","","36,00","","11,00","","3,20","","90,26","","","","-20,00","","Neige"
"2004-01-03 07:00","2004","01","03","07:00"," ","-14,20","","-18,60","","69,00","","1,00","","19,00","","3,20","","90,30","","","","-23,00","","Neige"
"2004-01-03 08:00","2004","01","03","08:00"," ","-15,00","","-20,00","","66,00","","36,00","","26,00","","4,80","","90,38","","","","-25,00","","Neige"
"2004-01-03 09:00","2004","01","03","09:00"," ","-15,20","","-20,70","","63,00","","36,00","","22,00","","9,70","","90,44","","","","-25,00","","Neige"
"2004-01-03 10:00","2004","01","03","10:00"," ","-15,30","","-21,10","","61,00","","36,00","","28,00","","9,70","","90,57","","","","-26,00","","Neige"
"2004-01-03 11:00","2004","01","03","11:00"," ","-15,50","","-21,80","","58,00","","36,00","","24,00","","8,00","","90,64","","","","-26,00","","Neige"
"2004-01-03 12:00","2004","01","03","12:00"," ","-15,70","","-22,70","","55,00","","3,00","","20,00","","19,30","","90,67","","","","-25,00","","Neige"
"2004-01-03 13:00","2004","01","03","13:00"," ","-15,20","","-22,30","","55,00","","2,00","","22,00","","9,70","","90,69","","","","-25,00","","Neige"
"2004-01-03 14:00","2004","01","03","14:00"," ","-15,10","","-20,20","","65,00","","3,00","","19,00","","9,70","","90,75","","","","-24,00","","Neige"
"2004-01-03 15:00","2004","01","03","15:00"," ","-14,60","","-20,70","","60,00","","3,00","","15,00","","24,10","","90,81","","","","-22,00","","Neige"
"2004-01-03 16:00","2004","01","03","16:00"," ","-15,50","","-22,60","","54,00","","11,00","","7,00","","32,20","","90,88","","","","-20,00","","Généralement nuageux"
"2004-01-03 17:00","2004","01","03","17:00"," ","-17,40","","-24,10","","56,00","","0,00","","0,00","","40,20","","90,95","","","","","","Généralement dégagé"
"2004-01-03 18:00","2004","01","03","18:00"," ","-20,30","","-25,50","","63,00","","0,00","","0,00","","40,20","","90,99","","","","","","Dégagé"
"2004-01-03 19:00","2004","01","03","19:00"," ","-22,70","","-26,90","","69,00","","0,00","","0,00","","40,20","","91,05","","","","","","Dégagé"
"2004-01-03 20:00","2004","01","03","20:00"," ","-21,60","","-26,60","","64,00","","30,00","","7,00","","40,20","","91,12","","","","-28,00","","Dégagé"
"2004-01-03 21:00","2004","01","03","21:00"," ","-22,40","","-27,40","","64,00","","29,00","","9,00","","40,20","","91,16","","","","-30,00","","Dégagé"
"2004-01-03 22:00","2004","01","03","22:00"," ","-22,80","","-27,70","","64,00","","32,00","","9,00","","40,20","","91,19","","","","-30,00","","Dégagé"
"2004-01-03 23:00","2004","01","03","23:00"," ","-23,30","","-28,20","","64,00","","30,00","","11,00","","40,20","","91,24","","","","-32,00","","Dégagé"
"2004-01-04 00:00","2004","01","04","00:00"," ","-23,40","","-26,80","","74,00","","3,00","","6,00","","40,20","","91,28","","","","-29,00","","Dégagé"
"2004-01-04 01:00","2004","01","04","01:00"," ","-27,20","","-32,90","","58,00","","27,00","","7,00","","40,20","","91,30","","","","-34,00","","Dégagé"
"2004-01-04 02:00","2004","01","04","02:00"," ","-26,70","","-30,90","","68,00","","26,00","","11,00","","40,20","","91,34","","","","-36,00","","Dégagé"
"2004-01-04 03:00","2004","01","04","03:00"," ","-27,40","","-31,70","","67,00","","0,00","","0,00","","40,20","","91,40","","","","","","Dégagé"
"2004-01-04 04:00","2004","01","04","04:00"," ","-28,40","","-32,50","","68,00","","0,00","","0,00","","40,20","","91,43","","","","","","Dégagé"
"2004-01-04 05:00","2004","01","04","05:00"," ","-28,70","","-33,50","","63,00","","0,00","","0,00","","40,20","","91,46","","","","","","Dégagé"
"2004-01-04 06:00","2004","01","04","06:00"," ","-30,70","","-36,50","","57,00","","0,00","","0,00","","40,20","","91,51","","","","","","Dégagé"
"2004-01-04 07:00","2004","01","04","07:00"," ","-28,70","","-32,40","","70,00","","0,00","","0,00","","40,20","","91,56","","","","","","Dégagé"
"2004-01-04 08:00","2004","01","04","08:00"," ","-29,70","","-34,50","","63,00","","0,00","","0,00","","40,20","","91,64","","","","","","Dégagé"
"2004-01-04 09:00","2004","01","04","09:00"," ","-31,20","","-36,30","","61,00","","22,00","","6,00","","40,20","","91,72","","","","-38,00","","Dégagé"
"2004-01-04 10:00","2004","01","04","10:00"," ","-28,20","","-30,40","","81,00","","0,00","","0,00","","40,20","","91,80","","","","","","Dégagé"
"2004-01-04 11:00","2004","01","04","11:00"," ","-23,30","","-27,90","","66,00","","0,00","","0,00","","40,20","","91,86","","","","","","Dégagé"
"2004-01-04 12:00","2004","01","04","12:00"," ","-22,30","","-27,70","","61,00","","0,00","","0,00","","40,20","","91,84","","","","","","Dégagé"
