"Nom de la Station","VICTORIA INT'L A"
"Province","BRITISH COLUMBIA"
"Latitude","48,65"
"Longitude","-123,43"
"Altitude","19,50"
"Identification Climat","1018620"
"Identification OMM","71799"
"Identification TC","YYJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1973-07-01 00:00","1973","07","01","00:00"," ","11,10","","5,00","","66,00","","26,00","","14,00","","48,30","","101,56","","","","","","Dégagé"
"1973-07-01 01:00","1973","07","01","01:00"," ","10,00","","4,40","","70,00","","23,00","","6,00","","48,30","","101,60","","","","","","Généralement dégagé"
"1973-07-01 02:00","1973","07","01","02:00"," ","5,60","","3,30","","85,00","","15,00","","5,00","","48,30","","101,61","","","","","","Généralement dégagé"
"1973-07-01 03:00","1973","07","01","03:00"," ","6,70","","4,40","","87,00","","0,00","","0,00","","48,30","","101,62","","","","","","Généralement dégagé"
"1973-07-01 04:00","1973","07","01","04:00"," ","6,70","","4,40","","84,00","","21,00","","3,00","","48,30","","101,63","","","","","","Généralement dégagé"
"1973-07-01 05:00","1973","07","01","05:00"," ","5,00","","3,30","","90,00","","0,00","","0,00","","48,30","","101,69","","","","","","Généralement dégagé"
"1973-07-01 06:00","1973","07","01","06:00"," ","10,00","","7,20","","83,00","","0,00","","0,00","","32,20","","101,69","","","","","","Généralement dégagé"
"1973-07-01 07:00","1973","07","01","07:00"," ","13,30","","7,20","","68,00","","10,00","","8,00","","32,20","","101,70","","","","","","Généralement dégagé"
"1973-07-01 08:00","1973","07","01","08:00"," ","14,40","","9,40","","70,00","","12,00","","18,00","","32,20","","101,69","","","","","","Généralement nuageux"
"1973-07-01 09:00","1973","07","01","09:00"," ","13,90","","8,90","","71,00","","13,00","","23,00","","32,20","","101,71","","","","","","Généralement nuageux"
