"Nom de la Station","KAMLOOPS A"
"Province","BRITISH COLUMBIA"
"Latitude","50,70"
"Longitude","-120,44"
"Altitude","345,30"
"Identification Climat","1163780"
"Identification OMM","71887"
"Identification TC","YKA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1960-02-01 00:00","1960","02","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-01 01:00","1960","02","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-01 02:00","1960","02","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-01 03:00","1960","02","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-01 04:00","1960","02","01","04:00"," ","2,20","","0,00","","85,00","","5,00","","26,00","","48,30","","96,65","","","","","","Nuageux"
"1960-02-01 05:00","1960","02","01","05:00"," ","2,20","","0,00","","85,00","","7,00","","16,00","","48,30","","96,57","","","","","","Nuageux"
"1960-02-01 06:00","1960","02","01","06:00"," ","2,20","","0,00","","85,00","","7,00","","19,00","","48,30","","96,47","","","","","","Généralement nuageux"
"1960-02-01 07:00","1960","02","01","07:00"," ","2,20","","0,00","","85,00","","7,00","","16,00","","48,30","","96,38","","","","","","Généralement nuageux"
"1960-02-01 08:00","1960","02","01","08:00"," ","2,20","","0,00","","85,00","","7,00","","23,00","","48,30","","96,32","","","","","","Généralement nuageux"
"1960-02-01 09:00","1960","02","01","09:00"," ","2,80","","-0,60","","80,00","","9,00","","26,00","","48,30","","96,33","","","","","","Généralement nuageux"
"1960-02-01 10:00","1960","02","01","10:00"," ","3,30","","0,00","","78,00","","9,00","","29,00","","48,30","","96,13","","","","","","Généralement nuageux"
"1960-02-01 11:00","1960","02","01","11:00"," ","4,40","","0,00","","72,00","","9,00","","19,00","","48,30","","96,02","","","","","","Généralement nuageux"
"1960-02-01 12:00","1960","02","01","12:00"," ","4,40","","-0,60","","70,00","","9,00","","16,00","","48,30","","95,95","","","","","","Généralement nuageux"
"1960-02-01 13:00","1960","02","01","13:00"," ","5,60","","-1,70","","61,00","","9,00","","19,00","","48,30","","95,91","","","","","","Nuageux"
"1960-02-01 14:00","1960","02","01","14:00"," ","5,00","","-0,60","","69,00","","9,00","","13,00","","48,30","","95,66","","","","","","Généralement nuageux"
"1960-02-01 15:00","1960","02","01","15:00"," ","5,00","","-0,60","","66,00","","9,00","","16,00","","48,30","","95,55","","","","","","Nuageux"
"1960-02-01 16:00","1960","02","01","16:00"," ","4,40","","0,00","","72,00","","9,00","","16,00","","48,30","","95,44","","","","","","Nuageux"
"1960-02-01 17:00","1960","02","01","17:00"," ","3,90","","-0,60","","72,00","","9,00","","16,00","","48,30","","95,33","","","","","","Nuageux"
"1960-02-01 18:00","1960","02","01","18:00"," ","3,30","","-0,60","","76,00","","9,00","","16,00","","48,30","","95,23","","","","","","Nuageux"
"1960-02-01 19:00","1960","02","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-01 20:00","1960","02","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-01 21:00","1960","02","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-01 22:00","1960","02","01","22:00"," ","3,90","","-0,60","","72,00","","9,00","","16,00","","48,30","","95,08","","","","","","Nuageux"
"1960-02-01 23:00","1960","02","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-02 00:00","1960","02","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1960-02-02 01:00","1960","02","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
