"Nom de la Station","REVELSTOKE A"
"Province","BRITISH COLUMBIA"
"Latitude","50,96"
"Longitude","-118,18"
"Altitude","444,70"
"Identification Climat","1176749"
"Identification OMM",""
"Identification TC","ZRV"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-06-01 00:00","2012","06","01","00:00"," ","9,30","","9,00","","98,00","","","M","","M","","M","96,35","","","","","","ND"
"2012-06-01 01:00","2012","06","01","01:00"," ","9,00","","8,70","","98,00","","","M","","M","","M","96,36","","","","","","ND"
"2012-06-01 02:00","2012","06","01","02:00"," ","8,10","","7,80","","98,00","","","M","","M","","M","96,34","","","","","","ND"
"2012-06-01 03:00","2012","06","01","03:00"," ","8,50","","8,20","","98,00","","","M","","M","","M","96,31","","","","","","ND"
"2012-06-01 04:00","2012","06","01","04:00"," ","8,40","","8,10","","98,00","","","M","","M","","M","96,32","","","","","","ND"
"2012-06-01 05:00","2012","06","01","05:00"," ","8,80","","8,60","","99,00","","","M","","M","","M","96,26","","","","","","ND"
"2012-06-01 06:00","2012","06","01","06:00"," ","9,40","","8,80","","96,00","","","M","","M","","M","96,23","","","","","","ND"
"2012-06-01 07:00","2012","06","01","07:00"," ","10,00","","9,10","","94,00","","","M","","M","","M","96,24","","","","","","ND"
"2012-06-01 08:00","2012","06","01","08:00"," ","10,20","","9,30","","94,00","","","M","","M","","M","96,22","","","","","","ND"
"2012-06-01 09:00","2012","06","01","09:00"," ","10,70","","10,00","","95,00","","","M","","M","","M","96,18","","","","","","ND"
"2012-06-01 10:00","2012","06","01","10:00"," ","10,70","","10,00","","95,00","","","M","","M","","M","96,13","","","","","","ND"
"2012-06-01 11:00","2012","06","01","11:00"," ","10,90","","9,90","","94,00","","","M","","M","","M","96,19","","","","","","ND"
"2012-06-01 12:00","2012","06","01","12:00"," ","11,30","","10,50","","95,00","","","M","","M","","M","96,14","","","","","","ND"
"2012-06-01 13:00","2012","06","01","13:00"," ","11,70","","10,40","","92,00","","","M","","M","","M","96,14","","","","","","ND"
"2012-06-01 14:00","2012","06","01","14:00"," ","11,90","","10,70","","92,00","","","M","","M","","M","96,09","","","","","","ND"
"2012-06-01 15:00","2012","06","01","15:00"," ","11,80","","11,20","","96,00","","","M","","M","","M","96,03","","","","","","ND"
"2012-06-01 16:00","2012","06","01","16:00"," ","11,80","","10,20","","90,00","","","M","","M","","M","95,96","","","","","","ND"
"2012-06-01 17:00","2012","06","01","17:00"," ","11,60","","11,00","","96,00","","","M","","M","","M","95,92","","","","","","ND"
"2012-06-01 18:00","2012","06","01","18:00"," ","11,40","","10,90","","97,00","","","M","","M","","M","95,84","","","","","","ND"
"2012-06-01 19:00","2012","06","01","19:00"," ","11,50","","11,10","","97,00","","","M","","M","","M","95,87","","","","","","ND"
"2012-06-01 20:00","2012","06","01","20:00"," ","10,90","","10,70","","99,00","","","M","","M","","M","95,80","","","","","","ND"
"2012-06-01 21:00","2012","06","01","21:00"," ","11,10","","10,80","","98,00","","","M","","M","","M","95,79","","","","","","ND"
"2012-06-01 22:00","2012","06","01","22:00"," ","10,90","","10,60","","98,00","","","M","","M","","M","95,78","","","","","","ND"
"2012-06-01 23:00","2012","06","01","23:00"," ","10,70","","10,50","","99,00","","","M","","M","","M","95,76","","","","","","ND"
