"Nom de la Station","FORT ST JOHN A"
"Province","BRITISH COLUMBIA"
"Latitude","56,24"
"Longitude","-120,74"
"Altitude","694,90"
"Identification Climat","1183000"
"Identification OMM","71943"
"Identification TC","YXJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1959-02-01 00:00","1959","02","01","00:00"," ","-20,00","","-22,80","","78,00","","20,00","","10,00","","25,00","","94,42","","","","-27,00","","Nuageux"
"1959-02-01 01:00","1959","02","01","01:00"," ","-17,80","","-20,00","","83,00","","23,00","","19,00","","25,00","","94,39","","","","-27,00","","Nuageux"
"1959-02-01 02:00","1959","02","01","02:00"," ","-17,20","","-19,40","","83,00","","20,00","","23,00","","25,00","","94,31","","","","-28,00","","Généralement nuageux"
"1959-02-01 03:00","1959","02","01","03:00"," ","-12,20","","-13,90","","87,00","","20,00","","19,00","","25,00","","94,24","","","","-20,00","","Généralement nuageux"
"1959-02-01 04:00","1959","02","01","04:00"," ","-11,70","","-13,90","","84,00","","20,00","","23,00","","25,00","","94,19","","","","-21,00","","Généralement nuageux"
"1959-02-01 05:00","1959","02","01","05:00"," ","-8,90","","-10,00","","92,00","","20,00","","16,00","","25,00","","94,11","","","","-16,00","","Nuageux"
"1959-02-01 06:00","1959","02","01","06:00"," ","-5,60","","-6,70","","92,00","","23,00","","32,00","","25,00","","94,07","","","","-14,00","","Nuageux"
"1959-02-01 07:00","1959","02","01","07:00"," ","-3,90","","-5,00","","92,00","","23,00","","34,00","","25,00","","93,99","","","","-12,00","","Généralement nuageux"
"1959-02-01 08:00","1959","02","01","08:00"," ","0,00","","-2,20","","85,00","","23,00","","32,00","","25,00","","94,09","","","","-7,00","","Nuageux"
"1959-02-01 09:00","1959","02","01","09:00"," ","0,60","","-1,70","","85,00","","23,00","","32,00","","25,00","","94,03","","","","","","Nuageux"
"1959-02-01 10:00","1959","02","01","10:00"," ","1,10","","-1,70","","82,00","","23,00","","29,00","","25,00","","94,01","","","","","","Nuageux"
"1959-02-01 11:00","1959","02","01","11:00"," ","2,20","","-2,80","","69,00","","23,00","","39,00","","25,00","","93,94","","","","","","Nuageux"
"1959-02-01 12:00","1959","02","01","12:00"," ","3,30","","-0,60","","76,00","","23,00","","45,00","","25,00","","93,88","","","","","","Nuageux"
"1959-02-01 13:00","1959","02","01","13:00"," ","2,80","","-0,60","","79,00","","23,00","","55,00","","25,00","","93,83","","","","","","Nuageux"
"1959-02-01 14:00","1959","02","01","14:00"," ","2,20","","-0,60","","82,00","","20,00","","39,00","","25,00","","93,71","","","","","","Nuageux"
"1959-02-01 15:00","1959","02","01","15:00"," ","3,30","","-0,60","","76,00","","20,00","","61,00","","25,00","","93,54","","","","","","Généralement nuageux"
"1959-02-01 16:00","1959","02","01","16:00"," ","3,30","","-0,60","","76,00","","20,00","","48,00","","25,00","","93,44","","","","","","Généralement nuageux"
"1959-02-01 17:00","1959","02","01","17:00"," ","3,30","","-0,60","","76,00","","20,00","","45,00","","25,00","","93,30","","","","","","Généralement nuageux"
"1959-02-01 18:00","1959","02","01","18:00"," ","3,30","","0,00","","79,00","","23,00","","48,00","","25,00","","93,19","","","","","","Généralement dégagé"
"1959-02-01 19:00","1959","02","01","19:00"," ","2,80","","0,00","","82,00","","20,00","","42,00","","25,00","","93,04","","","","","","Généralement dégagé"
"1959-02-01 20:00","1959","02","01","20:00"," ","3,90","","1,70","","85,00","","23,00","","42,00","","25,00","","92,89","","","","","","Généralement dégagé"
"1959-02-01 21:00","1959","02","01","21:00"," ","3,90","","1,10","","82,00","","20,00","","51,00","","25,00","","92,72","","","","","","Généralement dégagé"
"1959-02-01 22:00","1959","02","01","22:00"," ","4,40","","0,60","","76,00","","20,00","","45,00","","25,00","","92,66","","","","","","Généralement dégagé"
"1959-02-01 23:00","1959","02","01","23:00"," ","3,90","","0,00","","76,00","","23,00","","55,00","","25,00","","92,48","","","","","","Généralement dégagé"
"1959-02-02 00:00","1959","02","02","00:00"," ","4,40","","-0,60","","70,00","","25,00","","39,00","","25,00","","92,57","","","","","","Généralement dégagé"
"1959-02-02 01:00","1959","02","02","01:00"," ","4,40","","0,00","","73,00","","25,00","","32,00","","25,00","","92,71","","","","","","Nuageux"
"1959-02-02 02:00","1959","02","02","02:00"," ","3,30","","1,10","","85,00","","5,00","","16,00","","16,10","","93,02","","","","","","Pluie"
"1959-02-02 03:00","1959","02","02","03:00"," ","1,10","","0,00","","92,00","","34,00","","26,00","","1,60","","93,27","","","","","","Neige"
"1959-02-02 04:00","1959","02","02","04:00"," ","1,70","","0,60","","92,00","","29,00","","29,00","","24,10","","93,37","","","","","","Pluie"
"1959-02-02 05:00","1959","02","02","05:00"," ","2,20","","0,60","","89,00","","27,00","","23,00","","25,00","","93,46","","","","","","Généralement nuageux"
"1959-02-02 06:00","1959","02","02","06:00"," ","1,10","","0,00","","92,00","","27,00","","23,00","","25,00","","93,55","","","","","","Généralement dégagé"
"1959-02-02 07:00","1959","02","02","07:00"," ","0,60","","-1,10","","88,00","","27,00","","19,00","","25,00","","93,57","","","","","","Généralement nuageux"
"1959-02-02 08:00","1959","02","02","08:00"," ","0,00","","-2,80","","82,00","","23,00","","13,00","","25,00","","93,59","","","","-4,00","","Généralement nuageux"
"1959-02-02 09:00","1959","02","02","09:00"," ","0,00","","-1,10","","92,00","","25,00","","10,00","","25,00","","93,58","","","","-3,00","","Généralement nuageux"
"1959-02-02 10:00","1959","02","02","10:00"," ","-1,70","","-2,20","","96,00","","20,00","","16,00","","25,00","","93,58","","","","-7,00","","Généralement nuageux"
"1959-02-02 11:00","1959","02","02","11:00"," ","0,00","","-2,20","","85,00","","25,00","","16,00","","25,00","","93,53","","","","-5,00","","Généralement nuageux"
"1959-02-02 12:00","1959","02","02","12:00"," ","0,60","","-3,90","","72,00","","25,00","","21,00","","25,00","","93,50","","","","","","Généralement nuageux"
"1959-02-02 13:00","1959","02","02","13:00"," ","1,10","","-2,20","","78,00","","23,00","","16,00","","25,00","","93,38","","","","","","Généralement nuageux"
"1959-02-02 14:00","1959","02","02","14:00"," ","1,10","","-2,80","","75,00","","20,00","","19,00","","25,00","","93,23","","","","","","Généralement nuageux"
"1959-02-02 15:00","1959","02","02","15:00"," ","1,10","","-3,30","","72,00","","20,00","","16,00","","25,00","","93,12","","","","","","Généralement nuageux"
"1959-02-02 16:00","1959","02","02","16:00"," ","1,70","","-3,30","","69,00","","23,00","","23,00","","25,00","","92,96","","","","","","Généralement nuageux"
"1959-02-02 17:00","1959","02","02","17:00"," ","1,70","","-3,90","","67,00","","23,00","","35,00","","25,00","","92,86","","","","","","Généralement nuageux"
"1959-02-02 18:00","1959","02","02","18:00"," ","2,20","","-2,20","","72,00","","23,00","","35,00","","25,00","","92,71","","","","","","Généralement dégagé"
"1959-02-02 19:00","1959","02","02","19:00"," ","1,70","","-2,80","","72,00","","25,00","","42,00","","25,00","","92,61","","","","","","Généralement dégagé"
"1959-02-02 20:00","1959","02","02","20:00"," ","1,70","","-3,30","","69,00","","25,00","","45,00","","25,00","","92,49","","","","","","Généralement nuageux"
"1959-02-02 21:00","1959","02","02","21:00"," ","1,10","","-2,80","","75,00","","25,00","","32,00","","25,00","","92,43","","","","","","Généralement nuageux"
"1959-02-02 22:00","1959","02","02","22:00"," ","2,20","","-2,20","","72,00","","23,00","","26,00","","25,00","","92,36","","","","","","Nuageux"
"1959-02-02 23:00","1959","02","02","23:00"," ","2,80","","-1,70","","72,00","","23,00","","29,00","","25,00","","92,33","","","","","","Nuageux"
"1959-02-03 00:00","1959","02","03","00:00"," ","2,80","","-2,20","","70,00","","25,00","","39,00","","25,00","","92,24","","","","","","Nuageux"
"1959-02-03 01:00","1959","02","03","01:00"," ","2,80","","-2,80","","67,00","","25,00","","32,00","","25,00","","92,24","","","","","","Généralement nuageux"
"1959-02-03 02:00","1959","02","03","02:00"," ","1,10","","-2,80","","75,00","","25,00","","24,00","","25,00","","92,23","","","","","","Généralement dégagé"
"1959-02-03 03:00","1959","02","03","03:00"," ","0,00","","-3,30","","78,00","","25,00","","29,00","","25,00","","92,20","","","","-6,00","","Dégagé"
"1959-02-03 04:00","1959","02","03","04:00"," ","0,60","","-2,80","","78,00","","25,00","","32,00","","25,00","","92,17","","","","","","Dégagé"
"1959-02-03 05:00","1959","02","03","05:00"," ","0,60","","-3,90","","72,00","","36,00","","23,00","","25,00","","92,24","","","","","","Généralement dégagé"
"1959-02-03 06:00","1959","02","03","06:00"," ","-0,60","","-3,90","","78,00","","36,00","","23,00","","25,00","","92,34","","","","-6,00","","Généralement nuageux"
"1959-02-03 07:00","1959","02","03","07:00"," ","0,00","","-2,80","","82,00","","34,00","","23,00","","25,00","","92,39","","","","-6,00","","Généralement nuageux"
"1959-02-03 08:00","1959","02","03","08:00"," ","0,60","","-2,20","","82,00","","36,00","","29,00","","25,00","","92,42","","","","","","Généralement nuageux"
"1959-02-03 09:00","1959","02","03","09:00"," ","0,00","","-1,10","","92,00","","34,00","","19,00","","8,00","","92,54","","","","-5,00","","Neige"
"1959-02-03 10:00","1959","02","03","10:00"," ","0,00","","-0,60","","96,00","","34,00","","19,00","","8,00","","92,56","","","","-5,00","","Neige"
"1959-02-03 11:00","1959","02","03","11:00"," ","0,00","","-0,60","","96,00","","29,00","","29,00","","1,00","","92,68","","","","-6,00","","Neige"
"1959-02-03 12:00","1959","02","03","12:00"," ","0,00","","-1,10","","92,00","","32,00","","16,00","","12,90","","92,71","","","","-5,00","","Neige"
"1959-02-03 13:00","1959","02","03","13:00"," ","0,00","","-0,60","","96,00","","32,00","","16,00","","25,00","","92,77","","","","-5,00","","Averses de neige"
"1959-02-03 14:00","1959","02","03","14:00"," ","0,00","","-1,10","","92,00","","29,00","","16,00","","25,00","","92,86","","","","-5,00","","Généralement nuageux"
"1959-02-03 15:00","1959","02","03","15:00"," ","-0,60","","-1,70","","92,00","","29,00","","19,00","","25,00","","92,91","","","","-6,00","","Généralement nuageux"
"1959-02-03 16:00","1959","02","03","16:00"," ","-0,60","","-1,70","","92,00","","32,00","","19,00","","25,00","","92,97","","","","-6,00","","Généralement nuageux"
"1959-02-03 17:00","1959","02","03","17:00"," ","-1,70","","-3,30","","88,00","","32,00","","13,00","","25,00","","93,07","","","","-6,00","","Généralement nuageux"
"1959-02-03 18:00","1959","02","03","18:00"," ","-2,80","","-3,90","","92,00","","34,00","","13,00","","25,00","","93,13","","","","-7,00","","Généralement nuageux"
"1959-02-03 19:00","1959","02","03","19:00"," ","-2,20","","-2,80","","96,00","","32,00","","10,00","","25,00","","93,19","","","","-6,00","","Généralement nuageux"
"1959-02-03 20:00","1959","02","03","20:00"," ","-2,80","","-3,30","","96,00","","34,00","","10,00","","16,10","","93,22","","","","-7,00","","Neige"
"1959-02-03 21:00","1959","02","03","21:00"," ","-3,90","","-4,40","","96,00","","25,00","","10,00","","12,90","","93,25","","","","-8,00","","Neige"
"1959-02-03 22:00","1959","02","03","22:00"," ","-2,80","","-4,40","","88,00","","29,00","","24,00","","9,70","","93,31","","","","-9,00","","Neige"
"1959-02-03 23:00","1959","02","03","23:00"," ","-3,30","","-5,60","","85,00","","34,00","","16,00","","25,00","","93,35","","","","-9,00","","Généralement nuageux"
"1959-02-04 00:00","1959","02","04","00:00"," ","-6,10","","-7,80","","88,00","","32,00","","10,00","","25,00","","93,38","","","","-11,00","","Généralement nuageux"
"1959-02-04 01:00","1959","02","04","01:00"," ","-5,00","","-7,20","","84,00","","32,00","","13,00","","25,00","","93,43","","","","-10,00","","Généralement nuageux"
"1959-02-04 02:00","1959","02","04","02:00"," ","-6,10","","-7,20","","92,00","","36,00","","19,00","","25,00","","93,47","","","","-13,00","","Neige"
"1959-02-04 03:00","1959","02","04","03:00"," ","-7,20","","-8,90","","88,00","","36,00","","13,00","","25,00","","93,47","","","","-13,00","","Neige"
"1959-02-04 04:00","1959","02","04","04:00"," ","-6,70","","-8,90","","84,00","","36,00","","19,00","","24,10","","93,54","","","","-14,00","","Neige"
"1959-02-04 05:00","1959","02","04","05:00"," ","-8,30","","-9,40","","92,00","","36,00","","14,00","","16,10","","93,59","","","","-14,00","","Neige"
"1959-02-04 06:00","1959","02","04","06:00"," ","-8,90","","-10,00","","92,00","","36,00","","23,00","","9,70","","93,65","","","","-17,00","","Neige"
"1959-02-04 07:00","1959","02","04","07:00"," ","-9,40","","-10,60","","92,00","","36,00","","27,00","","4,80","","93,69","","","","-18,00","","Neige"
"1959-02-04 08:00","1959","02","04","08:00"," ","-9,40","","-11,70","","84,00","","36,00","","16,00","","2,40","","93,76","","","","-16,00","","Averses de neige"
"1959-02-04 09:00","1959","02","04","09:00"," ","-10,00","","-11,70","","88,00","","34,00","","24,00","","25,00","","93,86","","","","-19,00","","Généralement nuageux"
"1959-02-04 10:00","1959","02","04","10:00"," ","-10,60","","-13,30","","80,00","","34,00","","19,00","","25,00","","93,92","","","","-18,00","","Généralement nuageux"
"1959-02-04 11:00","1959","02","04","11:00"," ","-10,60","","-16,10","","64,00","","32,00","","13,00","","25,00","","93,95","","","","-17,00","","Généralement nuageux"
"1959-02-04 12:00","1959","02","04","12:00"," ","-10,00","","-13,30","","77,00","","32,00","","6,00","","25,00","","93,93","","","","-14,00","","Généralement nuageux"
"1959-02-04 13:00","1959","02","04","13:00"," ","-8,30","","-12,20","","74,00","","27,00","","10,00","","25,00","","93,89","","","","-13,00","","Généralement nuageux"
"1959-02-04 14:00","1959","02","04","14:00"," ","-8,30","","-12,80","","70,00","","36,00","","10,00","","25,00","","93,90","","","","-13,00","","Généralement nuageux"
"1959-02-04 15:00","1959","02","04","15:00"," ","-8,90","","-12,80","","73,00","","32,00","","8,00","","25,00","","93,86","","","","-13,00","","Généralement nuageux"
"1959-02-04 16:00","1959","02","04","16:00"," ","-8,90","","-11,70","","80,00","","36,00","","6,00","","25,00","","93,85","","","","-12,00","","Généralement nuageux"
"1959-02-04 17:00","1959","02","04","17:00"," ","-10,60","","-13,90","","76,00","","2,00","","10,00","","25,00","","93,83","","","","-16,00","","Généralement nuageux"
"1959-02-04 18:00","1959","02","04","18:00"," ","-11,10","","-14,40","","76,00","","2,00","","13,00","","25,00","","93,77","","","","-18,00","","Généralement nuageux"
"1959-02-04 19:00","1959","02","04","19:00"," ","-11,10","","-13,90","","80,00","","5,00","","14,00","","24,10","","93,73","","","","-18,00","","Neige"
"1959-02-04 20:00","1959","02","04","20:00"," ","-11,10","","-13,90","","80,00","","7,00","","13,00","","25,00","","93,69","","","","-18,00","","Cristaux de glace"
"1959-02-04 21:00","1959","02","04","21:00"," ","-11,10","","-15,00","","73,00","","7,00","","16,00","","25,00","","93,64","","","","-18,00","","Cristaux de glace"
"1959-02-04 22:00","1959","02","04","22:00"," ","-11,10","","-15,60","","70,00","","9,00","","10,00","","25,00","","93,59","","","","-17,00","","Cristaux de glace"
"1959-02-04 23:00","1959","02","04","23:00"," ","-11,70","","-15,00","","76,00","","14,00","","8,00","","24,10","","93,50","","","","-16,00","","Neige"
"1959-02-05 00:00","1959","02","05","00:00"," ","-11,70","","-15,60","","73,00","","11,00","","10,00","","24,10","","93,40","","","","-17,00","","Nuageux"
"1959-02-05 01:00","1959","02","05","01:00"," ","-13,30","","-15,00","","87,00","","11,00","","11,00","","25,00","","93,35","","","","-20,00","","Généralement nuageux"
"1959-02-05 02:00","1959","02","05","02:00"," ","-13,30","","-16,70","","76,00","","9,00","","6,00","","25,00","","93,27","","","","-17,00","","Généralement dégagé"
"1959-02-05 03:00","1959","02","05","03:00"," ","-14,40","","-16,10","","87,00","","5,00","","6,00","","25,00","","93,22","","","","-19,00","","Généralement dégagé"
"1959-02-05 04:00","1959","02","05","04:00"," ","-15,00","","-16,70","","87,00","","0,00","","0,00","","25,00","","93,15","","","","","","Généralement dégagé"
"1959-02-05 05:00","1959","02","05","05:00"," ","-15,60","","-17,80","","83,00","","0,00","","0,00","","25,00","","93,11","","","","","","Dégagé"
"1959-02-05 06:00","1959","02","05","06:00"," ","-16,70","","-18,30","","87,00","","0,00","","0,00","","25,00","","93,07","","","","","","Dégagé"
"1959-02-05 07:00","1959","02","05","07:00"," ","-16,70","","-18,90","","83,00","","5,00","","10,00","","25,00","","93,00","","","","-23,00","","Généralement nuageux"
"1959-02-05 08:00","1959","02","05","08:00"," ","-17,20","","-20,60","","75,00","","5,00","","6,00","","25,00","","92,94","","","","-22,00","","Généralement nuageux"
"1959-02-05 09:00","1959","02","05","09:00"," ","-16,70","","-19,40","","79,00","","7,00","","10,00","","25,00","","92,91","","","","-23,00","","Généralement nuageux"
"1959-02-05 10:00","1959","02","05","10:00"," ","-16,10","","-18,30","","83,00","","5,00","","10,00","","25,00","","92,91","","","","-23,00","","Généralement nuageux"
"1959-02-05 11:00","1959","02","05","11:00"," ","-15,60","","-17,80","","83,00","","2,00","","6,00","","25,00","","92,90","","","","-20,00","","Généralement nuageux"
"1959-02-05 12:00","1959","02","05","12:00"," ","-15,00","","-17,20","","83,00","","36,00","","13,00","","25,00","","92,87","","","","-22,00","","Nuageux"
"1959-02-05 13:00","1959","02","05","13:00"," ","-14,40","","-16,70","","83,00","","36,00","","13,00","","25,00","","92,83","","","","-22,00","","Nuageux"
"1959-02-05 14:00","1959","02","05","14:00"," ","-13,30","","-16,10","","80,00","","36,00","","13,00","","25,00","","92,80","","","","-20,00","","Nuageux"
"1959-02-05 15:00","1959","02","05","15:00"," ","-12,20","","-15,60","","76,00","","36,00","","10,00","","25,00","","92,79","","","","-18,00","","Nuageux"
"1959-02-05 16:00","1959","02","05","16:00"," ","-11,70","","-15,00","","76,00","","5,00","","6,00","","25,00","","92,79","","","","-15,00","","Nuageux"
"1959-02-05 17:00","1959","02","05","17:00"," ","-12,20","","-15,00","","80,00","","36,00","","6,00","","25,00","","92,89","","","","-16,00","","Neige"
"1959-02-05 18:00","1959","02","05","18:00"," ","-12,20","","-14,40","","84,00","","36,00","","6,00","","4,80","","92,93","","","","-16,00","","Neige"
"1959-02-05 19:00","1959","02","05","19:00"," ","-12,20","","-14,40","","84,00","","0,00","","0,00","","1,60","","93,01","","","","","","Neige"
"1959-02-05 20:00","1959","02","05","20:00"," ","-11,70","","-14,40","","80,00","","36,00","","19,00","","24,10","","93,12","","","","-20,00","","Neige"
"1959-02-05 21:00","1959","02","05","21:00"," ","-12,80","","-15,60","","80,00","","36,00","","35,00","","24,10","","93,17","","","","-24,00","","Neige"
"1959-02-05 22:00","1959","02","05","22:00"," ","-15,60","","-18,30","","79,00","","36,00","","35,00","","24,10","","93,32","","","","-28,00","","Cristaux de glace"
"1959-02-05 23:00","1959","02","05","23:00"," ","-16,70","","-20,00","","75,00","","36,00","","29,00","","24,10","","93,40","","","","-28,00","","Cristaux de glace"
"1959-02-06 00:00","1959","02","06","00:00"," ","-17,20","","-20,00","","79,00","","2,00","","27,00","","24,10","","93,53","","","","-28,00","","Cristaux de glace"
"1959-02-06 01:00","1959","02","06","01:00"," ","-18,90","","-21,10","","83,00","","36,00","","32,00","","24,10","","93,66","","","","-31,00","","Neige"
"1959-02-06 02:00","1959","02","06","02:00"," ","-20,00","","-22,80","","78,00","","36,00","","23,00","","24,10","","93,79","","","","-31,00","","Cristaux de glace"
"1959-02-06 03:00","1959","02","06","03:00"," ","-20,60","","-23,30","","78,00","","36,00","","32,00","","24,10","","93,86","","","","-34,00","","Cristaux de glace"
"1959-02-06 04:00","1959","02","06","04:00"," ","-22,20","","-25,60","","74,00","","36,00","","26,00","","24,10","","93,94","","","","-35,00","","Cristaux de glace"
"1959-02-06 05:00","1959","02","06","05:00"," ","-22,20","","-24,40","","82,00","","36,00","","31,00","","24,10","","94,01","","","","-36,00","","Cristaux de glace"
"1959-02-06 06:00","1959","02","06","06:00"," ","-23,30","","-25,60","","82,00","","36,00","","13,00","","24,10","","94,09","","","","-32,00","","Cristaux de glace"
"1959-02-06 07:00","1959","02","06","07:00"," ","-22,80","","-24,40","","86,00","","34,00","","26,00","","24,10","","94,11","","","","-35,00","","Cristaux de glace"
"1959-02-06 08:00","1959","02","06","08:00"," ","-21,70","","-25,00","","74,00","","34,00","","23,00","","24,10","","94,17","","","","-33,00","","Généralement nuageux"
