"Nom de la Station","CAMPBELL RIVER A"
"Province","BRITISH COLUMBIA"
"Latitude","49,95"
"Longitude","-125,27"
"Altitude","108,80"
"Identification Climat","1021261"
"Identification OMM",""
"Identification TC","YBL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2003-07-01 00:00","2003","07","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-01 01:00","2003","07","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-01 02:00","2003","07","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-01 03:00","2003","07","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-01 04:00","2003","07","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-01 05:00","2003","07","01","05:00"," ","9,80","","8,50","","92,00","","25,00","","6,00","","24,10","","100,51","","","","","","Pluie"
"2003-07-01 06:00","2003","07","01","06:00"," ","10,60","","9,30","","92,00","","0,00","","0,00","","24,10","","100,51","","","","","","Généralement nuageux"
"2003-07-01 07:00","2003","07","01","07:00"," ","11,80","","9,00","","83,00","","0,00","","0,00","","24,10","","100,51","","","","","","Généralement nuageux"
"2003-07-01 08:00","2003","07","01","08:00"," ","14,30","","6,80","","61,00","","33,00","","9,00","","24,10","","100,51","","","","","","Généralement nuageux"
"2003-07-01 09:00","2003","07","01","09:00"," ","15,20","","10,30","","73,00","","0,00","","0,00","","24,10","","100,52","","","","","","Généralement nuageux"
"2003-07-01 10:00","2003","07","01","10:00"," ","14,60","","9,00","","69,00","","9,00","","9,00","","24,10","","100,51","","","","","","Averses de pluie"
"2003-07-01 11:00","2003","07","01","11:00"," ","15,80","","9,80","","67,00","","12,00","","11,00","","24,10","","100,50","","","","","","Généralement nuageux"
"2003-07-01 12:00","2003","07","01","12:00"," ","15,20","","10,00","","71,00","","5,00","","7,00","","24,10","","100,51","","","","","","Averses de pluie"
"2003-07-01 13:00","2003","07","01","13:00"," ","17,50","","9,00","","57,00","","11,00","","15,00","","32,20","","100,48","","","","","","Généralement dégagé"
"2003-07-01 14:00","2003","07","01","14:00"," ","18,20","","7,90","","51,00","","9,00","","11,00","","32,20","","100,45","","","","","","Généralement dégagé"
"2003-07-01 15:00","2003","07","01","15:00"," ","18,10","","6,30","","46,00","","0,00","","0,00","","32,20","","100,45","","","","","","Généralement dégagé"
"2003-07-01 16:00","2003","07","01","16:00"," ","14,00","","8,70","","70,00","","27,00","","6,00","","24,10","","100,49","","","","","","Généralement nuageux"
"2003-07-01 17:00","2003","07","01","17:00"," ","15,00","","8,80","","66,00","","24,00","","15,00","","32,20","","100,49","","","","","","Généralement nuageux"
"2003-07-01 18:00","2003","07","01","18:00"," ","14,50","","9,70","","73,00","","30,00","","15,00","","32,20","","100,51","","","","","","Généralement nuageux"
"2003-07-01 19:00","2003","07","01","19:00"," ","14,00","","9,30","","73,00","","28,00","","7,00","","32,20","","100,52","","","","","","Généralement nuageux"
"2003-07-01 20:00","2003","07","01","20:00"," ","13,30","","9,40","","77,00","","30,00","","9,00","","32,20","","100,53","","","","","","Généralement nuageux"
"2003-07-01 21:00","2003","07","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-01 22:00","2003","07","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-01 23:00","2003","07","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 00:00","2003","07","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 01:00","2003","07","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 02:00","2003","07","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 03:00","2003","07","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 04:00","2003","07","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 05:00","2003","07","02","05:00"," ","8,70","","7,80","","94,00","","0,00","","0,00","","32,20","","100,63","","","","","","Généralement nuageux"
"2003-07-02 06:00","2003","07","02","06:00"," ","10,60","","8,20","","85,00","","26,00","","6,00","","32,20","","100,64","","","","","","Généralement nuageux"
"2003-07-02 07:00","2003","07","02","07:00"," ","12,80","","8,20","","74,00","","36,00","","7,00","","32,20","","100,67","","","","","","Généralement dégagé"
"2003-07-02 08:00","2003","07","02","08:00"," ","14,20","","8,80","","70,00","","3,00","","4,00","","32,20","","100,68","","","","","","Généralement dégagé"
"2003-07-02 09:00","2003","07","02","09:00"," ","16,00","","8,70","","62,00","","13,00","","4,00","","32,20","","100,69","","","","","","Généralement dégagé"
"2003-07-02 10:00","2003","07","02","10:00"," ","18,00","","9,10","","56,00","","11,00","","11,00","","32,20","","100,69","","","","","","Généralement dégagé"
"2003-07-02 11:00","2003","07","02","11:00"," ","18,30","","8,10","","51,00","","9,00","","9,00","","32,20","","100,69","","","","","","Généralement nuageux"
"2003-07-02 12:00","2003","07","02","12:00"," ","17,50","","7,20","","51,00","","3,00","","9,00","","32,20","","100,68","","","","","","Généralement nuageux"
"2003-07-02 13:00","2003","07","02","13:00"," ","18,00","","6,60","","47,00","","9,00","","9,00","","32,20","","100,67","","","","","","Généralement nuageux"
"2003-07-02 14:00","2003","07","02","14:00"," ","18,10","","6,80","","48,00","","4,00","","7,00","","32,20","","100,66","","","","","","Généralement nuageux"
"2003-07-02 15:00","2003","07","02","15:00"," ","19,00","","7,60","","48,00","","10,00","","9,00","","32,20","","100,65","","","","","","Généralement nuageux"
"2003-07-02 16:00","2003","07","02","16:00"," ","17,90","","6,70","","48,00","","10,00","","11,00","","32,20","","100,64","","","","","","Généralement nuageux"
"2003-07-02 17:00","2003","07","02","17:00"," ","18,70","","7,70","","49,00","","10,00","","9,00","","32,20","","100,63","","","","","","Généralement nuageux"
"2003-07-02 18:00","2003","07","02","18:00"," ","18,30","","7,20","","48,00","","0,00","","0,00","","32,20","","100,62","","","","","","Généralement nuageux"
"2003-07-02 19:00","2003","07","02","19:00"," ","18,00","","7,70","","51,00","","0,00","","0,00","","32,20","","100,60","","","","","","Généralement nuageux"
"2003-07-02 20:00","2003","07","02","20:00"," ","17,10","","8,70","","58,00","","29,00","","4,00","","32,20","","100,57","","","","","","Généralement nuageux"
"2003-07-02 21:00","2003","07","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 22:00","2003","07","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-02 23:00","2003","07","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-03 00:00","2003","07","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-03 01:00","2003","07","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-03 02:00","2003","07","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-03 03:00","2003","07","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-03 04:00","2003","07","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-07-03 05:00","2003","07","03","05:00"," ","9,70","","8,60","","93,00","","0,00","","0,00","","32,20","","100,58","","","","","","Généralement dégagé"
"2003-07-03 06:00","2003","07","03","06:00"," ","11,50","","9,50","","88,00","","31,00","","6,00","","32,20","","100,60","","","","","","Généralement dégagé"
"2003-07-03 07:00","2003","07","03","07:00"," ","14,00","","10,50","","79,00","","32,00","","15,00","","32,20","","100,63","","","","","","Généralement dégagé"
"2003-07-03 08:00","2003","07","03","08:00"," ","15,00","","10,40","","74,00","","32,00","","15,00","","32,20","","100,65","","","","","","Généralement dégagé"
"2003-07-03 09:00","2003","07","03","09:00"," ","16,70","","10,30","","66,00","","29,00","","6,00","","32,20","","100,66","","","","","","Généralement nuageux"
"2003-07-03 10:00","2003","07","03","10:00"," ","17,80","","11,00","","64,00","","9,00","","19,00","","32,20","","100,67","","","","","","Généralement nuageux"
"2003-07-03 11:00","2003","07","03","11:00"," ","18,40","","10,40","","60,00","","3,00","","7,00","","32,20","","100,67","","","","","","Généralement nuageux"
"2003-07-03 12:00","2003","07","03","12:00"," ","20,20","","11,20","","56,00","","8,00","","7,00","","32,20","","100,66","","","","","","Généralement nuageux"
"2003-07-03 13:00","2003","07","03","13:00"," ","20,00","","10,10","","53,00","","9,00","","13,00","","32,20","","100,63","","","","","","Généralement dégagé"
"2003-07-03 14:00","2003","07","03","14:00"," ","21,10","","10,50","","51,00","","10,00","","9,00","","32,20","","100,62","","","","","","Généralement dégagé"
"2003-07-03 15:00","2003","07","03","15:00"," ","21,90","","10,50","","48,00","","12,00","","9,00","","32,20","","100,61","","","","","","Généralement nuageux"
