"Nom de la Station","DEASE LAKE"
"Province","BRITISH COLUMBIA"
"Latitude","58,43"
"Longitude","-130,01"
"Altitude","806,60"
"Identification Climat","1192340"
"Identification OMM","71958"
"Identification TC","WDL"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1983-02-01 00:00","1983","02","01","00:00"," ","","","","","","","1,00","","9,00","","","","","","","","","","ND"
"1983-02-01 01:00","1983","02","01","01:00"," ","-12,20","","-14,30","","85,00","","35,00","","7,00","","25,00","","92,34","","","","-17,00","","Généralement dégagé"
"1983-02-01 02:00","1983","02","01","02:00"," ","","","","","","","1,00","","13,00","","","","","","","","","","ND"
"1983-02-01 03:00","1983","02","01","03:00"," ","","","","","","","36,00","","13,00","","","","","","","","","","ND"
"1983-02-01 04:00","1983","02","01","04:00"," ","-14,70","","-16,70","","85,00","","35,00","","9,00","","25,00","","92,41","","","","-20,00","","Dégagé"
"1983-02-01 05:00","1983","02","01","05:00"," ","","","","","","","2,00","","13,00","","","","","","","","","","ND"
"1983-02-01 06:00","1983","02","01","06:00"," ","","","","","","","36,00","","11,00","","","","","","","","","","ND"
"1983-02-01 07:00","1983","02","01","07:00"," ","-15,50","","-17,80","","83,00","","35,00","","11,00","","25,00","","92,41","","","","-22,00","","Généralement dégagé"
"1983-02-01 08:00","1983","02","01","08:00"," ","-16,50","","-18,90","","82,00","","1,00","","11,00","","25,00","","92,44","","","","-23,00","","Généralement dégagé"
"1983-02-01 09:00","1983","02","01","09:00"," ","-16,60","","-18,90","","82,00","","1,00","","7,00","","25,00","","92,47","","","","-22,00","","Généralement dégagé"
"1983-02-01 10:00","1983","02","01","10:00"," ","-16,50","","-18,90","","82,00","","1,00","","11,00","","25,00","","92,47","","","","-23,00","","Généralement nuageux"
"1983-02-01 11:00","1983","02","01","11:00"," ","-16,00","","-18,40","","82,00","","36,00","","11,00","","25,00","","92,50","","","","-23,00","","Généralement nuageux"
"1983-02-01 12:00","1983","02","01","12:00"," ","-15,10","","-18,30","","77,00","","36,00","","9,00","","25,00","","92,47","","","","-21,00","","Généralement nuageux"
"1983-02-01 13:00","1983","02","01","13:00"," ","-14,40","","-17,70","","76,00","","35,00","","7,00","","25,00","","92,41","","","","-19,00","","Généralement nuageux"
"1983-02-01 14:00","1983","02","01","14:00"," ","-12,70","","-16,20","","75,00","","36,00","","9,00","","25,00","","92,41","","","","-18,00","","Généralement nuageux"
"1983-02-01 15:00","1983","02","01","15:00"," ","-12,50","","-16,20","","74,00","","1,00","","9,00","","25,00","","92,34","","","","-18,00","","Généralement nuageux"
"1983-02-01 16:00","1983","02","01","16:00"," ","-12,90","","-15,90","","78,00","","36,00","","9,00","","25,00","","92,31","","","","-18,00","","Généralement nuageux"
"1983-02-01 17:00","1983","02","01","17:00"," ","","","","","","","1,00","","9,00","","","","","","","","","","ND"
"1983-02-01 18:00","1983","02","01","18:00"," ","","","","","","","36,00","","9,00","","","","","","","","","","ND"
"1983-02-01 19:00","1983","02","01","19:00"," ","-14,90","","-17,70","","79,00","","34,00","","7,00","","25,00","","92,25","","","","-20,00","","Généralement dégagé"
"1983-02-01 20:00","1983","02","01","20:00"," ","","","","","","","36,00","","7,00","","","","","","","","","","ND"
"1983-02-01 21:00","1983","02","01","21:00"," ","","","","","","","36,00","","9,00","","","","","","","","","","ND"
"1983-02-01 22:00","1983","02","01","22:00"," ","-16,80","","-19,50","","79,00","","1,00","","11,00","","25,00","","92,28","","","","-24,00","","Généralement dégagé"
"1983-02-01 23:00","1983","02","01","23:00"," ","","","","","","","36,00","","9,00","","","","","","","","","","ND"
"1983-02-02 00:00","1983","02","02","00:00"," ","","","","","","","2,00","","9,00","","","","","","","","","","ND"
"1983-02-02 01:00","1983","02","02","01:00"," ","-18,30","","-21,20","","78,00","","1,00","","9,00","","25,00","","92,31","","","","-25,00","","Généralement nuageux"
"1983-02-02 02:00","1983","02","02","02:00"," ","","","","","","","35,00","","9,00","","","","","","","","","","ND"
"1983-02-02 03:00","1983","02","02","03:00"," ","","","","","","","2,00","","7,00","","","","","","","","","","ND"
"1983-02-02 04:00","1983","02","02","04:00"," ","-18,10","","-20,60","","81,00","","1,00","","7,00","","25,00","","92,25","","","","-23,00","","Généralement nuageux"
"1983-02-02 05:00","1983","02","02","05:00"," ","","","","","","","2,00","","7,00","","","","","","","","","","ND"
"1983-02-02 06:00","1983","02","02","06:00"," ","","","","","","","1,00","","6,00","","","","","","","","","","ND"
"1983-02-02 07:00","1983","02","02","07:00"," ","-19,10","","-21,80","","79,00","","1,00","","6,00","","25,00","","92,19","","","","-24,00","","Généralement nuageux"
"1983-02-02 08:00","1983","02","02","08:00"," ","-18,90","","-21,80","","78,00","","1,00","","9,00","","25,00","","92,19","","","","-25,00","","Généralement nuageux"
"1983-02-02 09:00","1983","02","02","09:00"," ","-18,40","","-21,20","","78,00","","1,00","","7,00","","25,00","","92,19","","","","-24,00","","Nuageux"
"1983-02-02 10:00","1983","02","02","10:00"," ","-18,10","","-20,60","","81,00","","36,00","","7,00","","25,00","","92,22","","","","-23,00","","Nuageux"
"1983-02-02 11:00","1983","02","02","11:00"," ","-17,40","","-20,10","","79,00","","35,00","","11,00","","25,00","","92,25","","","","-25,00","","Nuageux"
"1983-02-02 12:00","1983","02","02","12:00"," ","-16,80","","-20,10","","75,00","","35,00","","11,00","","25,00","","92,25","","","","-24,00","","Nuageux"
"1983-02-02 13:00","1983","02","02","13:00"," ","-15,60","","-19,40","","73,00","","33,00","","13,00","","25,00","","92,19","","","","-23,00","","Nuageux"
"1983-02-02 14:00","1983","02","02","14:00"," ","-14,90","","-19,40","","68,00","","34,00","","9,00","","25,00","","92,16","","","","-21,00","","Nuageux"
"1983-02-02 15:00","1983","02","02","15:00"," ","-14,40","","-18,20","","73,00","","34,00","","7,00","","25,00","","92,12","","","","-19,00","","Généralement nuageux"
"1983-02-02 16:00","1983","02","02","16:00"," ","-14,20","","-17,60","","75,00","","35,00","","9,00","","25,00","","92,09","","","","-20,00","","Nuageux"
"1983-02-02 17:00","1983","02","02","17:00"," ","","","","","","","36,00","","9,00","","","","","","","","","","ND"
"1983-02-02 18:00","1983","02","02","18:00"," ","","","","","","","35,00","","7,00","","","","","","","","","","ND"
"1983-02-02 19:00","1983","02","02","19:00"," ","-13,70","","-16,00","","83,00","","36,00","","6,00","","8,00","","92,03","","","","-18,00","","Neige"
"1983-02-02 20:00","1983","02","02","20:00"," ","","","","","","","36,00","","7,00","","","","","","","","","","ND"
"1983-02-02 21:00","1983","02","02","21:00"," ","","","","","","","35,00","","9,00","","","","","","","","","","ND"
"1983-02-02 22:00","1983","02","02","22:00"," ","-13,70","","-16,00","","83,00","","34,00","","6,00","","4,00","","91,94","","","","-18,00","","Neige"
"1983-02-02 23:00","1983","02","02","23:00"," ","","","","","","","36,00","","7,00","","","","","","","","","","ND"
"1983-02-03 00:00","1983","02","03","00:00"," ","","","","","","","1,00","","6,00","","","","","","","","","","ND"
"1983-02-03 01:00","1983","02","03","01:00"," ","-13,30","","-15,50","","83,00","","35,00","","7,00","","24,10","","91,87","","","","-18,00","","Neige"
"1983-02-03 02:00","1983","02","03","02:00"," ","","","","","","","36,00","","6,00","","","","","","","","","","ND"
"1983-02-03 03:00","1983","02","03","03:00"," ","","","","","","","35,00","","6,00","","","","","","","","","","ND"
"1983-02-03 04:00","1983","02","03","04:00"," ","-13,00","","-15,40","","82,00","","35,00","","7,00","","24,10","","91,81","","","","-18,00","","Neige"
"1983-02-03 05:00","1983","02","03","05:00"," ","","","","","","","36,00","","9,00","","","","","","","","","","ND"
"1983-02-03 06:00","1983","02","03","06:00"," ","","","","","","","36,00","","4,00","","","","","","","","","","ND"
"1983-02-03 07:00","1983","02","03","07:00"," ","-12,50","","-14,80","","83,00","","36,00","","6,00","","19,30","","91,75","","","","-16,00","","Neige"
"1983-02-03 08:00","1983","02","03","08:00"," ","-12,40","","-14,80","","82,00","","36,00","","6,00","","25,00","","91,72","","","","-16,00","","Neige"
"1983-02-03 09:00","1983","02","03","09:00"," ","-12,10","","-14,70","","81,00","","1,00","","4,00","","24,10","","91,69","","","","-15,00","","Neige"
"1983-02-03 10:00","1983","02","03","10:00"," ","-11,90","","-14,70","","79,00","","35,00","","6,00","","24,10","","91,69","","","","-16,00","","Neige"
"1983-02-03 11:00","1983","02","03","11:00"," ","-11,20","","-13,90","","81,00","","34,00","","4,00","","24,10","","91,69","","","","-14,00","","Neige"
"1983-02-03 12:00","1983","02","03","12:00"," ","-10,00","","-13,10","","78,00","","36,00","","4,00","","24,10","","91,69","","","","-12,00","","Neige"
"1983-02-03 13:00","1983","02","03","13:00"," ","-8,70","","-11,70","","79,00","","35,00","","4,00","","24,10","","91,66","","","","-11,00","","Neige"
"1983-02-03 14:00","1983","02","03","14:00"," ","-7,40","","-10,80","","77,00","","0,00","","0,00","","25,00","","91,66","","","","","","Neige"
"1983-02-03 15:00","1983","02","03","15:00"," ","-6,60","","-8,90","","84,00","","0,00","","0,00","","25,00","","91,62","","","","","","Neige"
"1983-02-03 16:00","1983","02","03","16:00"," ","-5,90","","-8,30","","83,00","","35,00","","4,00","","25,00","","91,62","","","","-8,00","","Généralement nuageux"
