"Nom de la Station","FORT NELSON A"
"Province","BRITISH COLUMBIA"
"Latitude","58,84"
"Longitude","-122,60"
"Altitude","381,90"
"Identification Climat","1192940"
"Identification OMM","71945"
"Identification TC","YYE"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1959-11-01 00:00","1959","11","01","00:00"," ","-4,40","","-6,70","","84,00","","23,00","","11,00","","80,50","","97,29","","","","-9,00","","Généralement dégagé"
"1959-11-01 01:00","1959","11","01","01:00"," ","-3,90","","-6,10","","85,00","","20,00","","14,00","","80,50","","97,33","","","","-9,00","","Généralement dégagé"
"1959-11-01 02:00","1959","11","01","02:00"," ","-5,00","","-6,70","","88,00","","18,00","","13,00","","80,50","","97,36","","","","-10,00","","Généralement dégagé"
"1959-11-01 03:00","1959","11","01","03:00"," ","-4,40","","-6,70","","84,00","","18,00","","10,00","","80,50","","97,38","","","","-9,00","","Généralement dégagé"
"1959-11-01 04:00","1959","11","01","04:00"," ","-5,00","","-7,20","","84,00","","18,00","","8,00","","80,50","","97,37","","","","-9,00","","Généralement dégagé"
"1959-11-01 05:00","1959","11","01","05:00"," ","-5,60","","-7,20","","88,00","","18,00","","11,00","","80,50","","97,41","","","","-10,00","","Généralement dégagé"
"1959-11-01 06:00","1959","11","01","06:00"," ","-5,60","","-7,20","","88,00","","18,00","","11,00","","80,50","","97,34","","","","-10,00","","Généralement dégagé"
"1959-11-01 07:00","1959","11","01","07:00"," ","-5,60","","-7,80","","84,00","","18,00","","6,00","","80,50","","97,36","","","","-8,00","","Généralement nuageux"
"1959-11-01 08:00","1959","11","01","08:00"," ","-5,00","","-6,70","","88,00","","18,00","","6,00","","80,50","","97,37","","","","-8,00","","Généralement nuageux"
"1959-11-01 09:00","1959","11","01","09:00"," ","-5,60","","-7,20","","88,00","","18,00","","10,00","","80,50","","97,34","","","","-10,00","","Généralement nuageux"
"1959-11-01 10:00","1959","11","01","10:00"," ","-4,40","","-6,70","","84,00","","20,00","","8,00","","80,50","","97,25","","","","-8,00","","Généralement nuageux"
"1959-11-01 11:00","1959","11","01","11:00"," ","-3,90","","-6,70","","81,00","","20,00","","5,00","","80,50","","97,18","","","","-6,00","","Généralement nuageux"
"1959-11-01 12:00","1959","11","01","12:00"," ","-3,30","","-6,10","","81,00","","18,00","","8,00","","80,50","","97,13","","","","-7,00","","Généralement nuageux"
"1959-11-01 13:00","1959","11","01","13:00"," ","-3,30","","-5,00","","88,00","","0,00","","0,00","","80,50","","97,02","","","","","","Généralement nuageux"
"1959-11-01 14:00","1959","11","01","14:00"," ","-2,80","","-5,60","","81,00","","0,00","","0,00","","80,50","","96,92","","","","","","Nuageux"
"1959-11-01 15:00","1959","11","01","15:00"," ","-2,80","","-5,60","","81,00","","0,00","","0,00","","80,50","","96,82","","","","","","Nuageux"
"1959-11-01 16:00","1959","11","01","16:00"," ","-2,80","","-5,00","","85,00","","0,00","","0,00","","80,50","","96,71","","","","","","Nuageux"
"1959-11-01 17:00","1959","11","01","17:00"," ","-2,80","","-5,00","","85,00","","32,00","","5,00","","80,50","","96,58","","","","-5,00","","Nuageux"
"1959-11-01 18:00","1959","11","01","18:00"," ","-2,80","","-5,00","","85,00","","0,00","","0,00","","80,50","","96,47","","","","","","Nuageux"
"1959-11-01 19:00","1959","11","01","19:00"," ","-2,80","","-4,40","","88,00","","36,00","","8,00","","1,20","","96,43","","","","-6,00","","Neige"
"1959-11-01 20:00","1959","11","01","20:00"," ","-2,80","","-3,90","","92,00","","36,00","","6,00","","1,20","","96,35","","","","-5,00","","Neige"
"1959-11-01 21:00","1959","11","01","21:00"," ","-2,80","","-3,90","","92,00","","36,00","","6,00","","0,80","","96,26","","","","-5,00","","Neige modérée"
"1959-11-01 22:00","1959","11","01","22:00"," ","-2,20","","-3,30","","92,00","","36,00","","10,00","","0,80","","96,19","","","","-6,00","","Neige modérée"
"1959-11-01 23:00","1959","11","01","23:00"," ","-2,20","","-3,30","","92,00","","36,00","","13,00","","0,80","","96,16","","","","-7,00","","Neige modérée"
"1959-11-02 00:00","1959","11","02","00:00"," ","-2,80","","-3,90","","92,00","","36,00","","13,00","","1,20","","96,23","","","","-7,00","","Neige"
"1959-11-02 01:00","1959","11","02","01:00"," ","-2,80","","-3,90","","92,00","","36,00","","14,00","","1,60","","96,33","","","","-8,00","","Neige"
"1959-11-02 02:00","1959","11","02","02:00"," ","-3,30","","-4,40","","92,00","","34,00","","16,00","","1,60","","96,40","","","","-9,00","","Neige"
"1959-11-02 03:00","1959","11","02","03:00"," ","-3,30","","-5,00","","88,00","","34,00","","19,00","","1,60","","96,57","","","","-9,00","","Neige"
"1959-11-02 04:00","1959","11","02","04:00"," ","-3,90","","-5,60","","88,00","","34,00","","19,00","","1,60","","96,73","","","","-10,00","","Neige"
"1959-11-02 05:00","1959","11","02","05:00"," ","-4,40","","-5,60","","92,00","","34,00","","18,00","","2,40","","96,96","","","","-10,00","","Neige"
"1959-11-02 06:00","1959","11","02","06:00"," ","-5,60","","-6,70","","92,00","","34,00","","18,00","","3,20","","97,11","","","","-12,00","","Neige"
"1959-11-02 07:00","1959","11","02","07:00"," ","-6,10","","-7,20","","92,00","","34,00","","19,00","","1,60","","97,22","","","","-13,00","","Neige"
"1959-11-02 08:00","1959","11","02","08:00"," ","-6,10","","-7,20","","92,00","","34,00","","16,00","","2,40","","97,32","","","","-12,00","","Neige"
"1959-11-02 09:00","1959","11","02","09:00"," ","-6,10","","-7,20","","92,00","","34,00","","14,00","","1,60","","97,46","","","","-12,00","","Neige"
"1959-11-02 10:00","1959","11","02","10:00"," ","-6,10","","-7,20","","92,00","","34,00","","16,00","","1,60","","97,51","","","","-12,00","","Neige"
"1959-11-02 11:00","1959","11","02","11:00"," ","-5,60","","-7,80","","84,00","","36,00","","11,00","","6,40","","97,56","","","","-10,00","","Neige"
"1959-11-02 12:00","1959","11","02","12:00"," ","-5,60","","-7,80","","84,00","","34,00","","14,00","","32,20","","97,58","","","","-11,00","","Généralement nuageux"
"1959-11-02 13:00","1959","11","02","13:00"," ","-5,00","","-8,30","","77,00","","36,00","","11,00","","32,20","","97,63","","","","-10,00","","Généralement nuageux"
"1959-11-02 14:00","1959","11","02","14:00"," ","-5,60","","-8,30","","81,00","","32,00","","11,00","","32,20","","97,62","","","","-10,00","","Généralement nuageux"
"1959-11-02 15:00","1959","11","02","15:00"," ","-5,60","","-8,30","","81,00","","32,00","","3,00","","32,20","","97,64","","","","-7,00","","Généralement nuageux"
"1959-11-02 16:00","1959","11","02","16:00"," ","-6,10","","-8,90","","81,00","","27,00","","3,00","","80,50","","97,62","","","","-8,00","","Généralement nuageux"
"1959-11-02 17:00","1959","11","02","17:00"," ","-6,10","","-8,30","","84,00","","32,00","","6,00","","80,50","","97,63","","","","-9,00","","Généralement nuageux"
"1959-11-02 18:00","1959","11","02","18:00"," ","-7,20","","-8,90","","88,00","","0,00","","0,00","","80,50","","97,63","","","","","","Généralement nuageux"
"1959-11-02 19:00","1959","11","02","19:00"," ","-7,20","","-8,90","","88,00","","32,00","","3,00","","80,50","","97,65","","","","-9,00","","Généralement nuageux"
"1959-11-02 20:00","1959","11","02","20:00"," ","-8,30","","-10,00","","88,00","","32,00","","3,00","","80,50","","97,66","","","","-10,00","","Généralement nuageux"
"1959-11-02 21:00","1959","11","02","21:00"," ","-8,30","","-9,40","","92,00","","32,00","","3,00","","80,50","","97,70","","","","-10,00","","Généralement dégagé"
"1959-11-02 22:00","1959","11","02","22:00"," ","-8,90","","-10,60","","88,00","","0,00","","0,00","","80,50","","97,73","","","","","","Généralement dégagé"
"1959-11-02 23:00","1959","11","02","23:00"," ","-12,20","","-13,90","","87,00","","32,00","","3,00","","80,50","","97,78","","","","-14,00","","Généralement dégagé"
"1959-11-03 00:00","1959","11","03","00:00"," ","-10,60","","-12,20","","87,00","","32,00","","3,00","","80,50","","97,82","","","","-12,00","","Généralement nuageux"
"1959-11-03 01:00","1959","11","03","01:00"," ","-9,40","","-11,10","","88,00","","34,00","","10,00","","80,50","","97,85","","","","-15,00","","Généralement nuageux"
"1959-11-03 02:00","1959","11","03","02:00"," ","-8,90","","-10,00","","92,00","","34,00","","10,00","","80,50","","97,88","","","","-14,00","","Nuageux"
"1959-11-03 03:00","1959","11","03","03:00"," ","-8,90","","-11,10","","84,00","","34,00","","11,00","","48,30","","97,92","","","","-14,00","","Neige"
"1959-11-03 04:00","1959","11","03","04:00"," ","-8,90","","-12,20","","77,00","","34,00","","18,00","","48,30","","97,96","","","","-16,00","","Neige"
"1959-11-03 05:00","1959","11","03","05:00"," ","-9,40","","-12,80","","77,00","","34,00","","6,00","","32,20","","98,01","","","","-13,00","","Neige"
"1959-11-03 06:00","1959","11","03","06:00"," ","-10,00","","-12,80","","80,00","","34,00","","10,00","","24,10","","98,04","","","","-15,00","","Neige"
"1959-11-03 07:00","1959","11","03","07:00"," ","-10,60","","-12,20","","87,00","","34,00","","13,00","","6,40","","98,09","","","","-17,00","","Neige"
"1959-11-03 08:00","1959","11","03","08:00"," ","-10,60","","-13,30","","80,00","","34,00","","8,00","","6,40","","98,15","","","","-15,00","","Neige"
"1959-11-03 09:00","1959","11","03","09:00"," ","-11,10","","-13,30","","84,00","","34,00","","6,00","","6,40","","98,21","","","","-15,00","","Neige"
"1959-11-03 10:00","1959","11","03","10:00"," ","-10,60","","-13,30","","80,00","","34,00","","10,00","","8,00","","98,23","","","","-16,00","","Neige"
"1959-11-03 11:00","1959","11","03","11:00"," ","-10,60","","-13,30","","80,00","","32,00","","6,00","","16,10","","98,25","","","","-14,00","","Neige"
"1959-11-03 12:00","1959","11","03","12:00"," ","-10,00","","-13,90","","73,00","","32,00","","10,00","","24,10","","98,26","","","","-15,00","","Neige"
"1959-11-03 13:00","1959","11","03","13:00"," ","-9,40","","-12,80","","77,00","","29,00","","8,00","","24,10","","98,26","","","","-14,00","","Neige"
"1959-11-03 14:00","1959","11","03","14:00"," ","-9,40","","-13,30","","73,00","","32,00","","10,00","","24,10","","98,25","","","","-15,00","","Neige"
