"Nom de la Station","BURWASH A"
"Province","YUKON TERRITORY"
"Latitude","61,37"
"Longitude","-139,05"
"Altitude","806,20"
"Identification Climat","2100182"
"Identification OMM",""
"Identification TC","YDB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1973-07-01 00:00","1973","07","01","00:00"," ","10,00","","2,80","","60,00","","15,00","","16,00","","80,50","","91,41","","","","","","Généralement nuageux"
"1973-07-01 01:00","1973","07","01","01:00"," ","9,40","","2,20","","61,00","","15,00","","14,00","","80,50","","91,42","","","","","","Généralement nuageux"
"1973-07-01 02:00","1973","07","01","02:00"," ","8,30","","2,20","","65,00","","11,00","","18,00","","80,50","","91,45","","","","","","Généralement nuageux"
"1973-07-01 03:00","1973","07","01","03:00"," ","7,80","","1,70","","66,00","","13,00","","24,00","","80,50","","91,48","","","","","","Généralement nuageux"
"1973-07-01 04:00","1973","07","01","04:00"," ","7,80","","2,20","","69,00","","12,00","","21,00","","80,50","","91,47","","","","","","Généralement nuageux"
"1973-07-01 05:00","1973","07","01","05:00"," ","7,20","","1,70","","68,00","","13,00","","21,00","","80,50","","91,48","","","","","","Généralement nuageux"
"1973-07-01 06:00","1973","07","01","06:00"," ","7,20","","1,70","","69,00","","13,00","","26,00","","80,50","","91,44","","","","","","Généralement nuageux"
"1973-07-01 07:00","1973","07","01","07:00"," ","8,30","","1,70","","62,00","","13,00","","26,00","","80,50","","91,41","","","","","","Généralement nuageux"
"1973-07-01 08:00","1973","07","01","08:00"," ","10,00","","2,20","","59,00","","11,00","","29,00","","80,50","","91,41","","","","","","Généralement nuageux"
"1973-07-01 09:00","1973","07","01","09:00"," ","10,00","","2,20","","60,00","","12,00","","32,00","","80,50","","91,41","","","","","","Généralement nuageux"
