"Nom de la Station","DAWSON A"
"Province","YUKON TERRITORY"
"Latitude","64,04"
"Longitude","-139,13"
"Altitude","370,30"
"Identification Climat","2100402"
"Identification OMM",""
"Identification TC","YDA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1985-10-01 00:00","1985","10","01","00:00"," ","-1,50","","-3,00","","89,00","","0,00","","0,00","","32,20","","95,77","","","","","","Généralement dégagé"
"1985-10-01 01:00","1985","10","01","01:00"," ","-1,70","","-2,50","","94,00","","0,00","","0,00","","32,20","","95,83","","","","","","Généralement dégagé"
"1985-10-01 02:00","1985","10","01","02:00"," ","-2,60","","-3,60","","93,00","","0,00","","0,00","","32,20","","95,90","","","","","","Généralement dégagé"
"1985-10-01 03:00","1985","10","01","03:00"," ","-3,10","","-3,90","","94,00","","0,00","","0,00","","32,20","","95,93","","","","","","Généralement dégagé"
"1985-10-01 04:00","1985","10","01","04:00"," ","-3,70","","-4,20","","96,00","","0,00","","0,00","","32,20","","95,96","","","","","","Généralement dégagé"
"1985-10-01 05:00","1985","10","01","05:00"," ","-4,70","","-5,70","","93,00","","0,00","","0,00","","32,20","","96,00","","","","","","Généralement dégagé"
"1985-10-01 06:00","1985","10","01","06:00"," ","-4,80","","-6,20","","90,00","","0,00","","0,00","","32,20","","96,03","","","","","","Généralement dégagé"
"1985-10-01 07:00","1985","10","01","07:00"," ","-5,20","","-5,90","","95,00","","0,00","","0,00","","32,20","","96,03","","","","","","Généralement nuageux"
"1985-10-01 08:00","1985","10","01","08:00"," ","-5,00","","-6,20","","91,00","","0,00","","0,00","","32,20","","96,06","","","","","","Généralement nuageux"
"1985-10-01 09:00","1985","10","01","09:00"," ","-2,40","","-3,60","","91,00","","0,00","","0,00","","16,10","","96,06","","","","","","Nuageux"
"1985-10-01 10:00","1985","10","01","10:00"," ","-1,70","","-2,50","","94,00","","0,00","","0,00","","12,90","","96,06","","","","","","Nuageux"
"1985-10-01 11:00","1985","10","01","11:00"," ","0,40","","-1,40","","88,00","","6,00","","11,00","","12,90","","96,06","","","","","","Nuageux"
"1985-10-01 12:00","1985","10","01","12:00"," ","2,00","","-0,30","","85,00","","5,00","","7,00","","16,10","","96,03","","","","","","Nuageux"
"1985-10-01 13:00","1985","10","01","13:00"," ","3,50","","0,30","","79,00","","3,00","","7,00","","32,20","","96,03","","","","","","Généralement nuageux"
"1985-10-01 14:00","1985","10","01","14:00"," ","5,10","","1,50","","77,00","","3,00","","13,00","","32,20","","95,96","","","","","","Généralement nuageux"
"1985-10-01 15:00","1985","10","01","15:00"," ","6,70","","1,80","","71,00","","2,00","","15,00","","32,20","","95,90","","","","","","Généralement nuageux"
"1985-10-01 16:00","1985","10","01","16:00"," ","7,30","","2,00","","69,00","","3,00","","9,00","","32,20","","95,80","","","","","","Généralement nuageux"
"1985-10-01 17:00","1985","10","01","17:00"," ","8,80","","2,40","","64,00","","1,00","","11,00","","32,20","","95,74","","","","","","Généralement nuageux"
"1985-10-01 18:00","1985","10","01","18:00"," ","7,50","","2,00","","68,00","","0,00","","0,00","","32,20","","95,70","","","","","","Généralement nuageux"
"1985-10-01 19:00","1985","10","01","19:00"," ","5,90","","1,20","","72,00","","5,00","","6,00","","32,20","","95,67","","","","","","Généralement nuageux"
"1985-10-01 20:00","1985","10","01","20:00"," ","3,10","","-0,20","","79,00","","8,00","","6,00","","32,20","","95,64","","","","","","Généralement dégagé"
"1985-10-01 21:00","1985","10","01","21:00"," ","2,10","","-0,30","","84,00","","0,00","","0,00","","32,20","","95,67","","","","","","Généralement nuageux"
"1985-10-01 22:00","1985","10","01","22:00"," ","1,40","","-0,40","","88,00","","9,00","","4,00","","32,20","","95,64","","","","","","Nuageux"
"1985-10-01 23:00","1985","10","01","23:00"," ","1,80","","0,10","","89,00","","4,00","","4,00","","32,20","","95,60","","","","","","Nuageux"
"1985-10-02 00:00","1985","10","02","00:00"," ","1,30","","0,10","","92,00","","1,00","","6,00","","32,20","","95,60","","","","","","Nuageux"
"1985-10-02 01:00","1985","10","02","01:00"," ","1,00","","-0,40","","90,00","","0,00","","0,00","","32,20","","95,64","","","","","","Nuageux"
"1985-10-02 02:00","1985","10","02","02:00"," ","1,00","","-0,40","","90,00","","0,00","","0,00","","32,20","","95,67","","","","","","Nuageux"
"1985-10-02 03:00","1985","10","02","03:00"," ","1,70","","-0,90","","83,00","","0,00","","0,00","","24,10","","95,67","","","","","","Pluie"
"1985-10-02 04:00","1985","10","02","04:00"," ","2,20","","0,10","","86,00","","0,00","","0,00","","16,10","","95,70","","","","","","Pluie"
"1985-10-02 05:00","1985","10","02","05:00"," ","2,10","","0,10","","87,00","","0,00","","0,00","","12,90","","95,70","","","","","","Pluie"
"1985-10-02 06:00","1985","10","02","06:00"," ","1,80","","1,10","","95,00","","0,00","","0,00","","12,90","","95,80","","","","","","Pluie"
"1985-10-02 07:00","1985","10","02","07:00"," ","1,80","","1,60","","99,00","","0,00","","0,00","","6,40","","95,80","","","","","","Pluie,Brouillard"
"1985-10-02 08:00","1985","10","02","08:00"," ","1,90","","1,60","","98,00","","0,00","","0,00","","8,00","","95,87","","","","","","Pluie,Brouillard"
"1985-10-02 09:00","1985","10","02","09:00"," ","2,10","","1,60","","96,00","","0,00","","0,00","","6,40","","95,93","","","","","","Pluie,Brouillard"
"1985-10-02 10:00","1985","10","02","10:00"," ","2,80","","2,10","","95,00","","0,00","","0,00","","4,80","","96,03","","","","","","Pluie,Brouillard"
"1985-10-02 11:00","1985","10","02","11:00"," ","3,70","","2,60","","92,00","","0,00","","0,00","","6,40","","96,06","","","","","","Pluie,Brouillard"
"1985-10-02 12:00","1985","10","02","12:00"," ","4,50","","3,20","","91,00","","0,00","","0,00","","8,00","","96,13","","","","","","Pluie,Brouillard"
"1985-10-02 13:00","1985","10","02","13:00"," ","5,00","","4,20","","95,00","","0,00","","0,00","","12,90","","96,19","","","","","","Pluie"
"1985-10-02 14:00","1985","10","02","14:00"," ","5,40","","3,90","","90,00","","0,00","","0,00","","12,90","","96,26","","","","","","Nuageux"
"1985-10-02 15:00","1985","10","02","15:00"," ","6,00","","4,00","","87,00","","21,00","","7,00","","24,10","","96,32","","","","","","Généralement nuageux"
"1985-10-02 16:00","1985","10","02","16:00"," ","6,30","","3,60","","83,00","","22,00","","7,00","","32,20","","96,39","","","","","","Généralement nuageux"
"1985-10-02 17:00","1985","10","02","17:00"," ","5,80","","3,50","","85,00","","21,00","","7,00","","32,20","","96,42","","","","","","Généralement nuageux"
"1985-10-02 18:00","1985","10","02","18:00"," ","5,20","","2,90","","85,00","","21,00","","6,00","","32,20","","96,52","","","","","","Généralement nuageux"
"1985-10-02 19:00","1985","10","02","19:00"," ","4,90","","2,90","","87,00","","25,00","","4,00","","32,20","","96,59","","","","","","Nuageux"
"1985-10-02 20:00","1985","10","02","20:00"," ","3,20","","2,60","","96,00","","0,00","","0,00","","32,20","","96,65","","","","","","Pluie"
