"Nom de la Station","FARO A"
"Province","YUKON TERRITORY"
"Latitude","62,21"
"Longitude","-133,38"
"Altitude","716,60"
"Identification Climat","2100517"
"Identification OMM",""
"Identification TC","ZFA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1988-05-01 00:00","1988","05","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 01:00","1988","05","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 02:00","1988","05","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 03:00","1988","05","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 04:00","1988","05","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 05:00","1988","05","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 06:00","1988","05","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 07:00","1988","05","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 08:00","1988","05","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 09:00","1988","05","01","09:00"," ","1,90","","-12,00","","35,00","","30,00","","13,00","","25,00","","92,76","","","","","","Généralement nuageux"
"1988-05-01 10:00","1988","05","01","10:00"," ","5,00","","-7,50","","40,00","","30,00","","13,00","","25,00","","92,73","","","","","","Généralement nuageux"
"1988-05-01 11:00","1988","05","01","11:00"," ","5,50","","-8,30","","36,00","","4,00","","9,00","","25,00","","92,70","","","","","","Généralement nuageux"
"1988-05-01 12:00","1988","05","01","12:00"," ","5,50","","-8,30","","36,00","","34,00","","7,00","","25,00","","92,64","","","","","","Généralement nuageux"
"1988-05-01 13:00","1988","05","01","13:00"," ","5,90","","-11,00","","28,00","","7,00","","13,00","","25,00","","92,64","","","","","","Nuageux"
"1988-05-01 14:00","1988","05","01","14:00"," ","8,60","","-7,70","","31,00","","24,00","","4,00","","25,00","","92,64","","","","","","Nuageux"
"1988-05-01 15:00","1988","05","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 16:00","1988","05","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 17:00","1988","05","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 18:00","1988","05","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 19:00","1988","05","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 20:00","1988","05","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 21:00","1988","05","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"1988-05-01 22:00","1988","05","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
