"Nom de la Station","HAINES JUNCTION"
"Province","YUKON TERRITORY"
"Latitude","60,77"
"Longitude","-137,58"
"Altitude","595,30"
"Identification Climat","2100630"
"Identification OMM","71505"
"Identification TC","WHT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2000-08-01 00:00","2000","08","01","00:00"," ","11,70","","3,70","","58,00","","28,00","","9,00","","","M","","M","","","","","ND"
"2000-08-01 01:00","2000","08","01","01:00"," ","10,10","","4,10","","66,00","","31,00","","2,00","","","M","","M","","","","","ND"
"2000-08-01 02:00","2000","08","01","02:00"," ","6,50","","3,80","","83,00","","9,00","","2,00","","","M","","M","","","","","ND"
"2000-08-01 03:00","2000","08","01","03:00"," ","5,30","","3,20","","86,00","","11,00","","4,00","","","M","","M","","","","","ND"
"2000-08-01 04:00","2000","08","01","04:00"," ","3,70","","1,90","","88,00","","1,00","","4,00","","","M","","M","","","","","ND"
"2000-08-01 05:00","2000","08","01","05:00"," ","2,60","","0,80","","88,00","","4,00","","2,00","","","M","","M","","","","","ND"
"2000-08-01 06:00","2000","08","01","06:00"," ","3,60","","1,80","","88,00","","15,00","","2,00","","","M","","M","","","","","ND"
"2000-08-01 07:00","2000","08","01","07:00"," ","8,40","","6,50","","88,00","","32,00","","2,00","","","M","","M","","","","","ND"
"2000-08-01 08:00","2000","08","01","08:00"," ","10,70","","6,50","","75,00","","31,00","","7,00","","","M","","M","","","","","ND"
"2000-08-01 09:00","2000","08","01","09:00"," ","13,00","","5,20","","59,00","","25,00","","4,00","","","M","","M","","","","","ND"
"2000-08-01 10:00","2000","08","01","10:00"," ","13,30","","5,00","","57,00","","32,00","","7,00","","","M","","M","","","","","ND"
"2000-08-01 11:00","2000","08","01","11:00"," ","14,80","","5,10","","52,00","","18,00","","4,00","","","M","","M","","","","","ND"
"2000-08-01 12:00","2000","08","01","12:00"," ","15,70","","5,00","","49,00","","22,00","","7,00","","","M","","M","","","","","ND"
