"Nom de la Station","MAYO A"
"Province","YUKON TERRITORY"
"Latitude","63,62"
"Longitude","-135,87"
"Altitude","503,80"
"Identification Climat","2100700"
"Identification OMM","71965"
"Identification TC","YMA"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2012-12-01 00:00","2012","12","01","00:00"," ","-44,50","","","M","","M","0,00","","0,00","","0,20","","95,90","","","","","","Brouillard"
"2012-12-01 01:00","2012","12","01","01:00"," ","-45,00","","","M","","M","0,00","","0,00","","16,10","","95,86","","","","","","Dégagé"
"2012-12-01 02:00","2012","12","01","02:00"," ","-45,10","","","M","","M","0,00","","0,00","","32,20","","95,81","","","","","","Dégagé"
"2012-12-01 03:00","2012","12","01","03:00"," ","-45,50","","","M","","M","0,00","","0,00","","16,10","","95,78","","","","","","Dégagé"
"2012-12-01 04:00","2012","12","01","04:00"," ","-45,50","","","M","","M","0,00","","0,00","","32,20","","95,76","","","","","","Dégagé"
"2012-12-01 05:00","2012","12","01","05:00"," ","-45,70","","","M","","M","0,00","","0,00","","12,90","","95,72","","","","","","Dégagé"
"2012-12-01 06:00","2012","12","01","06:00"," ","-45,50","","","M","","M","0,00","","0,00","","3,20","","95,67","","","","","","Brouillard"
"2012-12-01 07:00","2012","12","01","07:00"," ","-46,00","","","M","","M","0,00","","0,00","","3,20","","95,62","","","","","","Brouillard"
"2012-12-01 08:00","2012","12","01","08:00"," ","-46,00","","","M","","M","0,00","","0,00","","1,60","","95,60","","","","","","Brouillard"
"2012-12-01 09:00","2012","12","01","09:00"," ","-46,30","","","M","","M","0,00","","0,00","","32,20","","95,53","","","","","","Dégagé"
"2012-12-01 10:00","2012","12","01","10:00"," ","-46,80","","","M","","M","0,00","","0,00","","32,20","","95,49","","","","","","Dégagé"
"2012-12-01 11:00","2012","12","01","11:00"," ","-46,20","","","M","","M","0,00","","0,00","","32,20","","95,48","","","","","","Dégagé"
"2012-12-01 12:00","2012","12","01","12:00"," ","-45,50","","","M","","M","0,00","","0,00","","1,60","","95,44","","","","","","Brouillard"
"2012-12-01 13:00","2012","12","01","13:00"," ","-44,80","","","M","","M","0,00","","0,00","","2,00","","95,39","","","","","","Brouillard"
"2012-12-01 14:00","2012","12","01","14:00"," ","-44,20","","","M","","M","0,00","","0,00","","4,80","","95,32","","","","","","Brouillard"
"2012-12-01 15:00","2012","12","01","15:00"," ","-43,90","","","M","","M","0,00","","0,00","","4,80","","95,30","","","","","","Brouillard"
"2012-12-01 16:00","2012","12","01","16:00"," ","-44,20","","","M","","M","0,00","","0,00","","32,20","","95,25","","","","","","Dégagé"
"2012-12-01 17:00","2012","12","01","17:00"," ","-44,40","","","M","","M","0,00","","0,00","","32,20","","95,24","","","","","","Dégagé"
"2012-12-01 18:00","2012","12","01","18:00"," ","-44,50","","","M","","M","0,00","","0,00","","16,10","","95,18","","","","","","Dégagé"
"2012-12-01 19:00","2012","12","01","19:00"," ","-45,00","","","M","","M","0,00","","0,00","","1,60","","95,19","","","","","","Brouillard"
"2012-12-01 20:00","2012","12","01","20:00"," ","-45,20","","","M","","M","0,00","","0,00","","1,60","","95,15","","","","","","Brouillard"
"2012-12-01 21:00","2012","12","01","21:00"," ","-46,20","","","M","","M","0,00","","0,00","","0,80","","95,12","","","","","","Brouillard"
"2012-12-01 22:00","2012","12","01","22:00"," ","-46,30","","","M","","M","0,00","","0,00","","0,80","","95,12","","","","","","Brouillard"
"2012-12-01 23:00","2012","12","01","23:00"," ","-46,00","","","M","","M","0,00","","0,00","","32,20","","95,05","","","","","","Dégagé"
"2012-12-02 00:00","2012","12","02","00:00"," ","-46,30","","","M","","M","0,00","","0,00","","9,70","","95,05","","","","","","Brouillard"
