"Nom de la Station","OLD CROW A"
"Province","YUKON TERRITORY"
"Latitude","67,57"
"Longitude","-139,84"
"Altitude","250,20"
"Identification Climat","2100800"
"Identification OMM",""
"Identification TC","YOC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1984-11-01 00:00","1984","11","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 01:00","1984","11","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 02:00","1984","11","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 03:00","1984","11","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 04:00","1984","11","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 05:00","1984","11","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 06:00","1984","11","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 07:00","1984","11","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 08:00","1984","11","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 09:00","1984","11","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 10:00","1984","11","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 11:00","1984","11","01","11:00"," ","-29,70","","-31,00","","89,00","","0,00","","0,00","","25,00","","98,30","","","","","","Nuageux"
"1984-11-01 12:00","1984","11","01","12:00"," ","-27,60","","-29,10","","87,00","","0,00","","0,00","","25,00","","98,19","","","","","","Nuageux"
"1984-11-01 13:00","1984","11","01","13:00"," ","-26,50","","-28,10","","86,00","","0,00","","0,00","","25,00","","98,10","","","","","","Nuageux"
"1984-11-01 14:00","1984","11","01","14:00"," ","-26,00","","-27,60","","86,00","","0,00","","0,00","","25,00","","98,03","","","","","","Nuageux"
"1984-11-01 15:00","1984","11","01","15:00"," ","-25,00","","-27,70","","78,00","","0,00","","0,00","","25,00","","97,99","","","","","","Nuageux"
"1984-11-01 16:00","1984","11","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 17:00","1984","11","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-11-01 18:00","1984","11","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
