"Nom de la Station","TESLIN A"
"Province","YUKON TERRITORY"
"Latitude","60,17"
"Longitude","-132,74"
"Altitude","705,00"
"Identification Climat","2101100"
"Identification OMM",""
"Identification TC","YZW"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1959-03-01 00:00","1959","03","01","00:00"," ","-2,80","","-6,70","","75,00","","25,00","","6,00","","56,30","","91,65","","","","-5,00","","Généralement dégagé"
"1959-03-01 01:00","1959","03","01","01:00"," ","-4,40","","-8,90","","71,00","","25,00","","6,00","","56,30","","91,75","","","","-7,00","","Généralement nuageux"
"1959-03-01 02:00","1959","03","01","02:00"," ","-3,90","","-8,30","","71,00","","18,00","","10,00","","56,30","","91,81","","","","-8,00","","Nuageux"
"1959-03-01 03:00","1959","03","01","03:00"," ","-4,40","","-8,30","","74,00","","18,00","","6,00","","56,30","","91,87","","","","-7,00","","Nuageux"
"1959-03-01 04:00","1959","03","01","04:00"," ","-6,70","","-10,60","","74,00","","11,00","","3,00","","56,30","","91,94","","","","-8,00","","Nuageux"
"1959-03-01 05:00","1959","03","01","05:00"," ","-6,10","","-8,90","","81,00","","32,00","","6,00","","56,30","","92,01","","","","-9,00","","Nuageux"
"1959-03-01 06:00","1959","03","01","06:00"," ","-6,70","","-10,00","","84,00","","7,00","","5,00","","56,30","","92,05","","","","-9,00","","Nuageux"
"1959-03-01 07:00","1959","03","01","07:00"," ","-5,60","","-8,30","","81,00","","25,00","","3,00","","56,30","","92,11","","","","-7,00","","Généralement nuageux"
"1959-03-01 08:00","1959","03","01","08:00"," ","-2,80","","-7,80","","78,00","","16,00","","6,00","","56,30","","92,17","","","","-5,00","","Généralement nuageux"
"1959-03-01 09:00","1959","03","01","09:00"," ","-2,80","","-6,10","","78,00","","36,00","","3,00","","56,30","","92,23","","","","-4,00","","Généralement nuageux"
