"Nom de la Station","WATSON LAKE A"
"Province","YUKON TERRITORY"
"Latitude","60,12"
"Longitude","-128,82"
"Altitude","687,40"
"Identification Climat","2101200"
"Identification OMM","71953"
"Identification TC","YQH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1976-06-01 00:00","1976","06","01","00:00"," ","5,60","","0,60","","70,00","","0,00","","0,00","","48,30","","93,74","","","","","","Généralement nuageux"
"1976-06-01 01:00","1976","06","01","01:00"," ","5,00","","1,10","","78,00","","30,00","","5,00","","48,30","","93,74","","","","","","Généralement nuageux"
"1976-06-01 02:00","1976","06","01","02:00"," ","3,30","","0,00","","77,00","","34,00","","5,00","","48,30","","93,71","","","","","","Généralement nuageux"
"1976-06-01 03:00","1976","06","01","03:00"," ","3,30","","1,10","","83,00","","31,00","","8,00","","48,30","","93,70","","","","","","Nuageux"
"1976-06-01 04:00","1976","06","01","04:00"," ","3,30","","1,10","","84,00","","33,00","","8,00","","48,30","","93,67","","","","","","Nuageux"
"1976-06-01 05:00","1976","06","01","05:00"," ","3,30","","0,60","","85,00","","31,00","","5,00","","48,30","","93,67","","","","","","Nuageux"
"1976-06-01 06:00","1976","06","01","06:00"," ","3,90","","0,60","","79,00","","33,00","","10,00","","48,30","","93,64","","","","","","Nuageux"
"1976-06-01 07:00","1976","06","01","07:00"," ","5,00","","1,10","","76,00","","31,00","","5,00","","48,30","","93,61","","","","","","Nuageux"
"1976-06-01 08:00","1976","06","01","08:00"," ","6,70","","1,10","","69,00","","28,00","","13,00","","48,30","","93,58","","","","","","Nuageux"
"1976-06-01 09:00","1976","06","01","09:00"," ","8,30","","1,70","","62,00","","28,00","","10,00","","48,30","","93,52","","","","","","Nuageux"
"1976-06-01 10:00","1976","06","01","10:00"," ","10,60","","2,20","","56,00","","28,00","","11,00","","48,30","","93,45","","","","","","Nuageux"
"1976-06-01 11:00","1976","06","01","11:00"," ","12,80","","1,10","","45,00","","29,00","","13,00","","48,30","","93,33","","","","","","Nuageux"
"1976-06-01 12:00","1976","06","01","12:00"," ","13,90","","-2,20","","33,00","","36,00","","14,00","","48,30","","93,26","","","","","","Nuageux"
"1976-06-01 13:00","1976","06","01","13:00"," ","15,60","","-1,10","","32,00","","5,00","","23,00","","48,30","","93,22","","","","","","Nuageux"
"1976-06-01 14:00","1976","06","01","14:00"," ","15,60","","-1,10","","31,00","","7,00","","13,00","","48,30","","93,18","","","","","","Nuageux"
"1976-06-01 15:00","1976","06","01","15:00"," ","16,10","","-2,80","","27,00","","4,00","","21,00","","48,30","","93,16","","","","","","Nuageux"
"1976-06-01 16:00","1976","06","01","16:00"," ","11,70","","0,60","","45,00","","11,00","","26,00","","48,30","","93,23","","","","","","Nuageux"
"1976-06-01 17:00","1976","06","01","17:00"," ","10,00","","2,80","","61,00","","18,00","","23,00","","48,30","","93,26","","","","","","Nuageux"
"1976-06-01 18:00","1976","06","01","18:00"," ","9,40","","2,80","","62,00","","14,00","","16,00","","48,30","","93,32","","","","","","Généralement nuageux"
"1976-06-01 19:00","1976","06","01","19:00"," ","8,90","","2,20","","63,00","","15,00","","19,00","","48,30","","93,37","","","","","","Généralement nuageux"
"1976-06-01 20:00","1976","06","01","20:00"," ","7,80","","2,20","","67,00","","14,00","","16,00","","48,30","","93,42","","","","","","Nuageux"
"1976-06-01 21:00","1976","06","01","21:00"," ","7,20","","2,20","","69,00","","14,00","","11,00","","48,30","","93,45","","","","","","Nuageux"
