"Nom de la Station","WHITEHORSE A"
"Province","YUKON TERRITORY"
"Latitude","60,71"
"Longitude","-135,07"
"Altitude","706,20"
"Identification Climat","2101300"
"Identification OMM","71964"
"Identification TC","YXY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1983-11-01 00:00","1983","11","01","00:00"," ","-3,10","","-7,20","","73,00","","15,00","","28,00","","64,40","","92,53","","","","-10,00","","Généralement nuageux"
"1983-11-01 01:00","1983","11","01","01:00"," ","-3,20","","-7,30","","73,00","","16,00","","22,00","","64,40","","92,53","","","","-10,00","","Généralement nuageux"
"1983-11-01 02:00","1983","11","01","02:00"," ","-3,60","","-7,50","","74,00","","15,00","","33,00","","64,40","","92,47","","","","-12,00","","Généralement nuageux"
"1983-11-01 03:00","1983","11","01","03:00"," ","-3,90","","-7,90","","74,00","","17,00","","28,00","","64,40","","92,47","","","","-11,00","","Généralement nuageux"
"1983-11-01 04:00","1983","11","01","04:00"," ","-4,70","","-8,40","","75,00","","16,00","","33,00","","64,40","","92,44","","","","-13,00","","Généralement dégagé"
"1983-11-01 05:00","1983","11","01","05:00"," ","-5,70","","-9,10","","77,00","","19,00","","20,00","","64,40","","92,37","","","","-12,00","","Généralement dégagé"
"1983-11-01 06:00","1983","11","01","06:00"," ","-6,00","","-9,40","","77,00","","18,00","","19,00","","64,40","","92,34","","","","-13,00","","Généralement dégagé"
"1983-11-01 07:00","1983","11","01","07:00"," ","-6,50","","-9,80","","77,00","","20,00","","19,00","","64,40","","92,31","","","","-13,00","","Généralement dégagé"
"1983-11-01 08:00","1983","11","01","08:00"," ","-7,50","","-10,40","","80,00","","21,00","","13,00","","64,40","","92,25","","","","-13,00","","Généralement nuageux"
"1983-11-01 09:00","1983","11","01","09:00"," ","-7,70","","-10,30","","82,00","","20,00","","13,00","","64,40","","92,18","","","","-13,00","","Généralement nuageux"
"1983-11-01 10:00","1983","11","01","10:00"," ","-6,60","","-9,80","","78,00","","17,00","","24,00","","64,40","","92,15","","","","-14,00","","Généralement nuageux"
"1983-11-01 11:00","1983","11","01","11:00"," ","-5,70","","-9,50","","75,00","","16,00","","17,00","","64,40","","92,09","","","","-12,00","","Généralement nuageux"
"1983-11-01 12:00","1983","11","01","12:00"," ","-4,70","","-9,50","","69,00","","16,00","","17,00","","64,40","","92,06","","","","-11,00","","Généralement nuageux"
"1983-11-01 13:00","1983","11","01","13:00"," ","-3,10","","-9,10","","63,00","","16,00","","22,00","","64,40","","91,96","","","","-9,00","","Généralement nuageux"
"1983-11-01 14:00","1983","11","01","14:00"," ","-3,20","","-9,50","","62,00","","15,00","","13,00","","64,40","","91,83","","","","-8,00","","Généralement nuageux"
"1983-11-01 15:00","1983","11","01","15:00"," ","-3,00","","-8,60","","65,00","","15,00","","20,00","","64,40","","91,77","","","","-9,00","","Généralement nuageux"
"1983-11-01 16:00","1983","11","01","16:00"," ","-3,00","","-8,70","","65,00","","16,00","","22,00","","64,40","","91,74","","","","-9,00","","Généralement nuageux"
"1983-11-01 17:00","1983","11","01","17:00"," ","-2,80","","-9,10","","62,00","","17,00","","20,00","","64,40","","91,68","","","","-9,00","","Généralement nuageux"
"1983-11-01 18:00","1983","11","01","18:00"," ","-3,00","","-9,00","","63,00","","17,00","","22,00","","64,40","","91,64","","","","-9,00","","Généralement nuageux"
"1983-11-01 19:00","1983","11","01","19:00"," ","-3,20","","-8,80","","65,00","","16,00","","24,00","","64,40","","91,61","","","","-10,00","","Généralement nuageux"
"1983-11-01 20:00","1983","11","01","20:00"," ","-3,10","","-8,60","","66,00","","16,00","","24,00","","64,40","","91,55","","","","-10,00","","Nuageux"
"1983-11-01 21:00","1983","11","01","21:00"," ","-3,60","","-7,30","","76,00","","18,00","","22,00","","64,40","","91,49","","","","-10,00","","Nuageux"
"1983-11-01 22:00","1983","11","01","22:00"," ","-3,80","","-7,20","","77,00","","18,00","","17,00","","64,40","","91,45","","","","-10,00","","Généralement nuageux"
"1983-11-01 23:00","1983","11","01","23:00"," ","-4,60","","-7,10","","83,00","","17,00","","19,00","","64,40","","91,39","","","","-11,00","","Généralement nuageux"
"1983-11-02 00:00","1983","11","02","00:00"," ","-3,60","","-6,70","","79,00","","19,00","","19,00","","64,40","","91,33","","","","-10,00","","Nuageux"
