"Nom de la Station","KUGLUKTUK A"
"Province","NUNAVUT"
"Latitude","67,82"
"Longitude","-115,14"
"Altitude","22,60"
"Identification Climat","2300902"
"Identification OMM","71938"
"Identification TC","YCO"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2002-12-01 00:00","2002","12","01","00:00"," ","-15,50","","-17,90","","82,00","","15,00","","33,00","","19,30","","101,63","","","","-27,00","","Neige"
"2002-12-01 01:00","2002","12","01","01:00"," ","-15,80","","-18,20","","82,00","","14,00","","24,00","","24,10","","101,69","","","","-26,00","","Généralement nuageux"
"2002-12-01 02:00","2002","12","01","02:00"," ","-15,30","","-17,60","","83,00","","21,00","","39,00","","19,30","","101,70","","","","-28,00","","Généralement nuageux"
"2002-12-01 03:00","2002","12","01","03:00"," ","-14,20","","-15,90","","87,00","","18,00","","19,00","","24,10","","101,74","","","","-23,00","","Généralement nuageux"
"2002-12-01 04:00","2002","12","01","04:00"," ","-14,90","","-17,20","","83,00","","17,00","","9,00","","24,10","","101,80","","","","-21,00","","Généralement nuageux"
"2002-12-01 05:00","2002","12","01","05:00"," ","-15,60","","-18,00","","82,00","","8,00","","4,00","","24,10","","101,84","","","","-19,00","","Généralement nuageux"
"2002-12-01 06:00","2002","12","01","06:00"," ","-15,60","","-18,00","","82,00","","18,00","","17,00","","24,10","","101,88","","","","-24,00","","Généralement nuageux"
"2002-12-01 07:00","2002","12","01","07:00"," ","-16,00","","-18,40","","82,00","","18,00","","19,00","","24,10","","101,91","","","","-25,00","","Généralement nuageux"
"2002-12-01 08:00","2002","12","01","08:00"," ","-18,00","","-20,70","","79,00","","4,00","","2,00","","24,10","","101,95","","","","-20,00","","Généralement nuageux"
"2002-12-01 09:00","2002","12","01","09:00"," ","-18,20","","-20,90","","79,00","","1,00","","2,00","","24,10","","102,02","","","","-20,00","","Généralement nuageux"
