"Nom de la Station","FORT LIARD A"
"Province","NORTHWEST TERRITORIES"
"Latitude","60,24"
"Longitude","-123,47"
"Altitude","215,80"
"Identification Climat","2201575"
"Identification OMM",""
"Identification TC","YJF"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2003-11-01 00:00","2003","11","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 01:00","2003","11","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 02:00","2003","11","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 03:00","2003","11","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 04:00","2003","11","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 05:00","2003","11","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 06:00","2003","11","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 07:00","2003","11","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 08:00","2003","11","01","08:00"," ","-1,90","","-4,70","","81,00","","23,00","","19,00","","2,40","","99,44","","","","-7,00","","Neige"
"2003-11-01 09:00","2003","11","01","09:00"," ","-2,30","","-5,20","","80,00","","23,00","","15,00","","24,10","","99,50","","","","-7,00","","Nuageux"
"2003-11-01 10:00","2003","11","01","10:00"," ","-2,20","","-4,50","","84,00","","21,00","","9,00","","4,80","","99,57","","","","-6,00","","Neige"
"2003-11-01 11:00","2003","11","01","11:00"," ","-0,20","","-4,50","","73,00","","21,00","","13,00","","24,10","","99,59","","","","-4,00","","Généralement nuageux"
"2003-11-01 12:00","2003","11","01","12:00"," ","0,60","","-3,80","","72,00","","22,00","","13,00","","24,10","","99,60","","","","","","Généralement nuageux"
"2003-11-01 13:00","2003","11","01","13:00"," ","2,40","","-3,80","","64,00","","3,00","","15,00","","24,10","","99,66","","","","","","Généralement nuageux"
"2003-11-01 14:00","2003","11","01","14:00"," ","3,40","","-4,20","","57,00","","36,00","","24,00","","24,10","","99,71","","","","","","Généralement nuageux"
"2003-11-01 15:00","2003","11","01","15:00"," ","2,60","","-3,90","","62,00","","35,00","","11,00","","24,10","","99,74","","","","","","Généralement nuageux"
"2003-11-01 16:00","2003","11","01","16:00"," ","2,90","","-4,80","","57,00","","35,00","","13,00","","24,10","","99,82","","","","","","Généralement nuageux"
"2003-11-01 17:00","2003","11","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 18:00","2003","11","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 19:00","2003","11","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 20:00","2003","11","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 21:00","2003","11","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 22:00","2003","11","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-01 23:00","2003","11","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 00:00","2003","11","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 01:00","2003","11","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 02:00","2003","11","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 03:00","2003","11","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 04:00","2003","11","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 05:00","2003","11","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 06:00","2003","11","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 07:00","2003","11","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 08:00","2003","11","02","08:00"," ","-8,60","","-9,20","","95,00","","23,00","","6,00","","24,10","","100,07","","","","-12,00","","Généralement nuageux"
"2003-11-02 09:00","2003","11","02","09:00"," ","-8,30","","-9,30","","92,00","","21,00","","4,00","","24,10","","100,03","","","","-10,00","","Généralement nuageux"
"2003-11-02 10:00","2003","11","02","10:00"," ","-7,60","","-8,80","","91,00","","23,00","","2,00","","24,10","","100,03","","","","-9,00","","Généralement nuageux"
"2003-11-02 11:00","2003","11","02","11:00"," ","-5,70","","-7,30","","88,00","","6,00","","19,00","","24,10","","100,06","","","","-12,00","","Généralement nuageux"
"2003-11-02 12:00","2003","11","02","12:00"," ","-5,30","","-7,50","","84,00","","6,00","","15,00","","24,10","","100,10","","","","-11,00","","Neige"
"2003-11-02 13:00","2003","11","02","13:00"," ","-4,60","","-7,00","","83,00","","6,00","","19,00","","24,10","","100,12","","","","-11,00","","Neige"
"2003-11-02 14:00","2003","11","02","14:00"," ","-4,30","","-7,20","","80,00","","5,00","","15,00","","24,10","","100,14","","","","-10,00","","Généralement nuageux"
"2003-11-02 15:00","2003","11","02","15:00"," ","-3,80","","-7,20","","77,00","","5,00","","15,00","","24,10","","100,16","","","","-9,00","","Généralement nuageux"
"2003-11-02 16:00","2003","11","02","16:00"," ","-3,90","","-7,30","","77,00","","4,00","","17,00","","24,10","","100,19","","","","-10,00","","Généralement nuageux"
"2003-11-02 17:00","2003","11","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 18:00","2003","11","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 19:00","2003","11","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 20:00","2003","11","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 21:00","2003","11","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 22:00","2003","11","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-02 23:00","2003","11","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 00:00","2003","11","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 01:00","2003","11","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 02:00","2003","11","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 03:00","2003","11","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 04:00","2003","11","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 05:00","2003","11","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 06:00","2003","11","03","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 07:00","2003","11","03","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 08:00","2003","11","03","08:00"," ","-6,80","","-8,00","","91,00","","0,00","","0,00","","24,10","","100,40","","","","","","Nuageux"
"2003-11-03 09:00","2003","11","03","09:00"," ","-6,80","","-8,00","","91,00","","0,00","","0,00","","24,10","","100,38","","","","","","Neige"
"2003-11-03 10:00","2003","11","03","10:00"," ","-6,40","","-8,00","","88,00","","23,00","","7,00","","24,10","","100,35","","","","-10,00","","Neige"
"2003-11-03 11:00","2003","11","03","11:00"," ","-6,00","","-7,80","","87,00","","24,00","","4,00","","24,10","","100,36","","","","-8,00","","Neige"
"2003-11-03 12:00","2003","11","03","12:00"," ","-5,60","","-8,30","","81,00","","22,00","","13,00","","24,10","","100,33","","","","-11,00","","Neige"
"2003-11-03 13:00","2003","11","03","13:00"," ","-5,80","","-8,70","","80,00","","24,00","","9,00","","24,10","","100,29","","","","-10,00","","Neige"
"2003-11-03 14:00","2003","11","03","14:00"," ","-5,80","","-8,60","","81,00","","26,00","","7,00","","24,10","","100,24","","","","-9,00","","Neige"
"2003-11-03 15:00","2003","11","03","15:00"," ","-5,60","","-8,50","","80,00","","24,00","","7,00","","24,10","","100,21","","","","-9,00","","Neige"
"2003-11-03 16:00","2003","11","03","16:00"," ","-5,90","","-8,90","","79,00","","21,00","","15,00","","24,10","","100,17","","","","-12,00","","Généralement nuageux"
"2003-11-03 17:00","2003","11","03","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 18:00","2003","11","03","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 19:00","2003","11","03","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 20:00","2003","11","03","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 21:00","2003","11","03","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 22:00","2003","11","03","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-03 23:00","2003","11","03","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 00:00","2003","11","04","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 01:00","2003","11","04","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 02:00","2003","11","04","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 03:00","2003","11","04","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 04:00","2003","11","04","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 05:00","2003","11","04","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 06:00","2003","11","04","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 07:00","2003","11","04","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 08:00","2003","11","04","08:00"," ","-14,10","","-15,80","","87,00","","0,00","","0,00","","24,10","","99,58","","","","","","Nuageux"
"2003-11-04 09:00","2003","11","04","09:00"," ","-14,50","","-15,90","","89,00","","18,00","","7,00","","24,10","","99,58","","","","-19,00","","Généralement nuageux"
"2003-11-04 10:00","2003","11","04","10:00"," ","-13,50","","-15,00","","88,00","","16,00","","6,00","","24,10","","99,62","","","","-18,00","","Neige"
"2003-11-04 11:00","2003","11","04","11:00"," ","-12,90","","-15,00","","84,00","","19,00","","4,00","","24,10","","99,63","","","","-16,00","","Neige"
"2003-11-04 12:00","2003","11","04","12:00"," ","-10,10","","-13,10","","79,00","","0,00","","0,00","","24,10","","99,63","","","","","","Cristaux de glace"
"2003-11-04 13:00","2003","11","04","13:00"," ","-8,30","","-12,00","","75,00","","17,00","","4,00","","24,10","","99,62","","","","-10,00","","Généralement dégagé"
"2003-11-04 14:00","2003","11","04","14:00"," ","-7,10","","-11,50","","71,00","","20,00","","6,00","","24,10","","99,62","","","","-10,00","","Généralement dégagé"
"2003-11-04 15:00","2003","11","04","15:00"," ","-5,60","","-10,70","","67,00","","0,00","","0,00","","24,10","","99,66","","","","","","Généralement dégagé"
"2003-11-04 16:00","2003","11","04","16:00"," ","-6,50","","-10,80","","71,00","","22,00","","7,00","","24,10","","99,64","","","","-10,00","","Généralement dégagé"
"2003-11-04 17:00","2003","11","04","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 18:00","2003","11","04","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 19:00","2003","11","04","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 20:00","2003","11","04","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 21:00","2003","11","04","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 22:00","2003","11","04","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-04 23:00","2003","11","04","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 00:00","2003","11","05","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 01:00","2003","11","05","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 02:00","2003","11","05","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 03:00","2003","11","05","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 04:00","2003","11","05","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 05:00","2003","11","05","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 06:00","2003","11","05","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 07:00","2003","11","05","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 08:00","2003","11","05","08:00"," ","-10,20","","-11,50","","90,00","","24,00","","13,00","","24,10","","99,78","","","","-16,00","","Nuageux"
"2003-11-05 09:00","2003","11","05","09:00"," ","-10,20","","-11,50","","90,00","","22,00","","22,00","","24,10","","99,78","","","","-18,00","","Généralement nuageux"
"2003-11-05 10:00","2003","11","05","10:00"," ","-10,30","","-11,60","","90,00","","23,00","","17,00","","24,10","","99,76","","","","-18,00","","Généralement nuageux"
"2003-11-05 11:00","2003","11","05","11:00"," ","-9,80","","-11,50","","87,00","","22,00","","22,00","","24,10","","99,72","","","","-18,00","","Généralement nuageux"
"2003-11-05 12:00","2003","11","05","12:00"," ","-8,90","","-11,10","","84,00","","21,00","","19,00","","24,10","","99,68","","","","-16,00","","Généralement nuageux"
"2003-11-05 13:00","2003","11","05","13:00"," ","-7,90","","-10,80","","80,00","","22,00","","15,00","","24,10","","99,61","","","","-14,00","","Généralement nuageux"
"2003-11-05 14:00","2003","11","05","14:00"," ","-6,10","","-10,50","","71,00","","21,00","","19,00","","24,10","","99,57","","","","-13,00","","Généralement nuageux"
"2003-11-05 15:00","2003","11","05","15:00"," ","-4,70","","-10,60","","63,00","","22,00","","19,00","","24,10","","99,52","","","","-11,00","","Généralement nuageux"
"2003-11-05 16:00","2003","11","05","16:00"," ","-5,30","","-10,00","","69,00","","22,00","","15,00","","24,10","","99,48","","","","-11,00","","Généralement nuageux"
"2003-11-05 17:00","2003","11","05","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2003-11-05 18:00","2003","11","05","18:00"," ","","","","","","","","","","","","","","","","","","",""
