"Nom de la Station","FORT SIMPSON A"
"Province","NORTHWEST TERRITORIES"
"Latitude","61,76"
"Longitude","-121,24"
"Altitude","169,20"
"Identification Climat","2202101"
"Identification OMM","71946"
"Identification TC","YFS"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1983-10-01 00:00","1983","10","01","00:00"," ","2,10","","-3,20","","68,00","","13,00","","19,00","","24,10","","98,21","","","","","","Dégagé"
"1983-10-01 01:00","1983","10","01","01:00"," ","1,70","","-2,40","","74,00","","10,00","","19,00","","24,10","","98,18","","","","","","Dégagé"
"1983-10-01 02:00","1983","10","01","02:00"," ","1,20","","-2,40","","77,00","","14,00","","15,00","","24,10","","98,18","","","","","","Dégagé"
"1983-10-01 03:00","1983","10","01","03:00"," ","1,20","","-1,90","","80,00","","12,00","","15,00","","24,10","","98,11","","","","","","Dégagé"
"1983-10-01 04:00","1983","10","01","04:00"," ","0,70","","-1,40","","86,00","","14,00","","15,00","","24,10","","98,11","","","","","","Généralement dégagé"
"1983-10-01 05:00","1983","10","01","05:00"," ","0,60","","-0,90","","90,00","","12,00","","15,00","","24,10","","98,14","","","","","","Généralement nuageux"
"1983-10-01 06:00","1983","10","01","06:00"," ","0,70","","-0,90","","89,00","","13,00","","13,00","","24,10","","98,18","","","","","","Nuageux"
"1983-10-01 07:00","1983","10","01","07:00"," ","0,90","","-0,50","","90,00","","12,00","","17,00","","24,10","","98,11","","","","","","Nuageux"
"1983-10-01 08:00","1983","10","01","08:00"," ","1,10","","-0,50","","89,00","","12,00","","15,00","","24,10","","98,11","","","","","","Nuageux"
"1983-10-01 09:00","1983","10","01","09:00"," ","1,20","","-1,50","","82,00","","13,00","","15,00","","24,10","","98,11","","","","","","Nuageux"
"1983-10-01 10:00","1983","10","01","10:00"," ","2,20","","-1,50","","76,00","","13,00","","15,00","","24,10","","98,08","","","","","","Nuageux"
"1983-10-01 11:00","1983","10","01","11:00"," ","3,30","","-0,30","","77,00","","13,00","","17,00","","24,10","","98,11","","","","","","Nuageux"
"1983-10-01 12:00","1983","10","01","12:00"," ","4,00","","-0,80","","71,00","","12,00","","13,00","","24,10","","98,14","","","","","","Nuageux"
"1983-10-01 13:00","1983","10","01","13:00"," ","5,00","","-0,70","","66,00","","10,00","","6,00","","24,10","","98,14","","","","","","Nuageux"
"1983-10-01 14:00","1983","10","01","14:00"," ","5,90","","-0,60","","63,00","","14,00","","9,00","","24,10","","98,14","","","","","","Nuageux"
"1983-10-01 15:00","1983","10","01","15:00"," ","5,90","","-0,60","","63,00","","12,00","","13,00","","24,10","","98,21","","","","","","Nuageux"
"1983-10-01 16:00","1983","10","01","16:00"," ","6,10","","-1,10","","60,00","","10,00","","7,00","","24,10","","98,28","","","","","","Nuageux"
"1983-10-01 17:00","1983","10","01","17:00"," ","6,80","","0,20","","63,00","","0,00","","0,00","","24,10","","98,34","","","","","","Nuageux"
"1983-10-01 18:00","1983","10","01","18:00"," ","6,00","","0,00","","65,00","","33,00","","7,00","","24,10","","98,41","","","","","","Nuageux"
"1983-10-01 19:00","1983","10","01","19:00"," ","5,50","","-0,60","","65,00","","34,00","","7,00","","24,10","","98,48","","","","","","Nuageux"
"1983-10-01 20:00","1983","10","01","20:00"," ","5,40","","-1,20","","62,00","","36,00","","7,00","","24,10","","98,51","","","","","","Nuageux"
"1983-10-01 21:00","1983","10","01","21:00"," ","4,70","","-1,30","","65,00","","35,00","","9,00","","24,10","","98,61","","","","","","Nuageux"
"1983-10-01 22:00","1983","10","01","22:00"," ","3,50","","0,20","","79,00","","33,00","","11,00","","24,10","","98,68","","","","","","Pluie"
"1983-10-01 23:00","1983","10","01","23:00"," ","2,50","","1,10","","91,00","","33,00","","7,00","","24,10","","98,78","","","","","","Pluie"
"1983-10-02 00:00","1983","10","02","00:00"," ","2,40","","1,60","","95,00","","34,00","","7,00","","24,10","","98,78","","","","","","Pluie"
"1983-10-02 01:00","1983","10","02","01:00"," ","2,30","","1,60","","95,00","","34,00","","4,00","","24,10","","98,81","","","","","","Nuageux"
"1983-10-02 02:00","1983","10","02","02:00"," ","1,80","","1,50","","98,00","","35,00","","4,00","","24,10","","98,81","","","","","","Nuageux"
