"Nom de la Station","FORT SMITH A"
"Province","NORTHWEST TERRITORIES"
"Latitude","60,02"
"Longitude","-111,96"
"Altitude","205,10"
"Identification Climat","2202200"
"Identification OMM","71934"
"Identification TC","YSM"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1985-11-01 00:00","1985","11","01","00:00"," ","-6,30","","-7,60","","90,00","","11,00","","6,00","","16,10","","98,35","","","","-9,00","","Neige"
"1985-11-01 01:00","1985","11","01","01:00"," ","-6,70","","-7,60","","93,00","","12,00","","6,00","","16,10","","98,39","","","","-10,00","","Neige"
"1985-11-01 02:00","1985","11","01","02:00"," ","-6,90","","-8,20","","90,00","","13,00","","7,00","","16,10","","98,39","","","","-10,00","","Neige"
"1985-11-01 03:00","1985","11","01","03:00"," ","-6,20","","-6,80","","96,00","","13,00","","9,00","","16,10","","98,39","","","","-10,00","","Neige"
"1985-11-01 04:00","1985","11","01","04:00"," ","-6,30","","-7,30","","93,00","","13,00","","7,00","","16,10","","98,39","","","","-10,00","","Neige"
"1985-11-01 05:00","1985","11","01","05:00"," ","-6,40","","-7,60","","91,00","","14,00","","9,00","","16,10","","98,39","","","","-11,00","","Neige"
"1985-11-01 06:00","1985","11","01","06:00"," ","-6,40","","-7,60","","91,00","","14,00","","11,00","","16,10","","98,42","","","","-11,00","","Neige"
"1985-11-01 07:00","1985","11","01","07:00"," ","-6,30","","-7,60","","90,00","","13,00","","9,00","","16,10","","98,45","","","","-11,00","","Neige"
"1985-11-01 08:00","1985","11","01","08:00"," ","-6,30","","-7,60","","90,00","","16,00","","13,00","","8,00","","98,49","","","","-12,00","","Neige"
"1985-11-01 09:00","1985","11","01","09:00"," ","-6,30","","-7,30","","93,00","","15,00","","9,00","","16,10","","98,49","","","","-11,00","","Neige"
"1985-11-01 10:00","1985","11","01","10:00"," ","-5,90","","-7,10","","91,00","","15,00","","9,00","","24,10","","98,49","","","","-10,00","","Neige"
"1985-11-01 11:00","1985","11","01","11:00"," ","-5,50","","-6,50","","93,00","","16,00","","9,00","","16,10","","98,49","","","","-10,00","","Neige"
"1985-11-01 12:00","1985","11","01","12:00"," ","-5,20","","-6,60","","90,00","","16,00","","9,00","","24,10","","98,49","","","","-9,00","","Neige"
"1985-11-01 13:00","1985","11","01","13:00"," ","-5,00","","-6,90","","87,00","","17,00","","9,00","","24,10","","98,49","","","","-9,00","","Neige"
"1985-11-01 14:00","1985","11","01","14:00"," ","-4,70","","-6,60","","87,00","","16,00","","9,00","","24,10","","98,52","","","","-9,00","","Neige"
"1985-11-01 15:00","1985","11","01","15:00"," ","-4,80","","-7,20","","83,00","","16,00","","7,00","","24,10","","98,52","","","","-8,00","","Neige"
"1985-11-01 16:00","1985","11","01","16:00"," ","-4,90","","-6,90","","86,00","","16,00","","6,00","","24,10","","98,59","","","","-8,00","","Neige"
"1985-11-01 17:00","1985","11","01","17:00"," ","-5,00","","-6,30","","91,00","","0,00","","0,00","","24,10","","98,62","","","","","","Neige"
"1985-11-01 18:00","1985","11","01","18:00"," ","-5,00","","-6,60","","88,00","","17,00","","4,00","","24,10","","98,62","","","","-7,00","","Neige"
"1985-11-01 19:00","1985","11","01","19:00"," ","-5,00","","-6,30","","91,00","","0,00","","0,00","","24,10","","98,65","","","","","","Neige"
"1985-11-01 20:00","1985","11","01","20:00"," ","-5,20","","-6,30","","92,00","","0,00","","0,00","","24,10","","98,69","","","","","","Neige"
"1985-11-01 21:00","1985","11","01","21:00"," ","-5,20","","-6,60","","90,00","","0,00","","0,00","","24,10","","98,72","","","","","","Neige"
"1985-11-01 22:00","1985","11","01","22:00"," ","-5,50","","-6,80","","91,00","","25,00","","6,00","","24,10","","98,75","","","","-8,00","","Neige"
