"Nom de la Station","HAY RIVER A"
"Province","NORTHWEST TERRITORIES"
"Latitude","60,84"
"Longitude","-115,78"
"Altitude","164,90"
"Identification Climat","2202400"
"Identification OMM","71935"
"Identification TC","YHY"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2011-01-01 00:00","2011","01","01","00:00"," ","-26,80","","-31,00","","68,00","","0,00","","0,00","","25,00","","99,12","","","","","","Généralement nuageux"
"2011-01-01 01:00","2011","01","01","01:00"," ","-26,50","","-30,70","","68,00","","10,00","","4,00","","24,10","","99,09","","","","-31,00","","Cristaux de glace"
"2011-01-01 02:00","2011","01","01","02:00"," ","-26,10","","-29,70","","72,00","","7,00","","13,00","","24,10","","99,03","","","","-36,00","","Cristaux de glace"
"2011-01-01 03:00","2011","01","01","03:00"," ","-25,40","","-28,90","","72,00","","8,00","","9,00","","1,60","","98,96","","","","-33,00","","Brouillard"
"2011-01-01 04:00","2011","01","01","04:00"," ","-24,10","","-27,60","","73,00","","9,00","","9,00","","1,60","","98,91","","","","-32,00","","Brouillard"
"2011-01-01 05:00","2011","01","01","05:00"," ","-23,00","","-26,50","","73,00","","8,00","","9,00","","2,40","","98,82","","","","-30,00","","Neige,Brouillard"
"2011-01-01 06:00","2011","01","01","06:00"," ","-22,40","","-25,80","","74,00","","8,00","","15,00","","3,20","","98,77","","","","-32,00","","Neige,Brouillard"
"2011-01-01 07:00","2011","01","01","07:00"," ","-21,70","","-25,00","","75,00","","9,00","","7,00","","3,20","","98,72","","","","-28,00","","Neige"
"2011-01-01 08:00","2011","01","01","08:00"," ","-21,00","","-24,20","","75,00","","7,00","","13,00","","3,20","","98,70","","","","-30,00","","Neige"
"2011-01-01 09:00","2011","01","01","09:00"," ","-20,70","","-23,80","","76,00","","8,00","","11,00","","3,20","","98,72","","","","-28,00","","Neige"
"2011-01-01 10:00","2011","01","01","10:00"," ","-20,10","","-23,10","","77,00","","7,00","","11,00","","8,00","","98,75","","","","-28,00","","Neige"
"2011-01-01 11:00","2011","01","01","11:00"," ","-19,50","","-22,60","","76,00","","7,00","","13,00","","24,10","","98,77","","","","-28,00","","Neige"
"2011-01-01 12:00","2011","01","01","12:00"," ","-19,90","","-22,80","","78,00","","6,00","","13,00","","24,10","","98,78","","","","-28,00","","Neige"
"2011-01-01 13:00","2011","01","01","13:00"," ","-20,20","","-23,20","","77,00","","7,00","","7,00","","25,00","","98,80","","","","-26,00","","Nuageux"
"2011-01-01 14:00","2011","01","01","14:00"," ","-20,20","","-23,20","","77,00","","7,00","","7,00","","25,00","","98,92","","","","-26,00","","Nuageux"
"2011-01-01 15:00","2011","01","01","15:00"," ","-20,60","","-23,80","","75,00","","3,00","","6,00","","25,00","","99,04","","","","-26,00","","Nuageux"
"2011-01-01 16:00","2011","01","01","16:00"," ","-21,00","","-24,30","","75,00","","1,00","","4,00","","25,00","","99,13","","","","-25,00","","Nuageux"
"2011-01-01 17:00","2011","01","01","17:00"," ","-21,10","","-24,40","","75,00","","3,00","","6,00","","25,00","","99,26","","","","-26,00","","Nuageux"
"2011-01-01 18:00","2011","01","01","18:00"," ","-20,80","","-24,00","","75,00","","0,00","","0,00","","25,00","","99,38","","","","","","Nuageux"
"2011-01-01 19:00","2011","01","01","19:00"," ","-20,50","","-23,70","","75,00","","0,00","","0,00","","24,10","","99,42","","","","","","Neige"
