"Nom de la Station","LAC LA MARTRE"
"Province","NORTHWEST TERRITORIES"
"Latitude","63,13"
"Longitude","-117,24"
"Altitude","271,30"
"Identification Climat","2202678"
"Identification OMM","71163"
"Identification TC","WMT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-10-01 00:00","2005","10","01","00:00"," ","-3,40","","-5,20","","87,00","","11,00","","13,00","","","","97,78","","","","-8,00","","ND"
"2005-10-01 01:00","2005","10","01","01:00"," ","-3,70","","-4,90","","91,00","","12,00","","11,00","","","","97,77","","","","-8,00","","ND"
"2005-10-01 02:00","2005","10","01","02:00"," ","-3,70","","-4,70","","93,00","","11,00","","13,00","","","","97,78","","","","-9,00","","ND"
"2005-10-01 03:00","2005","10","01","03:00"," ","-3,60","","-4,70","","92,00","","11,00","","13,00","","","","97,79","","","","-8,00","","ND"
"2005-10-01 04:00","2005","10","01","04:00"," ","-3,60","","-4,80","","91,00","","11,00","","13,00","","","","97,78","","","","-8,00","","ND"
"2005-10-01 05:00","2005","10","01","05:00"," ","-3,60","","-4,70","","92,00","","11,00","","13,00","","","","97,78","","","","-8,00","","ND"
"2005-10-01 06:00","2005","10","01","06:00"," ","-3,60","","-4,50","","93,00","","11,00","","15,00","","","","97,80","","","","-9,00","","ND"
"2005-10-01 07:00","2005","10","01","07:00"," ","-3,70","","-4,50","","94,00","","12,00","","15,00","","","","97,83","","","","-9,00","","ND"
"2005-10-01 08:00","2005","10","01","08:00"," ","-3,40","","-4,50","","92,00","","12,00","","13,00","","","","97,86","","","","-8,00","","ND"
"2005-10-01 09:00","2005","10","01","09:00"," ","-2,70","","-4,40","","88,00","","12,00","","15,00","","","","97,89","","","","-8,00","","ND"
