"Nom de la Station","NORMAN WELLS A"
"Province","NORTHWEST TERRITORIES"
"Latitude","65,28"
"Longitude","-126,80"
"Altitude","72,50"
"Identification Climat","2202800"
"Identification OMM","71043"
"Identification TC","YVQ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1980-01-01 00:00","1980","01","01","00:00"," ","-25,80","","-31,00","","61,00","","28,00","","19,00","","24,10","","101,96","","","","-38,00","","Généralement nuageux"
"1980-01-01 01:00","1980","01","01","01:00"," ","-25,80","","-31,40","","59,00","","31,00","","11,00","","24,10","","101,99","","","","-35,00","","Généralement nuageux"
"1980-01-01 02:00","1980","01","01","02:00"," ","-24,20","","-30,40","","57,00","","30,00","","26,00","","24,10","","102,03","","","","-37,00","","Généralement nuageux"
"1980-01-01 03:00","1980","01","01","03:00"," ","-24,10","","-30,00","","58,00","","30,00","","22,00","","24,10","","102,10","","","","-36,00","","Neige"
"1980-01-01 04:00","1980","01","01","04:00"," ","-23,80","","-30,30","","55,00","","31,00","","20,00","","24,10","","102,13","","","","-35,00","","Neige"
"1980-01-01 05:00","1980","01","01","05:00"," ","-24,30","","-30,70","","55,00","","31,00","","22,00","","24,10","","102,13","","","","-36,00","","Neige"
"1980-01-01 06:00","1980","01","01","06:00"," ","-24,60","","-31,00","","55,00","","30,00","","22,00","","24,10","","102,16","","","","-37,00","","Nuageux"
"1980-01-01 07:00","1980","01","01","07:00"," ","-24,90","","-30,80","","58,00","","29,00","","11,00","","24,10","","102,20","","","","-34,00","","Nuageux"
"1980-01-01 08:00","1980","01","01","08:00"," ","-25,00","","-30,60","","60,00","","30,00","","17,00","","24,10","","102,23","","","","-36,00","","Nuageux"
"1980-01-01 09:00","1980","01","01","09:00"," ","-25,20","","-31,50","","56,00","","30,00","","20,00","","24,10","","102,23","","","","-37,00","","Nuageux"
"1980-01-01 10:00","1980","01","01","10:00"," ","-25,40","","-31,20","","58,00","","29,00","","15,00","","24,10","","102,26","","","","-36,00","","Nuageux"
"1980-01-01 11:00","1980","01","01","11:00"," ","-25,70","","-30,70","","63,00","","30,00","","17,00","","48,30","","102,30","","","","-37,00","","Nuageux"
"1980-01-01 12:00","1980","01","01","12:00"," ","-26,10","","-31,70","","59,00","","31,00","","19,00","","48,30","","102,30","","","","-38,00","","Nuageux"
"1980-01-01 13:00","1980","01","01","13:00"," ","-26,40","","-32,00","","59,00","","30,00","","9,00","","48,30","","102,30","","","","-34,00","","Nuageux"
"1980-01-01 14:00","1980","01","01","14:00"," ","-26,60","","-32,20","","59,00","","31,00","","17,00","","48,30","","102,30","","","","-38,00","","Généralement nuageux"
"1980-01-01 15:00","1980","01","01","15:00"," ","-27,00","","-32,50","","59,00","","28,00","","11,00","","48,30","","102,33","","","","-36,00","","Généralement nuageux"
"1980-01-01 16:00","1980","01","01","16:00"," ","-27,40","","-32,90","","59,00","","30,00","","7,00","","48,30","","102,36","","","","-34,00","","Généralement nuageux"
"1980-01-01 17:00","1980","01","01","17:00"," ","-28,20","","-33,10","","63,00","","35,00","","7,00","","48,30","","102,40","","","","-35,00","","Généralement nuageux"
