"Nom de la Station","PAULATUK A"
"Province","NORTHWEST TERRITORIES"
"Latitude","69,36"
"Longitude","-124,08"
"Altitude","4,60"
"Identification Climat","2203057"
"Identification OMM",""
"Identification TC","YPC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-01-01 00:00","2005","01","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 01:00","2005","01","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 02:00","2005","01","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 03:00","2005","01","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 04:00","2005","01","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 05:00","2005","01","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 06:00","2005","01","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 07:00","2005","01","01","07:00"," ","-22,90","","-26,40","","73,00","","27,00","","9,00","","24,10","","101,98","","","","-30,00","","Généralement dégagé"
"2005-01-01 08:00","2005","01","01","08:00"," ","-22,00","","-25,30","","75,00","","25,00","","9,00","","24,10","","102,07","","","","-29,00","","Généralement nuageux"
"2005-01-01 09:00","2005","01","01","09:00"," ","-22,10","","-25,40","","75,00","","26,00","","11,00","","24,10","","102,15","","","","-30,00","","Généralement dégagé"
"2005-01-01 10:00","2005","01","01","10:00"," ","-23,50","","-27,10","","72,00","","26,00","","9,00","","24,10","","102,22","","","","-31,00","","Généralement dégagé"
"2005-01-01 11:00","2005","01","01","11:00"," ","-24,00","","-27,60","","72,00","","24,00","","17,00","","24,10","","102,33","","","","-35,00","","Dégagé"
"2005-01-01 12:00","2005","01","01","12:00"," ","-25,20","","-29,10","","70,00","","25,00","","11,00","","24,10","","102,43","","","","-34,00","","Dégagé"
"2005-01-01 13:00","2005","01","01","13:00"," ","-25,40","","-29,30","","70,00","","24,00","","11,00","","24,10","","102,50","","","","-34,00","","Dégagé"
"2005-01-01 14:00","2005","01","01","14:00"," ","-26,20","","-29,00","","77,00","","27,00","","7,00","","24,10","","102,54","","","","-33,00","","Dégagé"
"2005-01-01 15:00","2005","01","01","15:00"," ","-27,00","","-29,80","","77,00","","27,00","","9,00","","24,10","","102,62","","","","-35,00","","Dégagé"
"2005-01-01 16:00","2005","01","01","16:00"," ","-27,10","","-29,90","","77,00","","23,00","","4,00","","24,10","","102,67","","","","-31,00","","Dégagé"
"2005-01-01 17:00","2005","01","01","17:00"," ","-27,90","","-30,80","","76,00","","27,00","","11,00","","24,10","","102,72","","","","-37,00","","Dégagé"
"2005-01-01 18:00","2005","01","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 19:00","2005","01","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 20:00","2005","01","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 21:00","2005","01","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 22:00","2005","01","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-01 23:00","2005","01","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 00:00","2005","01","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 01:00","2005","01","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 02:00","2005","01","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 03:00","2005","01","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 04:00","2005","01","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 05:00","2005","01","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 06:00","2005","01","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 07:00","2005","01","02","07:00"," ","-29,80","","-31,30","","87,00","","0,00","","0,00","","24,10","","103,02","","","","","","Dégagé"
"2005-01-02 08:00","2005","01","02","08:00"," ","-24,20","","-26,80","","79,00","","0,00","","0,00","","24,10","","103,00","","","","","","Dégagé"
"2005-01-02 09:00","2005","01","02","09:00"," ","-27,40","","-30,30","","76,00","","0,00","","0,00","","24,10","","103,00","","","","","","Dégagé"
"2005-01-02 10:00","2005","01","02","10:00"," ","-26,80","","-29,60","","77,00","","0,00","","0,00","","24,10","","102,99","","","","","","Dégagé"
"2005-01-02 11:00","2005","01","02","11:00"," ","-26,60","","-29,40","","77,00","","0,00","","0,00","","24,10","","102,96","","","","","","Dégagé"
"2005-01-02 12:00","2005","01","02","12:00"," ","-25,80","","-28,50","","78,00","","0,00","","0,00","","24,10","","102,94","","","","","","Dégagé"
"2005-01-02 13:00","2005","01","02","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 14:00","2005","01","02","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 15:00","2005","01","02","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 16:00","2005","01","02","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 17:00","2005","01","02","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 18:00","2005","01","02","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 19:00","2005","01","02","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 20:00","2005","01","02","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 21:00","2005","01","02","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 22:00","2005","01","02","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-02 23:00","2005","01","02","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 00:00","2005","01","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 01:00","2005","01","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 02:00","2005","01","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 03:00","2005","01","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 04:00","2005","01","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 05:00","2005","01","03","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 06:00","2005","01","03","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 07:00","2005","01","03","07:00"," ","-18,60","","-21,40","","79,00","","17,00","","46,00","","16,10","","102,10","","","","-33,00","","Généralement dégagé"
"2005-01-03 08:00","2005","01","03","08:00"," ","-18,20","","-21,60","","75,00","","18,00","","69,00","","1,60","","102,01","","","","-35,00","","Poudrerie élevée"
"2005-01-03 09:00","2005","01","03","09:00"," ","-17,50","","-20,80","","75,00","","18,00","","65,00","","1,60","","101,92","","","","-33,00","","Poudrerie élevée"
"2005-01-03 10:00","2005","01","03","10:00"," ","-17,00","","-20,20","","76,00","","18,00","","61,00","","1,60","","101,84","","","","-32,00","","Poudrerie élevée"
"2005-01-03 11:00","2005","01","03","11:00"," ","-16,00","","-19,00","","78,00","","18,00","","59,00","","1,20","","101,66","","","","-31,00","","Poudrerie élevée"
"2005-01-03 12:00","2005","01","03","12:00"," ","-16,10","","-19,10","","78,00","","18,00","","65,00","","0,80","","101,58","","","","-32,00","","Poudrerie élevée"
"2005-01-03 13:00","2005","01","03","13:00"," ","-15,20","","-18,70","","75,00","","5,00","","28,00","","1,00","","101,80","","","","-26,00","","Poudrerie élevée"
"2005-01-03 14:00","2005","01","03","14:00"," ","-14,80","","-18,20","","75,00","","18,00","","83,00","","0,00","","101,27","","","","-31,00","","Poudrerie élevée"
"2005-01-03 15:00","2005","01","03","15:00"," ","-15,10","","-18,60","","75,00","","19,00","","89,00","","0,00","","101,20","","","","-32,00","","Poudrerie élevée"
"2005-01-03 16:00","2005","01","03","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 17:00","2005","01","03","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 18:00","2005","01","03","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 19:00","2005","01","03","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 20:00","2005","01","03","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 21:00","2005","01","03","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 22:00","2005","01","03","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-03 23:00","2005","01","03","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 00:00","2005","01","04","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 01:00","2005","01","04","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 02:00","2005","01","04","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 03:00","2005","01","04","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 04:00","2005","01","04","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 05:00","2005","01","04","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 06:00","2005","01","04","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 07:00","2005","01","04","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 08:00","2005","01","04","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2005-01-04 09:00","2005","01","04","09:00"," ","-9,90","","-12,30","","83,00","","20,00","","50,00","","16,10","","99,99","","","","-22,00","","Nuageux"
"2005-01-04 10:00","2005","01","04","10:00"," ","-10,20","","-13,10","","79,00","","20,00","","46,00","","16,10","","100,03","","","","-22,00","","Nuageux"
