"Nom de la Station","TUKTOYAKTUK A"
"Province","NORTHWEST TERRITORIES"
"Latitude","69,43"
"Longitude","-133,03"
"Altitude","4,30"
"Identification Climat","2203912"
"Identification OMM",""
"Identification TC","YUB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1984-01-01 00:00","1984","01","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-01 01:00","1984","01","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-01 02:00","1984","01","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-01 03:00","1984","01","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-01 04:00","1984","01","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-01 05:00","1984","01","01","05:00"," ","-39,40","","","","","","0,00","","0,00","","24,10","","102,65","","","","","","Cristaux de glace"
"1984-01-01 06:00","1984","01","01","06:00"," ","-39,50","","","","","","0,00","","0,00","","24,10","","102,65","","","","","","Cristaux de glace"
"1984-01-01 07:00","1984","01","01","07:00"," ","-39,40","","","","","","0,00","","0,00","","24,10","","102,62","","","","","","Cristaux de glace"
"1984-01-01 08:00","1984","01","01","08:00"," ","-39,40","","","","","","0,00","","0,00","","24,10","","102,62","","","","","","Dégagé"
"1984-01-01 09:00","1984","01","01","09:00"," ","-40,60","","","","","","0,00","","0,00","","24,10","","102,59","","","","","","Dégagé"
"1984-01-01 10:00","1984","01","01","10:00"," ","-40,20","","","","","","0,00","","0,00","","24,10","","102,59","","","","","","Dégagé"
"1984-01-01 11:00","1984","01","01","11:00"," ","-40,70","","","","","","0,00","","0,00","","24,10","","102,55","","","","","","Dégagé"
"1984-01-01 12:00","1984","01","01","12:00"," ","-40,70","","","","","","9,00","","7,00","","24,10","","102,55","","","","-50,00","","Cristaux de glace"
"1984-01-01 13:00","1984","01","01","13:00"," ","-40,70","","","","","","9,00","","7,00","","24,10","","102,52","","","","-50,00","","Cristaux de glace"
"1984-01-01 14:00","1984","01","01","14:00"," ","-40,70","","","","","","0,00","","0,00","","3,20","","102,45","","","","","","Cristaux de glace,Brouillard de glace"
"1984-01-01 15:00","1984","01","01","15:00"," ","-39,60","","","","","","0,00","","0,00","","3,20","","102,38","","","","","","Cristaux de glace,Brouillard de glace"
"1984-01-01 16:00","1984","01","01","16:00"," ","-39,40","","","","","","0,00","","0,00","","4,00","","102,35","","","","","","Cristaux de glace,Brouillard de glace"
"1984-01-01 17:00","1984","01","01","17:00"," ","-39,10","","","","","","11,00","","11,00","","6,40","","102,25","","","","-51,00","","Brouillard de glace"
"1984-01-01 18:00","1984","01","01","18:00"," ","-39,00","","","","","","0,00","","0,00","","6,40","","102,15","","","","","","Brouillard de glace"
"1984-01-01 19:00","1984","01","01","19:00"," ","-39,20","","","","","","10,00","","11,00","","9,70","","102,01","","","","-51,00","","Brouillard de glace"
"1984-01-01 20:00","1984","01","01","20:00"," ","-39,40","","","","","","10,00","","20,00","","16,10","","101,91","","","","-55,00","","Dégagé"
"1984-01-01 21:00","1984","01","01","21:00"," ","-39,00","","","","","","10,00","","22,00","","16,10","","101,81","","","","-55,00","","Dégagé"
"1984-01-01 22:00","1984","01","01","22:00"," ","-38,60","","","","","","10,00","","24,00","","24,10","","101,74","","","","-55,00","","Dégagé"
"1984-01-01 23:00","1984","01","01","23:00"," ","-38,10","","","","","","10,00","","22,00","","24,10","","101,61","","","","-54,00","","Dégagé"
"1984-01-02 00:00","1984","01","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-02 01:00","1984","01","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-02 02:00","1984","01","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-02 03:00","1984","01","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-02 04:00","1984","01","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-02 05:00","1984","01","02","05:00"," ","-35,30","","-38,90","","69,00","","7,00","","31,00","","24,10","","101,10","","","","-53,00","","Dégagé"
"1984-01-02 06:00","1984","01","02","06:00"," ","-35,10","","-38,40","","72,00","","7,00","","17,00","","24,10","","101,00","","","","-48,00","","Dégagé"
"1984-01-02 07:00","1984","01","02","07:00"," ","-35,40","","-38,90","","70,00","","8,00","","15,00","","24,10","","100,96","","","","-48,00","","Dégagé"
"1984-01-02 08:00","1984","01","02","08:00"," ","-34,50","","-37,90","","71,00","","8,00","","13,00","","24,10","","100,86","","","","-46,00","","Dégagé"
"1984-01-02 09:00","1984","01","02","09:00"," ","-34,30","","-37,90","","70,00","","0,00","","0,00","","24,10","","100,93","","","","","","Dégagé"
"1984-01-02 10:00","1984","01","02","10:00"," ","-33,60","","-36,80","","73,00","","8,00","","11,00","","24,10","","100,89","","","","-44,00","","Dégagé"
"1984-01-02 11:00","1984","01","02","11:00"," ","-33,20","","-36,30","","74,00","","9,00","","11,00","","24,10","","100,93","","","","-44,00","","Dégagé"
"1984-01-02 12:00","1984","01","02","12:00"," ","-33,00","","-36,30","","72,00","","7,00","","7,00","","24,10","","100,93","","","","-41,00","","Généralement nuageux"
"1984-01-02 13:00","1984","01","02","13:00"," ","-32,50","","-35,70","","73,00","","9,00","","15,00","","24,10","","100,93","","","","-44,00","","Généralement nuageux"
"1984-01-02 14:00","1984","01","02","14:00"," ","-32,00","","-35,20","","73,00","","0,00","","0,00","","24,10","","100,93","","","","","","Généralement nuageux"
"1984-01-02 15:00","1984","01","02","15:00"," ","-31,50","","-34,70","","73,00","","8,00","","7,00","","24,10","","100,96","","","","-39,00","","Généralement nuageux"
"1984-01-02 16:00","1984","01","02","16:00"," ","-31,20","","-32,40","","89,00","","10,00","","7,00","","24,10","","100,96","","","","-39,00","","Généralement nuageux"
"1984-01-02 17:00","1984","01","02","17:00"," ","-31,00","","-34,10","","74,00","","7,00","","11,00","","24,10","","100,96","","","","-41,00","","Généralement nuageux"
"1984-01-02 18:00","1984","01","02","18:00"," ","-30,50","","-33,60","","74,00","","9,00","","15,00","","24,10","","100,96","","","","-42,00","","Généralement nuageux"
"1984-01-02 19:00","1984","01","02","19:00"," ","-30,20","","-31,50","","88,00","","8,00","","13,00","","24,10","","100,96","","","","-41,00","","Généralement nuageux"
"1984-01-02 20:00","1984","01","02","20:00"," ","-30,00","","-33,10","","74,00","","11,00","","11,00","","24,10","","100,96","","","","-40,00","","Généralement nuageux"
"1984-01-02 21:00","1984","01","02","21:00"," ","-29,90","","-33,10","","73,00","","11,00","","7,00","","24,10","","100,96","","","","-37,00","","Généralement nuageux"
"1984-01-02 22:00","1984","01","02","22:00"," ","-30,00","","-33,10","","74,00","","10,00","","7,00","","24,10","","100,96","","","","-37,00","","Généralement dégagé"
"1984-01-02 23:00","1984","01","02","23:00"," ","-30,40","","-32,00","","86,00","","0,00","","0,00","","24,10","","100,96","","","","","","Dégagé"
"1984-01-03 00:00","1984","01","03","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-03 01:00","1984","01","03","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-03 02:00","1984","01","03","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-03 03:00","1984","01","03","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-03 04:00","1984","01","03","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-03 05:00","1984","01","03","05:00"," ","-30,40","","-33,60","","73,00","","0,00","","0,00","","24,10","","100,93","","","","","","Généralement dégagé"
"1984-01-03 06:00","1984","01","03","06:00"," ","-30,40","","-33,60","","73,00","","6,00","","9,00","","24,10","","100,93","","","","-39,00","","Neige"
"1984-01-03 07:00","1984","01","03","07:00"," ","-30,60","","-33,60","","75,00","","5,00","","15,00","","24,10","","100,93","","","","-42,00","","Neige"
"1984-01-03 08:00","1984","01","03","08:00"," ","-29,60","","-32,50","","76,00","","8,00","","15,00","","16,10","","100,93","","","","-41,00","","Neige"
"1984-01-03 09:00","1984","01","03","09:00"," ","-28,90","","-32,00","","74,00","","7,00","","15,00","","16,10","","100,89","","","","-40,00","","Neige"
"1984-01-03 10:00","1984","01","03","10:00"," ","-28,60","","-31,40","","77,00","","8,00","","15,00","","8,00","","100,89","","","","-40,00","","Neige"
"1984-01-03 11:00","1984","01","03","11:00"," ","-28,20","","-30,90","","78,00","","11,00","","11,00","","9,70","","100,86","","","","-38,00","","Neige"
"1984-01-03 12:00","1984","01","03","12:00"," ","-28,10","","-30,90","","77,00","","7,00","","19,00","","9,70","","100,83","","","","-40,00","","Neige"
"1984-01-03 13:00","1984","01","03","13:00"," ","-28,40","","-31,40","","75,00","","8,00","","15,00","","16,10","","100,79","","","","-39,00","","Neige"
"1984-01-03 14:00","1984","01","03","14:00"," ","-28,40","","-31,40","","75,00","","6,00","","15,00","","16,10","","100,79","","","","-39,00","","Neige"
"1984-01-03 15:00","1984","01","03","15:00"," ","-28,50","","-31,40","","76,00","","9,00","","11,00","","9,70","","100,76","","","","-38,00","","Neige"
"1984-01-03 16:00","1984","01","03","16:00"," ","-29,00","","-32,00","","75,00","","7,00","","15,00","","24,10","","100,72","","","","-40,00","","Nuageux"
"1984-01-03 17:00","1984","01","03","17:00"," ","-29,00","","-32,00","","75,00","","7,00","","19,00","","24,10","","100,69","","","","-42,00","","Neige"
"1984-01-03 18:00","1984","01","03","18:00"," ","-28,90","","-32,00","","74,00","","7,00","","19,00","","9,70","","100,69","","","","-41,00","","Neige"
"1984-01-03 19:00","1984","01","03","19:00"," ","-29,00","","-32,00","","75,00","","6,00","","13,00","","16,10","","100,62","","","","-39,00","","Neige"
"1984-01-03 20:00","1984","01","03","20:00"," ","-28,90","","-32,00","","74,00","","6,00","","20,00","","16,10","","100,62","","","","-42,00","","Neige"
"1984-01-03 21:00","1984","01","03","21:00"," ","-29,40","","-32,50","","74,00","","7,00","","24,00","","16,10","","100,56","","","","-43,00","","Neige"
"1984-01-03 22:00","1984","01","03","22:00"," ","-29,00","","-32,00","","75,00","","7,00","","22,00","","16,10","","100,52","","","","-42,00","","Neige"
"1984-01-03 23:00","1984","01","03","23:00"," ","-32,10","","-35,20","","74,00","","7,00","","26,00","","16,10","","100,52","","","","-47,00","","Dégagé"
"1984-01-04 00:00","1984","01","04","00:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-04 01:00","1984","01","04","01:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-04 02:00","1984","01","04","02:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-04 03:00","1984","01","04","03:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-04 04:00","1984","01","04","04:00"," ","","","","","","","","","","","","","","","","","","",""
"1984-01-04 05:00","1984","01","04","05:00"," ","-31,00","","-34,70","","70,00","","7,00","","37,00","","4,80","","100,49","","","","-48,00","","Poudrerie élevée"
"1984-01-04 06:00","1984","01","04","06:00"," ","-30,90","","-34,10","","73,00","","8,00","","43,00","","4,80","","100,45","","","","-49,00","","Poudrerie élevée"
"1984-01-04 07:00","1984","01","04","07:00"," ","-30,90","","-34,10","","73,00","","6,00","","41,00","","4,80","","100,45","","","","-49,00","","Poudrerie élevée"
"1984-01-04 08:00","1984","01","04","08:00"," ","-31,40","","-32,90","","86,00","","6,00","","43,00","","4,80","","100,45","","","","-50,00","","Poudrerie élevée"
"1984-01-04 09:00","1984","01","04","09:00"," ","-31,40","","-34,70","","72,00","","8,00","","33,00","","9,70","","100,49","","","","-48,00","","Poudrerie élevée"
"1984-01-04 10:00","1984","01","04","10:00"," ","-30,40","","-33,60","","73,00","","8,00","","41,00","","9,70","","100,49","","","","-48,00","","Poudrerie élevée"
"1984-01-04 11:00","1984","01","04","11:00"," ","-29,60","","-32,50","","76,00","","8,00","","37,00","","9,70","","100,49","","","","-46,00","","Neige,Poudrerie élevée"
"1984-01-04 12:00","1984","01","04","12:00"," ","-29,40","","-32,50","","74,00","","7,00","","37,00","","4,80","","100,52","","","","-46,00","","Neige,Poudrerie élevée"
"1984-01-04 13:00","1984","01","04","13:00"," ","-29,60","","-32,50","","76,00","","7,00","","41,00","","4,80","","100,52","","","","-47,00","","Neige,Poudrerie élevée"
"1984-01-04 14:00","1984","01","04","14:00"," ","-29,60","","-32,50","","76,00","","9,00","","41,00","","4,80","","100,56","","","","-47,00","","Neige,Poudrerie élevée"
"1984-01-04 15:00","1984","01","04","15:00"," ","-29,80","","-33,10","","73,00","","9,00","","48,00","","4,80","","100,56","","","","-48,00","","Neige,Poudrerie élevée"
"1984-01-04 16:00","1984","01","04","16:00"," ","-29,50","","-32,50","","75,00","","8,00","","44,00","","9,70","","100,62","","","","-47,00","","Neige,Poudrerie élevée"
"1984-01-04 17:00","1984","01","04","17:00"," ","-29,40","","-32,50","","74,00","","8,00","","41,00","","9,70","","100,66","","","","-47,00","","Neige"
"1984-01-04 18:00","1984","01","04","18:00"," ","-28,70","","-31,40","","78,00","","9,00","","33,00","","12,90","","100,62","","","","-45,00","","Neige"
"1984-01-04 19:00","1984","01","04","19:00"," ","-28,40","","-31,40","","75,00","","8,00","","37,00","","16,10","","100,69","","","","-45,00","","Neige"
"1984-01-04 20:00","1984","01","04","20:00"," ","-27,80","","-30,90","","75,00","","8,00","","37,00","","24,10","","100,66","","","","-44,00","","Nuageux"
"1984-01-04 21:00","1984","01","04","21:00"," ","-27,00","","-29,80","","77,00","","10,00","","28,00","","24,10","","100,62","","","","-41,00","","Généralement nuageux"
"1984-01-04 22:00","1984","01","04","22:00"," ","-26,50","","-29,30","","77,00","","10,00","","26,00","","24,10","","100,69","","","","-40,00","","Neige"
"1984-01-04 23:00","1984","01","04","23:00"," ","-26,00","","-28,80","","77,00","","10,00","","37,00","","24,10","","100,72","","","","-42,00","","Neige"
