"Nom de la Station","YELLOWKNIFE A"
"Province","NORTHWEST TERRITORIES"
"Latitude","62,46"
"Longitude","-114,44"
"Altitude","205,70"
"Identification Climat","2204100"
"Identification OMM","71936"
"Identification TC","YZF"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1968-04-01 00:00","1968","04","01","00:00"," ","-22,80","","-24,40","","87,00","","2,00","","10,00","","25,00","","100,26","","","","-31,00","","Dégagé"
"1968-04-01 01:00","1968","04","01","01:00"," ","-23,30","","-25,00","","87,00","","5,00","","10,00","","25,00","","100,29","","","","-31,00","","Dégagé"
"1968-04-01 02:00","1968","04","01","02:00"," ","-23,30","","-25,00","","87,00","","5,00","","10,00","","25,00","","100,29","","","","-31,00","","Dégagé"
"1968-04-01 03:00","1968","04","01","03:00"," ","-25,00","","-26,70","","87,00","","2,00","","8,00","","25,00","","100,32","","","","-32,00","","Dégagé"
"1968-04-01 04:00","1968","04","01","04:00"," ","-25,60","","-27,20","","87,00","","2,00","","8,00","","25,00","","100,37","","","","-33,00","","Dégagé"
"1968-04-01 05:00","1968","04","01","05:00"," ","-27,20","","-28,90","","87,00","","2,00","","11,00","","25,00","","100,37","","","","-36,00","","Généralement dégagé"
"1968-04-01 06:00","1968","04","01","06:00"," ","-28,30","","-30,00","","87,00","","34,00","","11,00","","25,00","","100,42","","","","-38,00","","Généralement dégagé"
"1968-04-01 07:00","1968","04","01","07:00"," ","-28,30","","-30,00","","87,00","","2,00","","10,00","","25,00","","100,42","","","","-37,00","","Dégagé"
"1968-04-01 08:00","1968","04","01","08:00"," ","-25,00","","-26,70","","87,00","","5,00","","8,00","","25,00","","100,43","","","","-32,00","","Dégagé"
"1968-04-01 09:00","1968","04","01","09:00"," ","-21,70","","-23,90","","81,00","","7,00","","5,00","","25,00","","100,45","","","","-26,00","","Dégagé"
"1968-04-01 10:00","1968","04","01","10:00"," ","-17,20","","-20,00","","80,00","","0,00","","0,00","","25,00","","100,44","","","","","","Dégagé"
"1968-04-01 11:00","1968","04","01","11:00"," ","-15,60","","-22,20","","56,00","","0,00","","0,00","","25,00","","100,43","","","","","","Dégagé"
"1968-04-01 12:00","1968","04","01","12:00"," ","-13,90","","-20,60","","58,00","","0,00","","0,00","","25,00","","100,43","","","","","","Dégagé"
"1968-04-01 13:00","1968","04","01","13:00"," ","-13,90","","-20,60","","58,00","","32,00","","6,00","","25,00","","100,43","","","","-18,00","","Dégagé"
"1968-04-01 14:00","1968","04","01","14:00"," ","-11,70","","-18,90","","55,00","","32,00","","5,00","","25,00","","100,41","","","","-15,00","","Dégagé"
"1968-04-01 15:00","1968","04","01","15:00"," ","-11,10","","-17,80","","57,00","","0,00","","0,00","","25,00","","100,39","","","","","","Dégagé"
"1968-04-01 16:00","1968","04","01","16:00"," ","-10,60","","-18,30","","52,00","","0,00","","0,00","","25,00","","100,38","","","","","","Dégagé"
"1968-04-01 17:00","1968","04","01","17:00"," ","-11,10","","-20,00","","49,00","","23,00","","11,00","","25,00","","100,38","","","","-17,00","","Dégagé"
"1968-04-01 18:00","1968","04","01","18:00"," ","-12,20","","-19,40","","54,00","","23,00","","10,00","","25,00","","100,34","","","","-18,00","","Dégagé"
"1968-04-01 19:00","1968","04","01","19:00"," ","-13,90","","-20,00","","60,00","","20,00","","6,00","","25,00","","100,30","","","","-18,00","","Généralement dégagé"
"1968-04-01 20:00","1968","04","01","20:00"," ","-15,60","","-20,60","","64,00","","20,00","","10,00","","25,00","","100,28","","","","-22,00","","Généralement dégagé"
"1968-04-01 21:00","1968","04","01","21:00"," ","-18,30","","-22,20","","73,00","","23,00","","14,00","","25,00","","100,27","","","","-27,00","","Généralement dégagé"
