"Nom de la Station","BAKER LAKE A"
"Province","NUNAVUT"
"Latitude","64,30"
"Longitude","-96,08"
"Altitude","18,60"
"Identification Climat","2300500"
"Identification OMM","71926"
"Identification TC","YBK"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1963-04-01 00:00","1963","04","01","00:00"," ","-31,70","","-36,10","","66,00","","36,00","","16,00","","16,10","","101,74","","","","-44,00","","Cristaux de glace"
"1963-04-01 01:00","1963","04","01","01:00"," ","-31,70","","-37,20","","58,00","","36,00","","24,00","","24,10","","101,72","","","","-46,00","","Généralement dégagé"
"1963-04-01 02:00","1963","04","01","02:00"," ","-30,00","","-35,00","","61,00","","36,00","","19,00","","9,70","","101,71","","","","-43,00","","Neige"
"1963-04-01 03:00","1963","04","01","03:00"," ","-28,90","","-33,90","","63,00","","36,00","","19,00","","6,40","","101,72","","","","-41,00","","Neige"
"1963-04-01 04:00","1963","04","01","04:00"," ","-30,60","","-35,60","","60,00","","36,00","","18,00","","16,10","","101,72","","","","-43,00","","Cristaux de glace"
"1963-04-01 05:00","1963","04","01","05:00"," ","-31,10","","-36,70","","59,00","","0,00","","0,00","","16,10","","101,72","","","","","","Cristaux de glace"
"1963-04-01 06:00","1963","04","01","06:00"," ","-31,10","","-36,70","","59,00","","0,00","","0,00","","16,10","","101,75","","","","","","Cristaux de glace"
"1963-04-01 07:00","1963","04","01","07:00"," ","-32,20","","-37,80","","57,00","","0,00","","0,00","","24,10","","101,76","","","","","","Généralement dégagé"
"1963-04-01 08:00","1963","04","01","08:00"," ","-32,20","","-37,80","","57,00","","32,00","","6,00","","24,10","","101,77","","","","-39,00","","Généralement dégagé"
"1963-04-01 09:00","1963","04","01","09:00"," ","-32,20","","-37,80","","57,00","","0,00","","0,00","","24,10","","101,83","","","","","","Généralement dégagé"
"1963-04-01 10:00","1963","04","01","10:00"," ","-30,60","","-35,60","","60,00","","0,00","","0,00","","24,10","","101,86","","","","","","Généralement dégagé"
"1963-04-01 11:00","1963","04","01","11:00"," ","-29,40","","-34,40","","62,00","","0,00","","0,00","","24,10","","101,92","","","","","","Généralement dégagé"
"1963-04-01 12:00","1963","04","01","12:00"," ","-28,30","","-32,80","","64,00","","0,00","","0,00","","24,10","","101,95","","","","","","Généralement dégagé"
"1963-04-01 13:00","1963","04","01","13:00"," ","-28,90","","-33,90","","63,00","","0,00","","0,00","","24,10","","102,00","","","","","","Dégagé"
"1963-04-01 14:00","1963","04","01","14:00"," ","-27,20","","-32,20","","61,00","","0,00","","0,00","","24,10","","102,05","","","","","","Généralement dégagé"
"1963-04-01 15:00","1963","04","01","15:00"," ","-27,20","","-32,20","","61,00","","0,00","","0,00","","24,10","","102,06","","","","","","Dégagé"
"1963-04-01 16:00","1963","04","01","16:00"," ","-26,70","","-31,70","","62,00","","0,00","","0,00","","24,10","","102,12","","","","","","Dégagé"
"1963-04-01 17:00","1963","04","01","17:00"," ","-27,20","","-31,70","","66,00","","0,00","","0,00","","24,10","","102,12","","","","","","Dégagé"
"1963-04-01 18:00","1963","04","01","18:00"," ","-27,80","","-32,20","","65,00","","14,00","","13,00","","24,10","","102,14","","","","-38,00","","Dégagé"
"1963-04-01 19:00","1963","04","01","19:00"," ","-28,90","","-33,90","","63,00","","14,00","","13,00","","24,10","","102,16","","","","-39,00","","Dégagé"
"1963-04-01 20:00","1963","04","01","20:00"," ","-28,90","","-33,90","","63,00","","14,00","","10,00","","24,10","","102,17","","","","-38,00","","Généralement dégagé"
"1963-04-01 21:00","1963","04","01","21:00"," ","-28,90","","-33,90","","63,00","","14,00","","13,00","","24,10","","102,19","","","","-39,00","","Généralement dégagé"
"1963-04-01 22:00","1963","04","01","22:00"," ","-30,60","","-34,40","","67,00","","11,00","","13,00","","24,10","","102,21","","","","-41,00","","Généralement dégagé"
"1963-04-01 23:00","1963","04","01","23:00"," ","-30,60","","-34,40","","67,00","","11,00","","10,00","","16,10","","102,21","","","","-40,00","","Cristaux de glace"
"1963-04-02 00:00","1963","04","02","00:00"," ","-30,00","","-35,00","","61,00","","14,00","","13,00","","16,10","","102,24","","","","-41,00","","Cristaux de glace"
"1963-04-02 01:00","1963","04","02","01:00"," ","-30,00","","-35,00","","61,00","","14,00","","11,00","","16,10","","102,25","","","","-40,00","","Cristaux de glace"
"1963-04-02 02:00","1963","04","02","02:00"," ","-30,00","","-35,00","","61,00","","14,00","","6,00","","24,10","","102,26","","","","-37,00","","Généralement dégagé"
"1963-04-02 03:00","1963","04","02","03:00"," ","-29,40","","-34,40","","62,00","","9,00","","5,00","","24,10","","102,23","","","","-35,00","","Généralement dégagé"
"1963-04-02 04:00","1963","04","02","04:00"," ","-30,00","","-35,00","","61,00","","11,00","","11,00","","24,10","","102,19","","","","-40,00","","Généralement dégagé"
"1963-04-02 05:00","1963","04","02","05:00"," ","-30,00","","-35,00","","61,00","","9,00","","13,00","","24,10","","102,12","","","","-41,00","","Généralement dégagé"
"1963-04-02 06:00","1963","04","02","06:00"," ","-30,00","","-35,00","","61,00","","9,00","","19,00","","16,10","","102,04","","","","-43,00","","Généralement nuageux"
"1963-04-02 07:00","1963","04","02","07:00"," ","-28,90","","-33,90","","63,00","","9,00","","23,00","","12,90","","101,98","","","","-43,00","","Généralement nuageux"
"1963-04-02 08:00","1963","04","02","08:00"," ","-27,20","","-32,20","","61,00","","9,00","","19,00","","11,30","","101,94","","","","-39,00","","Nuageux"
"1963-04-02 09:00","1963","04","02","09:00"," ","-26,10","","-29,40","","73,00","","11,00","","21,00","","8,00","","101,89","","","","-38,00","","Cristaux de glace,Brouillard de glace"
"1963-04-02 10:00","1963","04","02","10:00"," ","-23,90","","-28,30","","67,00","","14,00","","27,00","","4,80","","101,79","","","","-37,00","","Neige,Brouillard de glace"
