"Nom de la Station","CORAL HARBOUR A"
"Province","NUNAVUT"
"Latitude","64,19"
"Longitude","-83,36"
"Altitude","62,20"
"Identification Climat","2301000"
"Identification OMM","71915"
"Identification TC","YZS"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1961-12-01 00:00","1961","12","01","00:00"," ","-23,30","","-24,40","","91,00","","18,00","","26,00","","24,10","","101,15","","","","-36,00","","Généralement dégagé"
"1961-12-01 01:00","1961","12","01","01:00"," ","-23,30","","-25,00","","87,00","","20,00","","29,00","","24,10","","101,27","","","","-37,00","","Généralement dégagé"
"1961-12-01 02:00","1961","12","01","02:00"," ","-23,90","","-25,60","","87,00","","18,00","","26,00","","24,10","","101,45","","","","-37,00","","Cristaux de glace"
"1961-12-01 03:00","1961","12","01","03:00"," ","-24,40","","-26,10","","87,00","","18,00","","16,00","","24,10","","101,46","","","","-35,00","","Cristaux de glace"
"1961-12-01 04:00","1961","12","01","04:00"," ","-23,90","","-25,00","","91,00","","18,00","","23,00","","24,10","","101,53","","","","-36,00","","Cristaux de glace"
"1961-12-01 05:00","1961","12","01","05:00"," ","-23,30","","-24,40","","91,00","","18,00","","23,00","","24,10","","101,57","","","","-35,00","","Cristaux de glace"
"1961-12-01 06:00","1961","12","01","06:00"," ","-21,10","","-22,80","","85,00","","18,00","","19,00","","24,10","","101,66","","","","-32,00","","Cristaux de glace"
"1961-12-01 07:00","1961","12","01","07:00"," ","-18,90","","-21,10","","83,00","","18,00","","26,00","","24,10","","101,77","","","","-30,00","","Cristaux de glace"
"1961-12-01 08:00","1961","12","01","08:00"," ","-17,20","","-19,40","","85,00","","18,00","","29,00","","24,10","","101,84","","","","-29,00","","Cristaux de glace"
"1961-12-01 09:00","1961","12","01","09:00"," ","-17,20","","-19,40","","85,00","","18,00","","23,00","","24,10","","101,93","","","","-28,00","","Cristaux de glace"
"1961-12-01 10:00","1961","12","01","10:00"," ","-18,30","","-20,00","","86,00","","16,00","","16,00","","24,10","","101,98","","","","-27,00","","Cristaux de glace"
"1961-12-01 11:00","1961","12","01","11:00"," ","-18,30","","-20,60","","84,00","","14,00","","16,00","","24,10","","102,00","","","","-27,00","","Généralement nuageux"
"1961-12-01 12:00","1961","12","01","12:00"," ","-20,60","","-22,20","","88,00","","9,00","","26,00","","24,10","","101,99","","","","-33,00","","Généralement nuageux"
"1961-12-01 13:00","1961","12","01","13:00"," ","-20,00","","-21,70","","88,00","","9,00","","32,00","","24,10","","101,98","","","","-33,00","","Généralement nuageux"
"1961-12-01 14:00","1961","12","01","14:00"," ","-20,00","","-21,70","","88,00","","9,00","","32,00","","24,10","","101,96","","","","-33,00","","Généralement nuageux"
"1961-12-01 15:00","1961","12","01","15:00"," ","-19,40","","-21,10","","88,00","","9,00","","32,00","","9,70","","101,95","","","","-32,00","","Poudrerie élevée"
"1961-12-01 16:00","1961","12","01","16:00"," ","-17,20","","-18,30","","89,00","","9,00","","39,00","","6,40","","101,89","","","","-30,00","","Poudrerie élevée"
"1961-12-01 17:00","1961","12","01","17:00"," ","-16,70","","-18,30","","87,00","","9,00","","42,00","","2,40","","101,81","","","","-30,00","","Poudrerie élevée"
"1961-12-01 18:00","1961","12","01","18:00"," ","-16,70","","-18,30","","87,00","","9,00","","42,00","","2,40","","101,73","","","","-30,00","","Poudrerie élevée"
"1961-12-01 19:00","1961","12","01","19:00"," ","-14,40","","-16,10","","87,00","","9,00","","39,00","","2,40","","101,63","","","","-27,00","","Poudrerie élevée"
"1961-12-01 20:00","1961","12","01","20:00"," ","-11,10","","-12,20","","90,00","","11,00","","45,00","","1,60","","101,55","","","","-23,00","","Neige,Poudrerie élevée"
"1961-12-01 21:00","1961","12","01","21:00"," ","-10,00","","-11,10","","91,00","","14,00","","42,00","","4,80","","101,51","","","","-21,00","","Poudrerie élevée"
"1961-12-01 22:00","1961","12","01","22:00"," ","-11,70","","-13,30","","88,00","","11,00","","42,00","","3,20","","101,46","","","","-23,00","","Poudrerie élevée"
"1961-12-01 23:00","1961","12","01","23:00"," ","-11,70","","-13,30","","88,00","","11,00","","48,00","","1,60","","101,38","","","","-24,00","","Poudrerie élevée"
"1961-12-02 00:00","1961","12","02","00:00"," ","-12,20","","-13,90","","87,00","","11,00","","42,00","","1,60","","101,28","","","","-24,00","","Poudrerie élevée"
"1961-12-02 01:00","1961","12","02","01:00"," ","-12,20","","-13,90","","89,00","","11,00","","48,00","","1,60","","101,18","","","","-25,00","","Poudrerie élevée"
"1961-12-02 02:00","1961","12","02","02:00"," ","-11,70","","-13,30","","89,00","","11,00","","42,00","","0,80","","101,06","","","","-23,00","","Poudrerie élevée"
"1961-12-02 03:00","1961","12","02","03:00"," ","-11,70","","-13,30","","88,00","","11,00","","51,00","","0,80","","100,93","","","","-24,00","","Poudrerie élevée"
"1961-12-02 04:00","1961","12","02","04:00"," ","-11,70","","-13,30","","89,00","","11,00","","35,00","","3,20","","100,81","","","","-22,00","","Poudrerie élevée"
"1961-12-02 05:00","1961","12","02","05:00"," ","-11,70","","-13,30","","88,00","","11,00","","45,00","","6,40","","100,66","","","","-24,00","","Poudrerie élevée"
