"Nom de la Station","RANKIN INLET A"
"Province","NUNAVUT"
"Latitude","62,82"
"Longitude","-92,12"
"Altitude","32,30"
"Identification Climat","2303401"
"Identification OMM","71083"
"Identification TC","YRT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2003-05-01 00:00","2003","05","01","00:00"," ","-9,50","","-14,50","","67,00","","34,00","","41,00","","4,80","","100,51","","","","-20,00","","Neige,Poudrerie élevée"
"2003-05-01 01:00","2003","05","01","01:00"," ","-10,00","","-14,80","","68,00","","34,00","","39,00","","4,80","","100,54","","","","-21,00","","Neige,Poudrerie élevée"
"2003-05-01 02:00","2003","05","01","02:00"," ","-10,30","","-15,10","","68,00","","34,00","","37,00","","4,80","","100,55","","","","-21,00","","Neige,Poudrerie élevée"
"2003-05-01 03:00","2003","05","01","03:00"," ","-10,50","","-15,50","","67,00","","34,00","","39,00","","6,40","","100,56","","","","-21,00","","Neige,Poudrerie élevée"
"2003-05-01 04:00","2003","05","01","04:00"," ","-10,90","","-15,80","","67,00","","34,00","","35,00","","8,00","","100,58","","","","-21,00","","Neige"
"2003-05-01 05:00","2003","05","01","05:00"," ","-10,60","","-15,70","","66,00","","34,00","","39,00","","12,90","","100,61","","","","-21,00","","Généralement nuageux"
"2003-05-01 06:00","2003","05","01","06:00"," ","-10,40","","-15,40","","67,00","","35,00","","33,00","","12,90","","100,61","","","","-20,00","","Généralement nuageux"
"2003-05-01 07:00","2003","05","01","07:00"," ","-9,90","","-14,90","","67,00","","33,00","","28,00","","12,90","","100,65","","","","-19,00","","Généralement nuageux"
"2003-05-01 08:00","2003","05","01","08:00"," ","-9,60","","-14,60","","67,00","","34,00","","30,00","","12,90","","100,68","","","","-19,00","","Généralement nuageux"
"2003-05-01 09:00","2003","05","01","09:00"," ","-8,80","","-13,80","","67,00","","33,00","","32,00","","12,90","","100,70","","","","-18,00","","Généralement nuageux"
"2003-05-01 10:00","2003","05","01","10:00"," ","-8,50","","-13,30","","68,00","","33,00","","30,00","","16,10","","100,75","","","","-18,00","","Généralement nuageux"
"2003-05-01 11:00","2003","05","01","11:00"," ","-8,20","","-13,10","","68,00","","35,00","","30,00","","19,30","","100,79","","","","-17,00","","Généralement nuageux"
"2003-05-01 12:00","2003","05","01","12:00"," ","-7,80","","-12,40","","69,00","","34,00","","22,00","","19,30","","100,84","","","","-15,00","","Généralement nuageux"
"2003-05-01 13:00","2003","05","01","13:00"," ","-7,90","","-12,90","","67,00","","34,00","","28,00","","19,30","","100,81","","","","-17,00","","Généralement nuageux"
"2003-05-01 14:00","2003","05","01","14:00"," ","-7,00","","-11,70","","69,00","","33,00","","30,00","","24,10","","100,85","","","","-16,00","","Généralement nuageux"
"2003-05-01 15:00","2003","05","01","15:00"," ","-6,60","","-11,30","","69,00","","34,00","","33,00","","24,10","","100,88","","","","-15,00","","Neige"
"2003-05-01 16:00","2003","05","01","16:00"," ","-6,30","","-11,00","","69,00","","34,00","","37,00","","24,10","","100,91","","","","-16,00","","Neige"
"2003-05-01 17:00","2003","05","01","17:00"," ","-6,40","","-10,90","","70,00","","33,00","","41,00","","24,10","","100,92","","","","-16,00","","Neige"
"2003-05-01 18:00","2003","05","01","18:00"," ","-6,30","","-10,90","","70,00","","34,00","","32,00","","19,30","","100,99","","","","-15,00","","Neige"
"2003-05-01 19:00","2003","05","01","19:00"," ","-6,80","","-11,50","","69,00","","33,00","","32,00","","24,10","","100,99","","","","-16,00","","Neige"
"2003-05-01 20:00","2003","05","01","20:00"," ","-7,20","","-11,70","","70,00","","33,00","","35,00","","24,10","","100,99","","","","-16,00","","Neige"
"2003-05-01 21:00","2003","05","01","21:00"," ","-7,50","","-12,20","","69,00","","34,00","","35,00","","24,10","","100,98","","","","-17,00","","Généralement nuageux"
"2003-05-01 22:00","2003","05","01","22:00"," ","-7,60","","-12,40","","68,00","","34,00","","35,00","","19,30","","101,00","","","","-17,00","","Neige"
"2003-05-01 23:00","2003","05","01","23:00"," ","-7,70","","-12,40","","69,00","","34,00","","37,00","","12,90","","101,02","","","","-17,00","","Neige"
"2003-05-02 00:00","2003","05","02","00:00"," ","-8,00","","-12,80","","68,00","","34,00","","33,00","","9,70","","101,04","","","","-17,00","","Neige"
"2003-05-02 01:00","2003","05","02","01:00"," ","-8,30","","-13,00","","69,00","","34,00","","33,00","","8,00","","101,06","","","","-18,00","","Neige"
"2003-05-02 02:00","2003","05","02","02:00"," ","-8,30","","-13,00","","69,00","","35,00","","32,00","","8,00","","101,10","","","","-18,00","","Neige"
"2003-05-02 03:00","2003","05","02","03:00"," ","-8,50","","-13,40","","68,00","","34,00","","32,00","","8,00","","101,11","","","","-18,00","","Neige"
"2003-05-02 04:00","2003","05","02","04:00"," ","-8,90","","-13,90","","67,00","","35,00","","37,00","","9,70","","101,14","","","","-19,00","","Neige"
"2003-05-02 05:00","2003","05","02","05:00"," ","-9,30","","-14,40","","66,00","","35,00","","32,00","","9,70","","101,16","","","","-19,00","","Neige"
"2003-05-02 06:00","2003","05","02","06:00"," ","-9,60","","-14,50","","67,00","","35,00","","28,00","","9,70","","101,21","","","","-19,00","","Neige"
"2003-05-02 07:00","2003","05","02","07:00"," ","-9,50","","-14,10","","69,00","","34,00","","24,00","","4,80","","101,27","","","","-18,00","","Neige,Brouillard"
