"Nom de la Station","GRISE FIORD"
"Province","NUNAVUT"
"Latitude","76,42"
"Longitude","-82,90"
"Altitude","42,70"
"Identification Climat","2402346"
"Identification OMM",""
"Identification TC","WGZ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-04-01 00:00","2009","04","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 01:00","2009","04","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 02:00","2009","04","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 03:00","2009","04","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 04:00","2009","04","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 05:00","2009","04","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 06:00","2009","04","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 07:00","2009","04","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 08:00","2009","04","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 09:00","2009","04","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 10:00","2009","04","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 11:00","2009","04","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 12:00","2009","04","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 13:00","2009","04","01","13:00"," ","-16,30","","-20,00","","73,00","","6,00","","11,00","","48,30","","101,17","","","","-23,00","","Généralement dégagé"
"2009-04-01 14:00","2009","04","01","14:00"," ","-16,40","","-20,80","","69,00","","13,00","","4,00","","48,30","","101,16","","","","-19,00","","Généralement dégagé"
"2009-04-01 15:00","2009","04","01","15:00"," ","-16,10","","-20,40","","69,00","","12,00","","4,00","","48,30","","101,18","","","","-19,00","","Généralement dégagé"
"2009-04-01 16:00","2009","04","01","16:00"," ","-17,60","","-21,60","","71,00","","12,00","","4,00","","48,30","","101,19","","","","-21,00","","Généralement dégagé"
"2009-04-01 17:00","2009","04","01","17:00"," ","-16,00","","-19,70","","73,00","","7,00","","19,00","","48,30","","101,19","","","","-25,00","","Généralement dégagé"
"2009-04-01 18:00","2009","04","01","18:00"," ","-19,70","","-23,50","","72,00","","12,00","","4,00","","48,30","","101,20","","","","-23,00","","Généralement dégagé"
"2009-04-01 19:00","2009","04","01","19:00"," ","-19,20","","-22,80","","73,00","","9,00","","4,00","","48,30","","101,22","","","","-23,00","","Généralement dégagé"
"2009-04-01 20:00","2009","04","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 21:00","2009","04","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 22:00","2009","04","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-01 23:00","2009","04","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-02 00:00","2009","04","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-02 01:00","2009","04","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-02 02:00","2009","04","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2009-04-02 03:00","2009","04","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
