"Nom de la Station","NANISIVIK A"
"Province","NUNAVUT"
"Latitude","72,98"
"Longitude","-84,62"
"Altitude","641,90"
"Identification Climat","2402730"
"Identification OMM",""
"Identification TC","YSR"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2003-09-01 00:00","2003","09","01","00:00"," ","0,60","","0,60","","100,00","","32,00","","17,00","","","M","93,35","","","","","","ND"
"2003-09-01 01:00","2003","09","01","01:00"," ","0,60","","0,60","","100,00","","32,00","","17,00","","","M","93,34","","","","","","ND"
"2003-09-01 02:00","2003","09","01","02:00"," ","0,10","","0,10","","100,00","","35,00","","13,00","","","M","93,33","","","","","","ND"
"2003-09-01 03:00","2003","09","01","03:00"," ","-0,40","","-1,00","","96,00","","33,00","","13,00","","","M","93,30","","","","-5,00","","ND"
"2003-09-01 04:00","2003","09","01","04:00"," ","-1,00","","-1,30","","98,00","","32,00","","15,00","","","M","93,28","","","","-6,00","","ND"
"2003-09-01 05:00","2003","09","01","05:00"," ","-1,10","","-1,20","","99,00","","32,00","","28,00","","","M","93,25","","","","-8,00","","ND"
"2003-09-01 06:00","2003","09","01","06:00"," ","-1,10","","-1,30","","99,00","","31,00","","24,00","","","M","93,23","","","","-7,00","","ND"
"2003-09-01 07:00","2003","09","01","07:00"," ","-1,10","","-1,10","","100,00","","32,00","","20,00","","","M","93,22","","","","-7,00","","ND"
"2003-09-01 08:00","2003","09","01","08:00"," ","-0,80","","-0,80","","100,00","","33,00","","20,00","","","M","93,20","","","","-6,00","","ND"
"2003-09-01 09:00","2003","09","01","09:00"," ","-0,90","","-0,90","","100,00","","32,00","","19,00","","","M","93,16","","","","-6,00","","ND"
"2003-09-01 10:00","2003","09","01","10:00"," ","-0,70","","-0,70","","100,00","","32,00","","13,00","","","M","93,13","","","","-5,00","","ND"
"2003-09-01 11:00","2003","09","01","11:00"," ","-0,80","","-0,80","","100,00","","30,00","","20,00","","","M","93,11","","","","-6,00","","ND"
"2003-09-01 12:00","2003","09","01","12:00"," ","-0,50","","-0,70","","99,00","","34,00","","32,00","","","M","93,08","","","","-7,00","","ND"
"2003-09-01 13:00","2003","09","01","13:00"," ","0,00","","-0,30","","98,00","","31,00","","26,00","","","M","93,05","","","","-6,00","","ND"
"2003-09-01 14:00","2003","09","01","14:00"," ","-0,30","","-0,30","","100,00","","33,00","","28,00","","","M","93,04","","","","-7,00","","ND"
"2003-09-01 15:00","2003","09","01","15:00"," ","-0,40","","-0,40","","100,00","","33,00","","37,00","","","M","93,03","","","","-8,00","","ND"
"2003-09-01 16:00","2003","09","01","16:00"," ","-0,70","","-0,70","","100,00","","33,00","","44,00","","","M","93,01","","","","-9,00","","ND"
"2003-09-01 17:00","2003","09","01","17:00"," ","-0,80","","-0,80","","100,00","","32,00","","37,00","","","M","92,99","","","","-8,00","","ND"
"2003-09-01 18:00","2003","09","01","18:00"," ","-0,80","","-1,00","","99,00","","33,00","","37,00","","","M","93,02","","","","-8,00","","ND"
"2003-09-01 19:00","2003","09","01","19:00"," ","-0,90","","-0,90","","100,00","","33,00","","35,00","","","M","93,00","","","","-8,00","","ND"
"2003-09-01 20:00","2003","09","01","20:00"," ","-0,80","","-0,80","","100,00","","31,00","","24,00","","","M","93,00","","","","-7,00","","ND"
"2003-09-01 21:00","2003","09","01","21:00"," ","-0,90","","-0,90","","100,00","","30,00","","37,00","","","M","92,95","","","","-8,00","","ND"
"2003-09-01 22:00","2003","09","01","22:00"," ","-0,90","","-0,90","","100,00","","30,00","","37,00","","","M","92,92","","","","-8,00","","ND"
"2003-09-01 23:00","2003","09","01","23:00"," ","-0,90","","-0,90","","100,00","","31,00","","32,00","","","M","92,84","","","","-8,00","","ND"
"2003-09-02 00:00","2003","09","02","00:00"," ","-0,90","","-0,90","","100,00","","31,00","","24,00","","","M","92,86","","","","-7,00","","ND"
"2003-09-02 01:00","2003","09","02","01:00"," ","-0,60","","-0,60","","100,00","","31,00","","26,00","","","M","92,83","","","","-7,00","","ND"
"2003-09-02 02:00","2003","09","02","02:00"," ","-0,80","","-0,80","","100,00","","28,00","","26,00","","","M","92,84","","","","-7,00","","ND"
"2003-09-02 03:00","2003","09","02","03:00"," ","-0,90","","-0,90","","100,00","","28,00","","28,00","","","M","92,78","","","","-7,00","","ND"
"2003-09-02 04:00","2003","09","02","04:00"," ","-1,00","","-1,00","","100,00","","30,00","","24,00","","","M","92,74","","","","-7,00","","ND"
"2003-09-02 05:00","2003","09","02","05:00"," ","-1,10","","-1,10","","100,00","","28,00","","24,00","","","M","92,75","","","","-7,00","","ND"
"2003-09-02 06:00","2003","09","02","06:00"," ","-1,00","","-1,00","","100,00","","28,00","","30,00","","0,20","","92,70","","","","-8,00","","Brouillard verglaçant"
"2003-09-02 07:00","2003","09","02","07:00"," ","-1,10","","-1,10","","100,00","","29,00","","26,00","","0,20","","92,69","","","","-7,00","","Brouillard verglaçant"
"2003-09-02 08:00","2003","09","02","08:00"," ","-1,10","","-1,10","","100,00","","30,00","","30,00","","0,20","","92,64","","","","-8,00","","Brouillard verglaçant"
"2003-09-02 09:00","2003","09","02","09:00"," ","-1,20","","-1,20","","100,00","","30,00","","22,00","","0,20","","92,64","","","","-7,00","","Brouillard verglaçant"
"2003-09-02 10:00","2003","09","02","10:00"," ","-1,00","","-1,00","","100,00","","30,00","","26,00","","0,40","","92,60","","","","-7,00","","Neige,Brouillard verglaçant"
"2003-09-02 11:00","2003","09","02","11:00"," ","-1,00","","-1,00","","100,00","","29,00","","20,00","","0,20","","92,58","","","","-7,00","","Brouillard verglaçant"
"2003-09-02 12:00","2003","09","02","12:00"," ","-1,10","","-1,10","","100,00","","28,00","","22,00","","0,00","","92,58","","","","-7,00","","Brouillard verglaçant"
"2003-09-02 13:00","2003","09","02","13:00"," ","-1,20","","-1,20","","100,00","","30,00","","26,00","","0,20","","92,57","","","","-8,00","","Brouillard verglaçant"
"2003-09-02 14:00","2003","09","02","14:00"," ","-1,30","","-1,30","","100,00","","29,00","","20,00","","0,00","","92,57","","","","-7,00","","Neige,Brouillard verglaçant"
"2003-09-02 15:00","2003","09","02","15:00"," ","-1,40","","-1,40","","100,00","","28,00","","24,00","","0,00","","92,54","","","","-8,00","","Averses de neige,Brouillard verglaçant"
"2003-09-02 16:00","2003","09","02","16:00"," ","-1,70","","-1,70","","100,00","","28,00","","26,00","","","M","92,52","","","","-8,00","","ND"
"2003-09-02 17:00","2003","09","02","17:00"," ","-2,10","","-2,30","","99,00","","28,00","","24,00","","","M","92,50","","","","-8,00","","ND"
"2003-09-02 18:00","2003","09","02","18:00"," ","-2,30","","-2,40","","99,00","","28,00","","22,00","","","M","92,51","","","","-8,00","","ND"
"2003-09-02 19:00","2003","09","02","19:00"," ","-2,60","","-2,70","","99,00","","28,00","","22,00","","","M","92,53","","","","-9,00","","ND"
"2003-09-02 20:00","2003","09","02","20:00"," ","-2,80","","-2,90","","99,00","","30,00","","24,00","","","M","92,53","","","","-9,00","","ND"
"2003-09-02 21:00","2003","09","02","21:00"," ","-2,80","","-2,80","","100,00","","32,00","","15,00","","","M","92,56","","","","-8,00","","ND"
"2003-09-02 22:00","2003","09","02","22:00"," ","-2,80","","-3,00","","99,00","","1,00","","7,00","","","M","92,60","","","","-6,00","","ND"
"2003-09-02 23:00","2003","09","02","23:00"," ","-2,90","","-3,10","","99,00","","34,00","","17,00","","","M","92,59","","","","-8,00","","ND"
"2003-09-03 00:00","2003","09","03","00:00"," ","-2,80","","-3,00","","99,00","","35,00","","13,00","","","M","92,62","","","","-7,00","","ND"
"2003-09-03 01:00","2003","09","03","01:00"," ","-2,90","","-3,20","","98,00","","34,00","","13,00","","","M","92,67","","","","-8,00","","ND"
"2003-09-03 02:00","2003","09","03","02:00"," ","-2,90","","-3,10","","99,00","","32,00","","13,00","","","M","92,70","","","","-8,00","","ND"
"2003-09-03 03:00","2003","09","03","03:00"," ","-3,00","","-3,20","","99,00","","0,00","","0,00","","","M","92,73","","","","","","ND"
"2003-09-03 04:00","2003","09","03","04:00"," ","-2,80","","-3,00","","99,00","","0,00","","0,00","","","M","92,75","","","","","","ND"
"2003-09-03 05:00","2003","09","03","05:00"," ","-2,50","","-2,50","","100,00","","0,00","","0,00","","","M","92,77","","","","","","ND"
"2003-09-03 06:00","2003","09","03","06:00"," ","-2,50","","-2,60","","99,00","","0,00","","0,00","","","M","92,80","","","","","","ND"
"2003-09-03 07:00","2003","09","03","07:00"," ","-2,00","","-2,20","","99,00","","36,00","","19,00","E","0,00","","92,82","","","","-8,00","E","Brouillard verglaçant"
"2003-09-03 08:00","2003","09","03","08:00"," ","-2,00","","-2,10","","99,00","","35,00","","20,00","","0,00","","92,84","","","","-8,00","","Brouillard verglaçant"
"2003-09-03 09:00","2003","09","03","09:00"," ","-2,00","","-2,10","","99,00","","36,00","","9,00","","0,00","","92,86","","","","-5,00","","Brouillard verglaçant"
"2003-09-03 10:00","2003","09","03","10:00"," ","-1,70","","-1,80","","99,00","","32,00","","11,00","","0,00","","92,84","","","","-6,00","","Brouillard verglaçant"
"2003-09-03 11:00","2003","09","03","11:00"," ","-1,90","","-1,90","","100,00","","34,00","","15,00","","0,00","","92,84","","","","-7,00","","Brouillard verglaçant"
"2003-09-03 12:00","2003","09","03","12:00"," ","-2,00","","-2,00","","100,00","","36,00","","13,00","","0,00","","92,87","","","","-6,00","","Brouillard verglaçant"
"2003-09-03 13:00","2003","09","03","13:00"," ","-1,70","","-1,70","","100,00","","2,00","","9,00","","0,20","","92,87","","","","-5,00","","Bruine verglaçante,Brouillard verglaçant"
"2003-09-03 14:00","2003","09","03","14:00"," ","-1,70","","-1,70","","100,00","","1,00","","7,00","","0,40","","92,88","","","","-4,00","","Bruine verglaçante,Brouillard verglaçant"
"2003-09-03 15:00","2003","09","03","15:00"," ","-1,70","","-1,70","","100,00","","0,00","","0,00","","0,20","","92,88","","","","","","Brouillard verglaçant"
"2003-09-03 16:00","2003","09","03","16:00"," ","-1,80","","-1,80","","100,00","","1,00","","4,00","","0,20","","92,89","","","","-3,00","","Brouillard verglaçant"
"2003-09-03 17:00","2003","09","03","17:00"," ","-1,90","","-1,90","","100,00","","11,00","","4,00","","","M","92,88","","","","-3,00","","ND"
"2003-09-03 18:00","2003","09","03","18:00"," ","-1,00","","-1,00","","100,00","","8,00","","4,00","","","M","92,88","","","","-2,00","","ND"
"2003-09-03 19:00","2003","09","03","19:00"," ","-1,20","","-1,20","","100,00","","5,00","","4,00","","","M","92,86","","","","-3,00","","ND"
"2003-09-03 20:00","2003","09","03","20:00"," ","-1,50","","-1,50","","100,00","","6,00","","6,00","","","M","92,84","","","","-4,00","","ND"
"2003-09-03 21:00","2003","09","03","21:00"," ","-2,00","","-2,00","","100,00","","8,00","","6,00","","","M","92,82","","","","-4,00","","ND"
"2003-09-03 22:00","2003","09","03","22:00"," ","-2,60","","-2,80","","99,00","","9,00","","6,00","","","M","92,81","","","","-5,00","","ND"
"2003-09-03 23:00","2003","09","03","23:00"," ","-2,60","","-2,80","","99,00","","14,00","","4,00","","","M","92,76","","","","-4,00","","ND"
"2003-09-04 00:00","2003","09","04","00:00"," ","-2,10","","-2,20","","99,00","","8,00","","15,00","","","M","92,74","","","","-7,00","","ND"
"2003-09-04 01:00","2003","09","04","01:00"," ","-2,40","","-2,40","","100,00","","7,00","","13,00","","","M","92,72","","","","-7,00","","ND"
"2003-09-04 02:00","2003","09","04","02:00"," ","-2,40","","-2,40","","100,00","","8,00","","13,00","","","M","92,70","","","","-7,00","","ND"
"2003-09-04 03:00","2003","09","04","03:00"," ","-2,20","","-2,40","","99,00","","11,00","","11,00","","","M","92,68","","","","-6,00","","ND"
"2003-09-04 04:00","2003","09","04","04:00"," ","-2,90","","-3,10","","99,00","","10,00","","9,00","","","M","92,67","","","","-6,00","","ND"
"2003-09-04 05:00","2003","09","04","05:00"," ","-3,30","","-3,50","","99,00","","10,00","","7,00","","0,20","","92,66","","","","-6,00","","Brouillard verglaçant"
"2003-09-04 06:00","2003","09","04","06:00"," ","-2,10","","-2,30","","99,00","","16,00","","9,00","","4,80","","92,64","","","","-6,00","","Brouillard"
"2003-09-04 07:00","2003","09","04","07:00"," ","-2,00","","-2,00","","100,00","","17,00","","11,00","","4,80","","92,64","","","","-6,00","","Brouillard"
"2003-09-04 08:00","2003","09","04","08:00"," ","-1,10","","-1,10","","100,00","","18,00","","11,00","","19,30","","92,63","","","","-5,00","","Généralement dégagé"
"2003-09-04 09:00","2003","09","04","09:00"," ","-0,60","","-0,60","","100,00","","16,00","","11,00","","24,10","","92,62","","","","-4,00","","Généralement dégagé"
"2003-09-04 10:00","2003","09","04","10:00"," ","-0,20","","-0,50","","98,00","","16,00","","11,00","","24,10","","92,60","","","","-4,00","","Généralement dégagé"
"2003-09-04 11:00","2003","09","04","11:00"," ","-0,10","","-0,90","","94,00","","16,00","","15,00","","24,10","","92,58","","","","-5,00","","Généralement nuageux"
"2003-09-04 12:00","2003","09","04","12:00"," ","0,00","","-1,00","","93,00","","16,00","","9,00","","64,40","","92,57","","","","-3,00","","Généralement nuageux"
"2003-09-04 13:00","2003","09","04","13:00"," ","0,00","","-1,30","","91,00","","14,00","","9,00","","64,40","","92,56","","","","-3,00","","Généralement nuageux"
"2003-09-04 14:00","2003","09","04","14:00"," ","0,10","","-1,70","","88,00","","11,00","","6,00","","64,40","","92,55","","","","","","Généralement nuageux"
"2003-09-04 15:00","2003","09","04","15:00"," ","0,50","","-0,80","","91,00","","12,00","","11,00","","64,40","","92,53","","","","","","Généralement nuageux"
"2003-09-04 16:00","2003","09","04","16:00"," ","0,80","","-1,40","","85,00","","15,00","","6,00","","","M","92,50","","","","","","ND"
"2003-09-04 17:00","2003","09","04","17:00"," ","0,80","","-1,80","","83,00","","12,00","","9,00","","","M","92,49","","","","","","ND"
"2003-09-04 18:00","2003","09","04","18:00"," ","0,50","","-0,40","","94,00","","9,00","","9,00","","","M","92,49","","","","","","ND"
"2003-09-04 19:00","2003","09","04","19:00"," ","0,00","","0,00","","100,00","","7,00","","9,00","","","M","92,49","","","","-3,00","","ND"
"2003-09-04 20:00","2003","09","04","20:00"," ","0,20","","-0,40","","96,00","","9,00","","9,00","","","M","92,49","","","","","","ND"
"2003-09-04 21:00","2003","09","04","21:00"," ","0,10","","-0,20","","98,00","","5,00","","6,00","","","M","92,48","","","","","","ND"
"2003-09-04 22:00","2003","09","04","22:00"," ","0,10","","-1,00","","92,00","","10,00","","6,00","","","M","92,45","","","","","","ND"
"2003-09-04 23:00","2003","09","04","23:00"," ","0,20","","-0,80","","93,00","","7,00","","11,00","","","M","92,44","","","","","","ND"
"2003-09-05 00:00","2003","09","05","00:00"," ","-0,20","","-1,10","","94,00","","3,00","","4,00","","","M","92,43","","","","-1,00","","ND"
"2003-09-05 01:00","2003","09","05","01:00"," ","-0,40","","-0,40","","100,00","","10,00","","7,00","","","M","92,44","","","","-3,00","","ND"
"2003-09-05 02:00","2003","09","05","02:00"," ","-0,40","","-0,50","","99,00","","12,00","","11,00","","","M","92,45","","","","-4,00","","ND"
"2003-09-05 03:00","2003","09","05","03:00"," ","-0,60","","-1,30","","95,00","","13,00","","9,00","","","M","92,46","","","","-4,00","","ND"
"2003-09-05 04:00","2003","09","05","04:00"," ","-0,70","","-1,30","","96,00","","12,00","","15,00","","","M","92,49","","","","-5,00","","ND"
"2003-09-05 05:00","2003","09","05","05:00"," ","-0,80","","-1,10","","98,00","","12,00","","9,00","","","M","92,51","","","","-4,00","","ND"
"2003-09-05 06:00","2003","09","05","06:00"," ","-1,40","","-2,70","","91,00","","14,00","","13,00","","64,40","","92,51","","","","-6,00","","Généralement nuageux"
"2003-09-05 07:00","2003","09","05","07:00"," ","-1,60","","-3,00","","90,00","","13,00","","13,00","","64,40","","92,53","","","","-6,00","","Généralement dégagé"
"2003-09-05 08:00","2003","09","05","08:00"," ","-1,30","","-3,80","","83,00","","13,00","","11,00","","64,40","","92,53","","","","-5,00","","Généralement dégagé"
"2003-09-05 09:00","2003","09","05","09:00"," ","-0,80","","-3,70","","81,00","","14,00","","15,00","","64,40","","92,54","","","","-5,00","","Généralement dégagé"
"2003-09-05 10:00","2003","09","05","10:00"," ","-0,60","","-4,10","","77,00","","13,00","","11,00","","64,40","","92,56","","","","-4,00","","Généralement dégagé"
"2003-09-05 11:00","2003","09","05","11:00"," ","-0,10","","-3,70","","77,00","","13,00","","11,00","","64,40","","92,56","","","","-4,00","","Généralement dégagé"
"2003-09-05 12:00","2003","09","05","12:00"," ","0,30","","-3,40","","76,00","","12,00","","7,00","","64,40","","92,56","","","","","","Généralement dégagé"
"2003-09-05 13:00","2003","09","05","13:00"," ","1,10","","-3,40","","72,00","","10,00","","4,00","","64,40","","92,57","","","","","","Généralement dégagé"
"2003-09-05 14:00","2003","09","05","14:00"," ","1,10","","-3,80","","70,00","","9,00","","4,00","","64,40","","92,60","","","","","","Généralement dégagé"
"2003-09-05 15:00","2003","09","05","15:00"," ","2,10","","-2,80","","70,00","","16,00","","7,00","","64,40","","92,61","","","","","","Généralement dégagé"
"2003-09-05 16:00","2003","09","05","16:00"," ","1,70","","-3,00","","71,00","","7,00","","7,00","","","M","92,64","","","","","","ND"
"2003-09-05 17:00","2003","09","05","17:00"," ","1,80","","-3,20","","69,00","","6,00","","7,00","","","M","92,64","","","","","","ND"
"2003-09-05 18:00","2003","09","05","18:00"," ","1,40","","-2,80","","74,00","","6,00","","7,00","","","M","92,67","","","","","","ND"
