"Nom de la Station","REPULSE BAY A"
"Province","NUNAVUT"
"Latitude","66,52"
"Longitude","-86,22"
"Altitude","22,90"
"Identification Climat","2403490"
"Identification OMM",""
"Identification TC","YUT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-01-01 00:00","2008","01","01","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 01:00","2008","01","01","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 02:00","2008","01","01","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 03:00","2008","01","01","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 04:00","2008","01","01","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 05:00","2008","01","01","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 06:00","2008","01","01","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 07:00","2008","01","01","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 08:00","2008","01","01","08:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 09:00","2008","01","01","09:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 10:00","2008","01","01","10:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 11:00","2008","01","01","11:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 12:00","2008","01","01","12:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 13:00","2008","01","01","13:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 14:00","2008","01","01","14:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 15:00","2008","01","01","15:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 16:00","2008","01","01","16:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 17:00","2008","01","01","17:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 18:00","2008","01","01","18:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 19:00","2008","01","01","19:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 20:00","2008","01","01","20:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 21:00","2008","01","01","21:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 22:00","2008","01","01","22:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-01 23:00","2008","01","01","23:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 00:00","2008","01","02","00:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 01:00","2008","01","02","01:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 02:00","2008","01","02","02:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 03:00","2008","01","02","03:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 04:00","2008","01","02","04:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 05:00","2008","01","02","05:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 06:00","2008","01","02","06:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 07:00","2008","01","02","07:00"," ","","","","","","","","","","","","","","","","","","",""
"2008-01-02 08:00","2008","01","02","08:00"," ","-32,00","","-35,20","","73,00","","32,00","","19,00","","40,20","","101,06","","","","-45,00","","Cristaux de glace"
"2008-01-02 09:00","2008","01","02","09:00"," ","-32,20","","-37,60","","59,00","","33,00","","13,00","","40,20","","101,09","","","","-43,00","","Cristaux de glace"
"2008-01-02 10:00","2008","01","02","10:00"," ","-31,50","","-34,70","","73,00","","33,00","","15,00","","40,20","","101,12","","","","-43,00","","Cristaux de glace"
"2008-01-02 11:00","2008","01","02","11:00"," ","-32,80","","-38,40","","57,00","","33,00","","13,00","","24,10","","101,18","","","","-44,00","","Cristaux de glace"
"2008-01-02 12:00","2008","01","02","12:00"," ","-32,90","","-38,60","","57,00","","31,00","","7,00","","32,20","","101,21","","","","-41,00","","Cristaux de glace"
"2008-01-02 13:00","2008","01","02","13:00"," ","-32,10","","-35,30","","73,00","","31,00","","17,00","","24,10","","101,18","","","","-45,00","","Cristaux de glace"
"2008-01-02 14:00","2008","01","02","14:00"," ","-33,40","","-39,20","","56,00","","33,00","","13,00","","24,10","","101,21","","","","-45,00","","Cristaux de glace"
"2008-01-02 15:00","2008","01","02","15:00"," ","-33,40","","-39,20","","56,00","","33,00","","4,00","","32,20","","101,28","","","","-38,00","","Cristaux de glace"
