"Nom de la Station","RESOLUTE CARS"
"Province","NUNAVUT"
"Latitude","74,72"
"Longitude","-94,97"
"Altitude","67,70"
"Identification Climat","2403500"
"Identification OMM","71924"
"Identification TC","YRB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1989-01-01 00:00","1989","01","01","00:00"," ","-26,60","","-30,20","","71,00","","33,00","","19,00","","24,10","","99,31","","","","-39,00","","Généralement nuageux"
"1989-01-01 01:00","1989","01","01","01:00"," ","-24,00","","-27,90","","70,00","","32,00","","30,00","","16,10","","99,31","","","","-38,00","","Neige"
"1989-01-01 02:00","1989","01","01","02:00"," ","-23,40","","-27,10","","72,00","","32,00","","26,00","","16,10","","99,28","","","","-36,00","","Neige"
"1989-01-01 03:00","1989","01","01","03:00"," ","-22,50","","-26,30","","72,00","","32,00","","33,00","","19,30","","99,28","","","","-36,00","","Neige"
"1989-01-01 04:00","1989","01","01","04:00"," ","-23,70","","-27,60","","71,00","","32,00","","37,00","","19,30","","99,31","","","","-39,00","","Neige"
"1989-01-01 05:00","1989","01","01","05:00"," ","-25,30","","-29,20","","70,00","","32,00","","30,00","","24,10","","99,38","","","","-39,00","","Généralement dégagé"
"1989-01-01 06:00","1989","01","01","06:00"," ","-25,60","","-29,80","","68,00","","33,00","","30,00","","24,10","","99,38","","","","-40,00","","Cristaux de glace"
"1989-01-01 07:00","1989","01","01","07:00"," ","-26,50","","-30,40","","69,00","","32,00","","30,00","","24,10","","99,38","","","","-41,00","","Cristaux de glace"
"1989-01-01 08:00","1989","01","01","08:00"," ","-27,30","","-31,30","","69,00","","32,00","","22,00","","24,10","","99,31","","","","-40,00","","Dégagé"
"1989-01-01 09:00","1989","01","01","09:00"," ","-29,40","","-33,20","","69,00","","33,00","","15,00","","24,10","","99,31","","","","-41,00","","Dégagé"
"1989-01-01 10:00","1989","01","01","10:00"," ","-29,40","","-33,30","","69,00","","33,00","","11,00","","24,10","","99,31","","","","-39,00","","Dégagé"
"1989-01-01 11:00","1989","01","01","11:00"," ","-29,90","","-33,20","","73,00","","34,00","","9,00","","24,10","","99,28","","","","-38,00","","Dégagé"
"1989-01-01 12:00","1989","01","01","12:00"," ","-30,10","","-34,00","","69,00","","32,00","","7,00","","24,10","","99,28","","","","-37,00","","Dégagé"
"1989-01-01 13:00","1989","01","01","13:00"," ","-28,60","","-32,70","","67,00","","30,00","","7,00","","24,10","","99,28","","","","-36,00","","Dégagé"
"1989-01-01 14:00","1989","01","01","14:00"," ","-28,60","","-33,10","","65,00","","35,00","","9,00","","24,10","","99,28","","","","-37,00","","Dégagé"
"1989-01-01 15:00","1989","01","01","15:00"," ","-29,80","","-34,00","","66,00","","33,00","","15,00","","24,10","","99,31","","","","-41,00","","Cristaux de glace"
"1989-01-01 16:00","1989","01","01","16:00"," ","-29,00","","-33,20","","67,00","","32,00","","15,00","","24,10","","99,35","","","","-40,00","","Cristaux de glace"
"1989-01-01 17:00","1989","01","01","17:00"," ","-28,10","","-32,30","","67,00","","32,00","","9,00","","24,10","","99,31","","","","-36,00","","Cristaux de glace"
"1989-01-01 18:00","1989","01","01","18:00"," ","-27,70","","-31,80","","68,00","","33,00","","7,00","","24,10","","99,31","","","","-35,00","","Cristaux de glace"
"1989-01-01 19:00","1989","01","01","19:00"," ","-27,70","","-33,60","","57,00","","35,00","","9,00","","16,10","","99,28","","","","-36,00","","Cristaux de glace"
"1989-01-01 20:00","1989","01","01","20:00"," ","-26,60","","-30,80","","68,00","","33,00","","11,00","","24,10","","99,21","","","","-36,00","","Cristaux de glace"
"1989-01-01 21:00","1989","01","01","21:00"," ","-27,00","","-31,70","","64,00","","32,00","","20,00","","24,10","","99,21","","","","-39,00","","Cristaux de glace"
"1989-01-01 22:00","1989","01","01","22:00"," ","-27,50","","-31,30","","70,00","","32,00","","15,00","","24,10","","99,21","","","","-38,00","","Cristaux de glace"
"1989-01-01 23:00","1989","01","01","23:00"," ","-27,50","","-32,10","","65,00","","32,00","","11,00","","24,10","","99,21","","","","-37,00","","Cristaux de glace"
"1989-01-02 00:00","1989","01","02","00:00"," ","-29,60","","-34,60","","62,00","","35,00","","11,00","","24,10","","99,25","","","","-39,00","","Cristaux de glace"
"1989-01-02 01:00","1989","01","02","01:00"," ","-29,80","","-35,10","","60,00","","33,00","","11,00","","24,10","","99,28","","","","-39,00","","Cristaux de glace"
"1989-01-02 02:00","1989","01","02","02:00"," ","-28,40","","-32,70","","66,00","","33,00","","11,00","","24,10","","99,28","","","","-38,00","","Cristaux de glace"
"1989-01-02 03:00","1989","01","02","03:00"," ","-29,20","","-33,20","","68,00","","33,00","","11,00","","24,10","","99,31","","","","-39,00","","Cristaux de glace"
"1989-01-02 04:00","1989","01","02","04:00"," ","-29,80","","-33,20","","72,00","","35,00","","11,00","","24,10","","99,31","","","","-39,00","","Cristaux de glace"
"1989-01-02 05:00","1989","01","02","05:00"," ","-29,20","","-33,50","","66,00","","35,00","","7,00","","24,10","","99,35","","","","-36,00","","Cristaux de glace"
"1989-01-02 06:00","1989","01","02","06:00"," ","-29,30","","-33,50","","67,00","","32,00","","9,00","","24,10","","99,38","","","","-38,00","","Cristaux de glace"
"1989-01-02 07:00","1989","01","02","07:00"," ","-30,50","","-34,90","","65,00","","34,00","","7,00","","24,10","","99,38","","","","-38,00","","Cristaux de glace"
"1989-01-02 08:00","1989","01","02","08:00"," ","-31,40","","-35,40","","68,00","","34,00","","13,00","","24,10","","99,42","","","","-42,00","","Cristaux de glace"
"1989-01-02 09:00","1989","01","02","09:00"," ","-31,70","","-36,50","","62,00","","36,00","","17,00","","24,10","","99,48","","","","-44,00","","Cristaux de glace"
"1989-01-02 10:00","1989","01","02","10:00"," ","-32,10","","-36,50","","65,00","","32,00","","20,00","","16,10","","99,52","","","","-46,00","","Cristaux de glace"
"1989-01-02 11:00","1989","01","02","11:00"," ","-32,90","","-37,80","","61,00","","2,00","","11,00","","16,10","","99,58","","","","-43,00","","Cristaux de glace"
"1989-01-02 12:00","1989","01","02","12:00"," ","-33,10","","-37,50","","65,00","","4,00","","22,00","","24,10","","99,62","","","","-48,00","","Cristaux de glace"
"1989-01-02 13:00","1989","01","02","13:00"," ","-34,30","","-38,70","","64,00","","34,00","","7,00","","24,10","","99,72","","","","-42,00","","Cristaux de glace"
"1989-01-02 14:00","1989","01","02","14:00"," ","-35,10","","-39,70","","63,00","","32,00","","11,00","","24,10","","99,79","","","","-46,00","","Cristaux de glace"
