"Nom de la Station","TALOYOAK A"
"Province","NUNAVUT"
"Latitude","69,55"
"Longitude","-93,58"
"Altitude","27,40"
"Identification Climat","2403854"
"Identification OMM","71580"
"Identification TC","YYH"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-11-01 00:00","2007","11","01","00:00"," ","-14,20","","-16,40","","83,00","","5,00","","13,00","","16,10","","101,06","","","","-21,00","","Neige"
"2007-11-01 01:00","2007","11","01","01:00"," ","-14,50","","-16,70","","83,00","","3,00","","19,00","","19,30","","101,06","","","","-23,00","","Neige"
"2007-11-01 02:00","2007","11","01","02:00"," ","-14,80","","-16,50","","87,00","","2,00","","13,00","","24,10","","101,05","","","","-22,00","","Neige"
"2007-11-01 03:00","2007","11","01","03:00"," ","-14,40","","-16,60","","83,00","","3,00","","17,00","","24,10","","101,04","","","","-23,00","","Neige"
"2007-11-01 04:00","2007","11","01","04:00"," ","-14,40","","-16,60","","83,00","","5,00","","15,00","","24,10","","101,04","","","","-22,00","","Neige"
"2007-11-01 05:00","2007","11","01","05:00"," ","-14,90","","-17,20","","83,00","","5,00","","11,00","","24,10","","101,04","","","","-21,00","","Neige"
"2007-11-01 06:00","2007","11","01","06:00"," ","-14,90","","-17,20","","83,00","","4,00","","15,00","","24,10","","101,03","","","","-23,00","","Nuageux"
"2007-11-01 07:00","2007","11","01","07:00"," ","-14,80","","-17,60","","79,00","","2,00","","15,00","","24,10","","101,01","","","","-23,00","","Neige"
"2007-11-01 08:00","2007","11","01","08:00"," ","-15,40","","-17,70","","83,00","","2,00","","22,00","","8,00","","101,03","","","","-25,00","","Neige"
"2007-11-01 09:00","2007","11","01","09:00"," ","-15,50","","-17,90","","82,00","","2,00","","22,00","","17,70","","101,03","","","","-25,00","","Neige"
"2007-11-01 10:00","2007","11","01","10:00"," ","-15,50","","-18,40","","78,00","","2,00","","26,00","","17,70","","101,02","","","","-26,00","","Neige"
"2007-11-01 11:00","2007","11","01","11:00"," ","-15,40","","-18,30","","78,00","","2,00","","15,00","","17,70","","101,03","","","","-23,00","","Neige"
"2007-11-01 12:00","2007","11","01","12:00"," ","-15,50","","-17,90","","82,00","","4,00","","17,00","","16,10","","101,03","","","","-24,00","","Neige"
"2007-11-01 13:00","2007","11","01","13:00"," ","-15,40","","-18,30","","78,00","","4,00","","15,00","","12,90","","101,05","","","","-23,00","","Neige"
"2007-11-01 14:00","2007","11","01","14:00"," ","-15,70","","-19,30","","74,00","","4,00","","15,00","","16,10","","101,07","","","","-24,00","","Neige"
"2007-11-01 15:00","2007","11","01","15:00"," ","-15,90","","-18,90","","78,00","","3,00","","11,00","","20,90","","101,08","","","","-23,00","","Neige"
"2007-11-01 16:00","2007","11","01","16:00"," ","-16,20","","-19,30","","77,00","","3,00","","13,00","","24,10","","101,12","","","","-24,00","","Neige"
"2007-11-01 17:00","2007","11","01","17:00"," ","-18,40","","-21,90","","74,00","","2,00","","9,00","","24,10","","101,14","","","","-25,00","","Généralement dégagé"
"2007-11-01 18:00","2007","11","01","18:00"," ","-19,40","","-23,10","","72,00","","2,00","","6,00","","24,10","","101,18","","","","-24,00","","Généralement dégagé"
"2007-11-01 19:00","2007","11","01","19:00"," ","-20,10","","-26,80","","55,00","","36,00","","6,00","","24,10","","101,19","","","","-25,00","","Généralement nuageux"
"2007-11-01 20:00","2007","11","01","20:00"," ","-18,20","","-21,60","","75,00","","1,00","","9,00","","24,10","","101,20","","","","-25,00","","Neige"
"2007-11-01 21:00","2007","11","01","21:00"," ","-18,00","","-20,70","","79,00","","0,00","","0,00","","24,10","","101,20","","","","","","Neige"
"2007-11-01 22:00","2007","11","01","22:00"," ","-16,70","","-19,20","","81,00","","36,00","","7,00","","24,10","","101,20","","","","-22,00","","Neige"
"2007-11-01 23:00","2007","11","01","23:00"," ","-16,10","","-18,50","","82,00","","0,00","","0,00","","24,10","","101,22","","","","","","Neige"
"2007-11-02 00:00","2007","11","02","00:00"," ","-15,40","","-18,30","","78,00","","1,00","","20,00","","24,10","","101,26","","","","-25,00","","Neige"
"2007-11-02 01:00","2007","11","02","01:00"," ","-15,60","","-18,00","","82,00","","3,00","","24,00","","24,10","","101,30","","","","-26,00","","Neige"
"2007-11-02 02:00","2007","11","02","02:00"," ","-15,80","","-18,80","","78,00","","2,00","","17,00","","24,10","","101,35","","","","-24,00","","Neige"
"2007-11-02 03:00","2007","11","02","03:00"," ","-18,10","","-20,80","","79,00","","36,00","","7,00","","24,10","","101,40","","","","-23,00","","Neige"
"2007-11-02 04:00","2007","11","02","04:00"," ","-19,10","","-22,00","","78,00","","36,00","","9,00","","24,10","","101,43","","","","-26,00","","Généralement dégagé"
"2007-11-02 05:00","2007","11","02","05:00"," ","-21,60","","-24,00","","81,00","","36,00","","7,00","","24,10","","101,43","","","","-28,00","","Généralement dégagé"
"2007-11-02 06:00","2007","11","02","06:00"," ","-21,70","","-24,10","","81,00","","36,00","","11,00","","24,10","","101,40","","","","-30,00","","Généralement dégagé"
"2007-11-02 07:00","2007","11","02","07:00"," ","-22,00","","-24,40","","81,00","","0,00","","0,00","","24,10","","101,47","","","","","","Généralement dégagé"
"2007-11-02 08:00","2007","11","02","08:00"," ","-23,50","","-27,10","","72,00","","1,00","","7,00","","24,10","","101,50","","","","-30,00","","Dégagé"
"2007-11-02 09:00","2007","11","02","09:00"," ","-24,40","","-27,00","","79,00","","0,00","","0,00","","24,10","","101,50","","","","","","Dégagé"
"2007-11-02 10:00","2007","11","02","10:00"," ","-23,70","","-27,30","","72,00","","0,00","","0,00","","24,10","","101,48","","","","","","Dégagé"
"2007-11-02 11:00","2007","11","02","11:00"," ","-23,60","","-26,20","","79,00","","0,00","","0,00","","24,10","","101,48","","","","","","Dégagé"
"2007-11-02 12:00","2007","11","02","12:00"," ","-23,00","","-26,50","","73,00","","0,00","","0,00","","24,10","","101,48","","","","","","Dégagé"
"2007-11-02 13:00","2007","11","02","13:00"," ","-23,40","","-26,90","","73,00","","0,00","","0,00","","24,10","","101,49","","","","","","Dégagé"
"2007-11-02 14:00","2007","11","02","14:00"," ","-23,00","","-26,50","","73,00","","0,00","","0,00","","24,10","","101,49","","","","","","Dégagé"
"2007-11-02 15:00","2007","11","02","15:00"," ","-23,40","","-25,90","","80,00","","0,00","","0,00","","24,10","","101,49","","","","","","Généralement dégagé"
"2007-11-02 16:00","2007","11","02","16:00"," ","-22,40","","-29,00","","55,00","","0,00","","0,00","","24,10","","101,49","","","","","","Généralement nuageux"
"2007-11-02 17:00","2007","11","02","17:00"," ","-22,50","","-26,90","","67,00","","0,00","","0,00","","24,10","","101,48","","","","","","Généralement dégagé"
"2007-11-02 18:00","2007","11","02","18:00"," ","-22,20","","-25,50","","74,00","","0,00","","0,00","","24,10","","101,47","","","","","","Généralement nuageux"
"2007-11-02 19:00","2007","11","02","19:00"," ","-21,00","","-24,20","","75,00","","0,00","","0,00","","24,10","","101,42","","","","","","Neige"
"2007-11-02 20:00","2007","11","02","20:00"," ","-20,20","","-22,50","","82,00","","0,00","","0,00","","24,10","","101,39","","","","","","Neige"
"2007-11-02 21:00","2007","11","02","21:00"," ","-19,40","","-22,30","","78,00","","0,00","","0,00","","24,10","","101,37","","","","","","Neige"
"2007-11-02 22:00","2007","11","02","22:00"," ","-18,90","","-21,00","","83,00","","0,00","","0,00","","24,10","","101,32","","","","","","Neige"
"2007-11-02 23:00","2007","11","02","23:00"," ","-18,40","","-21,20","","79,00","","0,00","","0,00","","24,10","","101,27","","","","","","Neige"
"2007-11-03 00:00","2007","11","03","00:00"," ","-17,90","","-20,60","","79,00","","0,00","","0,00","","24,10","","101,27","","","","","","Neige"
"2007-11-03 01:00","2007","11","03","01:00"," ","-17,70","","-21,00","","75,00","","0,00","","0,00","","24,10","","101,25","","","","","","Neige"
"2007-11-03 02:00","2007","11","03","02:00"," ","-17,70","","-21,00","","75,00","","0,00","","0,00","","24,10","","101,24","","","","","","Neige"
"2007-11-03 03:00","2007","11","03","03:00"," ","-17,60","","-21,60","","71,00","","0,00","","0,00","","24,10","","101,21","","","","","","Neige"
"2007-11-03 04:00","2007","11","03","04:00"," ","-17,40","","-20,00","","80,00","","0,00","","0,00","","24,10","","101,19","","","","","","Neige"
"2007-11-03 05:00","2007","11","03","05:00"," ","-17,20","","-20,40","","76,00","","0,00","","0,00","","24,10","","101,14","","","","","","Neige"
"2007-11-03 06:00","2007","11","03","06:00"," ","-17,10","","-21,00","","72,00","","7,00","","6,00","","24,10","","101,11","","","","-22,00","","Neige"
"2007-11-03 07:00","2007","11","03","07:00"," ","-17,10","","-20,30","","76,00","","14,00","","4,00","","24,10","","101,08","","","","-20,00","","Neige"
