"Nom de la Station","CAMBRIDGE BAY A"
"Province","NUNAVUT"
"Latitude","69,11"
"Longitude","-105,14"
"Altitude","31,10"
"Identification Climat","2400600"
"Identification OMM","71925"
"Identification TC","YCB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1972-01-01 00:00","1972","01","01","00:00"," ","-26,70","","-28,90","","82,00","","12,00","","13,00","","9,70","","99,88","","","","-37,00","","Cristaux de glace"
"1972-01-01 01:00","1972","01","01","01:00"," ","-26,10","","-28,30","","82,00","","12,00","","18,00","","16,10","","99,93","","","","-38,00","","Cristaux de glace"
"1972-01-01 02:00","1972","01","01","02:00"," ","-26,10","","-28,90","","78,00","","12,00","","19,00","","16,10","","99,97","","","","-38,00","","Cristaux de glace"
"1972-01-01 03:00","1972","01","01","03:00"," ","-26,10","","-29,40","","73,00","","12,00","","18,00","","19,30","","100,00","","","","-38,00","","Cristaux de glace"
"1972-01-01 04:00","1972","01","01","04:00"," ","-27,20","","-31,10","","71,00","","13,00","","16,00","","24,10","","100,05","","","","-38,00","","Cristaux de glace"
"1972-01-01 05:00","1972","01","01","05:00"," ","-27,80","","-30,00","","82,00","","12,00","","13,00","","24,10","","100,07","","","","-38,00","","Cristaux de glace"
"1972-01-01 06:00","1972","01","01","06:00"," ","-28,90","","-31,10","","81,00","","8,00","","10,00","","19,30","","100,13","","","","-38,00","","Cristaux de glace"
"1972-01-01 07:00","1972","01","01","07:00"," ","-30,60","","-32,80","","81,00","","8,00","","6,00","","19,30","","100,16","","","","-37,00","","Cristaux de glace"
"1972-01-01 08:00","1972","01","01","08:00"," ","-30,60","","-32,80","","81,00","","6,00","","8,00","","16,10","","100,23","","","","-39,00","","Cristaux de glace"
"1972-01-01 09:00","1972","01","01","09:00"," ","-29,40","","-33,30","","69,00","","5,00","","5,00","","16,10","","100,24","","","","-35,00","","Cristaux de glace"
"1972-01-01 10:00","1972","01","01","10:00"," ","-28,90","","-32,20","","75,00","","4,00","","3,00","","4,80","","100,29","","","","-32,00","","Cristaux de glace,Brouillard de glace"
