"Nom de la Station","EDMONTON INT'L A"
"Province","ALBERTA"
"Latitude","53,32"
"Longitude","-113,58"
"Altitude","723,30"
"Identification Climat","3012205"
"Identification OMM","71123"
"Identification TC","YEG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1969-01-01 00:00","1969","01","01","00:00"," ","-23,30","","-26,10","","80,00","","0,00","","0,00","","24,10","","93,02","","","","","","Cristaux de glace"
"1969-01-01 01:00","1969","01","01","01:00"," ","-23,30","","-26,10","","80,00","","0,00","","0,00","","24,10","","93,08","","","","","","Cristaux de glace"
"1969-01-01 02:00","1969","01","01","02:00"," ","-23,30","","-26,10","","80,00","","0,00","","0,00","","24,10","","93,15","","","","","","Cristaux de glace"
"1969-01-01 03:00","1969","01","01","03:00"," ","-23,30","","-25,60","","83,00","","0,00","","0,00","","24,10","","93,21","","","","","","Neige"
"1969-01-01 04:00","1969","01","01","04:00"," ","-23,30","","-25,60","","83,00","","29,00","","8,00","","24,10","","93,27","","","","-30,00","","Neige"
"1969-01-01 05:00","1969","01","01","05:00"," ","-21,70","","-23,90","","84,00","","29,00","","13,00","","19,30","","93,27","","","","-30,00","","Neige"
"1969-01-01 06:00","1969","01","01","06:00"," ","-21,70","","-23,90","","81,00","","29,00","","13,00","","24,10","","93,31","","","","-30,00","","Neige"
"1969-01-01 07:00","1969","01","01","07:00"," ","-21,70","","-23,90","","81,00","","32,00","","16,00","","24,10","","93,37","","","","-31,00","","Neige"
"1969-01-01 08:00","1969","01","01","08:00"," ","-22,80","","-25,00","","80,00","","29,00","","11,00","","24,10","","93,43","","","","-31,00","","Neige"
"1969-01-01 09:00","1969","01","01","09:00"," ","-21,70","","-23,90","","81,00","","29,00","","21,00","","24,10","","93,52","","","","-33,00","","Neige"
"1969-01-01 10:00","1969","01","01","10:00"," ","-21,70","","-23,30","","87,00","","32,00","","19,00","","24,10","","93,62","","","","-32,00","","Neige"
"1969-01-01 11:00","1969","01","01","11:00"," ","-22,80","","-25,00","","80,00","","29,00","","11,00","","25,00","","93,70","","","","-31,00","","Généralement dégagé"
"1969-01-01 12:00","1969","01","01","12:00"," ","-23,30","","-26,10","","80,00","","29,00","","14,00","","25,00","","93,71","","","","-33,00","","Généralement dégagé"
"1969-01-01 13:00","1969","01","01","13:00"," ","-22,80","","-26,10","","73,00","","29,00","","19,00","","25,00","","93,70","","","","-34,00","","Dégagé"
"1969-01-01 14:00","1969","01","01","14:00"," ","-22,80","","-25,00","","80,00","","29,00","","5,00","","25,00","","93,74","","","","-27,00","","Dégagé"
"1969-01-01 15:00","1969","01","01","15:00"," ","-22,80","","-26,70","","70,00","","29,00","","5,00","","25,00","","93,79","","","","-27,00","","Dégagé"
"1969-01-01 16:00","1969","01","01","16:00"," ","-22,20","","-24,40","","81,00","","0,00","","0,00","","25,00","","93,83","","","","","","Dégagé"
"1969-01-01 17:00","1969","01","01","17:00"," ","-28,30","","-30,60","","81,00","","20,00","","5,00","","25,00","","93,86","","","","-34,00","","Généralement dégagé"
"1969-01-01 18:00","1969","01","01","18:00"," ","-29,40","","-31,10","","87,00","","18,00","","6,00","","25,00","","93,89","","","","-36,00","","Généralement dégagé"
"1969-01-01 19:00","1969","01","01","19:00"," ","-30,60","","-32,80","","81,00","","20,00","","10,00","","25,00","","93,90","","","","-40,00","","Dégagé"
"1969-01-01 20:00","1969","01","01","20:00"," ","-30,60","","-33,90","","74,00","","18,00","","6,00","","25,00","","93,91","","","","-37,00","","Dégagé"
"1969-01-01 21:00","1969","01","01","21:00"," ","-33,30","","-36,70","","72,00","","16,00","","6,00","","25,00","","93,91","","","","-40,00","","Dégagé"
"1969-01-01 22:00","1969","01","01","22:00"," ","-33,30","","-36,70","","72,00","","20,00","","10,00","","25,00","","93,92","","","","-43,00","","Dégagé"
"1969-01-01 23:00","1969","01","01","23:00"," ","-33,90","","-37,20","","72,00","","18,00","","10,00","","25,00","","93,93","","","","-44,00","","Dégagé"
"1969-01-02 00:00","1969","01","02","00:00"," ","-33,90","","-37,20","","72,00","","18,00","","10,00","","25,00","","93,90","","","","-44,00","","Dégagé"
"1969-01-02 01:00","1969","01","02","01:00"," ","-33,30","","-35,60","","81,00","","16,00","","8,00","","25,00","","93,87","","","","-42,00","","Dégagé"
"1969-01-02 02:00","1969","01","02","02:00"," ","-32,20","","-34,40","","81,00","","16,00","","11,00","","25,00","","93,87","","","","-42,00","","Dégagé"
"1969-01-02 03:00","1969","01","02","03:00"," ","-31,70","","-33,90","","81,00","","18,00","","11,00","","25,00","","93,87","","","","-42,00","","Généralement dégagé"
"1969-01-02 04:00","1969","01","02","04:00"," ","-31,70","","-33,90","","81,00","","18,00","","14,00","","25,00","","93,87","","","","-43,00","","Généralement dégagé"
"1969-01-02 05:00","1969","01","02","05:00"," ","-31,70","","-35,00","","73,00","","14,00","","10,00","","25,00","","93,83","","","","-41,00","","Généralement dégagé"
"1969-01-02 06:00","1969","01","02","06:00"," ","-31,10","","-34,40","","74,00","","18,00","","3,00","","25,00","","93,81","","","","-35,00","","Généralement dégagé"
"1969-01-02 07:00","1969","01","02","07:00"," ","-28,30","","-31,10","","76,00","","16,00","","19,00","","25,00","","93,81","","","","-41,00","","Dégagé"
"1969-01-02 08:00","1969","01","02","08:00"," ","-30,60","","-33,90","","74,00","","14,00","","10,00","","25,00","","93,88","","","","-40,00","","Dégagé"
"1969-01-02 09:00","1969","01","02","09:00"," ","-31,70","","-33,90","","81,00","","16,00","","13,00","","25,00","","93,90","","","","-43,00","","Généralement dégagé"
"1969-01-02 10:00","1969","01","02","10:00"," ","-28,90","","-31,10","","81,00","","16,00","","19,00","","25,00","","93,94","","","","-41,00","","Généralement dégagé"
"1969-01-02 11:00","1969","01","02","11:00"," ","-25,60","","-28,30","","78,00","","16,00","","21,00","","25,00","","93,91","","","","-38,00","","Généralement dégagé"
"1969-01-02 12:00","1969","01","02","12:00"," ","-24,40","","-27,20","","79,00","","16,00","","19,00","","25,00","","93,91","","","","-36,00","","Généralement dégagé"
"1969-01-02 13:00","1969","01","02","13:00"," ","-23,90","","-27,80","","72,00","","16,00","","19,00","","25,00","","93,85","","","","-35,00","","Généralement dégagé"
"1969-01-02 14:00","1969","01","02","14:00"," ","-21,70","","-25,00","","75,00","","16,00","","23,00","","25,00","","93,84","","","","-33,00","","Généralement nuageux"
"1969-01-02 15:00","1969","01","02","15:00"," ","-21,10","","-25,00","","72,00","","16,00","","21,00","","25,00","","93,84","","","","-32,00","","Généralement nuageux"
"1969-01-02 16:00","1969","01","02","16:00"," ","-19,40","","-22,20","","80,00","","16,00","","21,00","","25,00","","93,82","","","","-30,00","","Généralement nuageux"
"1969-01-02 17:00","1969","01","02","17:00"," ","-21,10","","-23,30","","81,00","","16,00","","19,00","","25,00","","93,85","","","","-32,00","","Généralement nuageux"
"1969-01-02 18:00","1969","01","02","18:00"," ","-21,70","","-23,90","","84,00","","18,00","","13,00","","25,00","","93,90","","","","-30,00","","Généralement dégagé"
"1969-01-02 19:00","1969","01","02","19:00"," ","-22,80","","-24,40","","87,00","","20,00","","10,00","","25,00","","93,93","","","","-31,00","","Généralement dégagé"
"1969-01-02 20:00","1969","01","02","20:00"," ","-26,10","","-27,80","","87,00","","0,00","","0,00","","25,00","","93,98","","","","","","Généralement dégagé"
"1969-01-02 21:00","1969","01","02","21:00"," ","-26,70","","-28,30","","87,00","","18,00","","8,00","","25,00","","93,99","","","","-34,00","","Généralement dégagé"
"1969-01-02 22:00","1969","01","02","22:00"," ","-26,10","","-27,80","","87,00","","20,00","","3,00","","25,00","","94,02","","","","-29,00","","Généralement dégagé"
"1969-01-02 23:00","1969","01","02","23:00"," ","-26,10","","-27,20","","91,00","","0,00","","0,00","","25,00","","94,01","","","","","","Généralement nuageux"
"1969-01-03 00:00","1969","01","03","00:00"," ","-23,90","","-25,60","","87,00","","18,00","","13,00","","25,00","","94,00","","","","-33,00","","Généralement dégagé"
"1969-01-03 01:00","1969","01","03","01:00"," ","-23,90","","-26,10","","83,00","","18,00","","16,00","","25,00","","93,99","","","","-34,00","","Généralement dégagé"
"1969-01-03 02:00","1969","01","03","02:00"," ","-23,90","","-25,00","","91,00","","18,00","","11,00","","25,00","","93,99","","","","-32,00","","Généralement dégagé"
"1969-01-03 03:00","1969","01","03","03:00"," ","-21,70","","-23,90","","81,00","","18,00","","13,00","","25,00","","94,00","","","","-30,00","","Généralement dégagé"
"1969-01-03 04:00","1969","01","03","04:00"," ","-22,80","","-25,00","","84,00","","18,00","","11,00","","25,00","","93,96","","","","-31,00","","Généralement dégagé"
"1969-01-03 05:00","1969","01","03","05:00"," ","-20,60","","-22,80","","82,00","","14,00","","8,00","","25,00","","93,88","","","","-27,00","","Généralement dégagé"
"1969-01-03 06:00","1969","01","03","06:00"," ","-21,10","","-22,80","","84,00","","14,00","","16,00","","25,00","","93,77","","","","-31,00","","Généralement nuageux"
"1969-01-03 07:00","1969","01","03","07:00"," ","-16,70","","-18,90","","83,00","","16,00","","21,00","","25,00","","93,72","","","","-27,00","","Généralement dégagé"
"1969-01-03 08:00","1969","01","03","08:00"," ","-16,70","","-18,90","","83,00","","16,00","","16,00","","25,00","","93,67","","","","-25,00","","Généralement dégagé"
"1969-01-03 09:00","1969","01","03","09:00"," ","-17,80","","-20,00","","84,00","","14,00","","21,00","","25,00","","93,66","","","","-28,00","","Généralement nuageux"
"1969-01-03 10:00","1969","01","03","10:00"," ","-12,80","","-15,60","","80,00","","16,00","","26,00","","25,00","","93,55","","","","-23,00","","Généralement nuageux"
"1969-01-03 11:00","1969","01","03","11:00"," ","-13,30","","-16,10","","81,00","","14,00","","23,00","","25,00","","93,45","","","","-23,00","","Généralement nuageux"
"1969-01-03 12:00","1969","01","03","12:00"," ","-11,10","","-14,40","","77,00","","16,00","","32,00","","25,00","","93,25","","","","-21,00","","Généralement nuageux"
"1969-01-03 13:00","1969","01","03","13:00"," ","-10,60","","-13,90","","76,00","","16,00","","29,00","","25,00","","93,04","","","","-20,00","","Généralement nuageux"
"1969-01-03 14:00","1969","01","03","14:00"," ","-8,30","","-11,10","","79,00","","16,00","","23,00","","25,00","","93,11","","","","-16,00","","Généralement nuageux"
"1969-01-03 15:00","1969","01","03","15:00"," ","-7,80","","-11,10","","77,00","","16,00","","23,00","","25,00","","92,99","","","","-16,00","","Généralement nuageux"
"1969-01-03 16:00","1969","01","03","16:00"," ","-9,40","","-12,80","","78,00","","16,00","","23,00","","25,00","","92,92","","","","-18,00","","Généralement nuageux"
"1969-01-03 17:00","1969","01","03","17:00"," ","-10,00","","-12,80","","80,00","","16,00","","21,00","","25,00","","92,86","","","","-18,00","","Nuageux"
"1969-01-03 18:00","1969","01","03","18:00"," ","-10,00","","-12,80","","80,00","","20,00","","13,00","","25,00","","92,82","","","","-16,00","","Nuageux"
"1969-01-03 19:00","1969","01","03","19:00"," ","-10,60","","-13,30","","80,00","","18,00","","5,00","","25,00","","92,74","","","","-14,00","","Nuageux"
"1969-01-03 20:00","1969","01","03","20:00"," ","-10,60","","-13,30","","81,00","","18,00","","11,00","","25,00","","92,71","","","","-16,00","","Nuageux"
"1969-01-03 21:00","1969","01","03","21:00"," ","-10,60","","-12,80","","83,00","","18,00","","13,00","","25,00","","92,69","","","","-17,00","","Nuageux"
"1969-01-03 22:00","1969","01","03","22:00"," ","-9,40","","-11,70","","83,00","","18,00","","13,00","","25,00","","92,67","","","","-15,00","","Nuageux"
"1969-01-03 23:00","1969","01","03","23:00"," ","-8,30","","-11,10","","80,00","","16,00","","14,00","","25,00","","92,59","","","","-14,00","","Nuageux"
"1969-01-04 00:00","1969","01","04","00:00"," ","-8,30","","-10,00","","88,00","","16,00","","5,00","","25,00","","92,53","","","","-11,00","","Généralement dégagé"
