"Nom de la Station","NANAIMO A"
"Province","BRITISH COLUMBIA"
"Latitude","49,05"
"Longitude","-123,87"
"Altitude","28,00"
"Identification Climat","1025370"
"Identification OMM",""
"Identification TC","YCD"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1966-01-01 00:00","1966","01","01","00:00"," ","-5,60","","-6,10","","95,00","","0,00","","0,00","","24,10","","100,84","","","","","","Nuageux"
"1966-01-01 01:00","1966","01","01","01:00"," ","-5,00","","-5,60","","95,00","","0,00","","0,00","","24,10","","100,84","","","","","","Généralement dégagé"
"1966-01-01 02:00","1966","01","01","02:00"," ","-6,10","","-6,70","","94,00","","0,00","","0,00","","24,10","","100,84","","","","","","Généralement nuageux"
"1966-01-01 03:00","1966","01","01","03:00"," ","-6,10","","-6,70","","94,00","","0,00","","0,00","","24,10","","100,84","","","","","","Nuageux"
"1966-01-01 04:00","1966","01","01","04:00"," ","-5,60","","-6,70","","92,00","","0,00","","0,00","","24,10","","100,81","","","","","","Nuageux"
"1966-01-01 05:00","1966","01","01","05:00"," ","-4,40","","-5,00","","96,00","","25,00","","3,00","","24,10","","100,66","","","","-6,00","","Neige"
"1966-01-01 06:00","1966","01","01","06:00"," ","-3,30","","-3,90","","95,00","","11,00","","19,00","","4,80","","100,54","","","","-9,00","","Neige"
"1966-01-01 07:00","1966","01","01","07:00"," ","-2,80","","-3,90","","93,00","","14,00","","19,00","","1,20","","100,42","","","","-9,00","","Neige"
"1966-01-01 08:00","1966","01","01","08:00"," ","0,00","","-0,60","","97,00","","14,00","","14,00","","0,60","","100,33","","","","-4,00","","Neige modérée"
"1966-01-01 09:00","1966","01","01","09:00"," ","0,60","","0,00","","97,00","","14,00","","21,00","","3,20","","100,13","","","","","","Neige,Brouillard"
"1966-01-01 10:00","1966","01","01","10:00"," ","1,10","","0,60","","94,00","","11,00","","18,00","","3,20","","100,03","","","","","","Neige,Brouillard"
"1966-01-01 11:00","1966","01","01","11:00"," ","1,70","","1,10","","94,00","","11,00","","16,00","","3,20","","99,85","","","","","","Pluie,Neige"
"1966-01-01 12:00","1966","01","01","12:00"," ","1,70","","0,60","","92,00","","14,00","","16,00","","4,80","","99,65","","","","","","Pluie,Brouillard"
"1966-01-01 13:00","1966","01","01","13:00"," ","1,70","","1,10","","97,00","","14,00","","24,00","","4,80","","99,54","","","","","","Neige en grains"
