"Nom de la Station","LLOYDMINSTER A"
"Province","ALBERTA"
"Latitude","53,31"
"Longitude","-110,07"
"Altitude","668,40"
"Identification Climat","3013961"
"Identification OMM",""
"Identification TC",""
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1988-06-01 00:00","1988","06","01","00:00"," ","6,80","","6,00","","95,00","","18,00","","9,00","","24,10","","92,95","","","","","","Généralement dégagé"
"1988-06-01 01:00","1988","06","01","01:00"," ","7,00","","6,40","","96,00","","18,00","","11,00","","24,10","","92,98","","","","","","Généralement dégagé"
"1988-06-01 02:00","1988","06","01","02:00"," ","7,30","","6,40","","94,00","","11,00","","6,00","","24,10","","93,01","","","","","","Généralement dégagé"
"1988-06-01 03:00","1988","06","01","03:00"," ","6,60","","5,60","","93,00","","13,00","","6,00","","24,10","","93,08","","","","","","Généralement dégagé"
"1988-06-01 04:00","1988","06","01","04:00"," ","6,60","","5,80","","94,00","","11,00","","6,00","","24,10","","93,08","","","","","","Généralement nuageux"
"1988-06-01 05:00","1988","06","01","05:00"," ","6,80","","6,00","","95,00","","10,00","","11,00","","24,10","","93,11","","","","","","Généralement nuageux"
"1988-06-01 06:00","1988","06","01","06:00"," ","9,60","","7,30","","85,00","","13,00","","9,00","","24,10","","93,08","","","","","","Généralement nuageux"
"1988-06-01 07:00","1988","06","01","07:00"," ","12,00","","8,00","","77,00","","12,00","","19,00","","24,10","","93,11","","","","","","Généralement dégagé"
"1988-06-01 08:00","1988","06","01","08:00"," ","14,00","","9,00","","72,00","","12,00","","19,00","","24,10","","93,14","","","","","","Généralement dégagé"
"1988-06-01 09:00","1988","06","01","09:00"," ","15,10","","8,20","","63,00","","14,00","","19,00","","24,10","","93,11","","","","","","Dégagé"
"1988-06-01 10:00","1988","06","01","10:00"," ","17,10","","7,40","","53,00","","13,00","","19,00","","24,10","","93,11","","","","","","Dégagé"
"1988-06-01 11:00","1988","06","01","11:00"," ","17,50","","7,90","","53,00","","15,00","","22,00","","24,10","","93,14","","","","","","Généralement dégagé"
"1988-06-01 12:00","1988","06","01","12:00"," ","19,20","","7,20","","46,00","","16,00","","24,00","","24,10","","93,14","","","","","","Généralement nuageux"
"1988-06-01 13:00","1988","06","01","13:00"," ","19,70","","7,20","","44,00","","15,00","","22,00","","24,10","","93,14","","","","","","Généralement nuageux"
"1988-06-01 14:00","1988","06","01","14:00"," ","20,10","","7,20","","43,00","","16,00","","19,00","","24,10","","93,11","","","","","","Nuageux"
"1988-06-01 15:00","1988","06","01","15:00"," ","20,40","","6,80","","41,00","","20,00","","19,00","","24,10","","93,11","","","","","","Nuageux"
"1988-06-01 16:00","1988","06","01","16:00"," ","20,30","","6,00","","39,00","","19,00","","19,00","","24,10","","93,08","","","","","","Nuageux"
