"Nom de la Station","PORT HARDY A"
"Province","BRITISH COLUMBIA"
"Latitude","50,68"
"Longitude","-127,37"
"Altitude","21,60"
"Identification Climat","1026270"
"Identification OMM","71109"
"Identification TC","YZT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1999-02-01 00:00","1999","02","01","00:00"," ","1,90","","0,80","","92,00","","20,00","","11,00","","16,10","","101,10","","","","","","Averses de pluie,Averses de neige"
"1999-02-01 01:00","1999","02","01","01:00"," ","1,60","","0,90","","95,00","","25,00","","15,00","","16,10","","101,20","","","","","","Averses de pluie,Averses de neige"
"1999-02-01 02:00","1999","02","01","02:00"," ","2,10","","1,20","","94,00","","18,00","","4,00","","16,10","","101,26","","","","","","Averses de pluie,Averses de neige"
"1999-02-01 03:00","1999","02","01","03:00"," ","1,60","","0,90","","95,00","","18,00","","11,00","","16,10","","101,30","","","","","","Averses de pluie,Averses de neige"
"1999-02-01 04:00","1999","02","01","04:00"," ","1,90","","1,20","","95,00","","19,00","","11,00","","24,10","","101,26","","","","","","Généralement nuageux"
"1999-02-01 05:00","1999","02","01","05:00"," ","1,40","","1,00","","97,00","","11,00","","11,00","","16,10","","101,30","","","","","","Averses de pluie"
"1999-02-01 06:00","1999","02","01","06:00"," ","1,40","","1,00","","97,00","","14,00","","4,00","","16,10","","101,26","","","","","","Averses de pluie"
"1999-02-01 07:00","1999","02","01","07:00"," ","1,40","","1,30","","99,00","","16,00","","4,00","","16,10","","101,23","","","","","","Pluie"
"1999-02-01 08:00","1999","02","01","08:00"," ","1,80","","1,60","","99,00","","15,00","","6,00","","16,10","","101,16","","","","","","Pluie"
"1999-02-01 09:00","1999","02","01","09:00"," ","2,10","","1,70","","97,00","","15,00","","9,00","","16,10","","101,10","","","","","","Pluie"
"1999-02-01 10:00","1999","02","01","10:00"," ","2,40","","2,00","","97,00","","13,00","","19,00","","16,10","","100,99","","","","","","Pluie"
"1999-02-01 11:00","1999","02","01","11:00"," ","3,10","","2,50","","96,00","","13,00","","15,00","","19,30","","100,89","","","","","","Pluie"
"1999-02-01 12:00","1999","02","01","12:00"," ","3,20","","2,70","","97,00","","13,00","","22,00","","19,30","","100,79","","","","","","Pluie"
