"Nom de la Station","RED DEER A"
"Province","ALBERTA"
"Latitude","52,18"
"Longitude","-113,89"
"Altitude","904,60"
"Identification Climat","3025480"
"Identification OMM","71878"
"Identification TC","YQF"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2001-02-01 00:00","2001","02","01","00:00"," ","-3,30","","-8,90","","65,00","","18,00","","28,00","","24,10","","91,23","","","","-11,00","","Nuageux"
"2001-02-01 01:00","2001","02","01","01:00"," ","-3,60","","-8,80","","67,00","","18,00","","24,00","","24,10","","91,16","","","","-10,00","","Généralement nuageux"
"2001-02-01 02:00","2001","02","01","02:00"," ","-4,90","","-9,00","","73,00","","19,00","","17,00","","24,10","","91,16","","","","-11,00","","Nuageux"
"2001-02-01 03:00","2001","02","01","03:00"," ","-4,30","","-8,70","","71,00","","18,00","","15,00","","24,10","","91,10","","","","-10,00","","Généralement nuageux"
"2001-02-01 04:00","2001","02","01","04:00"," ","-4,20","","-8,60","","71,00","","18,00","","11,00","","24,10","","91,04","","","","-9,00","","Généralement nuageux"
"2001-02-01 05:00","2001","02","01","05:00"," ","-5,00","","-8,80","","75,00","","18,00","","17,00","","24,10","","90,92","","","","-11,00","","Généralement nuageux"
"2001-02-01 06:00","2001","02","01","06:00"," ","-6,50","","-9,70","","78,00","","18,00","","9,00","","24,10","","90,88","","","","-11,00","","Généralement dégagé"
"2001-02-01 07:00","2001","02","01","07:00"," ","-7,80","","-10,40","","82,00","","19,00","","9,00","","24,10","","90,85","","","","-12,00","","Généralement dégagé"
"2001-02-01 08:00","2001","02","01","08:00"," ","-8,50","","-11,00","","82,00","","19,00","","13,00","","24,10","","90,79","","","","-14,00","","Généralement dégagé"
"2001-02-01 09:00","2001","02","01","09:00"," ","-7,60","","-10,20","","82,00","","18,00","","9,00","","24,10","","90,73","","","","-12,00","","Nuageux"
