"Nom de la Station","CALGARY INT'L A"
"Province","ALBERTA"
"Latitude","51,11"
"Longitude","-114,02"
"Altitude","1084,10"
"Identification Climat","3031093"
"Identification OMM","71877"
"Identification TC","YYC"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"1962-02-01 00:00","1962","02","01","00:00"," ","0,00","","-2,80","","81,00","","11,00","","6,00","","64,40","","89,01","","","","-2,00","","Dégagé"
"1962-02-01 01:00","1962","02","01","01:00"," ","2,20","","-1,70","","75,00","","18,00","","14,00","","64,40","","88,89","","","","","","Généralement nuageux"
"1962-02-01 02:00","1962","02","01","02:00"," ","2,80","","-2,20","","69,00","","18,00","","19,00","","64,40","","88,75","","","","","","Nuageux"
"1962-02-01 03:00","1962","02","01","03:00"," ","5,00","","-2,20","","59,00","","23,00","","16,00","","64,40","","88,70","","","","","","Nuageux"
"1962-02-01 04:00","1962","02","01","04:00"," ","3,30","","-2,20","","67,00","","23,00","","13,00","","64,40","","88,63","","","","","","Nuageux"
"1962-02-01 05:00","1962","02","01","05:00"," ","3,30","","-1,70","","70,00","","23,00","","13,00","","64,40","","88,58","","","","","","Nuageux"
"1962-02-01 06:00","1962","02","01","06:00"," ","5,00","","-2,20","","59,00","","23,00","","16,00","","64,40","","88,49","","","","","","Nuageux"
"1962-02-01 07:00","1962","02","01","07:00"," ","8,90","","0,00","","54,00","","25,00","","26,00","","64,40","","88,46","","","","","","Nuageux"
"1962-02-01 08:00","1962","02","01","08:00"," ","8,30","","0,00","","55,00","","27,00","","29,00","","64,40","","88,42","","","","","","Généralement nuageux"
"1962-02-01 09:00","1962","02","01","09:00"," ","10,00","","-0,60","","48,00","","27,00","","34,00","","64,40","","88,42","","","","","","Généralement nuageux"
"1962-02-01 10:00","1962","02","01","10:00"," ","11,10","","-0,60","","44,00","","27,00","","48,00","","64,40","","88,48","","","","","","Généralement nuageux"
"1962-02-01 11:00","1962","02","01","11:00"," ","11,10","","-0,60","","45,00","","27,00","","42,00","","64,40","","88,51","","","","","","Généralement nuageux"
"1962-02-01 12:00","1962","02","01","12:00"," ","11,70","","0,00","","45,00","","27,00","","39,00","","64,40","","88,51","","","","","","Généralement nuageux"
"1962-02-01 13:00","1962","02","01","13:00"," ","12,20","","-0,60","","41,00","","27,00","","48,00","","64,40","","88,38","","","","","","Généralement nuageux"
"1962-02-01 14:00","1962","02","01","14:00"," ","13,30","","-0,60","","39,00","","27,00","","56,00","","64,40","","88,24","","","","","","Généralement nuageux"
"1962-02-01 15:00","1962","02","01","15:00"," ","12,20","","1,70","","48,00","","16,00","","13,00","","64,40","","88,32","","","","","","Généralement nuageux"
"1962-02-01 16:00","1962","02","01","16:00"," ","10,00","","2,20","","57,00","","18,00","","19,00","","64,40","","88,26","","","","","","Généralement nuageux"
"1962-02-01 17:00","1962","02","01","17:00"," ","8,90","","1,70","","59,00","","14,00","","14,00","","64,40","","88,23","","","","","","Généralement nuageux"
"1962-02-01 18:00","1962","02","01","18:00"," ","7,20","","1,10","","64,00","","18,00","","19,00","","64,40","","88,18","","","","","","Généralement nuageux"
"1962-02-01 19:00","1962","02","01","19:00"," ","5,60","","0,60","","70,00","","20,00","","18,00","","64,40","","88,12","","","","","","Généralement nuageux"
"1962-02-01 20:00","1962","02","01","20:00"," ","6,10","","0,60","","69,00","","25,00","","19,00","","64,40","","88,10","","","","","","Généralement nuageux"
"1962-02-01 21:00","1962","02","01","21:00"," ","11,70","","1,10","","47,00","","27,00","","32,00","","64,40","","88,11","","","","","","Généralement nuageux"
"1962-02-01 22:00","1962","02","01","22:00"," ","11,70","","1,70","","51,00","","27,00","","23,00","","64,40","","88,17","","","","","","Généralement nuageux"
"1962-02-01 23:00","1962","02","01","23:00"," ","6,70","","0,00","","64,00","","2,00","","18,00","","64,40","","88,33","","","","","","Généralement nuageux"
"1962-02-02 00:00","1962","02","02","00:00"," ","2,80","","-0,60","","78,00","","32,00","","6,00","","64,40","","88,39","","","","","","Nuageux"
"1962-02-02 01:00","1962","02","02","01:00"," ","3,30","","-0,60","","77,00","","23,00","","5,00","","64,40","","88,39","","","","","","Nuageux"
"1962-02-02 02:00","1962","02","02","02:00"," ","3,90","","0,60","","79,00","","20,00","","13,00","","64,40","","88,42","","","","","","Généralement nuageux"
"1962-02-02 03:00","1962","02","02","03:00"," ","3,30","","0,60","","81,00","","20,00","","6,00","","64,40","","88,42","","","","","","Généralement nuageux"
"1962-02-02 04:00","1962","02","02","04:00"," ","4,40","","1,10","","78,00","","18,00","","8,00","","64,40","","88,40","","","","","","Généralement nuageux"
"1962-02-02 05:00","1962","02","02","05:00"," ","3,30","","0,60","","81,00","","20,00","","14,00","","64,40","","88,34","","","","","","Généralement dégagé"
"1962-02-02 06:00","1962","02","02","06:00"," ","2,20","","0,00","","85,00","","20,00","","13,00","","64,40","","88,28","","","","","","Généralement dégagé"
"1962-02-02 07:00","1962","02","02","07:00"," ","3,30","","0,60","","81,00","","23,00","","14,00","","64,40","","88,24","","","","","","Généralement nuageux"
"1962-02-02 08:00","1962","02","02","08:00"," ","3,30","","0,00","","79,00","","23,00","","5,00","","64,40","","88,24","","","","","","Généralement nuageux"
"1962-02-02 09:00","1962","02","02","09:00"," ","5,00","","0,60","","72,00","","34,00","","10,00","","64,40","","88,26","","","","","","Généralement nuageux"
"1962-02-02 10:00","1962","02","02","10:00"," ","6,70","","1,70","","69,00","","36,00","","6,00","","64,40","","88,32","","","","","","Généralement nuageux"
"1962-02-02 11:00","1962","02","02","11:00"," ","8,90","","2,20","","63,00","","34,00","","24,00","","64,40","","88,37","","","","","","Généralement dégagé"
"1962-02-02 12:00","1962","02","02","12:00"," ","7,80","","2,20","","69,00","","2,00","","29,00","","64,40","","88,42","","","","","","Généralement dégagé"
"1962-02-02 13:00","1962","02","02","13:00"," ","7,20","","2,80","","72,00","","2,00","","27,00","","64,40","","88,43","","","","","","Généralement nuageux"
"1962-02-02 14:00","1962","02","02","14:00"," ","7,20","","2,80","","72,00","","5,00","","18,00","","64,40","","88,44","","","","","","Généralement nuageux"
"1962-02-02 15:00","1962","02","02","15:00"," ","5,60","","2,80","","83,00","","5,00","","24,00","","64,40","","88,50","","","","","","Généralement nuageux"
"1962-02-02 16:00","1962","02","02","16:00"," ","5,60","","2,80","","83,00","","5,00","","18,00","","64,40","","88,56","","","","","","Généralement nuageux"
"1962-02-02 17:00","1962","02","02","17:00"," ","5,00","","2,80","","84,00","","9,00","","18,00","","64,40","","88,58","","","","","","Généralement nuageux"
"1962-02-02 18:00","1962","02","02","18:00"," ","3,90","","2,80","","91,00","","11,00","","11,00","","25,00","","88,62","","","","","","Nuageux"
"1962-02-02 19:00","1962","02","02","19:00"," ","2,80","","2,20","","98,00","","14,00","","13,00","","24,10","","88,65","","","","","","Nuageux"
"1962-02-02 20:00","1962","02","02","20:00"," ","2,80","","2,20","","98,00","","14,00","","13,00","","24,10","","88,58","","","","","","Nuageux"
"1962-02-02 21:00","1962","02","02","21:00"," ","2,20","","1,70","","97,00","","18,00","","24,00","","0,00","","88,51","","","","","","Brouillard"
"1962-02-02 22:00","1962","02","02","22:00"," ","1,70","","1,70","","100,00","","18,00","","29,00","","0,20","","88,46","","","","","","Brouillard"
"1962-02-02 23:00","1962","02","02","23:00"," ","1,70","","1,70","","100,00","","18,00","","29,00","","0,20","","88,38","","","","","","Bruine,Brouillard"
"1962-02-03 00:00","1962","02","03","00:00"," ","1,10","","1,10","","100,00","","18,00","","14,00","","0,20","","88,39","","","","","","Brouillard"
"1962-02-03 01:00","1962","02","03","01:00"," ","0,60","","0,60","","100,00","","20,00","","11,00","","0,20","","88,30","","","","","","Brouillard"
"1962-02-03 02:00","1962","02","03","02:00"," ","0,00","","0,00","","100,00","","16,00","","5,00","","0,20","","88,23","","","","-2,00","","Brouillard"
"1962-02-03 03:00","1962","02","03","03:00"," ","-0,60","","-0,60","","99,00","","20,00","","16,00","","0,60","","88,23","","","","-5,00","","Brouillard"
"1962-02-03 04:00","1962","02","03","04:00"," ","-0,60","","-0,60","","99,00","","18,00","","3,00","","0,80","","88,19","","","","-2,00","","Brouillard"
"1962-02-03 05:00","1962","02","03","05:00"," ","-0,60","","-1,10","","97,00","","25,00","","6,00","","12,90","","88,16","","","","-3,00","","Généralement nuageux"
"1962-02-03 06:00","1962","02","03","06:00"," ","1,70","","-2,80","","72,00","","18,00","","3,00","","64,40","","88,07","","","","","","Dégagé"
"1962-02-03 07:00","1962","02","03","07:00"," ","-1,70","","-1,70","","98,00","","36,00","","14,00","","24,10","","87,98","","","","-6,00","","Généralement dégagé"
"1962-02-03 08:00","1962","02","03","08:00"," ","-1,70","","-1,70","","98,00","","11,00","","10,00","","6,40","","87,99","","","","-5,00","","Brouillard"
"1962-02-03 09:00","1962","02","03","09:00"," ","-1,10","","-1,70","","97,00","","14,00","","5,00","","64,40","","87,88","","","","-3,00","","Généralement nuageux"
"1962-02-03 10:00","1962","02","03","10:00"," ","0,60","","-1,10","","87,00","","11,00","","10,00","","9,70","","87,77","","","","","","Fumée"
"1962-02-03 11:00","1962","02","03","11:00"," ","3,30","","-0,60","","77,00","","25,00","","24,00","","64,40","","87,63","","","","","","Généralement nuageux"
"1962-02-03 12:00","1962","02","03","12:00"," ","10,00","","-2,80","","41,00","","25,00","","40,00","","64,40","","87,47","","","","","","Généralement dégagé"
"1962-02-03 13:00","1962","02","03","13:00"," ","11,70","","-4,40","","31,00","","25,00","","66,00","","64,40","","87,30","","","","","","Généralement dégagé"
"1962-02-03 14:00","1962","02","03","14:00"," ","11,70","","-3,90","","33,00","","25,00","","48,00","","64,40","","87,29","","","","","","Généralement dégagé"
"1962-02-03 15:00","1962","02","03","15:00"," ","11,70","","-3,90","","33,00","","27,00","","39,00","","64,40","","87,30","","","","","","Généralement dégagé"
"1962-02-03 16:00","1962","02","03","16:00"," ","10,60","","2,20","","57,00","","36,00","","45,00","","64,40","","87,38","","","","","","Généralement nuageux"
"1962-02-03 17:00","1962","02","03","17:00"," ","0,60","","-0,60","","92,00","","34,00","","51,00","","12,90","","87,70","","","","","","Généralement nuageux"
"1962-02-03 18:00","1962","02","03","18:00"," ","-3,90","","-7,80","","75,00","","34,00","","87,00","","0,80","","87,97","","","","-16,00","","Chasse-poussière élevée"
"1962-02-03 19:00","1962","02","03","19:00"," ","-7,20","","-9,40","","83,00","","34,00","","72,00","","0,60","","88,30","","","","-20,00","","Neige,Poudrerie élevée,Chasse-poussière élevée"
"1962-02-03 20:00","1962","02","03","20:00"," ","-7,80","","-10,00","","84,00","","34,00","","48,00","","0,80","","88,60","","","","-19,00","","Neige,Poudrerie élevée"
"1962-02-03 21:00","1962","02","03","21:00"," ","-7,80","","-11,10","","78,00","","36,00","","56,00","","2,40","","88,82","","","","-19,00","","Neige"
"1962-02-03 22:00","1962","02","03","22:00"," ","-9,40","","-11,70","","84,00","","36,00","","56,00","","1,60","","89,07","","","","-21,00","","Neige,Poudrerie élevée"
"1962-02-03 23:00","1962","02","03","23:00"," ","-8,90","","-12,80","","74,00","","36,00","","58,00","","8,00","","89,24","","","","-21,00","","Neige"
"1962-02-04 00:00","1962","02","04","00:00"," ","-9,40","","-11,70","","86,00","","34,00","","51,00","","9,70","","89,45","","","","-21,00","","Neige"
"1962-02-04 01:00","1962","02","04","01:00"," ","-10,00","","-12,20","","84,00","","34,00","","55,00","","4,80","","89,57","","","","-22,00","","Neige"
"1962-02-04 02:00","1962","02","04","02:00"," ","-10,00","","-11,70","","86,00","","36,00","","48,00","","8,00","","89,69","","","","-22,00","","Neige"
"1962-02-04 03:00","1962","02","04","03:00"," ","-10,60","","-11,70","","92,00","","36,00","","32,00","","4,00","","89,83","","","","-21,00","","Neige"
"1962-02-04 04:00","1962","02","04","04:00"," ","-11,10","","-12,20","","91,00","","34,00","","35,00","","3,20","","89,93","","","","-22,00","","Neige"
"1962-02-04 05:00","1962","02","04","05:00"," ","-11,10","","-12,20","","91,00","","34,00","","32,00","","19,30","","90,04","","","","-21,00","","Neige"
"1962-02-04 06:00","1962","02","04","06:00"," ","-11,70","","-12,80","","91,00","","36,00","","27,00","","24,10","","90,17","","","","-21,00","","Généralement nuageux"
"1962-02-04 07:00","1962","02","04","07:00"," ","-12,20","","-13,30","","90,00","","34,00","","29,00","","16,10","","90,25","","","","-22,00","","Neige"
"1962-02-04 08:00","1962","02","04","08:00"," ","-12,20","","-14,40","","82,00","","34,00","","27,00","","9,70","","90,30","","","","-22,00","","Neige"
"1962-02-04 09:00","1962","02","04","09:00"," ","-12,20","","-15,00","","81,00","","34,00","","26,00","","16,10","","90,30","","","","-22,00","","Neige"
"1962-02-04 10:00","1962","02","04","10:00"," ","-12,80","","-15,00","","83,00","","36,00","","26,00","","24,10","","90,37","","","","-23,00","","Généralement nuageux"
"1962-02-04 11:00","1962","02","04","11:00"," ","-12,20","","-14,40","","82,00","","36,00","","24,00","","12,90","","90,42","","","","-21,00","","Neige"
