"Nom de la Station","QUEBEC/JEAN LESAGE INTL"
"Province","QUEBEC"
"Latitude","46,80"
"Longitude","-71,38"
"Altitude","60,00"
"Identification Climat","701S001"
"Identification OMM","71714"
"Identification TC","WQB"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-07-01 00:00","2010","07","01","00:00"," ","9,60","","7,60","","87,00","","27,00","","15,00","","","","100,57","","","","","","ND"
"2010-07-01 01:00","2010","07","01","01:00"," ","8,50","","6,90","","90,00","","27,00","","15,00","","","","100,57","","","","","","ND"
"2010-07-01 02:00","2010","07","01","02:00"," ","8,80","","7,20","","90,00","","23,00","","9,00","","","","100,59","","","","","","ND"
"2010-07-01 03:00","2010","07","01","03:00"," ","9,10","","6,70","","85,00","","23,00","","6,00","","","","100,59","","","","","","ND"
"2010-07-01 04:00","2010","07","01","04:00"," ","8,00","","6,10","","88,00","","21,00","","4,00","","","","100,59","","","","","","ND"
"2010-07-01 05:00","2010","07","01","05:00"," ","8,90","","6,80","","87,00","","24,00","","13,00","","","","100,63","","","","","","ND"
"2010-07-01 06:00","2010","07","01","06:00"," ","9,50","","7,20","","86,00","","25,00","","13,00","","","","100,67","","","","","","ND"
"2010-07-01 07:00","2010","07","01","07:00"," ","11,50","","8,80","","83,00","","24,00","","15,00","","","","100,70","","","","","","ND"
"2010-07-01 08:00","2010","07","01","08:00"," ","13,10","","9,30","","78,00","","25,00","","15,00","","","","100,68","","","","","","ND"
"2010-07-01 09:00","2010","07","01","09:00"," ","15,20","","9,40","","68,00","","25,00","","15,00","","","","100,65","","","","","","ND"
