"Nom de la Station","KENTVILLE CDA CS"
"Province","NOVA SCOTIA"
"Latitude","45,07"
"Longitude","-64,48"
"Altitude","48,70"
"Identification Climat","8202810"
"Identification OMM","71671"
"Identification TC","XKT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2009-02-01 00:00","2009","02","01","00:00"," ","-4,50","","-6,90","","83,00","","30,00","","19,00","","","","","M","","","-11,00","","ND"
"2009-02-01 01:00","2009","02","01","01:00"," ","-5,10","","-7,80","","81,00","","30,00","","19,00","","","","","M","","","-12,00","","ND"
"2009-02-01 02:00","2009","02","01","02:00"," ","-5,20","","-8,30","","79,00","","30,00","","17,00","","","","","M","","","-11,00","","ND"
"2009-02-01 03:00","2009","02","01","03:00"," ","-6,70","","-9,50","","80,00","","29,00","","13,00","","","","","M","","","-12,00","","ND"
"2009-02-01 04:00","2009","02","01","04:00"," ","-7,50","","-10,00","","82,00","","28,00","","19,00","","","","","M","","","-15,00","","ND"
"2009-02-01 05:00","2009","02","01","05:00"," ","-8,20","","-10,40","","84,00","","27,00","","17,00","","","","","M","","","-15,00","","ND"
"2009-02-01 06:00","2009","02","01","06:00"," ","-8,60","","-10,50","","86,00","","27,00","","13,00","","","","","M","","","-15,00","","ND"
"2009-02-01 07:00","2009","02","01","07:00"," ","-8,80","","-10,90","","85,00","","26,00","","15,00","","","","","M","","","-15,00","","ND"
"2009-02-01 08:00","2009","02","01","08:00"," ","-8,60","","-10,60","","85,00","","24,00","","15,00","","","","","M","","","-15,00","","ND"
"2009-02-01 09:00","2009","02","01","09:00"," ","-8,40","","-10,60","","84,00","","25,00","","19,00","","","","","M","","","-16,00","","ND"
"2009-02-01 10:00","2009","02","01","10:00"," ","-7,50","","-10,40","","80,00","","25,00","","19,00","","","","","M","","","-15,00","","ND"
"2009-02-01 11:00","2009","02","01","11:00"," ","-6,30","","-10,10","","74,00","","25,00","","20,00","","","","","M","","","-13,00","","ND"
"2009-02-01 12:00","2009","02","01","12:00"," ","-5,20","","-9,70","","71,00","","26,00","","19,00","","","","","M","","","-12,00","","ND"
"2009-02-01 13:00","2009","02","01","13:00"," ","-4,90","","-9,80","","68,00","","26,00","","19,00","","","","","M","","","-11,00","","ND"
