"Nom de la Station","GRANDE PRAIRIE A"
"Province","ALBERTA"
"Latitude","55,18"
"Longitude","-118,89"
"Altitude","669,00"
"Identification Climat","3072920"
"Identification OMM","71940"
"Identification TC","YQU"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2010-04-01 00:00","2010","04","01","00:00"," ","-1,80","","-6,50","","70,00","","24,00","","19,00","","40,20","","92,70","","","","-7,00","","Dégagé"
"2010-04-01 01:00","2010","04","01","01:00"," ","-1,80","","-7,00","","68,00","","25,00","","19,00","","40,20","","92,69","","","","-7,00","","Dégagé"
"2010-04-01 02:00","2010","04","01","02:00"," ","-2,60","","-7,40","","70,00","","24,00","","19,00","","40,20","","92,69","","","","-8,00","","Dégagé"
"2010-04-01 03:00","2010","04","01","03:00"," ","-2,60","","-7,50","","69,00","","26,00","","19,00","","40,20","","92,69","","","","-8,00","","Dégagé"
"2010-04-01 04:00","2010","04","01","04:00"," ","-2,30","","-7,00","","70,00","","25,00","","19,00","","40,20","","92,69","","","","-8,00","","Généralement dégagé"
"2010-04-01 05:00","2010","04","01","05:00"," ","-3,30","","-7,90","","70,00","","31,00","","7,00","","40,20","","92,71","","","","-6,00","","Généralement dégagé"
"2010-04-01 06:00","2010","04","01","06:00"," ","-1,80","","-7,30","","66,00","","25,00","","22,00","","40,20","","92,72","","","","-8,00","","Dégagé"
"2010-04-01 07:00","2010","04","01","07:00"," ","-3,10","","-7,30","","73,00","","30,00","","6,00","","40,20","","92,73","","","","-6,00","","Généralement dégagé"
"2010-04-01 08:00","2010","04","01","08:00"," ","-0,90","","-6,00","","68,00","","23,00","","7,00","","40,20","","92,73","","","","-3,00","","Généralement nuageux"
"2010-04-01 09:00","2010","04","01","09:00"," ","-0,30","","-5,60","","67,00","","27,00","","7,00","","40,20","","92,75","","","","-3,00","","Généralement dégagé"
"2010-04-01 10:00","2010","04","01","10:00"," ","1,30","","-4,70","","64,00","","24,00","","20,00","","40,20","","92,76","","","","","","Généralement dégagé"
"2010-04-01 11:00","2010","04","01","11:00"," ","2,60","","-4,10","","61,00","","25,00","","20,00","","40,20","","92,75","","","","","","Généralement dégagé"
"2010-04-01 12:00","2010","04","01","12:00"," ","3,80","","-4,70","","54,00","","25,00","","22,00","","40,20","","92,74","","","","","","Généralement dégagé"
"2010-04-01 13:00","2010","04","01","13:00"," ","4,50","","-4,50","","52,00","","29,00","","6,00","","40,20","","92,71","","","","","","Généralement dégagé"
"2010-04-01 14:00","2010","04","01","14:00"," ","4,50","","-4,50","","52,00","","36,00","","9,00","","40,20","","92,67","","","","","","Généralement dégagé"
