"Nom de la Station","CAP-CHAT"
"Province","QUEBEC"
"Latitude","49,11"
"Longitude","-66,65"
"Altitude","5,00"
"Identification Climat","705S002"
"Identification OMM","71428"
"Identification TC","WSG"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2005-10-01 00:00","2005","10","01","00:00"," ","6,50","","3,00","","78,00","","18,00","","15,00","","","","101,98","","","","","","ND"
"2005-10-01 01:00","2005","10","01","01:00"," ","6,20","","2,80","","79,00","","19,00","","17,00","","","","102,00","","","","","","ND"
"2005-10-01 02:00","2005","10","01","02:00"," ","5,50","","2,80","","83,00","","18,00","","17,00","","","","102,05","","","","","","ND"
"2005-10-01 03:00","2005","10","01","03:00"," ","5,40","","2,50","","82,00","","19,00","","17,00","","","","102,03","","","","","","ND"
"2005-10-01 04:00","2005","10","01","04:00"," ","4,90","","2,60","","85,00","","20,00","","20,00","","","","102,06","","","","","","ND"
"2005-10-01 05:00","2005","10","01","05:00"," ","4,20","","2,20","","87,00","","20,00","","19,00","","","","102,09","","","","","","ND"
"2005-10-01 06:00","2005","10","01","06:00"," ","4,50","","2,30","","86,00","","20,00","","17,00","","","","102,08","","","","","","ND"
"2005-10-01 07:00","2005","10","01","07:00"," ","6,60","","3,10","","78,00","","19,00","","17,00","","","","102,01","","","","","","ND"
"2005-10-01 08:00","2005","10","01","08:00"," ","10,20","","3,50","","63,00","","18,00","","19,00","","","","102,00","","","","","","ND"
"2005-10-01 09:00","2005","10","01","09:00"," ","9,90","","4,10","","67,00","","25,00","","19,00","","","","101,93","","","","","","ND"
