"Nom de la Station","CORONATION CLIMATE"
"Province","ALBERTA"
"Latitude","52,07"
"Longitude","-111,45"
"Altitude","791,00"
"Identification Climat","3011887"
"Identification OMM","71318"
"Identification TC","WCT"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2007-10-01 00:00","2007","10","01","00:00"," ","5,50","","-0,10","","67,00","","21,00","","19,00","","","M","91,14","","","","","","ND"
"2007-10-01 01:00","2007","10","01","01:00"," ","3,60","","-0,70","","73,00","","19,00","","15,00","","","M","91,09","","","","","","ND"
"2007-10-01 02:00","2007","10","01","02:00"," ","2,50","","-1,10","","77,00","","17,00","","13,00","","","M","91,10","","","","","","ND"
"2007-10-01 03:00","2007","10","01","03:00"," ","1,10","","-1,80","","81,00","","14,00","","7,00","","","M","91,07","","","","","","ND"
"2007-10-01 04:00","2007","10","01","04:00"," ","0,00","","-2,10","","86,00","","19,00","","13,00","","","M","91,05","","","","-4,00","","ND"
"2007-10-01 05:00","2007","10","01","05:00"," ","0,80","","-1,80","","83,00","","23,00","","13,00","","","M","91,02","","","","","","ND"
"2007-10-01 06:00","2007","10","01","06:00"," ","2,70","","-1,10","","76,00","","23,00","","17,00","","","M","91,01","","","","","","ND"
"2007-10-01 07:00","2007","10","01","07:00"," ","3,90","","-0,90","","71,00","","25,00","","19,00","","","M","90,98","","","","","","ND"
"2007-10-01 08:00","2007","10","01","08:00"," ","8,50","","0,00","","55,00","","25,00","","19,00","","","M","91,00","","","","","","ND"
"2007-10-01 09:00","2007","10","01","09:00"," ","10,00","","-0,20","","49,00","","26,00","","22,00","","","M","91,04","","","","","","ND"
"2007-10-01 10:00","2007","10","01","10:00"," ","10,90","","0,20","","48,00","","28,00","","26,00","","","M","91,07","","","","","","ND"
"2007-10-01 11:00","2007","10","01","11:00"," ","11,60","","0,20","","45,00","","29,00","","24,00","","","M","91,08","","","","","","ND"
"2007-10-01 12:00","2007","10","01","12:00"," ","12,30","","0,30","","44,00","","29,00","","26,00","","","M","91,11","","","","","","ND"
"2007-10-01 13:00","2007","10","01","13:00"," ","13,70","","-0,40","","38,00","","30,00","","30,00","","","M","91,11","","","","","","ND"
"2007-10-01 14:00","2007","10","01","14:00"," ","12,50","","-0,20","","42,00","","31,00","","26,00","","","M","91,16","","","","","","ND"
"2007-10-01 15:00","2007","10","01","15:00"," ","13,70","","-1,10","","36,00","","31,00","","24,00","","","M","91,19","","","","","","ND"
"2007-10-01 16:00","2007","10","01","16:00"," ","14,10","","-0,90","","36,00","","32,00","","24,00","","","M","91,26","","","","","","ND"
"2007-10-01 17:00","2007","10","01","17:00"," ","12,50","","0,60","","44,00","","31,00","","17,00","","","M","91,31","","","","","","ND"
"2007-10-01 18:00","2007","10","01","18:00"," ","11,10","","0,10","","47,00","","29,00","","9,00","","","M","91,35","","","","","","ND"
"2007-10-01 19:00","2007","10","01","19:00"," ","4,70","","-1,50","","64,00","","25,00","","11,00","","","M","91,39","","","","","","ND"
"2007-10-01 20:00","2007","10","01","20:00"," ","2,60","","-1,80","","73,00","","27,00","","11,00","","","M","91,39","","","","","","ND"
"2007-10-01 21:00","2007","10","01","21:00"," ","6,70","","0,40","","64,00","","26,00","","13,00","","","M","91,41","","","","","","ND"
"2007-10-01 22:00","2007","10","01","22:00"," ","8,50","","3,10","","69,00","","29,00","","20,00","","","M","91,50","","","","","","ND"
"2007-10-01 23:00","2007","10","01","23:00"," ","5,90","","0,70","","69,00","","30,00","","9,00","","","M","91,43","","","","","","ND"
"2007-10-02 00:00","2007","10","02","00:00"," ","3,70","","0,60","","80,00","","20,00","","6,00","","","M","91,40","","","","","","ND"
"2007-10-02 01:00","2007","10","02","01:00"," ","1,40","","0,30","","92,00","","19,00","","15,00","","","M","91,41","","","","","","ND"
"2007-10-02 02:00","2007","10","02","02:00"," ","1,20","","-0,40","","89,00","","22,00","","17,00","","","M","91,38","","","","","","ND"
"2007-10-02 03:00","2007","10","02","03:00"," ","1,10","","-0,50","","89,00","","21,00","","17,00","","","M","91,31","","","","","","ND"
"2007-10-02 04:00","2007","10","02","04:00"," ","0,70","","-1,60","","85,00","","23,00","","15,00","","","M","91,30","","","","","","ND"
"2007-10-02 05:00","2007","10","02","05:00"," ","-0,10","","-2,50","","84,00","","24,00","","15,00","","","M","91,28","","","","-5,00","","ND"
"2007-10-02 06:00","2007","10","02","06:00"," ","-2,30","","-4,20","","87,00","","20,00","","9,00","","","M","91,25","","","","-6,00","","ND"
"2007-10-02 07:00","2007","10","02","07:00"," ","-1,00","","-2,80","","88,00","","17,00","","9,00","","","M","91,20","","","","-4,00","","ND"
"2007-10-02 08:00","2007","10","02","08:00"," ","1,00","","-1,80","","82,00","","18,00","","7,00","","","M","91,15","","","","","","ND"
"2007-10-02 09:00","2007","10","02","09:00"," ","4,70","","0,20","","73,00","","19,00","","13,00","","","M","91,08","","","","","","ND"
"2007-10-02 10:00","2007","10","02","10:00"," ","8,50","","1,00","","59,00","","22,00","","13,00","","","M","91,07","","","","","","ND"
"2007-10-02 11:00","2007","10","02","11:00"," ","14,30","","-2,30","","32,00","","22,00","","15,00","","","M","91,01","","","","","","ND"
"2007-10-02 12:00","2007","10","02","12:00"," ","15,80","","-3,80","","26,00","","25,00","","24,00","","","M","90,94","","","","","","ND"
"2007-10-02 13:00","2007","10","02","13:00"," ","16,90","","-4,80","","22,00","","26,00","","20,00","","","M","90,85","","","","","","ND"
"2007-10-02 14:00","2007","10","02","14:00"," ","17,00","","-4,90","","22,00","","23,00","","19,00","","","M","90,80","","","","","","ND"
"2007-10-02 15:00","2007","10","02","15:00"," ","17,90","","-5,90","","19,00","","25,00","","26,00","","","M","90,73","","","","","","ND"
"2007-10-02 16:00","2007","10","02","16:00"," ","17,30","","-6,40","","19,00","","27,00","","22,00","","","M","90,67","","","","","","ND"
"2007-10-02 17:00","2007","10","02","17:00"," ","14,70","","-5,60","","24,00","","30,00","","11,00","","","M","90,63","","","","","","ND"
"2007-10-02 18:00","2007","10","02","18:00"," ","8,10","","-6,40","","35,00","","28,00","","6,00","","","M","90,58","","","","","","ND"
"2007-10-02 19:00","2007","10","02","19:00"," ","10,50","","-1,90","","42,00","","33,00","","26,00","","","M","90,62","","","","","","ND"
"2007-10-02 20:00","2007","10","02","20:00"," ","7,90","","0,20","","58,00","","35,00","","26,00","","","M","90,63","","","","","","ND"
"2007-10-02 21:00","2007","10","02","21:00"," ","6,10","","1,30","","71,00","","33,00","","22,00","","","M","90,67","","","","","","ND"
"2007-10-02 22:00","2007","10","02","22:00"," ","4,50","","1,40","","80,00","","31,00","","17,00","","","M","90,70","","","","","","ND"
"2007-10-02 23:00","2007","10","02","23:00"," ","5,70","","1,70","","75,00","","31,00","","17,00","","","M","90,71","","","","","","ND"
"2007-10-03 00:00","2007","10","03","00:00"," ","5,80","","0,40","","68,00","","32,00","","20,00","","","M","90,71","","","","","","ND"
"2007-10-03 01:00","2007","10","03","01:00"," ","6,20","","-0,30","","63,00","","32,00","","13,00","","","M","90,75","","","","","","ND"
"2007-10-03 02:00","2007","10","03","02:00"," ","-0,40","","-3,50","","80,00","","29,00","","13,00","","","M","90,72","","","","-5,00","","ND"
"2007-10-03 03:00","2007","10","03","03:00"," ","0,30","","-0,90","","92,00","","30,00","","15,00","","","M","90,71","","","","","","ND"
"2007-10-03 04:00","2007","10","03","04:00"," ","2,20","","-1,00","","79,00","","31,00","","19,00","","","M","90,73","","","","","","ND"
"2007-10-03 05:00","2007","10","03","05:00"," ","0,80","","-1,90","","82,00","","31,00","","17,00","","","M","90,80","","","","","","ND"
"2007-10-03 06:00","2007","10","03","06:00"," ","-0,80","","-3,10","","84,00","","32,00","","15,00","","","M","90,83","","","","-5,00","","ND"
"2007-10-03 07:00","2007","10","03","07:00"," ","-0,10","","-2,50","","84,00","","32,00","","15,00","","","M","90,89","","","","-5,00","","ND"
"2007-10-03 08:00","2007","10","03","08:00"," ","3,60","","-2,00","","67,00","","32,00","","20,00","","","M","90,94","","","","","","ND"
"2007-10-03 09:00","2007","10","03","09:00"," ","6,90","","-1,70","","54,00","","33,00","","19,00","","","M","90,99","","","","","","ND"
"2007-10-03 10:00","2007","10","03","10:00"," ","8,90","","-2,10","","46,00","","30,00","","19,00","","","M","91,01","","","","","","ND"
"2007-10-03 11:00","2007","10","03","11:00"," ","9,10","","-2,90","","43,00","","32,00","","22,00","","","M","91,03","","","","","","ND"
"2007-10-03 12:00","2007","10","03","12:00"," ","10,90","","-4,70","","33,00","","31,00","","26,00","","","M","91,03","","","","","","ND"
"2007-10-03 13:00","2007","10","03","13:00"," ","11,70","","-5,10","","30,00","","29,00","","32,00","","","M","91,05","","","","","","ND"
"2007-10-03 14:00","2007","10","03","14:00"," ","11,00","","-5,20","","32,00","","31,00","","26,00","","","M","91,09","","","","","","ND"
"2007-10-03 15:00","2007","10","03","15:00"," ","10,90","","-5,60","","31,00","","32,00","","28,00","","","M","91,13","","","","","","ND"
"2007-10-03 16:00","2007","10","03","16:00"," ","10,50","","-4,80","","34,00","","33,00","","22,00","","","M","91,19","","","","","","ND"
"2007-10-03 17:00","2007","10","03","17:00"," ","8,90","","-3,50","","41,00","","34,00","","11,00","","","M","91,25","","","","","","ND"
"2007-10-03 18:00","2007","10","03","18:00"," ","4,60","","-5,40","","48,00","","29,00","","13,00","","","M","91,30","","","","","","ND"
"2007-10-03 19:00","2007","10","03","19:00"," ","-0,10","","-6,10","","64,00","","28,00","","9,00","","","M","91,38","","","","-3,00","","ND"
"2007-10-03 20:00","2007","10","03","20:00"," ","-0,60","","-5,60","","69,00","","27,00","","9,00","","","M","91,42","","","","-4,00","","ND"
