"Nom de la Station","HIGH LEVEL A"
"Province","ALBERTA"
"Latitude","58,62"
"Longitude","-117,16"
"Altitude","338,30"
"Identification Climat","3073146"
"Identification OMM",""
"Identification TC","YOJ"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"M","Données Manquantes"
"E","Valeur Estimée"
"ND","Non Disponible"
"**","Données fournies par un partenaire, non assujetties à un révision par les Archives climatiques nationales du Canada"

"Date/Heure","Année","Mois","Jour","Heure","Qualité des Données","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2008-07-01 00:00","2008","07","01","00:00"," ","12,60","","8,30","","75,00","","0,00","","0,00","","24,10","","97,83","","","","","","Généralement dégagé"
"2008-07-01 01:00","2008","07","01","01:00"," ","11,60","","8,00","","79,00","","31,00","","9,00","","24,10","","97,86","","","","","","Généralement dégagé"
"2008-07-01 02:00","2008","07","01","02:00"," ","12,20","","8,30","","77,00","","32,00","","15,00","","24,10","","97,89","","","","","","Généralement dégagé"
"2008-07-01 03:00","2008","07","01","03:00"," ","12,30","","8,80","","79,00","","33,00","","19,00","","24,10","","97,92","","","","","","Généralement dégagé"
"2008-07-01 04:00","2008","07","01","04:00"," ","12,10","","8,60","","79,00","","33,00","","11,00","","24,10","","97,97","","","","","","Généralement dégagé"
"2008-07-01 05:00","2008","07","01","05:00"," ","12,10","","8,40","","78,00","","0,00","","0,00","","24,10","","98,01","","","","","","Généralement dégagé"
"2008-07-01 06:00","2008","07","01","06:00"," ","13,10","","9,60","","79,00","","34,00","","9,00","","24,10","","98,08","","","","","","Dégagé"
"2008-07-01 07:00","2008","07","01","07:00"," ","14,80","","10,00","","73,00","","2,00","","7,00","","24,10","","98,11","","","","","","Dégagé"
"2008-07-01 08:00","2008","07","01","08:00"," ","16,10","","11,00","","72,00","","4,00","","6,00","","24,10","","98,15","","","","","","Généralement dégagé"
"2008-07-01 09:00","2008","07","01","09:00"," ","17,00","","10,90","","67,00","","34,00","","9,00","","24,10","","98,12","","","","","","Généralement dégagé"
"2008-07-01 10:00","2008","07","01","10:00"," ","17,50","","10,20","","62,00","","1,00","","9,00","","24,10","","98,13","","","","","","Généralement dégagé"
"2008-07-01 11:00","2008","07","01","11:00"," ","18,60","","11,30","","62,00","","6,00","","13,00","","24,10","","98,12","","","","","","Généralement nuageux"
"2008-07-01 12:00","2008","07","01","12:00"," ","18,60","","11,00","","61,00","","3,00","","7,00","","24,10","","98,11","","","","","","Généralement nuageux"
"2008-07-01 13:00","2008","07","01","13:00"," ","19,50","","11,00","","58,00","","36,00","","15,00","","24,10","","98,10","","","","","","Généralement nuageux"
"2008-07-01 14:00","2008","07","01","14:00"," ","20,50","","11,60","","57,00","","4,00","","11,00","","24,10","","98,07","","","","","","Généralement nuageux"
"2008-07-01 15:00","2008","07","01","15:00"," ","21,10","","11,00","","52,00","","4,00","","6,00","","24,10","","98,04","","","","","","Généralement nuageux"
"2008-07-01 16:00","2008","07","01","16:00"," ","21,50","","11,20","","52,00","","10,00","","6,00","","24,10","","98,00","","","","","","Généralement nuageux"
"2008-07-01 17:00","2008","07","01","17:00"," ","22,20","","11,40","","50,00","","11,00","","11,00","","24,10","","97,94","","","","","","Généralement dégagé"
"2008-07-01 18:00","2008","07","01","18:00"," ","21,60","","10,70","","50,00","","15,00","","9,00","","24,10","","97,91","","","","","","Généralement dégagé"
"2008-07-01 19:00","2008","07","01","19:00"," ","21,00","","11,00","","53,00","","12,00","","19,00","","24,10","","97,88","","","","","","Généralement dégagé"
"2008-07-01 20:00","2008","07","01","20:00"," ","20,00","","11,00","","56,00","","12,00","","17,00","","24,10","","97,84","","","","","","Dégagé"
"2008-07-01 21:00","2008","07","01","21:00"," ","17,80","","10,10","","61,00","","11,00","","9,00","","24,10","","97,87","","","","","","Dégagé"
"2008-07-01 22:00","2008","07","01","22:00"," ","15,80","","10,10","","69,00","","10,00","","9,00","","24,10","","97,87","","","","","","Dégagé"
"2008-07-01 23:00","2008","07","01","23:00"," ","13,80","","9,80","","77,00","","9,00","","6,00","","24,10","","97,85","","","","","","Dégagé"
"2008-07-02 00:00","2008","07","02","00:00"," ","12,30","","9,50","","83,00","","0,00","","0,00","","24,10","","97,83","","","","","","Généralement dégagé"
"2008-07-02 01:00","2008","07","02","01:00"," ","11,50","","9,50","","88,00","","0,00","","0,00","","24,10","","97,85","","","","","","Dégagé"
"2008-07-02 02:00","2008","07","02","02:00"," ","9,50","","8,50","","93,00","","0,00","","0,00","","24,10","","97,82","","","","","","Dégagé"
"2008-07-02 03:00","2008","07","02","03:00"," ","8,90","","8,50","","97,00","","0,00","","0,00","","24,10","","97,78","","","","","","Dégagé"
"2008-07-02 04:00","2008","07","02","04:00"," ","8,80","","7,90","","94,00","","0,00","","0,00","","24,10","","97,75","","","","","","Dégagé"
"2008-07-02 05:00","2008","07","02","05:00"," ","9,30","","8,70","","96,00","","0,00","","0,00","","24,10","","97,73","","","","","","Dégagé"
"2008-07-02 06:00","2008","07","02","06:00"," ","12,90","","10,90","","88,00","","0,00","","0,00","","24,10","","97,71","","","","","","Dégagé"
"2008-07-02 07:00","2008","07","02","07:00"," ","14,60","","10,90","","78,00","","12,00","","13,00","","24,10","","97,66","","","","","","Dégagé"
"2008-07-02 08:00","2008","07","02","08:00"," ","16,30","","11,40","","73,00","","12,00","","6,00","","24,10","","97,64","","","","","","Dégagé"
"2008-07-02 09:00","2008","07","02","09:00"," ","18,00","","12,10","","68,00","","12,00","","13,00","","24,10","","97,59","","","","","","Dégagé"
"2008-07-02 10:00","2008","07","02","10:00"," ","20,00","","12,90","","64,00","","15,00","","13,00","","24,10","","97,55","","","","","","Dégagé"
"2008-07-02 11:00","2008","07","02","11:00"," ","21,50","","13,70","","61,00","","13,00","","19,00","","24,10","","97,50","","25,00","","","","Dégagé"
"2008-07-02 12:00","2008","07","02","12:00"," ","22,80","","13,70","","56,00","","15,00","","9,00","","24,10","","97,44","","26,00","","","","Dégagé"
